akalmaza akalmaṣa Akalmaṣa
cAndramasAyani cāndramasāyani Cāndramasāyani
cAmuRqarAja cāmuṇḍarāja Cāmuṇḍarāja
cArugIta cārugīta Cārugīta
cAlukyavikramakAla cālukyavikramakāla Cālukyavikramakāla
cAhuyARa cāhuyāṇa Cāhuyāṇa
cayanakArikA cayanakārikā Cayanakārikā
cayanapadDati cayanapaddhati Cayanapaddhati
cayanaprayoga cayanaprayoga Cayanaprayoga
cayanasUtra cayanasūtra Cayanasūtra
citi citi Citi
cittaDArAbudDisaMku cittadhārābuddhisaṁku Cittadhārābuddhisaṁku
cittapAvan cittapāvan Cittapāvan
cittapa cittapa Cittapa
citrasuDAniDi citrasudhānidhi Citrasudhānidhi
citrAyuDa citrāyudha Citrāyudha
cullapatka cullapatka Cullapatka
cUrRavfdDi cūrṇavṛddhi Cūrṇavṛddhi
cEtrakuwI caitrakuṭī Caitrakuṭī
cEtrasaMkrAnti caitrasaṁkrānti Caitrasaṁkrānti
colaBARa colabhāṇa Colabhāṇa
Cittapa chittapa Chittapa
jagatprakASa jagatprakāśa Jagatprakāśa
jagadABaraRa jagadābharaṇa Jagadābharaṇa
jagadISa jagadīśa Jagadīśa
jagadrAma jagadrāma Jagadrāma
jawAJAwa jaṭājhāṭa Jaṭājhāṭa
jawAvarman jaṭāvarman Jaṭāvarman
jamBaniSumBana jambhaniśumbhana Jambhaniśumbhana
jayakfzRa jayakṛṣṇa Jayakṛṣṇa
jayanAman jayanāman Jayanāman
jayalakzmaRa jayalakṣmaṇa Jayalakṣmaṇa
jayavilAsa jayavilāsa Jayavilāsa
jalpakalpataru jalpakalpataru Jalpakalpataru
jalpakalpalatA jalpakalpalatā Jalpakalpalatā
jalpeSvaramAhAtmya jalpeśvaramāhātmya Jalpeśvaramāhātmya
jalhaRa jalhaṇa Jalhaṇa
jAtarUpa jātarūpa Jātarūpa
jAtakadarpaRa jātakadarpaṇa Jātakadarpaṇa
jAtakaBUzaRa jātakabhūṣaṇa Jātakabhūṣaṇa
jAtakamaYjarI jātakamañjarī Jātakamañjarī
jAtakaratna jātakaratna Jātakaratna
jAtakalakzaRa jātakalakṣaṇa Jātakalakṣaṇa
jAtakasaMgraha jātakasaṁgraha Jātakasaṁgraha
jAtinirRaya jātinirṇaya Jātinirṇaya
jAtivicAra jātivicāra Jātivicāra
jAtisAMkarya jātisāṁkarya Jātisāṁkarya
jAtyutpattikrama jātyutpattikrama Jātyutpattikrama
jAnakIgItA jānakīgītā Jānakīgītā
jitamanyu jitamanyu Jitamanyu
jIva jīva Jīva
jIvAnanda jīvānanda Jīvānanda
jIvitagupta jīvitagupta Jīvitagupta
jIvI jīvī Jīvī
juzwA juṣṭā Juṣṭā
juzwi juṣṭi Juṣṭi
jYAnaniDi jñānanidhi Jñānanidhi
jYAnapradIpa jñānapradīpa Jñānapradīpa
jYAnasUryodaya jñānasūryodaya Jñānasūryodaya
jYApakAvalI jñāpakāvalī Jñāpakāvalī
jvalanADipati jvalanādhipati Jvalanādhipati
jvAlAlakzaRa jvālālakṣaṇa Jvālālakṣaṇa
jvAlAyana jvālāyana Jvālāyana
JaNki jhaṅki Jhaṅki
JaNkI jhaṅkī Jhaṅkī
wippaRyASaya ṭippaṇyāśaya Ṭippaṇyāśaya
wIkAsamuccaya ṭīkāsamuccaya Ṭīkāsamuccaya
wIkAsarvasva ṭīkāsarvasva Ṭīkāsarvasva
weka ṭeka Ṭeka
woqaraprakASa ṭoḍaraprakāśa Ṭoḍaraprakāśa
wolakamAhAtmya ṭolakamāhātmya Ṭolakamāhātmya
WunWupadDati ṭhunṭhupaddhati Ṭhunṭhupaddhati
Wepaka ṭhepaka Ṭhepaka
Wevaka ṭhevaka Ṭhevaka
qaNkamAhAtmya ḍaṅkamāhātmya Ḍaṅkamāhātmya
qambarasiMha ḍambarasiṁha Ḍambarasiṁha
qAlacandra ḍālacandra Ḍālacandra
quRDi ḍuṇdhi Ḍuṇdhi
tarasagadattA tarasagadattā Tarasagadattā
tarkakutUhala tarkakutūhala Tarkakutūhala
tarkacUqAmaRi tarkacūḍāmaṇi Tarkacūḍāmaṇi
tarkavAda tarkavāda Tarkavāda
tApasavatsarAja tāpasavatsarāja Tāpasavatsarāja
tArAcandrodaya tārācandrodaya Tārācandrodaya
tArkzyAsana tārkṣyāsana Tārkṣyāsana
tirumaleSa tirumaleśa Tirumaleśa
tiruvAnandapura tiruvānandapura Tiruvānandapura
tizyAmratIrTa tiṣyāmratīrtha Tiṣyāmratīrtha
tulaji tulaji Tulaji
tUryaGoza tūryaghoṣa Tūryaghoṣa
tEla taila Taila
triveda triveda Triveda
triSulapawwitaDara triśulapaṭṭitadhara Triśulapaṭṭitadhara
tryambaka tryambaka Tryambaka
dakziRApratigraha dakṣiṇāpratigraha Dakṣiṇāpratigraha
daRqaSura daṇḍaśura Daṇḍaśura
daditTa dadittha Dadittha
dadda dadda Dadda
damayantIpariRaya damayantīpariṇaya Damayantīpariṇaya
dalanagara dalanagara Dalanagara
daSAvayava daśāvayava Daśāvayava
dAlByAyana dālbhyāyana Dālbhyāyana
diviDuvaka dividhuvaka Dividhuvaka
divyonmAda divyonmāda Divyonmāda
dInacintAmaRi dīnacintāmaṇi Dīnacintāmaṇi
dIrRANga dīrṇāṅga Dīrṇāṅga
dunduBisvaranirGoza dundubhisvaranirghoṣa Dundubhisvaranirghoṣa
duzpraDarza duṣpradharṣa Duṣpradharṣa
dfgAyuDa dṛgāyudha Dṛgāyudha
devatara devatara Devatara
devarAya devarāya Devarāya
devendravarman devendravarman Devendravarman
devajana devajana Devajana
devapARi devapāṇi Devapāṇi
draviRapati draviṇapati Draviṇapati
drumacCedaprAyaScitta drumacchedaprāyaścitta Drumacchedaprāyaścitta
drumAkza drumākṣa Drumākṣa
drOpadIpariRayacampU draupadīpariṇayacampū Draupadīpariṇayacampū
dvArAvatI dvārāvatī Dvārāvatī
dvArakAnATa dvārakānātha Dvārakānātha
dvigarta dvigarta Dvigarta
DanDuka dhandhuka Dhandhuka
DarmakIrti dharmakīrti Dharmakīrti
DarmamativinanditarAga dharmamativinanditarāga Dharmamativinanditarāga
DarmasAgara dharmasāgara Dharmasāgara
DUrtaprahasana dhūrtaprahasana Dhūrtaprahasana
DftizeRa dhṛtiṣeṇa Dhṛtiṣeṇa
DvajapraharaRa dhvajapraharaṇa Dhvajapraharaṇa
naweSavijaya naṭeśavijaya Naṭeśavijaya
narapatijayasUra narapatijayasūra Narapatijayasūra
narendra narendra Narendra
narendraraja narendraraja Narendraraja
nAgatiTi nāgatithi Nāgatithi
nAgapawwana nāgapaṭṭana Nāgapaṭṭana
nAgaBawa nāgabhaṭa Nāgabhaṭa
nAgaBawwa nāgabhaṭṭa Nāgabhaṭṭa
nAgahrada nāgahrada Nāgahrada
nAsika nāsika Nāsika
nipuRi nipuṇi Nipuṇi
nimi nimi Nimi
nItisumAvali nītisumāvali Nītisumāvali
nEdAGI naidāghī Naidāghī
nEraYjanA nairañjanā Nairañjanā
parAkramabAhu parākramabāhu Parākramabāhu
palligupta palligupta Palligupta
paSumeQra paśumeḍhra Paśumeḍhra
pastyA pastyā Pastyā
pAnamantra pānamantra Pānamantra
pARqavAByudaya pāṇḍavābhyudaya Pāṇḍavābhyudaya
pAtAnaprasTa pātānaprastha Pātānaprastha
pAtu pātu Pātu
pArAvata pārāvata Pārāvata
pArTuSravasa pārthuśravasa Pārthuśravasa
pArzRa pārṣṇa Pārṣṇa
pAla pāla Pāla
piroja piroja Piroja
piyaroja piyaroja Piyaroja
pulindasena pulindasena Pulindasena
puzkaravizwara puṣkaraviṣṭara Puṣkaraviṣṭara
peroja peroja Peroja
prakriyAkOmudI prakriyākaumudī Prakriyākaumudī
prakriyApradIpa prakriyāpradīpa Prakriyāpradīpa
prakriyABUzaRa prakriyābhūṣaṇa Prakriyābhūṣaṇa
prakriyAmaYjarI prakriyāmañjarī Prakriyāmañjarī
prakriyAratna prakriyāratna Prakriyāratna
prakriyAsaMgraha prakriyāsaṁgraha Prakriyāsaṁgraha
prakriyAsarvasva prakriyāsarvasva Prakriyāsarvasva
pratApavat pratāpavat Pratāpavat
pratApavilAsa pratāpavilāsa Pratāpavilāsa
praBAcandra prabhācandra Prabhācandra
pralambAri pralambāri Pralambāri
prahasananAwaka prahasananāṭaka Prahasananāṭaka
prAcInaSAli prācīnaśāli Prācīnaśāli
banDuvarman bandhuvarman Bandhuvarman
balABijYa balābhijña Balābhijña
bava bava Bava
bahirvESravaRa bahirvaiśravaṇa Bahirvaiśravaṇa
budDaBadra buddhabhadra Buddhabhadra
brahmaGoza brahmaghoṣa Brahmaghoṣa
brahmahfdaya brahmahṛdaya Brahmahṛdaya
Bagadatta bhagadatta Bhagadatta
BaratawIkA bharataṭīkā Bharataṭīkā
BaratArjunanAwaka bharatārjunanāṭaka Bharatārjunanāṭaka
BartfsUkta bhartṛsūkta Bhartṛsūkta
maYjunandin mañjunandin Mañjunandin
maRqanadeva maṇḍanadeva Maṇḍanadeva
maDurAntaka madhurāntaka Madhurāntaka
manvAdi manvādi Manvādi
mahADarmadunduBi mahādharmadundubhi Mahādharmadundubhi
mahADarmaDvaja mahādharmadhvaja Mahādharmadhvaja
mahApraBa mahāprabha Mahāprabha
mahAmeru mahāmeru Mahāmeru
mahAratnahetu mahāratnahetu Mahāratnahetu
mahAsudarSa mahāsudarśa Mahāsudarśa
mAnABaraRa mānābharaṇa Mānābharaṇa
mAravarman māravarman Māravarman
mAlava mālava Mālava
mitraBUti mitrabhūti Mitrabhūti
mihiralakzmI mihiralakṣmī Mihiralakṣmī
mInAkzI mīnākṣī Mīnākṣī
muKenAdAyin mukhenādāyin Mukhenādāyin
mftyusUkta mṛtyusūkta Mṛtyusūkta
meGakAlI meghakālī Meghakālī
meruDvaja merudhvaja Merudhvaja
merupradIpa merupradīpa Merupradīpa
merupraBAsa meruprabhāsa Meruprabhāsa
mokzadviz mokṣadviṣ Mokṣadviṣ
mOjadIna maujadīna Maujadīna
yaSaHpraBa yaśaḥprabha Yaśaḥprabha
yaSaHpraBAva yaśaḥprabhāva Yaśaḥprabhāva
yaSoDarman yaśodharman Yaśodharman
yaSoDavala yaśodhavala Yaśodhavala
yugapraDAna yugapradhāna Yugapradhāna
raRaMgaha raṇaṁgaha Raṇaṁgaha
ratnadeva ratnadeva Ratnadeva
ratnamanjarI ratnamanjarī Ratnamanjarī
ratnaSrI ratnaśrī Ratnaśrī
ratnABiBAsa ratnābhibhāsa Ratnābhibhāsa
ravivarDanagaRi ravivardhanagaṇi Ravivardhanagaṇi
ravizeRa raviṣeṇa Raviṣeṇa
rAjapraSastimahAkAvya rājapraśastimahākāvya Rājapraśastimahākāvya
rAjavarman rājavarman Rājavarman
rAjasiMhapARqya rājasiṁhapāṇḍya Rājasiṁhapāṇḍya
rAmADipati rāmādhipati Rāmādhipati
rAzwroqa rāṣṭroḍa Rāṣṭroḍa
rudrAmbA rudrāmbā Rudrāmbā
lalitavigraharAja lalitavigraharāja Lalitavigraharāja
lazmideva laṣmideva Laṣmideva
lokAnanda lokānanda Lokānanda
lohArya lohārya Lohārya
vatsaBawwi vatsabhaṭṭi Vatsabhaṭṭi
vallUra vallūra Vallūra
vAjiratna vājiratna Vājiratna
vijayabAhu vijayabāhu Vijayabāhu
vinDyavAsaka vindhyavāsaka Vindhyavāsaka
vinDyavAsin vindhyavāsin Vindhyavāsin
virajaHpraBa virajaḥprabha Virajaḥprabha
viSvavarman viśvavarman Viśvavarman
visraMsikA visraṁsikā Visraṁsikā
vIraravivarman vīraravivarman Vīraravivarman
vIrasena vīrasena Vīrasena
vfttivallaBa vṛttivallabha Vṛttivallabha
vEpaScita vaipaścita Vaipaścita
vESvantara vaiśvantara Vaiśvantara
SarmizWAvijaya śarmiṣṭhāvijaya Śarmiṣṭhāvijaya
SAkunimitra śākunimitra Śākunimitra
SARqikera śāṇḍikera Śāṇḍikera
SAntizeRa śāntiṣeṇa Śāntiṣeṇa
SAradatilaka śāradatilaka Śāradatilaka
SiKarasvAminI śikharasvāminī Śikharasvāminī
Sibinta śibinta Śibinta
Silaka śilaka Śilaka
SudDaraSmipraBa śuddharaśmiprabha Śuddharaśmiprabha
SyAmasujayanta śyāmasujayanta Śyāmasujayanta
SvalominI śvalominī Śvalominī
zuduvadIna ṣuduvadīna Ṣuduvadīna
saMvaraRanAwaka saṁvaraṇanāṭaka Saṁvaraṇanāṭaka
saMsAradevI saṁsāradevī Saṁsāradevī
samUQarUpin samūḍharūpin Samūḍharūpin
sarvArTadarSa sarvārthadarśa Sarvārthadarśa
sAtyADivAka sātyādhivāka Sātyādhivāka
sAhapadIna sāhapadīna Sāhapadīna
sAhavadIna sāhavadīna Sāhavadīna
havyA havyā Havyā
