akalmaza akalmaṣa Akalmaṣa
arTADinATa arthādhinātha Arthādhinātha
arToddyotanikA arthoddyotanikā Arthoddyotanikā
arDaPAlaka ardhaphālaka Ardhaphālaka
arDamakuwa ardhamakuṭa Ardhamakuṭa
arpaRamImAMsA arpaṇamīmāṁsā Arpaṇamīmāṁsā
arbuda arbuda Arbuda
arbudamAhAtmya arbudamāhātmya Arbudamāhātmya
arbudodAsarpiRI arbudodāsarpiṇī Arbudodāsarpiṇī
arBaka arbhaka Arbhaka
aryaka aryaka Aryaka
alaMkAra alaṁkāra Alaṁkāra
alaMkAraratnAkara alaṁkāraratnākara Alaṁkāraratnākara
alaMkArasarvasva alaṁkārasarvasva Alaṁkārasarvasva
alaMkArAnusAriRI alaṁkārānusāriṇī Alaṁkārānusāriṇī
alopI alopī Alopī
allawa allaṭa Allaṭa
allAqalaharI allāḍalaharī Allāḍalaharī
allApadIna allāpadīna Allāpadīna
avagrahaSaka avagrahaśaka Avagrahaśaka
avadAnakalpalatA avadānakalpalatā Avadānakalpalatā
avantimihira avantimihira Avantimihira
avarakaNka avarakaṅka Avarakaṅka
avalokita avalokita Avalokita
avimuktopanizad avimuktopaniṣad Avimuktopaniṣad
avilambasarasvatI avilambasarasvatī Avilambasarasvatī
aviSrAntaviDyADaravyAkaraRa aviśrāntavidhyādharavyākaraṇa Aviśrāntavidhyādharavyākaraṇa
aSanISa aśanīśa Aśanīśa
aSuBacintaka aśubhacintaka Aśubhacintaka
aSokamalla aśokamalla Aśokamalla
aSokaSrI aśokaśrī Aśokaśrī
aSokeSvara aśokeśvara Aśokeśvara
aSmayokta aśmayokta Aśmayokta
aSlezAviDi aśleṣāvidhi Aśleṣāvidhi
aSvaGoza aśvaghoṣa Aśvaghoṣa
aSvadeva aśvadeva Aśvadeva
aSvaDAwI aśvadhāṭī Aśvadhāṭī
aSvaraTadAna aśvarathadāna Aśvarathadāna
aSvAnana aśvānana Aśvānana
aSvAvatAra aśvāvatāra Aśvāvatāra
aSvatTakalpa aśvatthakalpa Aśvatthakalpa
aSvatTapUjA aśvatthapūjā Aśvatthapūjā
aSvatTavivAha aśvatthavivāha Aśvatthavivāha
azwAdaSavakra aṣṭādaśavakra Aṣṭādaśavakra
azwAdaSavakrikA aṣṭādaśavakrikā Aṣṭādaśavakrikā
azwANgamArgadeSika aṣṭāṅgamārgadeśika Aṣṭāṅgamārgadeśika
asaMhatavihArin asaṁhatavihārin Asaṁhatavihārin
asaMjYikasattva asaṁjñikasattva Asaṁjñikasattva
asampuza asampuṣa Asampuṣa
asammozaDarman asammoṣadharman Asammoṣadharman
asAlatiprakASa asālatiprakāśa Asālatiprakāśa
asijihva asijihva Asijihva
asitAla asitāla Asitāla
asTiBaNga asthibhaṅga Asthibhaṅga
asTivilayatIrTa asthivilayatīrtha Asthivilayatīrtha
asTiSudDi asthiśuddhi Asthiśuddhi
asTisaMGAta asthisaṁghāta Asthisaṁghāta
asTisaMnahana asthisaṁnahana Asthisaṁnahana
asTyudDaraRa asthyuddharaṇa Asthyuddharaṇa
ahamindra ahamindra Ahamindra
ahalyAkAmaDenu ahalyākāmadhenu Ahalyākāmadhenu
ahalyAsaMkrandana ahalyāsaṁkrandana Ahalyāsaṁkrandana
ahividviz ahividviṣ Ahividviṣ
aheDma ahedhma Ahedhma
ahobala ahobala Ahobala
AkASagarBa ākāśagarbha Ākāśagarbha
AkASaplavA ākāśaplavā Ākāśaplavā
AkASAnantyAyatana ākāśānantyāyatana Ākāśānantyāyatana
AkASopanyAsa ākāśopanyāsa Ākāśopanyāsa
AkiMcanyAyatana ākiṁcanyāyatana Ākiṁcanyāyatana
Agamakalpadruma āgamakalpadruma Āgamakalpadruma
AgamakOmudI āgamakaumudī Āgamakaumudī
