849 matches for "<L>.*<k2>.*\^" in buffer: temp_mw_2.txt
   1977:<L>550.2<pc>1308,2<k1>akzitavya<k2>akzitavya^<e>2
   1980:<L>550.3<pc>1308,2<k1>akzitavya<k2>akzitavya^<e>2A
   8180:<L>2241<pc>10,3<k1>ajrya<k2>ajrya^<e>2
  10721:<L>2962<pc>13,3<k1>atiGnya<k2>ati-Gnya^<e>2
  10822:<L>2989<pc>14,1<k1>atitArya<k2>ati-tArya^<e>2
  14030:<L>3853<pc>19,2<k1>adyUtya<k2>a-dyUtya^<e>1
  14033:<L>3853.1<pc>19,2<k1>adyUtya<k2>a-dyUtya^<e>1B
  14601:<L>4005<pc>20,1<k1>aDarAcya<k2>aDarAcya^<e>2
  16315:<L>4437<pc>22,2<k1>aDizavaRya<k2>aDi-zavaRya^<e>2
  17533:<L>4770.1<pc>1310,3<k1>aDvartavya<k2>a-Dvartavya^<e>2
  17924:<L>4866<pc>24,3<k1>anativyADya<k2>an-ativyADya^<e>3
  19475:<L>5304<pc>26,3<k1>anavaDarzya<k2>an-avaDarzya^<e>1
  26296:<L>7204<pc>38,1<k1>anuvAkya<k2>anu-vAkya^<e>2A
  26299:<L>7205<pc>38,1<k1>anuvAkyA<k2>anu-vAkyA^<e>2
  26302:<L>7206<pc>38,1<k1>anuvAkyavat<k2>anuvAkya^-vat<e>3
  26858:<L>7362<pc>39,2<k1>anuvyam<k2>anu-vya^m<e>1
  28036:<L>7681<pc>41,2<k1>anUkya<k2>anUkya^<e>2
  28039:<L>7681.1<pc>41,2<k1>anUkya<k2>anUkya^<e>2A
  28063:<L>7688<pc>41,3<k1>anUcya<k2>anUcya^<h>1<e>2
  28288:<L>7751<pc>42,1<k1>anUpya<k2>anUpya^<e>2
  28313:<L>7758<pc>42,1<k1>anUbanDya<k2>anU-banDya^<e>1
  28841:<L>7892<pc>42,3<k1>anovAhya<k2>ano-vAhya^<e>2
  32834:<L>8889<pc>47,2<k1>anvAhArya<k2>anv-AhArya^<e>2
  32837:<L>8889.1<pc>47,2<k1>anvAhArya<k2>anv-AhArya^<e>2B
  36441:<L>9827<pc>53,1<k1>apasya<k2>apasya^<h>2<e>2
  36444:<L>9828<pc>53,1<k1>apasyA<k2>apasyA^<h>2<e>2
  37647:<L>10145<pc>55,1<k1>apikakzya<k2>api-kakzya^<e>2
  37972:<L>10244<pc>56,1<k1>apIcya<k2>apIcya^<e>1
  37975:<L>10244.1<pc>56,1<k1>apIcya<k2>apIcya^<e>1A
  38125:<L>10286<pc>56,1<k1>apuronuvAkyaka<k2>a-puro-'nuvAkya^ka<e>2
  40427:<L>10961<pc>60,1<k1>abalya<k2>a-balya^<e>2
  45131:<L>12298<pc>69,1<k1>aBivAnyA<k2>aBi-vAnyA^<h>a<e>2
  45212:<L>12322<pc>69,1<k1>aByUQi<k2>aBy-U^Qi<h>a<e>2
  45237:<L>12329<pc>69,2<k1>aBivAnyA<k2>aBi-vAnyA^<h>b<e>1
  47500:<L>13006<pc>74,2<k1>aBIti<k2>aBI^ti<h>2<e>2
  48019:<L>13168<pc>75,2<k1>aByaYjanya<k2>aBy-aYjanya^<e>2
  49777:<L>13668<pc>79,2<k1>aByUQi<k2>aBy-U^Qi<h>b<e>1
  50995:<L>14018<pc>81,2<k1>amAvAsya<k2>amA—vAsya^<e>3
  50998:<L>14019<pc>81,2<k1>amAvAsya<k2>amA—vAsya^<e>3B
  51001:<L>14020<pc>81,2<k1>amAvAsya<k2>amA—vAsya^<e>3B
  51004:<L>14021<pc>81,2<k1>amAvAsyA<k2>amA—vAsyA^<h>a<e>3B
  51007:<L>14022<pc>81,2<k1>amAvAsyA<k2>amA—vAsyA^<e>3B
  51010:<L>14023<pc>81,2<k1>amAvAsyA<k2>amA—vAsyA^<e>3B
  55007:<L>15132<pc>86,3<k1>araRyenuvAkya<k2>araRye—'nuvAkya^<e>3
  55387:<L>15243<pc>87,2<k1>arAqya<k2>arAqya^<e>2
  56859:<L>15667<pc>89,3<k1>arkya<k2>arkya^<e>2
  59425:<L>16384<pc>93,1<k1>arya<k2>arya^<h>2<e>2
  59500:<L>16405<pc>93,2<k1>aryamya<k2>aryamya^<e>2
  62654:<L>17292<pc>98,3<k1>avawya<k2>avawya^<e>2
  64655:<L>17885<pc>102,2<k1>avarArDya<k2>avarArDya^<e>3
  64658:<L>17886<pc>102,2<k1>avarArDya<k2>avarArDya^<e>3A
  64661:<L>17887<pc>102,2<k1>avarArDya<k2>avarArDya^<e>3B
  64664:<L>17888<pc>102,2<k1>avarArDya<k2>avarArDya^<e>3B
  66198:<L>18332<pc>105,2<k1>avasAnya<k2>avasAnya^<e>2
  66552:<L>18433<pc>106,2<k1>avasvanya<k2>ava-svanya^<e>2
  67057:<L>18575<pc>107,2<k1>avArya<k2>avArya^<h>1<e>2
  70050:<L>19436<pc>112,3<k1>aSitavya<k2>aSitavya^<e>2
  75864:<L>21088<pc>121,2<k1>asurya<k2>asurya^<h>1<e>2
  75867:<L>21088.1<pc>121,2<k1>asurya<k2>asurya^<e>2A
  75870:<L>21088.2<pc>121,2<k1>asurya<k2>asurya^<e>2B
  75873:<L>21089<pc>121,2<k1>asurya<k2>asurya^<h>2<e>2
  75876:<L>21089.1<pc>121,2<k1>asurya<k2>asurya^<e>2A
  77318:<L>21506<pc>123,2<k1>asmadryaYc<k2>asmadrya^Yc<e>2
  77321:<L>21506.1<pc>123,2<k1>asmadryak<k2>asmadrya^k<e>2B
  77853:<L>21655<pc>124,2<k1>ahanya<k2>ahanya^<e>2
  79340:<L>22083<pc>126,3<k1>AkAyya<k2>A-kAyya^<h>a<e>2
  79371:<L>22092<pc>126,3<k1>AkAyya<k2>A-kAyya^<h>b<e>1
  81982:<L>22854<pc>131,2<k1>ANgUzya<k2>ANgUzya^<e>2
  82255:<L>22935<pc>131,3<k1>AcArya<k2>AcArya^<h>a<e>2
  82258:<L>22936<pc>131,3<k1>AcArya<k2>AcArya^<e>2A
  82334:<L>22960<pc>132,1<k1>AcArya<k2>AcArya^<h>b<e>2
  83776:<L>23374<pc>134,2<k1>Atapya<k2>Atapya^<e>2
  83834:<L>23390.1<pc>134,3<k1>AtArya<k2>A-tArya^<e>1
  84038:<L>23450<pc>135,1<k1>AtArya<k2>AtArya^<e>2
  86193:<L>24080<pc>138,1<k1>Adya<k2>Adya^<h>2<e>1
  86196:<L>24081<pc>138,1<k1>Adya<k2>Adya^<e>1B
  86199:<L>24082<pc>138,2<k1>Adya<k2>Adya^<e>1B
  88581:<L>24802<pc>142,2<k1>Aptavya<k2>Aptavya^<e>2
  92438:<L>25910<pc>149,1<k1>Ayuzya<k2>Ayuzya^<e>2
  92441:<L>25911<pc>149,1<k1>Ayuzya<k2>Ayuzya^<e>2B
  92444:<L>25912<pc>149,1<k1>Ayuzya<k2>Ayuzya^<e>2B
  92447:<L>25913<pc>149,1<k1>Ayuzya<k2>Ayuzya^<e>2B
  95162:<L>26712<pc>153,2<k1>AlaBya<k2>A-laBya^<h>1<e>2
  95384:<L>26778<pc>153,3<k1>AlAwya<k2>A-lAwya^<e>1
  97240:<L>27312<pc>156,3<k1>Avya<k2>Avya^<e>1
  97243:<L>27313<pc>156,3<k1>Avya<k2>Avya^<e>1A
  98102:<L>27561<pc>158,1<k1>ASvapas<k2>ASv-a^pas<h>a<e>3
  98105:<L>27562<pc>158,1<k1>ASvaSva<k2>ASv-a^Sva<e>3
  98108:<L>27563<pc>158,1<k1>ASvaSva<k2>ASv-a^Sva<e>3A
  99249:<L>27889<pc>159,3<k1>Asanya<k2>Asanya^<e>2
  99252:<L>27890<pc>159,3<k1>Asya<k2>Asya^<h>a<e>2
  99255:<L>27891<pc>159,3<k1>Asya<k2>Asya^<e>2A
  99258:<L>27892<pc>160,1<k1>Asya<k2>Asya^<e>2B
 100481:<L>28236<pc>161,3<k1>Asya<k2>Asya^<h>b<e>1
 100753:<L>28309<pc>162,2<k1>Ahananya<k2>Ahananya^<e>2
 101155:<L>28429<pc>163,1<k1>AhArya<k2>A-hArya^<e>2
 101158:<L>28430<pc>163,1<k1>AhArya<k2>A-hArya^<e>2A
 101161:<L>28431<pc>163,1<k1>AhArya<k2>A-hArya^<e>2A
