aMhati	aMhati/	aMhati/,a/Mhati,aMha/ti
UzmaRya	UzmaRya/	UzmaRya^
ftviya	ftvi/ya	ftvi/ya,f/tviya
fgmiya	fgmi/ya	fgmi/ya,f/gmiya
fjra	fjra/	fjra/,f/jra
fDak	f/Dak	f/Dak,fDa/k
ekAkzara	ekAkzara/	e/kAkzara,ekAkzara/
ekAdaSa	ekAdaSa/,e/kAdaSa	ekAdaSa/
enasya	enasya/	enasya^
okya	okya/	okya^
ojasya	ojasya/	ojasya^
OkzRa	O/kzRa	OkzRa/
Ottaravedika	O/ttaravedika	O^ttaravedika
kakza	ka/kza	ka/kza,kakza/
kakzya	ka/kzya	ka/kzya,kakzya^
kadru	ka/dru,kadrU/	ka/dru,kadru/
kanInaka	kanInaka/	kanI/naka
kanyA	kanyA/	kanyA^,kanyA/
kamala	ka/mala	kama/la,ka/mala
kara	kara/	kara/,ka/ra
karaRa	ka/raRa	karaRa/,ka/raRa
karIra	karI/ra	karI^ra
kartavya	ka/rtavya	karta/vya
karmaRya	karmaRya/	karmaRya^
karvara	ka/rvara	ka/rvara,karvara/
kalA	kalA/	ka/lA
kali	ka/li	ka/li,kali/
kARqa	kA/Rqa	kA/Rqa,kARqa/
kAya	kAya/	kAya/,kA/ya
kAruRya	kAruRya/	kAruRya^
kArya	kArya/	kArya^
kArzmarya	kArzmarya/	kArzmarya^
kASi	kASi/	kA/Si
kAzWa	kAzWa/	kA/zWa
kIlAla	kIlA/la,kIlA/la/	kIlA/la
kurIra	kurI/ra	kurI/ra,ku/rIra
kulyA	kulyA/	kulyA/,kulyA^
kfti	kf/ti	kf/ti,kfti/
kfdara	kf/dara	kf/dara,kfdara/
kfpA	kf/pA	kfpA/
kfpaRa	kfpaRa/,kfpa/Ra	kfpaRa/,kfpa/Ra,kf/paRa
kfmuka	kfmuka/	kfmu/ka
kfzRala	kfzRa/la	kfzRala/
kESorya	kE/Sorya	kESorya/
koza	koza/	ko/za,koza/
kOzItakeya	kO/zItakeya	kOzItakeya/
kya	kya/	kya^
kyat	kya/t	kya^t
kramaRa	kra/maRa	krama/Ra
kroSa	kro/Sa	kroSa/
kva	kva/	kva^
kvala	kva/la	kva^la
kzetrI	kze/trI/	kzetrI/
kzEtrapatya	kzE/trapatya,kzE/trapatya/	kzEtrapatya/,kzE/trapatya
Kaqga	Kaqga/	Ka/qga
KAdira	KAdira/	KA/dira
gavya	ga/vya	ga/vya,gavya/
gavyA	ga/vyA,gavyA/	gavyA/
guhA	guhA/,gu/hA	gu/hA
grahaRI	gra/haRI	grahaRI/
grABa	grABa/	grA/Ba
grAhya	grAhya/	grAhya^
grAmaRIya	grA/maRIya	grAmaRI/ya
Gozin	Gozi/n,Go/zi/n	Gozi/n
Gfta	Gfta/	Gf/ta/
GrAtavya	GrAtavya^	GrAta/vya
caRqa	ca/Rqa	caRqa/
caturTa	caturTa/	caturTa/,ca/turTa
cetyA	ce/tyA/	cetyA/
coda	co/da,co/da/	co/da,coda/
Candasya	Candasya/	Candasya^
jaGanya	jaGanya/	jaGanya/,jaGanya^
jana	ja/na	ja/na,jana/
jani	ja/ni	ja/ni,jani/
janitva	ja/nitva	ja/nitva,janitva/
jantva	ja/ntva	jantva^
jarA	ja/rA/,jarA/	jarA/
ja|u	ja/|u	ja|u/
javas	ja/vas,java/s	ja/vas
jAtya	jA/tya	jAtya^
jAra	jA/ra,jA/ra/	jA/ra,jAra/
jArya	jArya/	jArya^
jyEzWya	jyE/zWya	jyE^zWya
Jaza	Jaza/	Jaza^
wvala	wva/la	wvala/
takarI	takarI/,ta/karI	takarI/
taNgalva	taNgalva/	taNgalva^
tadAnIm	tadA/nIm	tadA^nIm
tanti	tanti/	ta/nti,tanti/
taras	ta/ras,ta/ra/s	ta/ras,tara/s
taru	ta/ru	ta/ru,taru/
tarda	tarda/	ta/rda
tavasya	tavasya/	tavasya^
tAjadBaNga	tAja/dBa/Nga	tAja/dBaNga
tArpya	tArpya/	tArpya^
tirya	tirya/	tirya^
tila	ti/la	tila/
tizya	tizya/	tizya^
tura	tura/	tu/ra,tura/
turParItu	turPa/rItu	tu/rParItu
tUtuji	tU/tuji,tU/tuji/	tU/tuji
tfptAMSu	tfptA/MSu	tfptA^MSu
tejasya	tejasya/	tejasya^
tyajas	tya/jas,tya/ja/s	tya/jas,tyaja/s
tyAga	tyAga/	tyA/ga
trEvaRIya	trE/vaRIya	trEvaRI/ya
tvAyA	tvAyA/	tvA/yA
tvacasya	tvacasya/	tvacasya^
tvezya	tvezya/	tvezya^
dakza	da/kza	dakza/,da/kza
dakziRA	da/kziRA	dakziRA/
dakziRAt	da/kziRAt	dakziRA/t
dakziRya	dakziRya/	dakziRya^
dama	da/ma	dama/
daSoRi	da/S'oRi,da/SoRi	da/SoRi
daSama	daSama/	daSama/,da/Sama
dAvan	dAva/n	dAva/n,dA/van
dAtra	dA/tra	dAtra/,dA/tra
dAnu	dA/nu	dA/nu,dAnu/
dAruRa	dAruRa/,dA/ruRa	dAruRa/
dASa	dA/Sa	dASa/,dA/Sa
dAsya	dAsya/	dAsya^
didfkzeRya	didf/kze/Rya	didfkze/Rya
didfkzeya	didf/kze/ya	didfkze/ya
dina	dina/,di/na	di/na
divAtana	di/vAtana	divA/tana
divya	di/vya	divya/
dunduBya	dunduBya/	dunduBya^
dUtya	dUtya/	dUtya^
dfSIkA	df/SIkA/	dfSIkA/
dfSIku	df/SIku/	dfSIku/
devatya	devatya/	devatya^
devya	devya/	devya^
dozaRya	dozaRya/	dozaRya^
dohas	do/has	doha/s,do/has
dohita	do/hita	dohita/
dohin	do/hin	dohi/n
dyutAna	dyu/tAna/	dyutAna/
dravat	dra/vat,drava/t	drava/t
dravi	dra/vi/	dravi/
drazwavya	drazwavya/	drazwa/vya
drApi	drApi/	drA/pi
drogDavya	drogDavya/	drogDa/vya
dvEtavana	dvE/tavana/,dvEtavana/	dvEtavana/,dvE/tavana
Danu	Da/nu	Danu/,Da/nu
Danvanya	Danvanya/	Danvanya^
DAnA	DA/nA/,DAnA/	DAnA/
DAnya	DAnya/	DAnya^
DIrya	DI/rya,DIrya/	DI/rya,DIrya^
DurA	Du/rA,DurA/	DurA/
Druvi	Druvi/	Dru/vi
Dvanya	Dvanya/	Dvanya^
nagara	na/gara	nagara/
naBanya	naBanya/	naBanya^
naBasya	naBasya/	naBasya^
namasya	namasya/	namasya^
nahuzya	nahuzya/	nahuzya^
nAga	nAga/	nA/ga
nAmaTA	nA/ma/TA	nAma/TA
nArya	nArya/	nA/rya
nAvya	nAvya/	nAvya^
nidAna	nidAna/	nidA/na
nindya	nindya/	ni/ndya
nfti	nfti/	nfti/,nf/ti
pakzya	pakzya/	pakzya^
pacatya	pacatya/	pacatya^
padAji	padA/ji	padAji/
parArDya	parArDya/	parArDya^
paraSu	paraSu/	paraSu/,pa/raSu
paruza	paruza/,paru/za	paruza/
parRya	parRya/	pa/rRya
parvatya	parvatya/	parvatya^
palvalya	palvalya/	palvalya^
paSavya	paSavya/	paSavya^
paScArDya	paScArDya/	paScArDya^
pastya	pastya/	pastya^
pAna	pA/na	pA/na,pAna/
pAMsavya	pAMsavya/	pAMsavya^
pAka	pA/ka	pA/ka,pAka/
pAjasya	pAjasya/	pAjasya^
pARya	pARya/	pARya^
pARqva	pARqva/	pARqva^
pAtalya	pAtalya/	pAtalya^
pAdya	pA/dya	pA/dya,pAdya^
pAzya	pAzya/	pAzya^
purIzya	purIzya/	purIzya^
puruzya	puruzya/	puruzya^
puzwi	pu/zwi	puzwi/
pftanAj	pf/tanAj	pftanA/j
pftanAjya	pf/tanAjya	pftanA/jya
pftanAhava	pf/tanAha/va	pftanAha/va
pfSanAyu	pf/SanAyu/	pfSanAyu/
pfzWya	pfzWya/,pf/zWya/	pfzWya^,pfzWya/
peSI	pe/SI	peSI/
potra	potra/	potra/,po/tra
pratIcya	pratI/cya	pratIcya^
praDanya	praDanya/	praDanya^
prozya	prozya/	prozya^
prASavya	prASavya/	prASavya^
prASitavya	prASitavya^	prASita/vya
plASi	plASi/	plA/Si
Palgva	Palgva/	Palgva^
banDura	ba/nDura	banDura/
baBruka	baBruka/,ba/Bruka/	baBruka/,ba/Bruka
barjahya	barjahya/	barjahya^
barhizya	barhizya/	barhizya^
bala	bala/	ba/la
bAlya	bA/lya	bAlya/
bAhava	bAha/va	bAha/va,bAhava/
bilva	bilva/	bilva^
buDnya	buDnya/	buDnya^
brahman	bra/hman	bra/hman,brahma/n
brahmaRya	brahmaRya/	brahmaRya^
Bartavya	Bartavya^	Ba/rtavya
Bavitavya	Bavitavya^	Bavita/vya
Basadya	Basadya/	Basadya^
BAmin	BAmi/n	BA/min
BAga	BAga/	BA/ga,BAga/
BArya	BArya/	BArya^
Bikzitavya	Bikzitavya^	Bikzita/vya
Bujizya	Bujizya/	Bujizya^
Bfmi	Bfmi/	Bf/mi,Bfmi/
Bezajya	Bezajya/	Bezajya^
Boga	Boga/	Boga/,Bo/ga
BOvAyana	BOvAyana/	BOvA/yana
makara	ma/kara	maka/ra
matya	matya/	matya^
maTavya	maTavya/	maTavya^
maDavya	maDavya/	maDavya^
maDyA	ma/DyA,maDyA/	maDyA/
manuzya	manuzya/	manuzya^
mantavya	mantavya^	manta/vya
marka	marka/	marka/,ma/rka
mahas	ma/has	ma/has,maha/s
mahAja	mahA/ja/	mahAja/
mahokza	mahokza/,maho/kza	mahokza/
mahi	ma/hi	mahi/,ma/hi
mahiman	ma/hima/n	mahima/n
mAMScatva	mAMScatva/	mAMScatva/,mA/MScatva
mAna	mA/na	mA/na,mAna/
mArjAlya	mArjAlya/	mArjAlya^
mitrya	mitrya/	mitrya^
mfgayA	mf/gayA	mfgayA/
meDA	me/DA,meDA/	meDA/
meDAtiTi	meDA/tiTi	me/DAtiTi
mehanA	me/hanA,meha/nA	meha/nA
yajamAna	ya/jamAna	ya/jamAna,yajamAna/
yajas	ya/jas	yaja^s
yajuzya	yajuzya/	yajuzya^
yaTANgam	ya/TANga/m	yaTANga/m
yaTAyatanam	ya/TAyatana/m	yaTAyatana/m
yaTAvakASam	ya/TAvakASa/m	yaTAvakASa/m
yaTetam	yaT'eta/m	yaTeta/m
yamunA	yamu/nA	yamu/nA/
yamya	yamya/	ya/mya/,yamya^
yavyA	ya/vyA/	yavyA/
yaSasya	yaSasya/	yaSasya^
yahu	ya/hu	yahu/
yoktavya	yoktavya^	yoktavya/
yuvat	yu/vat	yuva/t
yUTya	yUTya/	yUTya^
rakzas	ra/kzas	ra/kzas,rakza/s
rakzasya	rakzasya/	rakzasya^
raji	raji/,ra/ji	raji/
rajjavya	rajjavya/	rajjavya^
rajasya	rajasya/	rajasya^
raRya	ra/Rya	ra/Rya,raRya^
raTI	ra/TI,raTI/	raTI/
ranDi	ra/nDi	ranDi/
ramati	rama/ti,ra/ma/ti	rama/ti,ra/mati
ramya	ramya/	ramya^
rAjaka	rAjaka/	rAjaka/,rA/jaka
rAjan	rAja/n	rA/jan,rAja/n
rAjanya	rAjanya^,rAjanya/	rAjanya^
rAmyA	rA/myA	rAmyA/
ruDira	ruDira/,ru/Dira/	ruDira/
revatya	revatya/	revatya^
rOdra	rO/dra	rOdra/
lakzmaRya	lakzmaRya/	lakzmaRya^
lokya	lokya/	lokya^
vakzaRA	va/kza/RA,va/kzaRA	vakza/RA
vaktavya	vaktavya^	vakta/vya
vacasya	vacasya/	vacasya^,vacasya/
vapuzya	vapuzya/	vapuzya^
vayya	vayya/	vayya^
variman	varima/n	varima/n,va/riman
varuRya	varuRya/	varuRya^
varUTya	varUTya/	varUTya^
varAhu	varAhu/	varA/hu
varcasya	varcasya/	varcasya^
varzman	varzma/n	varzma/n,va/rzman
vaSA	va/SA,vaSA/	vaSA/
vasavya	vasavya/	vasavya^
vasA	va/sA,vasA/	va/sA
vAtApya	vA/tApya	vAtA/pya
vAkovAkya	vAkovAkya/	vAkovAkya^
vAnyA	vAnyA/	vAnyA^
vAyavya	vAyavya/	vAyavya^
vAsava	vAsava/	vA/sava
vAhasa	vAhasa/	vA/hasa
vigra	vi/gra	vigra/
vidaTya	vida/Tya/	vidaTya^
vidAna	vi/dAna	vidA/na
vidyutya	vidyutya/	vidyutya^
viSya	viSya/	viSya^
viSvANgya	viSvANgya/	viSvANgya^
viza	vi/za,vi/za/	vi/za,viza/
vizA	vi/zA	vizA/
vIti	vIti/	vI/ti
vIci	vI/ci	vI/ci,vIci/
vIrya	vIrya/	vIrya^
vfkzya	vfkzya/	vfkzya^
vfjana	vfja/na	vfja/na,vf/jana
vfjanya	vfjanya/	vfjanya^
vfSa	vf/Sa	vfSa/
veditavya	veditavya^	vedita/vya
veda	veda/	ve/da,veda/
vEdeha	vEdeha/,vE/deha/	vE/deha
vEzRavya	vEzRavya/	vEzRavya^
vyaTA	vyaTA/	vya/TA
vyAmya	vyAmya/	vyAmya^
vratya	vratya/	vratya^,vra/tya
Sastra	Sastra/,Sa/stra	Sastra/
Sakunta	Sa/ku/nta	Saku/nta
SatAtfRRa	SatA/tfRRa	SatAtfRRa/
SapaTeyya	SapaTeyya/	SapaTeyya^
SapaTya	SapaTya/	SapaTya^
SamI	Sa/mI	Sa/mI,SamI/
SAkina	SAkina/	SAkina/,SA/kina
SAkala	SA/kala	SAkala/
SAmulya	SAmulya/	SAmulya^
Sikya	Sikya/	Sikya^
Sigru	Sigru/	Si/gru
Sipi	Sipi/	Si/pi
Simyu	Si/myu	Simyu/
SIrzaRya	SIrzaRya/	SIrzaRya^
SUna	SU/na	SUna/,SU/na
SUzya	SUzya/	SUzya^
SftAtaNkya	SftAtaNkya/	SftAtaNkya^
SyAvyA	SyAvyA/	SyAvyA^
Srava	Srava/	Sra/va
Sravasya	Sravasya/	Sravasya^
Sruzwi	Sruzwi/,Sru/zwi	Sruzwi/
SloRya	Slo/Rya	SloRya^
saKI	sa/KI	saKI/
sacaTya	sacaTya/	sacaTya^
sattrya	sattrya/	sattrya^
sadasya	sadasya/	sadasya^
sadman	sadma/n,sa/dma/n	sadma/n,sa/dman
sAdanya	sAdanya/	sAdanya^
saDrIcIna	saDrIcI/na	saDrIcIna/
saDryaYc	saDrya/Yc	saDrya^Yc
sanemi	sa/nemi	sa/nemi,sane/mi
saparya	saparya/	saparya^
sabva	sabva/	sabva^
samA	samA/,sa/mA	sa/mA
samIca	samI/ca	samIca/
sarasya	sarasya/	sarasya^
sarvAtman	sarvAtma/n	sarvAtma/n,sa/rvAtman
sarvASya	sarvASya/	sarvASya^
savana	sa/vana	sa/vana,savana/
savAtya	savAtya/	savAtya^
savya	savya/	savya/,sa/vya
sahasya	sahasya/	sahasya^
sANga	sANga/	sA/Nga
sAmanya	sAmanya/	sAmanya^
sAmrAjya	sA/mrAjya,sA/mrAjya/	sAmrAjya/,sA/mrAjya
sikatya	sikatya/	sikatya^
sukfta	su/kfta	sukfta/,su/kfta
surAma	su/rAma	surA/ma
sUnu	sUnu/	sU/nu
sUrI	sU/rI,sUrI/	sUrI/
sUrmya	sUrmya/	sUrmya^
sfdAku	sf/dAku	sfdA/ku
soBarIyu	soBarIyu/	soBarI/yu
sOrya	sO/rya	sOrya/
skamBana	skamBana/	ska/mBana
sTUri	sTUri/	sTU/ri
snAvanya	snAvanya/	snAvanya^
srotasya	srotasya/	srotasya^
svAdman	svAdma/n,svA/dma/n	svAdma/n,svA/dman
svapasya	svapasya/	svapasya^
svar	sva/r	sva^r
svargya	svargya/	svargya^
svAhya	svAhya/	svAhya^
svara	sva/ra	svara/
svarya	svarya/	svarya^
hanavya	hanavya/	hanavya^
hArya	hArya/	hA/rya
havizya	havizya/	havizya^
hArda	hA/rda	hArda/
hfdayya	hfdayya/	hfdayya^
hradayya	hradayya/	hradayya^
