; X means MW typo, need to change / to ^
; ? means not simple in some way
; + means MW confirmed to use / in print. no change to be made.
ajrya	ajrya/X	ajrya^	10,3
atiGnya	atiGnya/X	atiGnya^	13,3
atitArya	atitArya/X	atitArya^	14,1
aTarvI	aTarvI/?	aTa^rvI	17,3,1310,1  aTarvI/ in mw
adyUtya	adyUtya/X	adyUtya^	19,2
aDarAcya	aDarAcya/X	aDarAcya^	20,1
aDorAma	aDo/rAma+	aDo^rAma	20,2
aDizavaRya	aDizavaRya/X	aDizavaRya^	22,2
aDrija	a/?Drija	aDri^ja	23,3   aDri/-ja in mw
anativyADya	anativyADya/X	anativyADya^	24,3
anavaDarzya	anavaDarzya/X	anavaDarzya^	26,3
anuvAkyA	anuvAkyA/X	anuvAkyA^	38,1
anuvyam	anuvya/Xm	anuvya^m	39,2
anUkya	anUkya/X	anUkya^	41,2
anUcya	anUcya/?	anUcya^	41,3  #1 anUcya^, #2 anUcya
anUpya	anUpya/X	anUpya^	42,1
anovAhya	anovAhya/X	anovAhya^	42,3
anvAhArya	anvAhArya/X	anvAhArya^	47,2
apasya	apasya/?	apasya^	53,1  #1 apasya, #2 apasya^ (also apasyA, yA^)
apAcya	apAcya/+	apAcya^	54,1
apikakzya	apikakzya/X	apikakzya^	55,1
apIcya	apIcya/X	apIcya^	56,1
apuronuvAkyaka	apuro'nuvAkya/Xka	apuro'nuvAkya^ka	56,1
abalya	abalya/?	abalya^	60,1 with with ^ or with no accent
aBivAnyA	aBivAnyA/?	aBivAnyA^	69,1,69,2 2 entries
aByUQi	aByU/XQi	aByU^Qi	69,1,79,2
aBIti	aBI/?ti	aBI^ti	74,2  74, hom2 is ^; hom1 no accent
aByaYjanya	aByaYjanya/X	aByaYjanya^	75,2
amAvAsya	amA/vAsya/?	amAvAsya^	81,2 amA/ inherited
amuTA	amu/TA+	amu^TA	82,1
araRyenuvAkya	araRye'nuvAkya/X	araRye'nuvAkya^	86,3
ararinda	arari/nda+	arari^nda	87,2
arAqya	arAqya/X	arAqya^	87,2
arkya	arkya/X	arkya^	89,3
arya	arya/?,a/rya	arya^	93,1 hom1 arya/, hom2 arya^, hom3 a/rya
aryamya	aryamya/X	aryamya^	93,2
avawya	avawya/X	avawya^	98,3
avasAnya	avasAnya/X	avasAnya^	105,2
avasvanya	avasvanya/X	avasvanya^	106,2
avArya	avArya/?	avArya^	107,2   a^ hom1 only
azAQa	a/zAQa+	azA^Qa	116,2
ahanya	ahanya/X	ahanya^	124,2
AkAyya	AkAyya/X	AkAyya^	126,3
ANgUzya	ANgUzya/X	ANgUzya^	131,2
AcArya	AcArya/?	AcArya^	131,3,1319,1,132,1    131. 1319 no accent, 132a^
Atapya	Atapya/X	Atapya^	134,2
AtArya	AtArya^,AtArya/?	AtArya^	134,3,135,1
Adya	Adya/?	Adya^	137,1,138,1,138,2  HOM1 a/, hom2 a^ NOT ON 138,2
Ayuzya	Ayuzya/X	Ayuzya^	149,1
ArAttAt	ArA/ttAt+	ArA^ttAt	150,2
AryakumAra	A/ryakumAra+	Arya^kumAra	152,2 A/ is inherited
AryabrAhmaRa	A/ryabrAhmaRa+	Arya^brAhmaRa	152,2 A/ is inherited
AlAwya	AlAwya/X	AlAwya^	153,3
Avya	Avya/X	Avya^	156,3
ASvapas	ASva/?pas	ASva^pas	158,1,159,2    158 a^, 159 no accent
ASvaSva	ASva/XSva	ASva^Sva	158,1
Asanya	Asanya/X	Asanya^	159,3
Asya	Asya/X	Asya^	159,3,160,1,161,3
Ahananya	Ahananya/X	Ahananya^	162,2
AhArya	AhArya/X	AhArya^	163,1
iRqva	iRqva/X	iRqva^	164,3
iriRya	iriRya/X	iriRya^	168,2
izavya	izavya/X	izavya^	168,3
ISAnakft	ISAnakf/+t	ISAnakf^t	171,1
ukTya	ukTya/X	ukTya^	172,1
ukzaRyAyana	ukzaRyA/?yana	ukzaRyA^yana	172,2  (A) 172,1. (B)
ucaTya	ucaTya/X	ucaTya^	172,3
uttarArDya	uttarArDya/X	uttarArDya^	178,3
utsya	utsya/X	utsya^	181,3,183,1
udanya	udanya/?	udanya^	183,3,184,2  #1 ya #2 a^
udIcya	udIcya/X	udIcya^	184,2
udarya	udarya/X	udarya^	184,3
upajijYAsya	upajijYAsya/?	upajijYAsya^	198,2,1322,1  198 ya^, 1322 ya
upadeSya	upadeSya/X	upadeSya^	199,1
upapakzya	upapakzya/X	upapakzya^	201,3
upAtaNkya	upAtaNkya/X	upAtaNkya^	213,1
urvyUti	urvyU/Xti	urvyU^ti	218,1
urvarya	urvarya/?	urvarya^	218,2  urvarya^  AND urva/rya
uzasya	uzasya/?	uzasya^	220,1  #1 ya^, #2 ya
UDanya	UDanya/?	UDanya^	221,2   page 221,1
Urjavya	Urjavya/X	Urjavya^	221,3
UrDvabAhu	UrDva/bAhu+	UrDva/bA^hu	222,2  va/ inherited.
UzmaRya	UzmaRya/X	UzmaRya^	223,1
enasya	enasya/X	enasya^	232,1
okya	okya/X	okya^	235,1
ojasya	ojasya/X	ojasya^	235,2
Ottaravedika	O/+ttaravedika	O^ttaravedika	237,1
kakzya	ka/?kzya	kakzya^	242,1   headword shows ka/; text shows ya^
kanyA	kanyA/X	kanyA^	249,1    
karIra	karI/+ra	karI^ra	255,2
karmaRya	karmaRya/X	karmaRya^	259,3
kAruRya	kAruRya/X	kAruRya^	275,1
kArya	kArya/X	kArya^	276,1,1324,3
kArzmarya	kArzmarya/X	kArzmarya^	277,1
kiMdevatya	kiMdevatya/X	kiMdevatya^	283,1
kulyA	kulyA/X	kulyA^	295,3,296,2
kya	kya/X	kya^	318,3
kyat	kya/Xt	kya^t	318,3
kva	kva/X	kva^	324,2
kvala	kva/Xla	kva^la	324,3
gfhameDya	gfha/+meDya	gfhameDya^	362,2
grAhya	grAhya/X	grAhya^	373,1
Candasya	Candasya/X	Candasya^	405,1
jaGanya	jaGanya/X	jaGanya^	408,3
jantva	ja/+ntva	jantva^	411,2
jAtya	jA/+tya	jAtya^	418,2
jArya	jArya/X	jArya^	419,3
juhvAsya	juhvA/Xsya	juhvA^sya	424,1
jyEzWya	jyE/+zWya	jyE^zWya	427,1
Jaza	Jaza/+	Jaza^	429,1
taNgalva	taNgalva/X	taNgalva^	432,1
tadAnIm	tadA/+nIm	tadA^nIm	434,3
tavasya	tavasya/X	tavasya^	441,1
tArpya	tArpya/+	tArpya^	444,3
tirya	tirya/?	tirya^	447,3,448,1   hom2 ya^
tizya	tizya/X	tizya^	448,3
tfptAMSu	tfptA/+MSu	tfptA^MSu	454,1
tejasya	tejasya/X	tejasya^	454,3
tryakzara	trya/Xkzara	trya^kzara	462,3
tryaNgya	tryaNgya/X	tryaNgya^	463,1
tryambaka	trya/?mbaka	trya^mbaka	463,1,1328,2  1328 NO ACCENT
tryaruRa	trya/XruRa	trya^ruRa	463,1
tryaruza	trya/Xruza	trya^ruza	463,1
tryAvft	tryA/Xvft	tryA^vft	463,1
tryASir	tryA/XSir	tryA^Sir	463,1
tvacasya	tvacasya/X	tvacasya^	463,3
tvezya	tvezya/X	tvezya^	464,2
