TAG	CDSL	CDSLREV	AB	CDSLREV-AB
<lang>A.S.</lang>	1	1	1	0
<lang>Aeol.</lang>	4	4	4	0
<lang>Afghan.</lang>	1	1	1	0
<lang>Angl.-Sax.</lang>	0	2	2	0
<lang>Angl.S.</lang>	0	1	1	0
<lang>Angl.Sax.</lang>	138	129	129	0
<lang>Apabhraṃśa</lang>	7	6	5	1
<lang>Arab.</lang>	4	4	4	0
<lang>Arabic</lang>	14	13	13	0
<lang>Arm.</lang>	3	3	3	0
<lang>Armen.</lang>	6	6	6	0
<lang>Avantī</lang>	1	1	1	0
<lang>Beng.</lang>	2	2	2	0
<lang>Bengālī</lang>	5	6	6	0
<lang>Cambro-Brit.</lang>	5	5	5	0
<lang>Class. Sanskṛt</lang>	1	1	1	0
<lang>Class.</lang>	35	33	32	1
<lang>Dor.</lang>	1	1	1	0
<lang>E.</lang>	0	1	1	0
<lang>Eng.</lang>	201	190	190	0
<lang>Engl.</lang>	9	11	11	0
<lang>English</lang>	16	12	12	0
<lang>Fr.</lang>	4	2	2	0
<lang>French</lang>	2	1	1	0
<lang>Gaël.</lang>	2	3	3	0
<lang>Gaëlic</lang>	1	1	1	0
<lang>Germ.</lang>	218	210	209	1
<lang>Gk.</lang>	518	504	504	0
<lang>Got.</lang>	6	6	6	0
<lang>Goth.</lang>	205	199	199	0
<lang>HGerm.</lang>	8	8	8	0
<lang>Hib.</lang>	54	53	53	0
<lang>Hind.</lang>	5	5	5	0
<lang>Hindī</lang>	8	9	9	0
<lang>Hindūstānī</lang>	2	2	2	0
<lang>Icel.</lang>	3	3	3	0
<lang>Ion.</lang>	1	1	1	0
<lang>Irish</lang>	2	2	2	0
<lang>Jaina Prākṛt</lang>	5	5	5	0
<lang>Kanarese</lang>	3	1	1	0
<lang>Kelt.</lang>	1	1	1	0
<lang>Lat.</lang>	539	526	523	3
<lang>Lett.</lang>	2	2	2	0
<lang>Lit.</lang>	21	19	19	0
<lang>Lith.</lang>	190	181	181	0
<lang>Mahratta</lang>	1	1	1	0
<lang>Mahrattī</lang>	1	1	1	0
<lang>Malayālam</lang>	1	1	1	0
<lang>Marāṭhī</lang>	5	5	5	0
<lang>Mod. Eng.</lang>	3	2	2	0
<lang>Mod. Germ.</lang>	34	33	33	0
<lang>Māgadhī</lang>	3	2	2	0
<lang>Māhārāṣṭrī</lang>	2	2	2	0
<lang>NHGerm.</lang>	1	1	1	0
<lang>O. E.</lang>	3	3	3	0
<lang>O. H. G.</lang>	1	10	10	0
<lang>O. N.</lang>	1	1	1	0
<lang>O. Pers.</lang>	2	2	2	0
<lang>O. Pr.</lang>	1	1	1	0
<lang>O. Pruss.</lang>	1	1	1	0
<lang>O. Slav.</lang>	1	1	1	0
<lang>OGerm.</lang>	1	1	1	0
<lang>OSax.</lang>	1	1	1	0
<lang>Old Germ.</lang>	43	43	43	0
<lang>Old HGerm.</lang>	1	1	1	0
<lang>Old High Germ.</lang>	11	10	10	0
<lang>Old Lat.</lang>	3	3	3	0
<lang>Old Pers.</lang>	4	4	4	0
<lang>Old Persian</lang>	1	1	1	0
<lang>Old Pruss.</lang>	4	5	5	0
<lang>Old S.</lang>	1	1	1	0
<lang>Old Sax.</lang>	6	6	6	0
<lang>Old Slav.</lang>	1	1	1	0
<lang>Osk.</lang>	1	1	1	0
<lang>Osset.</lang>	1	1	1	0
<lang>Paiśācī</lang>	1	1	1	0
<lang>Pers.</lang>	18	17	17	0
<lang>Persian</lang>	14	9	9	0
<lang>Pol.</lang>	1	1	1	0
<lang>Pruss.</lang>	2	1	1	0
<lang>Prācyā</lang>	1	1	1	0
<lang>Prākṛ.</lang>	3	11	9	2
<lang>Prākṛt</lang>	233	227	231	-4
<lang>Pāli</lang>	32	31	31	0
<lang>Russ.</lang>	11	11	11	0
<lang>Sanskṛt-Persian</lang>	1	1	1	0
<lang>Sanskṛt-Tibetan</lang>	1	1	1	0
<lang>Sanskṛt</lang>	42	42	42	0
<lang>Saṃskṛt</lang>	7	7	7	0
<lang>Sinhalese</lang>	1	1	1	0
<lang>Sk.</lang>	2	2	2	0
<lang>Sl.</lang>	3	2	2	0
<lang>Slav.</lang>	112	111	111	0
<lang>Tamil</lang>	4	3	3	0
<lang>Telugu</lang>	3	2	2	0
<lang>Tulu</lang>	1	1	1	0
<lang>Umbr.</lang>	1	1	1	0
<lang>Ved.</lang>	634	632	604	28
<lang>W.</lang>	0	1	1	0
<lang>Z.</lang>	1	1	1	0
<lang>Zd.</lang>	149	140	139	1
<lang>Zend</lang>	12	20	21	-1
<lang>class. Sanskṛt</lang>	6	6	6	0
<lang>class.</lang>	8	8	8	0
<lang>classical Sanskṛt</lang>	17	17	17	0
<lang>later Sanskṛt</lang>	7	7	7	0
<lang>later Skr.</lang>	1	1	1	0
<lang>medieval Lat.</lang>	1	1	1	0
<lang>modern Sanskṛt</lang>	1	1	1	0
<lang>old Prākṛt</lang>	2	1	1	0
<lang>ved.</lang>	6	6	6	0
<lang>Śaurasenī</lang>	2	2	2	0
<lang>Śākārī</lang>	1	1	1	0
