aMSaBU	a/MSaBU/	aMSaBU/
UrDvasAna	UrDva/sAna/	UrDvasAna/
UzmaRya	UzmaRya/	UzmaRya^
ftacit	fta/ci/t	ftaci/t
ftajA	fta/jA/	ftajA/
ftajAta	fta/jA/ta	ftajA/ta
ftajAtasatya	fta/jA/tasatya	fta/jAtasatya
ftajit	fta/ji/t	ftaji/t
ftajur	fta/ju/r	ftaju/r
ftajYA	fta/jYA	ftajYA/
ftapA	fta/pA/	ftapA/
ftayuj	fta/yuj	ftayu/j
ftavAka	fta/vAka/	ftavAka/
ftavAdin	fta/vAdi/n	ftavAdi/n
ftasad	fta/sa/d	ftasa/d
ftasadana	fta/sa/dana	ftasa/dana
ftastuB	fta/stu/B	ftastu/B
ftasTA	fta/sTA/	ftasTA/
ftaspfS	fta/spf/S	ftaspf/S
ftekarmam	ftekarma/m,fte/karma/m	ftekarma/m
ftugraha	ftu/graha/	ftugraha/
ftupati	ftu/pa/ti	ftupa/ti
ftupA	ftu/pA/	ftupA/
ftupAtra	ftu/pAtra/	ftupAtra/
ftumaya	ftu/ma/ya	ftuma/ya
ftumuKa	ftu/mu/Ka	ftumuKa/
ftuSas	ftu/Sa/s	ftu\Sa/s
ftuzWA	ftu/zWA/	ftuzWA/
ftviya	ftvi/ya	ftvi/ya,f/tviya
fgmiya	fgmi/ya	fgmi/ya,f/gmiya
fjukratu	fju/kratu/	fjukra/tu
fjuga	fju/ga/	fjuga/
fjuDA	fju/DA/	fjuDA/
fjunIti	fju/nIti/	fjunIti/
fjumuzka	fju/muzka/	fjumuzka/
fjuvani	fju/va/ni	fjuva/ni
fjuhasta	fju/ha/sta	fjuha/sta
fjra	fjra/	fjra/,f/jra
fRacit	fRa/ci/t	fRaci/t
fRacyut	fRa/cyu/t	fRacyu/t
fRaMcaya	fRa/Mcaya	fRaMcaya/
fRayA	fRa/yA/	fRayA/
fRayAt	fRa/yAt	fRayA/t
fRayAvan	fRa/yA/van	fRayA/van
fRavan	fRa/va/n	fRava/n
fDak	f/Dak	f/Dak,fDa/k
fSyada	f/Syada/	fSyada/
fzaBatara	fzaBa/tara	fzaBatara/
fzaBadAyin	fzaBa/dAyi/n	fzaBadAyi/n
fzikft	f/zikft	fzikf/t
fzicodana	f/zico/dana	fzico/dana
fzidviz	f/zidvi/z	fzidvi/z
fzivat	f/ziva/t	fziva/t
fzizah	f/zizah	fziza/h
fzisvara	f/zisvara/	fzisvara/
ekaja	e/kaja/	ekaja/
ekatama	e/katama/	ekatama/
ekatara	e/katara	ekatara/
ekatA	e/katA	eka/tA
ekatriMSa	e/katriMSa	ekatriMSa/
ekadevatya	e/kadevatya/	ekadeva/tya
ekadyU	e/kadyU/	ekadyU/
ekaDana	e/kaDana/	ekaDana/,e/kaDana
ekaDanavid	e/kaDana/vi/d	ekaDanavi/d
ekaDanin	e/kaDanin	ekaDani/n
ekaDurIRa	e/kaDurIRa	ekaDu/rIRa
ekanakzatra	e/kanakzatra/	ekanakzatra/
ekapad	e/kapa/d	e/kapad
ekapadi	e/kapadi	ekapadi/
ekapara	e/kapara/	ekapara/
ekayAvan	e/kayA/van	ekayA/van
ekarAj	e/karAj	ekarA/j
ekarAtra	e/karAtra	ekarAtra/
ekarca	e/karca/	ekarca/
ekartu	e/kartu/	ekartu/
ekarzi	e/karzi	ekarzi/
ekavacana	e/kavacana/	ekavacana/
ekavAdyA	e/kavAdyA/	ekavAdyA/
ekaviMSa	e/kaviMSa/	ekaviMSa/
ekaviMSastoma	e/kaviMSa/stoma	ekaviMSa/stoma
ekaviMSatiDA	e/kaviMSatiDA/	ekaviMSatiDA/
ekavIra	e/kavIra/	ekavIra/
ekavft	e/kavf/t	ekavf/t
ekavfza	e/kavfza/	ekavfza/
ekavrAtya	e/kavrAtya/	ekavrAtya/
ekaSAlika	e/kaSAlika	ekaSAlika/
ekazazwa	e/kazazwa/	ekazazwa/
ekasaBa	e/kasaBa/	ekasaBa/
ekasTa	e/kasTa/	ekasTa/
ekahaMsa	e/kahaMsa/	ekahaMsa/
ekAkzara	ekAkzara/	e/kAkzara,ekAkzara/
ekAdaSa	ekAdaSa/,e/kAdaSa	ekAdaSa/
enasvin	e/nasvi/n	enasvi/n
enasya	enasya/	enasya^
evayA	e/vayA/	evayA/
evayAmarut	e/vayA/marut	evayA/marut
evayAvan	e/vayA/van	evayA/van
evaMvid	eva/Mvi/d	evaMvi/d
evaMkratu	eva/Mkratu/	evaMkratu/
ElabakAra	Elaba/kAra/	ElabakAra/
Ezamastana	Eza/mastana	Ezama/stana
okya	okya/	okya^
ojasvin	o/jasvi/n	ojasvi/n
ojasya	ojasya/	ojasya^
odanapAkI	odana/pAkI	odanapAkI/
ozaDija	o/zaDija/	ozaDija/
ozWajAha	o/zWajAha	ozWajAha/
OkzRa	O/kzRa	OkzRa/
Ottaravedika	O/ttaravedika	O^ttaravedika
kakza	ka/kza	ka/kza,kakza/
kakzya	ka/kzya	ka/kzya,kakzya^
kawaprU	ka/waprU	kawaprU/
kaqaMkarIya	kaqa/MkarIya	kaqaMkarI/ya
kaRWadaGna	kaRWa/daGna/	kaRWadaGna/
kaRvajamBana	ka/Rvaja/mBana	kaRvaja/mBana
kadru	ka/dru,kadrU/	ka/dru,kadru/
kanInaka	kanInaka/	kanI/naka
kanyA	kanyA/	kanyA^,kanyA/
kamala	ka/mala	kama/la,ka/mala
kamalaKaRqa	ka/malaKaRqa	kamalaKa/Rqa
kara	kara/	kara/,ka/ra
karaRa	ka/raRa	karaRa/,ka/raRa
karaYjaha	ka/raYjaha/	karaYjaha/
karIra	karI/ra	karI^ra
karRajAha	ka/rRajAha	karRajAha/
karRavezwakIya	ka/rRavezwakIya	karRavezwakI/ya
karRaSUla	ka/rRaSUla/	karRaSUla/
karRaSoBana	ka/rRaSo/Bana	karRaSo/Bana
kartavya	ka/rtavya	karta/vya
karmaRya	karmaRya/	karmaRya^
karvara	ka/rvara	ka/rvara,karvara/
kalaSadir	kala/Sadi/r	kalaSadi/r
kalA	kalA/	ka/lA
kali	ka/li	ka/li,kali/
kavacapASa	ka/vacapASa/	kavacapASa/
kavicCad	kavi/cCa/d	kavicCa/d
kavitva	kavi/tva/	kavitva/
kavitvana	kavi/tvana/	kavitvana/
kavipraSasta	kavi/praSasta/	kavipraSasta/
kavivfDa	kavi/vfDa/	kavivfDa/
kaviSasta	kavi/Sasta/	kaviSasta/
kARqa	kA/Rqa	kA/Rqa,kARqa/
kAmacaraRa	kA/macaraRa/	kAmacaraRa/
kAmacAra	kA/macAra	kAmacAra/
kAmaduGa	kA/madu/Ga	kAmadu/Ga
kAmaDaraRa	kA/maDa/raRa	kAmaDa/raRa
kAmapra	kA/mapra,kA/mapra/	kAmapra/
kAmapraSna	kA/mapraSna/	kAmapraSna/
kAmamaya	kA/mama/ya	kAmama/ya
kAmarUpin	kA/marUpi/n	kAmarUpi/n
kAya	kAya/	kAya/,kA/ya
kAruRya	kAruRya/	kAruRya^
kArya	kArya/	kArya^
kArzmarya	kArzmarya/	kArzmarya^
kASi	kASi/	kA/Si
kAzWa	kAzWa/	kA/zWa
kiMdevatya	kiMdevatya/	kiMdevatya^
kilAsanASana	kilA/sanA/Sana	kilAsanA/Sana
kilAsaBezaja	kilA/saBezaja/	kilAsaBezaja/
kilbizaspft	ki/lbizaspf/t	kilbizaspf/t
kIricodana	kIri/co/dana	kIrico/dana
kIlAla	kIlA/la,kIlA/la/	kIlA/la
kIlAlapA	kIlA/lapA/	kIlAlapA/
kukkuwakanTa	kukkuwa/kanTa	ku/kkuwakanTa
kutsaputra	ku/tsaputra/	kutsaputra/
kutsavatsa	ku/tsavatsa/	kutsavatsa/
kumArahArita	kumAra/hArita/	kumArahArita/
kumudaKaRqa	ku/mudaKaRqa	kumudaKa/Rqa
kumBamaRqUka	kumBa/maRqUka	ku/mBamaRqUka
kurIra	kurI/ra	kurI/ra,ku/rIra
kurukzetra	ku/rukzetra/	kurukzetra/
kurugArhapata	ku/rugArhapata	kuru/gArhapata
kuruSravaRa	ku/ruSra/vaRa	kuruSra/vaRa
kulagopa	ku/lagopa/	kulagopa/
kulyA	kulyA/	kulyA/,kulyA^
kftapUrvin	kfta/pUrvin	kftapUrvi/n
kftasTalA	kfta/sTalA/	kftasTalA/
kfti	kf/ti	kf/ti,kfti/
kftyAkft	kftyA/kf/t	kftyAkf/t
kftyAdUzaRa	kftyA/dU/zaRa	kftyAdU/zaRa
kftyAdUzi	kftyA/dU/zi	kftyAdU/zi
kftsnahfdaya	kftsna/hf/daya	kftsnahf/daya
kfdara	kf/dara	kf/dara,kfdara/
kfDukarRa	kfDu/ka/rRa	kfDuka/rRa
kfpanILa	kfpa/nILa,kf/panILa	kfpa/nILa
kfpA	kf/pA	kfpA/
kfpaRa	kfpaRa/,kfpa/Ra	kfpaRa/,kfpa/Ra,kf/paRa
kfpaRakASin	kfpaRa/kASin	kfpaRakASi/n
kfmuka	kfmuka/	kfmu/ka
kfzwiprA	kfzwi/prA/	kfzwiprA/
kfzwihan	kfzwi/ha/n	kfzwiha/n
kfzRakarRa	kfzRa/ka/rRa	kfzRaka/rRa
kfzRadra	kfzRa/dra/	kfzRadra/
kfzRaprut	kfzRa/pru/t	kfzRapru/t
kfzRaBUma	kfzRa/BUma	kfzRaBUma/
kfzRavizARA	kfzRa/vizARA/	kfzRavizARA/
kfzRaSakuni	kfzRa/Sakuni/	kfzRaSakuni/
kfzRala	kfzRa/la	kfzRala/
ketapU	ke/tapU/	ketapU/
keSajAha	ke/SajAha	keSajAha/
keSadfMhaRa	ke/Sadf/MhaRa	keSadf/MhaRa
keSavapanIya	ke/SavapanIya	keSavapanI/ya
keSavarDana	ke/Sava/rDana	keSava/rDana
kESorya	kE/Sorya	kESorya/
koza	koza/	ko/za,koza/
kOlAlacakra	kOlAla/cakra/	kOlAlacakra/
kOzItakeya	kO/zItakeya	kOzItakeya/
kya	kya/	kya^
kyat	kya/t	kya^t
kratujit	kra/tuji/t	kratuji/t
kratupA	kra/tupA/	kratupA/
kratuprA	kra/tuprA/	kratuprA/
kratuprAvan	kra/tuprA/van	kratuprA/van
kratumaya	kra/tuma/ya	kratuma/ya
kratuvid	kra/tuvi/d	kratuvi/d
kratusTalA	kra/tusTalA/	kratusTalA/
kramaRa	kra/maRa	krama/Ra
kravyavAhana	kravya/vA/hana	kravyavA/hana
krayavikrayika	kraya/vikrayika	kra/yavikrayika
kroDamaya	kro/Dama/ya	kroDama/ya
kroSa	kro/Sa	kroSa/
krUrakarman	krUra/karma/n	krUrakarma/n
krUrakft	krUra/kf/t	krUrakf/t
kva	kva/	kva^
kvala	kva/la	kva^la
kzatraBft	kzatra/Bft	kzatraBf/t
kzatrayoga	kzatra/yoga/	kzatrayoga/
kzatravani	kzatra/va/ni	kzatrava/ni
kzatravarDana	kzatra/va/rDana	kzatrava/rDana
kzatraSrI	kzatra/SrI/	kzatraSrI/
kzamAcara	kzamA/cara/	kzamAcara/
kziptaBezaja	kzipta/Bezaja	kziptaBezaja/
kzipraSyena	kzipra/Syena/	kzipraSyena/
kzIrapAka	kzIra/pAka/	kzIrapAka/
kzIraSrI	kzIra/SrI/	kzIraSrI/
kzuraDAna	kzura/DAna/	kzuraDAna/
kzetrI	kze/trI/	kzetrI/
kzetrajeza	kze/trajeza/	kzetrajeza/
kzetrajYa	kze/trajYa/	kzetrajYa/
kzetravid	kze/travi/d	kzetravi/d
kzetrasADas	kze/trasA/Das,kzetrasA/Das	kzetrasA/Das
kzetriyanASana	kzetriya/nA/Sana	kzetriyanA/Sana
kzEtra	kzE/tra,kzEtra/	kzEtra/,kzE/tra
kzEtrapatya	kzE/trapatya,kzE/trapatya/	kzEtrapatya/,kzE/trapatya
Kajakft	Ka/jakf/t	Kajakf/t
KajaMkara	Ka/jaMkara/	KajaMkara/
Kaqga	Kaqga/	Ka/qga
Karajru	Ka/rajru	Kara/jru
Karamajra	Ka/ramajra/	Karamajra/
KarvavAsin	Karva/vAsi/n	KarvavAsi/n
Kalaja	Ka/laja/	Kalaja/
KalapU	Ka/lapU	KalapU/
KAdihasta	KAdi/hasta	KA/dihasta
KAdira	KAdira/	KA/dira
gaRapAda	gaRa/pAda	ga/RapAda
gaRaSas	gaRa/Sa/s	gaRaSa/s
gaRaSrI	gaRa/SrI/	gaRaSrI/
ganDarvartu	ganDarva/rtu/	ganDarvartu/
gataSrI	gata/SrI	gataSrI/
gayasADana	ga/yasA/Dana	gayasA/Dana
gayasPAna	ga/yasPA/na	gayasPA/na
gartasad	ga/rtasa/d	gartasa/d
gartamit	ga/rtamit	gartami/t
gardaBanAdin	gardaBa/nAdi/n	gardaBanAdi/n
garBakaraRa	ga/rBaka/raRa	garBaka/raRa
garBatva	ga/rBatva/	garBatva/
garBaDa	ga/rBaDa/	garBaDa/
garBaDi	ga/rBaDi/	garBaDi/
gavya	ga/vya	ga/vya,gavya/
gavyA	ga/vyA,gavyA/	gavyA/
gAtuvid	gAtu/vi/d	gAtuvi/d
girvaRasyu	gi/rvaRasyu/	girvaRasyu/
girikzit	giri/kzi/t	girikzi/t
giricara	giri/cara/	giricara/
girija	giri/ja	girija/
giritra	giri/tra/	giritra/
giribuDna	giri/buDna	giribuDna/
giriBraj	giri/Bra/j	giriBra/j
giriSa	giri/Sa	giriSa/
giriSaya	giri/Saya/	giriSaya/
girizWA	giri/zWA/	girizWA/
guruBft	guru/Bf/t	guruBf/t
gulPajAha	gulPa/jAha	gulPajAha/
guhA	guhA/,gu/hA	gu/hA
gfDrasad	gf/Drasa/d	gfDrasa/d
gfhapa	gfha/pa/	gfhapa/
gfhameDa	gfha/meDa/	gfhameDa/
gfhameDin	gfha/meDi/n	gfhameDi/n
gfhameDIya	gfha/meDI/ya	gfhameDI/ya
gfhameDya	gfha/meDya	gfhameDya^
gfharAja	gfha/rAja/	gfharAja/
goajana	go/a/jana	goa/jana
goarGa	go/arGa/	goarGa/
gokzIra	go/kzIra/	gokzIra/
gogozWa	go/gozWa	gogozWa/
goGAta	go/GAta/	goGAta/
goGna	go/Gna/	goGna/
gojA	go/jA/	gojA/
gojit	go/ji/t	goji/t
gotra	go/tra/,gotra/	gotra/
gotraBid	go/tra/Bi/d	gotraBi/d
godA	go/dA,go/dA/	godA/
godAna	go/dAna,go/dA/na,godA/na	godA/na
goduh	go/du/h,godu/h	godu/h
goDA	go/DA/,goDA/	goDA/
goDUma	go/DU/ma,goDU/ma	goDU/ma
gonasa	go/nasa	gonasa/
gopa	go/pa/,gopa/	gopa/
gopavana	go/pa/vana	gopa/vana
gopA	go/pA/,gopA/	gopA/
gopAla	go/pAla/	gopAla/
gopITa	go/pITa/	gopITa/
gopITya	go/pI/Tya	gopI/Tya
gopoza	go/poza/	gopoza/
gobala	go/bala/	gobala/
goBAj	go/BA/j	goBA/j
gomaya	go/ma/ya,go/maya	goma/ya
gomAyu	go/mAyu	go/mAyu,gomAyu/
gomin	go/min	gomi/n
gomfga	go/mfga/	gomfga/
goyuga	go/yuga	goyuga/
gorUpa	go/rUpa/	gorUpa/
golattikA	go/la/ttikA,gola/ttikA	gola/ttikA
govikarta	go/vikarta/	govikarta/
govid	go/vi/d,govi/d	govi/d
govindu	go/vindu/	govindu/
govfza	go/vfza	govfza/
govyacCa	go/vyacCa/	govyacCa/
goSaPa	go/SaPa/	goSaPa/
goSva	go/'Sva/	go'Sva/
gozaRi	go/za/Ri	goza/Ri
gozan	go/za/n	goza/n
gozA	go/zA/	gozA/
gozAdI	go/zAdI/	gozAdI/
gozeDA	go/zeDA/	gozeDA/
gozWa	go/zWa/,go/zWa,gozWa/	gozWa/
gozWaSva	go/zWa/Sva	gozWaSva/
gozWAna	go/zWA/na	gozWA/na
gosattra	go/sattra/	gosattra/
gosava	go/sava/	gosava/
gohan	go/ha/n	goha/n
gOramfga	gOra/mfga/	gOramfga/
gOrasakTa	gOra/sakTa	gOrasakTa/
grahaRI	gra/haRI	grahaRI/
grABa	grABa/	grA/Ba
grAhya	grAhya/	grAhya^
grAmaGozin	grA/maGozi/n	grAmaGozi/n
grAmajit	grA/maji/t	grAmaji/t
grAmaRI	grA/maRI/	grAmaRI/
grAmatakza	grA/matakza	grAmatakza/
grAmatA	grA/matA	grAma/tA
grAmaraTyA	grA/maraTyA	grAmaraTyA/
grAmaRIya	grA/maRIya	grAmaRI/ya
grAmyavAdin	grAmya/vAdi/n	grAmyavAdi/n
GarmaduGa	Garma/du/Ga	Garmadu/Ga
Garmaduh	Garma/du/h	Garmadu/h
GarmapAvan	Garma/pA/van	GarmapA/van
Garmasad	Garma/sa/d	Garmasa/d
GarmastuB	Garma/stu/B	Garmastu/B
Gozin	Gozi/n,Go/zi/n	Gozi/n
Gfta	Gfta/	Gf/ta/
GftakOSika	Gfta/kOSika/	GftakOSika/
Gftaduh	Gfta/du/h	Gftadu/h
GftapAvan	Gfta/pA/van	GftapA/van
GftapU	Gfta/pU/	GftapU/
Gftapfc	Gfta/pf/c	Gftapf/c
GftaprI	Gfta/prI/	GftaprI/
Gftapruz	Gfta/pruz	Gftapru/z
GftaScut	Gfta/Scu/t	GftaScu/t
GftaScyut	Gfta/Scyu/t	GftaScyu/t
GftaSrI	Gfta/SrI/	GftaSrI/
Gftasad	Gfta/sa/d	Gftasa/d
GftastU	Gfta/stU/	GftastU/
GftasnA	Gfta/snA/	GftasnA/
Gftasnu	Gfta/snu/,Gfta/snu	Gftasnu/,Gfta/snu
GrAtavya	GrAtavya^	GrAta/vya
cakramAsaja	cakra/mAsaja/	cakramAsaja/
cakravAka	cakra/vAka/	cakravAka/
cakrasakTa	cakra/sakTa	cakrasakTa/
caRqa	ca/Rqa	caRqa/
caturTa	caturTa/	caturTa/,ca/turTa
camUzad	camU/za/d	camUza/d
carzaRiprA	carzaRi/prA/	carzaRiprA/
citpati	ci/tpa/ti	citpa/ti
citradfSIka	citra/df/SIka	citradf/SIka
cetyA	ce/tyA/	cetyA/
coda	co/da,co/da/	co/da,coda/
codapravfdDa	co/dapravfdDa	coda/pravfdDa
Candasya	Candasya/	Candasya^
CAyAmaya	CAyA/ma/ya	CAyAma/ya
jaGanya	jaGanya/	jaGanya/,jaGanya^
jana	ja/na	ja/na,jana/
janaMsaha	ja/naMsaha/	janaMsaha/
janapada	ja/napada/	janapada/
janaBakza	ja/naBakza/	janaBakza/
janaBft	ja/naBf/t	janaBf/t
janamejaya	ja/namejaya/	janamejaya/
janayopana	ja/nayo/pana	janayo/pana
janarAj	ja/narA/j	janarA/j
janarAjan	ja/narA/jan	janarA/jan
janavAdin	ja/navAdi/n	janavAdi/n
janaSrI	ja/naSrI/	janaSrI/
jani	ja/ni	ja/ni,jani/
janitva	ja/nitva/,ja/nitva	ja/nitva,janitva/
janitvana	ja/nitvana/	janitvana/
janidA	ja/nidA/	janidA/
janiDA	ja/niDA/	janiDA/
jantva	ja/ntva	jantva^
jarA	ja/rA/,jarA/	jarA/
jaradviz	ja/radvi/z,jaradvi/z	jaradvi/z
jaratkakza	ja/ratkakza/	jaratkakza/
jarAyuja	jarA/yuja/,jarAyuja/	jarAyuja/
jalasarasa	jala/sarasa	jalasarasa/
ja|u	ja/|u	ja|u/
javas	ja/vas,java/s	ja/vas
jAtavidyA	jAtavidyA/,jAta/vidyA/	jAtavidyA/
jAtavedasIya	jAta/vedasI/ya	jAtavedasI/ya
jAtya	jA/tya	jAtya^
jAnuprahftika	jA/nuprahftika	jAnuprahftika/
jAmikft	jAmi/kf/t	jAmikf/t
jAmitva	jAmi/tva/	jAmitva/
jAmiSaMsa	jAmi/SaMsa/	jAmiSaMsa/
jAra	jA/ra,jA/ra/	jA/ra,jAra/
jArya	jArya/	jArya^
jihmaSI	jihma/SI	jihmaSI/
jihvAmUla	jihvA/mUla/	jihvAmUla/
jihvAmUlIya	jihvA/mUlIya	jihvAmUlI/ya
jIvagfB	jIva/gfB	jIvagf/B
jIvagraha	jIva/graha/	jIvagraha/
jIvapurA	jIva/purA/	jIvapurA/
jIvaBojana	jIva/Bo/jana	jIvaBo/jana
jIvayAja	jIva/yAja/	jIvayAja/
jIvaloka	jIva/loka/	jIvaloka/
jIvaSaMsa	jIva/SaMsa/	jIvaSaMsa/
jIvitayopana	jIvita/yo/pana	jIvitayo/pana
juhvAsya	juhvA/sya	juhvA^sya
jozavAka	jo/zavAka	jozavAka/
jYAtiputra	jYAti/putra	jYAtiputra/
jYAtimuKa	jYAti/muKa/	jYAti/muKa
jyezWaGnI	jye/zWaGnI/	jyezWaGnI/
jyezWatas	jye/zWata/s	jyezWata/s
jyezWatAti	jye/zWa/tAti	jyezWa/tAti
jyezWayajYa	jye/zWayajYa/	jyezWayajYa/
jyezWarAj	jye/zWarA/j	jyezWarA/j
jyezWavara	jye/zWavara/	jyezWavara/
jyEzWya	jyE/zWya	jyE^zWya
jyAkAra	jyA/kAra/	jyAkAra/
jyAGoza	jyA/Goza/	jyAGoza/
jyApASa	jyA/pASa/	jyApASa/
Jaza	Jaza/	Jaza^
wvala	wva/la	wvala/
tatama	ta/tama	tatama/
tatara	ta/tara	tatara/
takarI	takarI/,ta/karI	takarI/
takman	ta/kman,takma/n	takma/n,ta/kman
taNgalva	taNgalva/	taNgalva^
tatiDA	ta/tiDA/	tatiDA/
tadidarTa	ta/di/darTa	tadi/darTa
tadvaSa	ta/dvaSa/	tadvaSa/
tadvid	ta/dvi/d	tadvi/d
tadAnIm	tadA/nIm	tadA^nIm
tanUkft	tanU/kf/t	tanUkf/t
tanUkfTa	tanU/kfTa/	tanUkfTa/
tanUja	tanU/ja/	tanUja/
tanUtyaj	tanU/tya/j	tanUtya/j
tanUdUzi	tanU/dU/zi	tanUdU/zi
tanUpA	tanU/pA/	tanUpA/
tanUpAna	tanU/pA/na	tanUpA/na
tanUbala	tanU/bala/	tanUbala/
tanUruc	tanU/ru/c	tanUru/c
tanUvaSin	tanU/vaSi/n	tanUvaSi/n
tanti	tanti/	ta/nti,tanti/
tanticara	tanti/cara/	tanticara/
tantipAla	tanti/pAla	ta/ntipAla
tapasvin	ta/pasvi/n	tapasvi/n
taptarahasa	tapta/rahasa	taptarahasa/
taraRitva	tara/Ritva/	taraRitva/
taras	ta/ras,ta/ra/s	ta/ras,tara/s
tarasvin	ta/rasvi/n	tarasvi/n
taru	ta/ru	ta/ru,taru/
tarda	tarda/	ta/rda
talpaSIvan	ta/lpaSI/van	talpaSI/van
tavasya	tavasya/	tavasya^
tAjadBaNga	tAja/dBa/Nga	tAja/dBaNga
tAmraDUmra	tAmra/DUmra/	tAmraDUmra/
tArpya	tArpya/	tArpya^
tirya	tirya/	tirya^
tila	ti/la	tila/
tilakawa	ti/lakawa	tilakawa/
tilatEla	ti/latEla	tilatEla/
tilapiYja	ti/lapiYja	tilapi/Yja
tilapeja	ti/lapeja	tilape/ja
tilamaya	ti/lamaya	tilama/ya
tilamiSra	ti/lamiSra	tila/miSra
tilavatsa	ti/lavatsa	tila/vatsa
tilavratin	ti/lavratin	tilavrati/n
tizya	tizya/	tizya^
tizyapunarvasavIya	tizya/punarvasavIya	tizyapunarvasavI/ya
tIvrasut	tIvra/su/t	tIvrasu/t
tIvrasoma	tIvra/soma/	tIvrasoma/
tura	tura/	tu/ra,tura/
turaMgaskanDa	tura/MgaskanDa	turaMgaskanDa/
turayA	tura/yA/	turayA/
turParItu	turPa/rItu	tu/rParItu
tuvikUrmi	tuvi/kUrmi/	tuvikUrmi/
tuvikza	tuvi/kza/	tuvikza/
tuvikzatra	tuvi/kzatra/	tuvikzatra/
tuvigra	tuvi/gra/,tuvigra/	tuvigra/
tuvigrABa	tuvi/grABa/	tuvigrABa/
tuvigri	tuvi/gri/	tuvigri/
tuvigrIva	tuvi/grI/va	tuvigrI/va
tuvijAta	tuvi/jAta/	tuvijAta/
tuvidyumna	tuvi/dyumna/	tuvidyumna/
tuvinfmRa	tuvi/nfmRa/	tuvinfmRa/
tuviprati	tuvi/prati/	tuviprati/
tuvibADa	tuvi/bADa/	tuvibADa/
tuvimAtra	tuvi/mAtra/	tuvimAtra/
tuvimrakza	tuvi/mrakza/	tuvimrakza/
tuvirADas	tuvi/rA/Das	tuvirA/Das
tuviSuzma	tuvi/Su/zma	tuviSu/zma
tuvizvaRas	tuvi/zvaRa/s	tuvizvaRa/s
tuvizvaRi	tuvi/zva/Ri	tuvizva/Ri
tuvizvan	tuvi/zva/n	tuvizva/n
tURavaDma	tU/RavaDma/	tURavaDma/
tUtuji	tU/tuji,tU/tuji/	tU/tuji
tfRakARqa	tf/RakARqa	tfRakA/Rqa
tfRajamBan	tf/RajamBan	tfRajamBa/n
tfRajalAyukA	tf/RajalAyukA/	tfRajalAyukA/
tfRamaya	tf/Ramaya	tfRama/ya
tfRaskanda	tf/Raskanda/,tfRaskanda/	tfRaskanda/
tftIyasavana	tftI/yasavana/	tftIyasavana/
tfptAMSu	tfptA/MSu	tfptA^MSu
tfpradaMSin	tfpra/daMSi/n	tfpradaMSi/n
tfzucyavas	tfzu/cya/vas	tfzucya/vas
tfzucyut	tfzu/cyu/t	tfzucyu/t
tfzRAmAra	tf/zRAmAra/	tfzRAmAra/
tejasvin	te/jasvi/n	tejasvi/n
tejasya	tejasya/	tejasya^
tyajas	tya/jas,tya/ja/s	tya/jas,tyaja/s
tyAga	tyAga/	tyA/ga
trayastriMSa	tra/yastriMSa/	trayastriMSa/
trayastriMSastoma	tra/yastriMSa/stoma	trayastriMSa/stoma
trayastriMSin	tra/yastriMSi/n	trayastriMSi/n
trayIvida	trayI/vida/	trayIvida/
trayodaSa	tra/yodaSa,tra/yodaSa/	trayodaSa/
trayodaSaDA	tra/yodaSaDA/	trayodaSaDA/
trayoviMSatiDA	tra/yoviMSatiDA/	trayoviMSatiDA/
trikakud	tri/kaku/d	trikaku/d
trikakuB	tri/kaku/B	trikaku/B
tricatura	tri/catura	tricatura/
tricatvAriMSa	tri/catvAriMSa	tricatvAriMSa/
tricit	tri/ci/t	trici/t
triRava	tri/Rava/	triRava/
tridaSa	tri/daSa	tridaSa/
tridiva	tri/diva/	tridiva/
trinavata	tri/navata	trinavata/
trinAka	tri/nAka/	trinAka/
tripaYcASa	tri/paYcASa/	tripaYcASa/
tripad	tri/pa/d	tripa/d
tripuruza	tri/puruza,tri/puruza/	tripuruza/
triBuj	tri/Bu/j	triBu/j
triBUma	tri/BUma	triBUma/
trirAtra	tri/rAtra/	trirAtra/
trivatsa	tri/vatsa/	trivatsa/
trivartu	tri/va/rtu	triva/rtu
trivft	tri/vf/t	trivf/t
trivfttA	tri/vf/ttA	trivf/ttA
triSata	tri/Sata/	triSata/
triSIrzan	tri/SIrza/n	triSIrza/n
triSukra	tri/Sukra	triSukra/,tri/Sukra
triSuc	tri/Su/c	triSu/c
triSoka	tri/So/ka	triSo/ka
trizaMyukta	tri/zaMyukta/	trizaMyukta/
trizaDasTa	tri/zaDasTa/	trizaDasTa/
trizapta	tri/zapta/	trizapta/
trizazwa	tri/zazwa	trizazwa/
trizwupCandas	tri/zwu/pCandas	trizwu/pCandas
trizwuB	tri/zwu/B	trizwu/B
trizWa	tri/zWa/	trizWa/
trizWin	tri/zWi/n	trizWi/n
trisaptata	tri/saptata	trisaptata/
triMSattama	triMSa/ttama/	triMSattama/
tristAvA	tri/stAvA	tristAvA/
trEvaRIya	trE/vaRIya	trEvaRI/ya
tryakzara	trya/kzara	trya^kzara
tryaNgula	tryaNgula/,trya/Ngula/	tryaNgula/
tryaNgya	tryaNgya/	tryaNgya^
tryambaka	trya/mbaka	trya^mbaka
tryaruRa	trya/ruRa	trya^ruRa
tryaruza	trya/ruza	trya^ruza
tryAvft	tryA/vft	tryA^vft
tryASir	tryA/Sir	tryA^Sir
tvAyA	tvAyA/	tvA/yA
tvacasya	tvacasya/	tvacasya^
