id,stratum,k1_slp1,dcs2026_tokens,ls_citations,mw_gloss,n_dcs_occ_shown
H001,hedge,tApyaka,14,L.,"tApyaka n. = ˚pI-samudBava, L.",4
H002,hedge,asveda,17,L. | L.,"a-sveda mfn. not perspiring, L. || a-sveda m. suppressed perspiration, L.",4
H003,hedge,sUkzmElA,19,L.,"sUkzmElA f. small cardamoms, L.",4
H004,hedge,yaSomatI,22,L.,"yaSo—matI f. N. of the third lunar night, L.",4
H005,hedge,samuKa,78,L.,"sa-muKa mfn. ‘mouthy’, talkative, loquacious, eloquent, L.",4
H006,hedge,nigala,38,L.,"ni-gala m. n. = ni-gaqa above, L.",4
H007,hedge,amalA,10,L. | L. | L. | L.,"a-malA f. N. of the goddess Lakṣmī, L. || (amarA, q.v.) the umbilical cord, L. || the tree Emblica Officinalis Gaertn., L. || the plant Saptalā, L.",4
H008,hedge,aR,61,L. | L.,"aR cl. 1. P. aRati, ARa, aRitum, to sound, L. : cl. 4. Ā. aRyate, to breathe, (another form of √ an, q.v.; in this sense regarded in the Dhātu-pāṭha as a distinct root), L.",4
H009,hedge,kAntaloha,58,L.,"kAnta—loha n. the loadstone, L.",4
H010,hedge,GoRwA,10,L. | L.,"GoRwA f. a kind of jujube, L. || the betel-nut tree, L.",4
H011,hedge,matsyAkzI,48,L. | L. | L. | L.,"matsyAkzI f. = prec. m., L. || Hingcha Repens, L. || Solanum Indicum, L. || a kind of grass (= gaRqa-dUrvA), L.",4
H012,hedge,maRqUra,39,L.,"maRqUra n. rust of iron, L.",4
H013,hedge,kzIrakanda,40,L.,"kzIra—kanda m. Batatus paniculata, L.",4
H014,hedge,bIjavara,18,L.,"bIja—vara m. ‘best of grains’, Phaseolus Radiatus, L.",4
H015,hedge,pItadru,11,L.,"pIta—dru m. Pinus Longifolia or Curcuma Aromatica, L.",4
H016,hedge,nizkAsana,11,L.,"niz-˚kAsana n. driving away, L.",4
H017,hedge,SArNgezwA,13,L.,"SArNgezwA and SArN˚gozWA, v.l. for prec., L.",4
H018,hedge,kuddAla,21,L. | L.,"kuddAla m. id., L. || kuddAla m. n. a kind of spade or hoe, L.",4
H019,hedge,rasavara,18,L.,"rasa—vara m. = -nAyaka, L.",4
H020,hedge,bahuPalA,11,L.,"bahu—PalA f. N. of various plants (Solanum Indicum or another variety of Solanum; Glycine Debilis; a species of Convolvulus Turpethum; various kinds of cucurbitaceous plants, Flacourtia Cataphracta), ",4
H021,hedge,halinI,11,L. | L.,"halinI (inI), f. a number of ploughs, L. || Methonica Superba, L.",4
H022,hedge,AwarUza,15,L.,"AwarUza or Awaruza m. = aw˚, q.v., L.",4
H023,hedge,rasottama,18,L. | L. | L.,"rasottama m. quicksilver, L. || Phaseolus Mungo, L. || milk, L.",4
H024,hedge,kAntapAzARa,44,L.,"kAnta—pAzARa m. the iron-stone, load-stone, L.",4
H025,hedge,gajAsya,10,L.,"gajAsya m. = ˚ja-muKa, L.",4
H026,hedge,vajrakanda,43,L.,"vajra—kanda m. a species of bulbous plant, L.",4
H027,hedge,miSi,31,L.,"miSi or miSI, f. (only L.) Anethum Panmori and Anethum Sowa; Nardostachys Jatamansi (cf. mizikA); a species of sugarcane.",4
