<L>18326<pc>105,2<k1>avasAna AAnukr. -> AV.Anukr.
<L>242045<pc>1203,3<k1>sAMnatya AAnukr. -> AV.Anukr.
<L>15443<pc>88,2<k1>aruRaketubrAhmaRa AitrAnukr. -> ĀtrAnukr.
<L>154884<pc>775,3<k1>maRqavAwa Divyâs. -> Divyâv.
<L>238764<pc>1187,2<k1>sarvaSakti Jam. -> Jaim.
<L>35718<pc>206,2<k1>upavad Kop. -> Vop.
<L>4353.2<pc>1310,2<k1>aDirUQi Naith. -> Naiṣ.
<L>31839<pc>181,3<k1>utsaNgaka  Nastar. -> Hastar.
<L>159275<pc>794,3<k1>maharjagat NādapUp. -> NādabUp.
<L>93709<pc>484,3<k1>duravaDAraRa Parvad. -> Sarvad.
<L>196112<pc>965,3<k1>vidAya  Pañcav. -> Pañcar.
<L>196516<pc>967,3<k1>viDAtrI  Pañcav. -> Pañcar.
<L>204509<pc>1010,1<k1>vftti  Pañcav. -> Pañcar.
<L>96949<pc>498,1<k1>dEhika PhP. -> BhP.
<L>26802<pc>153,3<k1>Alijana Prasamar. -> Prasannar.
<L>113650<pc>576,1<k1>paYcatiktaGfta Rasav. -> Rasar.
<L>81501<pc>431,1<k1>QAlin  Rudraj. -> Rudray.
<L>81520<pc>431,2<k1>Qola  Rudraj. -> Rudray.
<L>185782<pc>917,3<k1>vanacarya SaṃjUp. -> SaṃnyUp.
<L>230828<pc>1139,3<k1>sadAhuta SāmarBr. -> SāmavBr.
<L>199067.70<pc>982,1<k1>virajaloka VB. -> VP.
<L>132015<pc>664,1<k1>pratyantadeSa Śāṅkh. -> ŚāṅkhBr.
<L>133576<pc>673,2<k1>pratIrADa Śāṅkh. -> ŚāṅkhBr.
<L>19144.2<pc>1317,2<k1>avIraGnasTa Kāth. -> Kath.
<L>113730.2<pc>576,2<k1>paYcapadI Bañc. -> Pañc.
<L>195690<pc>963,3<k1>vidyA Manu -> Manu.
<L>197343<pc>972,2<k1>vinDya Manu -> Manu.
<L>201542<pc>994,3<k1>viSvAmitra Manu -> Manu.
<L>109787.2<pc>556,2<k1>nirmita Manu -> Manu.
