kOrpi:317,1:σκορπίος
kratu:319,1:κράτος
kravis:320,2:κρέας
kramela:320,2:κάμηλος
kriya:320,3:κριός
krI:321,2:πρίαμαιπέρνημι
kruD:322,1:κότος
kruS:322,2:κρώζωκράζωκραγγή
kland:323,2:κλάζω
kloman:324,2:πνεύμωνπλεύμων
kzan:325,3:κτείνωκαίνωξαίνωσίνομαιξίνομαι
kzap:326,1:κνέφας
kzam:326,2:χαμαίχθαμαλός
kzam:326,2:χθών
kzamA:326,3:χαμᾶ-ζεχαμά-θεν
kzamyaa:326,3:χθόνιος
kzi:327,3:κτάομαι
kzi:327,3:κτίζω
kzi:328,1:φθί-νωφθί-σι-ς
kzitaa:328,2:φθι-τό-ς
kzipra:329,1:κραιπνός
kzud:330,2:ξύωξέωξέϝωξυστόςξεστός
kzudraka:331,1:*᾿οξυδρακοι
kzura:331,3:ξυρόν
kzuB:331,3:κοῦφος
kzRu:333,3:ξύωξυρόν
KA:334,2:χάος
KaYj:335,1:σκάζω
Kan:336,3:χαίνωχανῶχώννυμι
Kara:337,1:ἐσχάρα
Kalina:338,2:χαλινός
Kid:339,3:κῆδος
Kola:341,1:χωλός
ganDarva:346,2:κένταυροςκενθαρϝο-ς
gam:346,3:βάσκ-ωβαίνω
garBa:349,3:δελφός
gA:352,1:βίβημιἔβην
gir:355,1:γῆρυς
guD:358,3:κεύθω
guru:359,2:βαρύς
gF:363,1:γηρύωγλῶσσα
go:363,3:βοῦςγαῖαγῆ
gnA:370,3:γυνή
graT:370,3:κλώθω
granT:370,3:κλώθω
gras:371,2:γράω
Ga:375,1:γε
Gana:376,1:φόνος
Garma:376,3:θερμόςθέρμη
ca:380,1:τετε
cakra:380,3:κύκλος
catur:384,1:τέσσαρεςτέτταρεςπίσυρες
caturDA:384,3:τέτραχα
caturTaka:385,2:τετραϊκός
caturTam:385,2:τέταρτος
catvAriMSat:386,1:τεσσαράκοντα
candragupta:387,1:Σανδρο-κυπτοςΣανδρο-κοττος
cay:389,1:κίωκι
car:389,1:πέλομαιἀμφί-πολο-ςἀνα-τολή
carman:390,3:πέλμα
cal:391,1:κέλλωὀκέλλωκέλης
cAy:393,2:τίωτιμή
ci:394,3:τίνομαιτινάτίωτίσιςποινή
cud:400,1:σπεύδωσπουδάζω
cyuta:403,3:ἀποκλίματα
CAga:405,3:σκάζω
CAyAa:406,1:σκιά
Cid:406,2:σχίζωσχίδη
jaWara:409,3:γαστήρ
jan:410,1:γίγνομαι
janitf:411,1:γενετήρ
janitrI:411,1:γενέτειρα
jamBa:412,1:γαμφηλαί
jarat:413,3:γέρων
jaras:414,1:γῆρας
jarAyu:414,1:γῆρας
jAgf:417,1:ἐγείρω
jAta:417,3:-γετος
jAtya:418,2:γνήσιος
jAnu:418,3:γόνυ
jAmitra:419,2:διάμετρον
jituma:421,1:δίδυμοι
juz:424,1:γεύομαι
jUka:424,2:ζυγόν
jenya:424,3:γενναῖος
jF:424,3:γῆρυς
jYA:425,2:γνοίηςγνῶ-θι
jYAtf:426,1:γνωστήρ
jyA:426,3:βία
jyA:426,3:βιάω
jyA:427,1:βιός
jyotis:427,3:φάοςφῶς
jyO:428,1:Ζεύς
takzaSilA:431,3:Τάξιλα
takzan:431,3:τέκτων
tatas:432,3:τότετόθεν
tad:434,1:ὁἡτό
tan:435,1:τόνος
