atihasita : old:1 ['2859.1']  new:1 ['2860']
atihAsa : old:1 ['2860']  new:1 ['2859.1']
atikfti : old:1 ['2916']  new:1 ['2916']
aBikfti : old:1 ['2916.1']  new:1 ['2916.1']
atiBAra : old:1 ['3134.1']  new:1 ['3134.1']
atimukta : old:1 ['3138']  new:1 ['3138']
atimuktaka : old:1 ['3139']  new:1 ['3139']
atireka : old:2 ['3167.1', '3167.2']  new:0 []
atIreka : old:3 ['3168', '3168.1', '3168.2']  new:1 ['3167.1']
aWillA : old:1 ['3175.1']  new:1 ['3175.1']
atisAra : old:1 ['3279.1']  new:1 ['3280']
atIsAra : old:1 ['3280']  new:1 ['3279.1']
atti : old:1 ['3386']  new:1 ['3386']
atrA : old:2 ['3499.1', '3499.2']  new:1 ['3500.1']
atra : old:1 ['3500.1']  new:0 []
aTa : old:7 ['3531.1', '3531.2', '3531.3', '3531.4', '3531.5', '3531.6', '3531.7']  new:0 []
aTA : old:8 ['3531.8', '3531.9', '3531.91', '3531.92', '3531.93', '3531.94', '3531.95', '3531.96']  new:1 ['3531.1']
adatka : old:1 ['3604.1']  new:1 ['3604.1']
aDapriya : old:1 ['3953']  new:1 ['3952']
aDA : old:1 ['3953.2']  new:1 ['3951.1']
aDaIza : old:1 ['3953.1']  new:1 ['3953']
aDamarRa : old:1 ['3963']  new:1 ['3963']
aDarozWa : old:1 ['3998']  new:0 []
aDarOzWa : old:2 ['3999', '4000']  new:1 ['3997.1']
aDarOzWarucaka : old:1 ['4000.1']  new:1 ['4000']
aDogati : old:2 ['4058', '4061']  new:2 ['4058', '4061']
aDikarmakara : old:2 ['4150', '4178']  new:2 ['4150', '4178']
aDikarmakft : old:2 ['4150.1', '4179']  new:2 ['4150.1', '4179']
aDigamanIya : old:1 ['4233']  new:0 []
aDigamya : old:2 ['4234', '4235']  new:1 ['4232.1']
aDidEvata : old:1 ['4267.2']  new:1 ['4267.1']
aDidEvam : old:1 ['4267.1']  new:0 []
aDidEvatya : old:1 ['4267.21']  new:1 ['4267.5']
aDImanTa : old:1 ['4312.1']  new:1 ['4312.1']
aDimAMsArman : old:1 ['4316.1']  new:1 ['4317']
aDimAMsaka : old:1 ['4317']  new:1 ['4316.1']
aDIvAsa : old:1 ['4373']  new:1 ['4373']
aDyetavya : old:1 ['4509']  new:1 ['4509']
aDyeya : old:1 ['4510']  new:1 ['4510']
ADyAtmika : old:1 ['4649']  new:1 ['4649']
aDyAharaRIya : old:1 ['4683']  new:0 []
aDyAhartavya : old:2 ['4684', '4685']  new:1 ['4682.1']
aDyudDi : old:1 ['4705.1']  new:1 ['4705.1']
ana : old:1 ['4781.1']  new:1 ['4781.1']
anaDIna : old:1 ['4892.1']  new:0 []
anaDInaka : old:2 ['4892.2', '4892.3']  new:1 ['4892.1']
anaDIyAna : old:1 ['4892.12']  new:1 ['4892.3']
anaDIzwa : old:1 ['4892.13']  new:1 ['4892.4']
ananyagati : old:1 ['5020']  new:1 ['5020']
anaByAsa : old:1 ['5182.1']  new:1 ['5182.1']
anASramavAsa : old:1 ['5694']  new:0 []
anASramevAsa : old:2 ['5695', '5696']  new:1 ['5693.1']
aniketana : old:1 ['5752.1']  new:1 ['5752.1']
anicCa : old:1 ['5762.1']  new:0 []
anicCaka : old:2 ['5762.2', '5762.3']  new:1 ['5762.1']
anicCat : old:2 ['5762.4', '5762.5']  new:1 ['5762.2']
anirdaSam : old:1 ['5875.1']  new:0 []
anirdaSAha : old:1 ['5875.2']  new:1 ['5875.1']
anirdAhuka : old:1 ['5875.3']  new:0 []
anugama : old:2 ['6201.1', '6201.2']  new:0 []
anugamana : old:3 ['6202', '6202.1', '6202.2']  new:1 ['6201.1']
anucintana : old:1 ['6271']  new:0 []
anucintA : old:2 ['6272', '6273']  new:1 ['6270.1']
anupraveSa : old:1 ['6825.1']  new:0 []
anupraveSana : old:2 ['6826', '6826.1']  new:1 ['6825.1']
anuvAdaka : old:1 ['7224']  new:0 []
anuvAdin : old:2 ['7225', '7226']  new:1 ['7223.1']
anuvAsya : old:1 ['7261']  new:0 []
anuvAsanIya : old:2 ['7262', '7263']  new:1 ['7260.1']
anuveDa : old:2 ['7357', '7358']  new:0 []
anuvyADa : old:3 ['7359', '7360', '7361']  new:1 ['7356.1']
anuvyApin : old:1 ['7361.1']  new:1 ['7361']
