k1_slp1,k1_iast,lexicographer_only_any,botanical_only,dcs_attested,dcs_band,dcs_band_label,clean_confirmation
AGAwa,āghāṭa,yes,no,yes,1,hapax(1),no
AGawwaka,āghaṭṭaka,yes,yes,yes,1,hapax(1),yes
AKu,ākhu,yes,no,yes,3,uncommon(10-99),no
AKukarRaparRikA,ākhukarṇaparṇikā,yes,yes,no,,,no
AKuvizahA,ākhuviṣahā,yes,yes,yes,1,hapax(1),yes
AQakI,āḍhakī,no,no,yes,3,uncommon(10-99),no
ARavIna,āṇavīna,no,yes,no,,,no
ASana,āśana,yes,no,no,,,no
ASaya,āśaya,yes,no,yes,4,common(100-999),no
ASupattrI,āśupattrī,yes,yes,no,,,no
ASvatTa,āśvattha,no,yes,yes,3,uncommon(10-99),no
AcArI,ācārī,yes,yes,no,,,no
AcCuka,ācchuka,yes,yes,no,,,no
AdAnI,ādānī,yes,yes,yes,1,hapax(1),yes
Aditya,āditya,yes,no,yes,5,very-common(1000+),no
AdityakAntA,ādityakāntā,yes,yes,no,,,no
AdityaparRikA,ādityaparṇikā,no,yes,no,,,no
Adityapattra,ādityapattra,yes,yes,yes,2,rare(2-9),yes
Adityatejas,ādityatejas,yes,yes,no,,,no
Agarava,āgarava,no,yes,no,,,no
Agastya,āgastya,no,yes,yes,2,rare(2-9),no
Ahulya,āhulya,yes,yes,yes,2,rare(2-9),yes
AkASamAMsI,ākāśamāṃsī,yes,yes,yes,1,hapax(1),yes
AkASamUlI,ākāśamūlī,yes,yes,no,,,no
AkASavallI,ākāśavallī,yes,yes,yes,2,rare(2-9),yes
Akalla,ākalla,yes,yes,yes,2,rare(2-9),yes
AkfticCattrA,ākṛticchattrā,yes,yes,no,,,no
Akulakft,ākulakṛt,no,yes,no,,,no
AkzIba,ākṣība,yes,yes,no,,,no
AkzaBArika,ākṣabhārika,no,yes,no,,,no
AkzakI,ākṣakī,no,yes,yes,1,hapax(1),no
Akzika,ākṣika,yes,no,yes,2,rare(2-9),no
AlAbu,ālābu,yes,yes,no,,,no
Alu,ālu,yes,no,yes,2,rare(2-9),no
Aluka,āluka,no,no,yes,2,rare(2-9),no
AmaRqa,āmaṇḍa,yes,yes,yes,2,rare(2-9),yes
AmalakIpattra,āmalakīpattra,no,yes,no,,,no
AmalakIpattraPala,āmalakīpattraphala,no,yes,no,,,no
Amalaka,āmalaka,yes,yes,yes,4,common(100-999),yes
Amaya,āmaya,no,no,yes,4,common(100-999),no
Amla,āmla,yes,no,yes,2,rare(2-9),no
Amlavetasa,āmlavetasa,no,yes,no,,,no
Amoda,āmoda,yes,no,yes,3,uncommon(10-99),no
AmrAta,āmrāta,no,yes,yes,3,uncommon(10-99),no
AmrAtaka,āmrātaka,no,no,yes,3,uncommon(10-99),no
Amra,āmra,no,no,yes,4,common(100-999),no
AmraganDiharidrA,āmragandhiharidrā,no,yes,no,,,no
AmraniSA,āmraniśā,yes,yes,no,,,no
AmravAwa,āmravāṭa,yes,yes,no,,,no
Amupa,āmupa,yes,yes,no,,,no
Anutilya,ānutilya,no,yes,no,,,no
Apya,āpya,yes,no,yes,3,uncommon(10-99),no
AraRyamudgA,āraṇyamudgā,yes,yes,no,,,no
AragvaDa,āragvadha,no,no,yes,3,uncommon(10-99),no
Aralu,āralu,yes,yes,no,,,no
ArdramAzA,ārdramāṣā,yes,yes,yes,2,rare(2-9),yes
Arka,ārka,no,no,yes,3,uncommon(10-99),no
Artagala,ārtagala,no,yes,yes,3,uncommon(10-99),no
Aru,āru,yes,no,yes,1,hapax(1),no
Aruzkara,āruṣkara,no,yes,yes,2,rare(2-9),no
AsPotA,āsphotā,no,yes,yes,3,uncommon(10-99),no
AsPota,āsphota,no,yes,yes,2,rare(2-9),no
AsPotaka,āsphotaka,yes,yes,yes,1,hapax(1),yes
Asana,āsana,no,no,yes,5,very-common(1000+),no
Asavadru,āsavadru,yes,yes,yes,1,hapax(1),yes
AsurI,āsurī,yes,no,yes,3,uncommon(10-99),no
Atfpya,ātṛpya,yes,yes,no,,,no
Ati,āti,yes,no,yes,2,rare(2-9),no
AtmaSalyA,ātmaśalyā,yes,yes,yes,2,rare(2-9),yes
AtmaguptA,ātmaguptā,no,yes,yes,3,uncommon(10-99),no
AtmamUlI,ātmamūlī,yes,yes,no,,,no
AtmarakzA,ātmarakṣā,yes,yes,yes,2,rare(2-9),yes
AtmodBavA,ātmodbhavā,yes,no,yes,1,hapax(1),no
Avalguja,āvalguja,no,yes,yes,1,hapax(1),no
AvartinI,āvartinī,no,no,no,,,no
AvegI,āvegī,yes,yes,yes,2,rare(2-9),yes
Awi,āṭi,no,yes,yes,1,hapax(1),no
AyatacCadA,āyatacchadā,yes,yes,no,,,no
AyuDaDarmiRI,āyudhadharmiṇī,yes,yes,no,,,no
BARqI,bhāṇḍī,no,yes,yes,2,rare(2-9),no
BARqa,bhāṇḍa,yes,no,yes,4,common(100-999),no
BAlaviBUzaRa,bhālavibhūṣaṇa,yes,yes,yes,1,hapax(1),yes
BAnuPalA,bhānuphalā,yes,yes,yes,1,hapax(1),yes
BArNgI,bhārṅgī,no,yes,yes,3,uncommon(10-99),no
BAraNgI,bhāraṅgī,yes,yes,yes,1,hapax(1),yes
BAratI,bhāratī,yes,no,yes,3,uncommon(10-99),no
BAravfkza,bhāravṛkṣa,yes,yes,no,,,no
BArgI,bhārgī,yes,no,yes,3,uncommon(10-99),no
BArgavI,bhārgavī,yes,no,yes,3,uncommon(10-99),no
BAryAvfkza,bhāryāvṛkṣa,yes,yes,yes,1,hapax(1),yes
BAskara,bhāskara,yes,no,yes,4,common(100-999),no
BAskarezwA,bhāskareṣṭā,yes,yes,yes,1,hapax(1),yes
BAsura,bhāsura,yes,no,yes,3,uncommon(10-99),no
BAsurapuzpA,bhāsurapuṣpā,yes,yes,yes,1,hapax(1),yes
BAsvara,bhāsvara,yes,no,yes,4,common(100-999),no
BAvajYA,bhāvajñā,yes,yes,no,,,no
BAvana,bhāvana,yes,no,yes,3,uncommon(10-99),no
BEzaja,bhaiṣaja,yes,no,yes,2,rare(2-9),no
BIma,bhīma,yes,no,yes,5,very-common(1000+),no
BIru,bhīru,yes,no,yes,4,common(100-999),no
BIrupattrI,bhīrupattrī,yes,yes,no,,,no
BIzaRa,bhīṣaṇa,yes,no,yes,4,common(100-999),no
BUDAtirI,bhūdhātirī,yes,no,no,,,no
BUPala,bhūphala,yes,no,yes,1,hapax(1),no
BUSamI,bhūśamī,yes,yes,no,,,no
BUSelu,bhūśelu,yes,yes,yes,1,hapax(1),yes
BUdarIBavA,bhūdarībhavā,yes,yes,no,,,no
BUjambu,bhūjambu,yes,yes,no,,,no
BUkadambaka,bhūkadambaka,yes,yes,yes,2,rare(2-9),yes
BUkapitTa,bhūkapittha,no,no,no,,,no
BUkarbudAraka,bhūkarbudāraka,yes,yes,yes,1,hapax(1),yes
BUkeSI,bhūkeśī,no,yes,no,,,no
BUkeSa,bhūkeśa,no,no,no,,,no
BUkuzmARqI,bhūkuṣmāṇḍī,yes,yes,yes,2,rare(2-9),yes
BUlagnA,bhūlagnā,yes,yes,yes,1,hapax(1),yes
BUmicampaka,bhūmicampaka,no,yes,no,,,no
BUmija,bhūmija,yes,no,yes,3,uncommon(10-99),no
BUmijambu,bhūmijambu,yes,yes,no,,,no
BUmikadamba,bhūmikadamba,yes,yes,yes,2,rare(2-9),yes
BUmikuzmARqa,bhūmikuṣmāṇḍa,yes,yes,no,,,no
BUmimaRqa,bhūmimaṇḍa,yes,yes,no,,,no
BUmimaRqapaBUzaRA,bhūmimaṇḍapabhūṣaṇā,yes,yes,yes,1,hapax(1),yes
BUmipiSAca,bhūmipiśāca,yes,yes,no,,,no
BUmyAmalakI,bhūmyāmalakī,yes,yes,yes,2,rare(2-9),yes
BUnimba,bhūnimba,no,yes,yes,3,uncommon(10-99),no
BUpUga,bhūpūga,yes,yes,no,,,no
BUpadI,bhūpadī,yes,yes,yes,1,hapax(1),yes
BUribalA,bhūribalā,yes,yes,yes,1,hapax(1),yes
BUridugDA,bhūridugdhā,yes,yes,yes,1,hapax(1),yes
BUrilagnA,bhūrilagnā,yes,yes,no,,,no
BUripattra,bhūripattra,yes,yes,yes,1,hapax(1),yes
BUripreman,bhūripreman,yes,yes,yes,1,hapax(1),yes
BUripuzpA,bhūripuṣpā,yes,yes,yes,1,hapax(1),yes
BUrja,bhūrja,no,no,yes,3,uncommon(10-99),no
BUruRqI,bhūruṇḍī,yes,yes,yes,1,hapax(1),yes
BUruha,bhūruha,yes,no,yes,3,uncommon(10-99),no
BUstfRa,bhūstṛṇa,no,no,yes,3,uncommon(10-99),no
BUtAri,bhūtāri,yes,yes,yes,1,hapax(1),yes
BUtAvAsa,bhūtāvāsa,yes,no,yes,2,rare(2-9),no
BUtIka,bhūtīka,no,yes,yes,2,rare(2-9),no
BUtaGna,bhūtaghna,yes,no,yes,2,rare(2-9),no
BUtadruma,bhūtadruma,yes,yes,yes,1,hapax(1),yes
BUtahArin,bhūtahārin,yes,yes,yes,1,hapax(1),yes
BUtajawA,bhūtajaṭā,yes,yes,yes,2,rare(2-9),yes
BUtakeSI,bhūtakeśī,no,yes,yes,3,uncommon(10-99),no
BUtakeSa,bhūtakeśa,yes,yes,no,,,no
BUtakesarA,bhūtakesarā,yes,yes,no,,,no
BUtalikA,bhūtalikā,yes,yes,yes,1,hapax(1),yes
BUtanASana,bhūtanāśana,yes,no,yes,2,rare(2-9),no
BUtapati,bhūtapati,yes,no,yes,3,uncommon(10-99),no
BUtapuzpa,bhūtapuṣpa,yes,yes,no,,,no
BUtasArI,bhūtasārī,yes,yes,no,,,no
BUtasAra,bhūtasāra,yes,yes,yes,1,hapax(1),yes
BUtavAsa,bhūtavāsa,no,no,yes,2,rare(2-9),no
BUtavezI,bhūtaveṣī,yes,yes,no,,,no
BUtavfkza,bhūtavṛkṣa,yes,yes,yes,2,rare(2-9),yes
BUtfRa,bhūtṛṇa,yes,no,yes,2,rare(2-9),no
BUti,bhūti,yes,no,yes,4,common(100-999),no
BUtika,bhūtika,yes,no,yes,3,uncommon(10-99),no
BaNgA,bhaṅgā,yes,no,yes,3,uncommon(10-99),no
BaRqI,bhaṇḍī,no,no,yes,3,uncommon(10-99),no
BaRqIla,bhaṇḍīla,yes,yes,no,,,no
BaRqIrI,bhaṇḍīrī,yes,no,yes,2,rare(2-9),no
BaRqIra,bhaṇḍīra,yes,no,yes,2,rare(2-9),no
BaRqikA,bhaṇḍikā,yes,yes,yes,1,hapax(1),yes
BaRqila,bhaṇḍila,yes,no,yes,2,rare(2-9),no
BaRqirI,bhaṇḍirī,yes,yes,no,,,no
BaRqira,bhaṇḍira,yes,yes,no,,,no
BaRquka,bhaṇḍuka,yes,yes,no,,,no
BaRwAkI,bhaṇṭākī,yes,yes,yes,2,rare(2-9),yes
BaRwuka,bhaṇṭuka,yes,yes,no,,,no
BaSirA,bhaśirā,no,yes,no,,,no
BaYjikA,bhañjikā,yes,no,yes,2,rare(2-9),no
BaYjipattrikA,bhañjipattrikā,yes,yes,no,,,no
BadrAlapattrikA,bhadrālapattrikā,yes,yes,no,,,no
BadrOdanI,bhadraudanī,no,yes,yes,2,rare(2-9),no
Badra,bhadra,yes,no,yes,5,very-common(1000+),no
BadrabalA,bhadrabalā,yes,yes,yes,2,rare(2-9),yes
BadracUqa,bhadracūḍa,yes,yes,no,,,no
BadradAru,bhadradāru,no,no,yes,3,uncommon(10-99),no
BadradantikA,bhadradantikā,yes,yes,yes,1,hapax(1),yes
BadraganDikA,bhadragandhikā,yes,yes,no,,,no
Badraja,bhadraja,yes,yes,no,,,no
BadrakASI,bhadrakāśī,yes,yes,no,,,no
BadrakAzWa,bhadrakāṣṭha,yes,yes,yes,2,rare(2-9),yes
Badraka,bhadraka,yes,no,yes,3,uncommon(10-99),no
BadrakaRwa,bhadrakaṇṭa,yes,yes,no,,,no
BadralatA,bhadralatā,yes,yes,yes,2,rare(2-9),yes
BadramuYja,bhadramuñja,no,yes,no,,,no
Badramusta,bhadramusta,no,yes,yes,2,rare(2-9),no
BadranAmikA,bhadranāmikā,yes,yes,yes,1,hapax(1),yes
BadraparRA,bhadraparṇā,yes,yes,no,,,no
BadraparRI,bhadraparṇī,no,no,yes,2,rare(2-9),no
BadrataruRI,bhadrataruṇī,yes,yes,yes,1,hapax(1),yes
BadravallI,bhadravallī,yes,yes,yes,1,hapax(1),yes
BadravallikA,bhadravallikā,yes,yes,no,,,no
Badravat,bhadravat,yes,no,yes,2,rare(2-9),no
BadravatI,bhadravatī,yes,no,yes,2,rare(2-9),no
Badrayava,bhadrayava,yes,yes,yes,1,hapax(1),yes
BadrikA,bhadrikā,yes,no,no,,,no
Bakzawaka,bhakṣaṭaka,yes,yes,yes,2,rare(2-9),yes
BakziRI,bhakṣiṇī,yes,yes,no,,,no
BakzyabIja,bhakṣyabīja,yes,yes,no,,,no
BalatA,bhalatā,yes,no,no,,,no
BallAta,bhallāta,no,no,yes,3,uncommon(10-99),no
BallI,bhallī,no,yes,yes,2,rare(2-9),no
BallUka,bhallūka,no,no,yes,3,uncommon(10-99),no
BallapucCI,bhallapucchī,yes,yes,no,,,no
BallikA,bhallikā,yes,no,no,,,no
BaraRI,bharaṇī,yes,no,yes,3,uncommon(10-99),no
BaraRyAhvA,bharaṇyāhvā,yes,yes,no,,,no
BasmagarBa,bhasmagarbha,yes,yes,yes,2,rare(2-9),yes
Basmaka,bhasmaka,yes,no,yes,3,uncommon(10-99),no
Bava,bhava,yes,no,yes,5,very-common(1000+),no
BavadAru,bhavadāru,yes,yes,yes,1,hapax(1),yes
Bavizyat,bhaviṣyat,yes,no,yes,3,uncommon(10-99),no
BavyA,bhavyā,no,no,yes,2,rare(2-9),no
Bavya,bhavya,yes,no,yes,3,uncommon(10-99),no
BawA,bhaṭā,no,yes,no,,,no
Baya,bhaya,yes,no,yes,5,very-common(1000+),no
BayanASinI,bhayanāśinī,yes,yes,yes,2,rare(2-9),yes
BeRqA,bheṇḍā,no,yes,yes,2,rare(2-9),no
Bedana,bhedana,yes,no,yes,4,common(100-999),no
Bedin,bhedin,yes,no,yes,4,common(100-999),no
BekI,bhekī,yes,yes,yes,1,hapax(1),yes
Bezaja,bheṣaja,no,no,yes,4,common(100-999),no
BfNgAhva,bhṛṅgāhva,yes,no,yes,2,rare(2-9),no
BfNgAnandA,bhṛṅgānandā,yes,yes,yes,1,hapax(1),yes
BfNgI,bhṛṅgī,yes,no,yes,3,uncommon(10-99),no
BfNgIPala,bhṛṅgīphala,yes,yes,no,,,no
BfNga,bhṛṅga,yes,no,yes,4,common(100-999),no
BfNgajA,bhṛṅgajā,yes,yes,yes,2,rare(2-9),yes
BfNgaja,bhṛṅgaja,yes,yes,yes,3,uncommon(10-99),yes
BfNgapriyA,bhṛṅgapriyā,yes,yes,yes,1,hapax(1),yes
BfNgarAja,bhṛṅgarāja,yes,no,yes,4,common(100-999),no
BfNgarAjarasa,bhṛṅgarājarasa,no,yes,no,,,no
BfNgaraja,bhṛṅgaraja,no,yes,yes,2,rare(2-9),no
BfNgarasa,bhṛṅgarasa,no,yes,no,,,no
BfNgasodara,bhṛṅgasodara,yes,yes,no,,,no
BfNgavallaBa,bhṛṅgavallabha,yes,yes,yes,2,rare(2-9),yes
BfNgezwA,bhṛṅgeṣṭā,yes,yes,yes,2,rare(2-9),yes
BfguBavA,bhṛgubhavā,no,yes,yes,2,rare(2-9),no
BfzwI,bhṛṣṭī,no,yes,no,,,no
BiRqItaka,bhiṇḍītaka,yes,yes,no,,,no
BiRqa,bhiṇḍa,no,yes,yes,2,rare(2-9),no
BiRqaka,bhiṇḍaka,yes,yes,yes,1,hapax(1),yes
Bikzu,bhikṣu,yes,no,yes,4,common(100-999),no
BillI,bhillī,yes,no,no,,,no
BillaBUzaRA,bhillabhūṣaṇā,yes,yes,no,,,no
Billataru,bhillataru,yes,yes,yes,1,hapax(1),yes
Billin,bhillin,yes,yes,yes,2,rare(2-9),yes
Bindura,bhindura,yes,yes,no,,,no
BinnA,bhinnā,yes,yes,no,,,no
BinnaBinnAtman,bhinnabhinnātman,yes,yes,no,,,no
BinnadalA,bhinnadalā,yes,yes,yes,1,hapax(1),yes
BinnagAtrikA,bhinnagātrikā,yes,yes,no,,,no
BinnayojanI,bhinnayojanī,no,yes,no,,,no
BittikA,bhittikā,yes,no,yes,2,rare(2-9),no
BizaNmAtf,bhiṣaṅmātṛ,yes,yes,yes,2,rare(2-9),yes
BizagBadrA,bhiṣagbhadrā,yes,yes,no,,,no
BizakpriyA,bhiṣakpriyā,yes,yes,yes,1,hapax(1),yes
BramarAnanda,bhramarānanda,yes,no,yes,2,rare(2-9),no
BramarAtiTi,bhramarātithi,yes,yes,yes,1,hapax(1),yes
BramarI,bhramarī,yes,no,yes,2,rare(2-9),no
BramarakIwa,bhramarakīṭa,yes,yes,no,,,no
Bramarapriya,bhramarapriya,yes,yes,no,,,no
BramarezwA,bhramareṣṭā,yes,no,yes,2,rare(2-9),no
Bramarezwa,bhramareṣṭa,yes,yes,yes,1,hapax(1),yes
BramarotsavA,bhramarotsavā,yes,yes,yes,1,hapax(1),yes
BujaMgAKya,bhujaṃgākhya,yes,yes,no,,,no
BujaMgajihvA,bhujaṃgajihvā,yes,yes,yes,1,hapax(1),yes
Buktiprada,bhuktiprada,yes,yes,yes,1,hapax(1),yes
CAdana,chādana,yes,no,yes,3,uncommon(10-99),no
CAgIkzIranASa,chāgīkṣīranāśa,no,yes,no,,,no
CAgakarRa,chāgakarṇa,no,yes,yes,2,rare(2-9),no
CAyAvfkza,chāyāvṛkṣa,no,yes,yes,1,hapax(1),no
CUrikApattrI,chūrikāpattrī,yes,yes,no,,,no
Cada,chada,yes,no,yes,3,uncommon(10-99),no
Cadana,chadana,yes,no,yes,3,uncommon(10-99),no
CadmikA,chadmikā,yes,yes,yes,2,rare(2-9),yes
CagalAntrikA,chagalāntrikā,yes,yes,yes,1,hapax(1),yes
Cardana,chardana,no,no,yes,3,uncommon(10-99),no
CardiGna,chardighna,yes,yes,yes,1,hapax(1),yes
CardikA,chardikā,yes,no,yes,2,rare(2-9),no
CattrA,chattrā,yes,no,yes,3,uncommon(10-99),no
CattrAka,chattrāka,yes,no,yes,2,rare(2-9),no
Cattra,chattra,yes,no,yes,4,common(100-999),no
CattragucCa,chattraguccha,yes,yes,yes,1,hapax(1),yes
Cattraka,chattraka,yes,no,yes,2,rare(2-9),no
CattraparRa,chattraparṇa,yes,yes,yes,2,rare(2-9),yes
Cattrapattra,chattrapattra,yes,yes,yes,2,rare(2-9),yes
Cattravfkza,chattravṛkṣa,no,yes,no,,,no
CedanIya,chedanīya,yes,no,yes,2,rare(2-9),no
Celu,chelu,yes,yes,no,,,no
CidrapippalI,chidrapippalī,no,yes,no,,,no
CikkanI,chikkanī,no,yes,no,,,no
CinnapattrI,chinnapattrī,yes,yes,yes,1,hapax(1),yes
CinnaruhA,chinnaruhā,yes,no,yes,3,uncommon(10-99),no
Cinnaruha,chinnaruha,yes,yes,yes,2,rare(2-9),yes
CinnavezikA,chinnaveṣikā,yes,yes,no,,,no
CinnodBavA,chinnodbhavā,no,yes,yes,2,rare(2-9),no
Citti,chitti,yes,no,yes,2,rare(2-9),no
CurikA,churikā,no,no,yes,3,uncommon(10-99),no
DAmArgava,dhāmārgava,yes,no,yes,3,uncommon(10-99),no
DAmanI,dhāmanī,yes,no,no,,,no
DAmanikA,dhāmanikā,yes,yes,no,,,no
DAnin,dhānin,yes,yes,yes,1,hapax(1),yes
DAnuzkA,dhānuṣkā,yes,yes,no,,,no
DAnya,dhānya,yes,no,yes,4,common(100-999),no
DAnyavIra,dhānyavīra,no,yes,yes,1,hapax(1),no
DArAkadamba,dhārākadamba,no,no,yes,2,rare(2-9),no
DArin,dhārin,yes,no,yes,4,common(100-999),no
DAtakI,dhātakī,no,yes,yes,4,common(100-999),no
DAtfpuzpikA,dhātṛpuṣpikā,yes,yes,no,,,no
DAtrI,dhātrī,no,no,yes,4,common(100-999),no
DAtrIPala,dhātrīphala,no,yes,yes,1,hapax(1),no
DAtrISvarI,dhātrīśvarī,yes,yes,no,,,no
DAtrIpattra,dhātrīpattra,yes,yes,yes,2,rare(2-9),yes
DAtri,dhātri,no,yes,no,,,no
DAtupuzpikA,dhātupuṣpikā,yes,yes,yes,1,hapax(1),yes
DAvanI,dhāvanī,no,yes,yes,3,uncommon(10-99),no
DIrA,dhīrā,no,no,yes,2,rare(2-9),no
DOra,dhaura,no,yes,no,,,no
DURa,dhūṇa,yes,yes,no,,,no
DUka,dhūka,no,no,yes,1,hapax(1),no
DUlIkadamba,dhūlīkadamba,yes,yes,yes,1,hapax(1),yes
DUlipuzpikA,dhūlipuṣpikā,yes,yes,yes,1,hapax(1),yes
DUmasa,dhūmasa,yes,yes,no,,,no
DUmayoni,dhūmayoni,no,no,yes,1,hapax(1),no
DUmrikA,dhūmrikā,no,yes,yes,1,hapax(1),no
DUpANga,dhūpāṅga,yes,yes,yes,1,hapax(1),yes
DUpAguru,dhūpāguru,yes,yes,no,,,no
DUpArha,dhūpārha,yes,yes,yes,1,hapax(1),yes
DUpavfkza,dhūpavṛkṣa,yes,yes,yes,2,rare(2-9),yes
DUpavfkzaka,dhūpavṛkṣaka,yes,yes,no,,,no
DUpya,dhūpya,yes,no,yes,1,hapax(1),no
DUrRa,dhūrṇa,yes,yes,no,,,no
DUsarapattrikA,dhūsarapattrikā,yes,yes,no,,,no
DamanI,dhamanī,yes,no,yes,2,rare(2-9),no
Damana,dhamana,yes,no,yes,4,common(100-999),no
DanaMjaya,dhanaṃjaya,yes,no,yes,5,very-common(1000+),no
Danada,dhanada,yes,no,yes,4,common(100-999),no
Danasyaka,dhanasyaka,yes,yes,no,,,no
DanikA,dhanikā,yes,no,yes,2,rare(2-9),no
Danu,dhanu,yes,no,yes,3,uncommon(10-99),no
DanuSreRI,dhanuśreṇī,yes,yes,no,,,no
DanurguRA,dhanurguṇā,yes,yes,no,,,no
Danurvfkza,dhanurvṛkṣa,yes,no,yes,1,hapax(1),no
DanuryAsa,dhanuryāsa,yes,yes,no,,,no
Danus,dhanus,yes,no,yes,5,very-common(1000+),no
Danuzpawa,dhanuṣpaṭa,yes,yes,yes,1,hapax(1),yes
Danvaga,dhanvaga,no,no,no,,,no
Danvan,dhanvan,yes,no,yes,4,common(100-999),no
DanvantarigrastA,dhanvantarigrastā,yes,yes,no,,,no
DanvayavAsa,dhanvayavāsa,yes,yes,no,,,no
DanvayavAsaka,dhanvayavāsaka,yes,yes,yes,2,rare(2-9),yes
Danvin,dhanvin,yes,no,yes,4,common(100-999),no
DanyA,dhanyā,yes,no,yes,2,rare(2-9),no
DanyAka,dhanyāka,yes,yes,yes,2,rare(2-9),yes
Danya,dhanya,yes,no,yes,4,common(100-999),no
DarAkadamba,dharākadamba,yes,yes,no,,,no
DarmaGna,dharmaghna,yes,no,yes,1,hapax(1),no
DarmaRa,dharmaṇa,yes,no,yes,2,rare(2-9),no
Darmadvezin,dharmadveṣin,yes,yes,yes,1,hapax(1),yes
Darmapattra,dharmapattra,yes,yes,no,,,no
DattUra,dhattūra,no,no,yes,3,uncommon(10-99),no
Dava,dhava,no,no,yes,3,uncommon(10-99),no
Davala,dhavala,yes,no,yes,4,common(100-999),no
DavaletarataRqula,dhavaletarataṇḍula,no,yes,no,,,no
DavanI,dhavanī,yes,yes,no,,,no
Denukara,dhenukara,yes,yes,no,,,no
DruvA,dhruvā,yes,no,yes,3,uncommon(10-99),no
DuraMDara,dhuraṃdhara,yes,no,yes,3,uncommon(10-99),no
DvANkzAdanI,dhvāṅkṣādanī,yes,yes,yes,1,hapax(1),yes
DvANkzadantI,dhvāṅkṣadantī,yes,yes,yes,1,hapax(1),yes
DvANkzajaNGA,dhvāṅkṣajaṅghā,yes,yes,yes,2,rare(2-9),yes
DvANkzamAcI,dhvāṅkṣamācī,yes,yes,yes,2,rare(2-9),yes
DvANkzanAmnI,dhvāṅkṣanāmnī,yes,yes,yes,1,hapax(1),yes
DvANkzanAsA,dhvāṅkṣanāsā,yes,yes,yes,1,hapax(1),yes
DvANkzatuRqA,dhvāṅkṣatuṇḍā,yes,yes,yes,1,hapax(1),yes
DvANkzavallI,dhvāṅkṣavallī,yes,no,no,,,no
DvAntaSAtrava,dhvāntaśātrava,yes,no,no,,,no
Dvajavfkza,dhvajavṛkṣa,yes,yes,yes,1,hapax(1),yes
DyAma,dhyāma,yes,no,yes,3,uncommon(10-99),no
EndavI,aindavī,yes,yes,yes,1,hapax(1),yes
ErAvata,airāvata,no,no,yes,4,common(100-999),no
ErAvataka,airāvataka,no,no,yes,2,rare(2-9),no
GUkAvAsa,ghūkāvāsa,yes,yes,no,,,no
GUrRa,ghūrṇa,yes,no,yes,2,rare(2-9),no
GaRwA,ghaṇṭā,yes,no,yes,4,common(100-999),no
GaRwAbIja,ghaṇṭābīja,yes,yes,yes,1,hapax(1),yes
GaRwAli,ghaṇṭāli,yes,no,yes,2,rare(2-9),no
GaRwApAwali,ghaṇṭāpāṭali,yes,yes,yes,2,rare(2-9),yes
GaRwAravA,ghaṇṭāravā,no,yes,yes,1,hapax(1),no
GaRwaka,ghaṇṭaka,yes,yes,yes,1,hapax(1),yes
GanA,ghanā,yes,no,yes,2,rare(2-9),no
GanAGanA,ghanāghanā,yes,yes,no,,,no
GanAmala,ghanāmala,yes,yes,yes,1,hapax(1),yes
Gana,ghana,no,no,yes,4,common(100-999),no
GanaPala,ghanaphala,yes,no,yes,1,hapax(1),no
GanaSfNgI,ghanaśṛṅgī,no,yes,no,,,no
GanacCada,ghanacchada,yes,no,yes,1,hapax(1),no
Ganadruma,ghanadruma,yes,yes,yes,1,hapax(1),yes
Ganapallava,ghanapallava,no,yes,no,,,no
Ganapattra,ghanapattra,yes,yes,no,,,no
GanaskanDa,ghanaskandha,yes,yes,yes,2,rare(2-9),yes
Ganasvana,ghanasvana,yes,no,yes,1,hapax(1),no
GeYculikA,gheñculikā,yes,yes,no,,,no
GftAhva,ghṛtāhva,yes,yes,no,,,no
GftakumArikA,ghṛtakumārikā,no,yes,yes,1,hapax(1),no
GftamaRqA,ghṛtamaṇḍā,yes,yes,no,,,no
GftapUrRa,ghṛtapūrṇa,no,yes,no,,,no
GfzWilA,ghṛṣṭhilā,yes,yes,no,,,no
Gfzwi,ghṛṣṭi,yes,no,yes,2,rare(2-9),no
GoRwAPala,ghoṇṭāphala,yes,no,yes,2,rare(2-9),no
GolI,gholī,yes,yes,yes,2,rare(2-9),yes
GowikA,ghoṭikā,no,no,yes,2,rare(2-9),no
GozA,ghoṣā,yes,no,yes,3,uncommon(10-99),no
Goza,ghoṣa,yes,no,yes,4,common(100-999),no
Gozaka,ghoṣaka,yes,no,yes,2,rare(2-9),no
GrARaduHKadA,ghrāṇaduḥkhadā,no,yes,no,,,no
GulaYca,ghulañca,yes,yes,no,,,no
ISAnI,īśānī,yes,yes,yes,3,uncommon(10-99),yes
IrvAru,īrvāru,yes,yes,no,,,no
JAli,jhāli,no,yes,no,,,no
JAvu,jhāvu,yes,yes,no,,,no
JAwala,jhāṭala,yes,yes,yes,1,hapax(1),yes
JAwikA,jhāṭikā,yes,yes,no,,,no
JaRqUka,jhaṇḍūka,yes,yes,yes,1,hapax(1),yes
JazA,jhaṣā,yes,yes,yes,2,rare(2-9),yes
JiNgAka,jhiṅgāka,yes,yes,no,,,no
JiRwI,jhiṇṭī,yes,yes,yes,2,rare(2-9),yes
JiRwikA,jhiṇṭikā,yes,yes,yes,2,rare(2-9),yes
KAdira,khādira,no,no,yes,3,uncommon(10-99),no
KAdirasAra,khādirasāra,yes,yes,no,,,no
KAdya,khādya,no,no,yes,2,rare(2-9),no
