k1_slp1,k1_iast,lexicographer_only_any,botanical_only,dcs_attested,dcs_band,dcs_band_label,clean_confirmation
iqAjAta,iḍājāta,yes,yes,yes,1,hapax(1),yes
irvAlu,irvālu,yes,yes,no,,,no
irvAru,irvāru,yes,yes,yes,1,hapax(1),yes
irvAruSuktikA,irvāruśuktikā,yes,yes,no,,,no
izIkA,iṣīkā,yes,no,yes,3,uncommon(10-99),no
izwa,iṣṭa,yes,no,yes,3,uncommon(10-99),no
izwakApaTa,iṣṭakāpatha,no,yes,no,,,no
jANgalI,jāṅgalī,yes,no,no,,,no
jANgulI,jāṅgulī,no,no,yes,2,rare(2-9),no
jAla,jāla,yes,no,yes,4,common(100-999),no
jAmAtf,jāmātṛ,yes,no,yes,3,uncommon(10-99),no
jAmbavI,jāmbavī,yes,yes,yes,1,hapax(1),yes
jAtI,jātī,no,no,yes,3,uncommon(10-99),no
jAtIPalA,jātīphalā,yes,yes,yes,1,hapax(1),yes
jAti,jāti,yes,no,yes,4,common(100-999),no
jAtuka,jātuka,yes,yes,yes,2,rare(2-9),yes
jAyAnujIvin,jāyānujīvin,yes,no,no,,,no
jEpAla,jaipāla,no,yes,yes,3,uncommon(10-99),no
jEpAlaka,jaipālaka,no,yes,no,,,no
jEtrI,jaitrī,yes,yes,no,,,no
jImUta,jīmūta,yes,no,yes,4,common(100-999),no
jImUtaka,jīmūtaka,no,yes,yes,3,uncommon(10-99),no
jImUtamUla,jīmūtamūla,yes,yes,no,,,no
jIrRa,jīrṇa,yes,no,yes,4,common(100-999),no
jIrRadAru,jīrṇadāru,yes,yes,yes,1,hapax(1),yes
jIrRaparRa,jīrṇaparṇa,yes,yes,yes,2,rare(2-9),yes
jIrRaparRaja,jīrṇaparṇaja,no,yes,no,,,no
jIra,jīra,yes,no,yes,3,uncommon(10-99),no
jIvadAtrI,jīvadātrī,yes,no,yes,2,rare(2-9),no
jIvaka,jīvaka,no,no,yes,4,common(100-999),no
jIvalA,jīvalā,no,no,yes,2,rare(2-9),no
jIvantI,jīvantī,yes,no,yes,4,common(100-999),no
jIvantikA,jīvantikā,yes,no,yes,2,rare(2-9),no
jIvapriyA,jīvapriyā,yes,yes,yes,1,hapax(1),yes
jIvaputraka,jīvaputraka,yes,yes,no,,,no
jUrRAKya,jūrṇākhya,yes,yes,no,,,no
jUrRAhvaya,jūrṇāhvaya,yes,yes,yes,1,hapax(1),yes
jUzaRa,jūṣaṇa,yes,yes,no,,,no
jaGanePalA,jaghanephalā,yes,yes,yes,2,rare(2-9),yes
jaWaranud,jaṭharanud,yes,yes,no,,,no
jagala,jagala,yes,no,yes,2,rare(2-9),no
jala,jala,no,no,yes,5,very-common(1000+),no
jalaDara,jaladhara,yes,no,yes,3,uncommon(10-99),no
jalaPala,jalaphala,no,yes,yes,1,hapax(1),no
jalabrahmI,jalabrahmī,yes,yes,yes,1,hapax(1),yes
jaladASana,jaladāśana,yes,yes,no,,,no
jalada,jalada,yes,no,yes,4,common(100-999),no
jalajA,jalajā,yes,yes,yes,2,rare(2-9),yes
jalaja,jalaja,yes,no,yes,3,uncommon(10-99),no
jalajasumanA,jalajasumanā,no,yes,no,,,no
jalakapi,jalakapi,no,yes,no,,,no
jalakubjaka,jalakubjaka,yes,yes,no,,,no
jalakukkuBa,jalakukkubha,yes,yes,no,,,no
jalakuntala,jalakuntala,yes,yes,no,,,no
jalamoda,jalamoda,yes,yes,no,,,no
jalapippalI,jalapippalī,no,yes,yes,3,uncommon(10-99),no
jalatiktikA,jalatiktikā,yes,yes,no,,,no
jalavalkala,jalavalkala,yes,yes,no,,,no
jalavetasa,jalavetasa,yes,yes,yes,2,rare(2-9),yes
jalecCayA,jalecchayā,yes,yes,no,,,no
jalodBavA,jalodbhavā,yes,no,yes,2,rare(2-9),no
