species_canonical,gbif_matched_name,rank,status,accepted_name,family,match_type,confidence
Abelmoschus esculentus,Abelmoschus esculentus,SPECIES,ACCEPTED,,Malvaceae,EXACT,100
Abrus,Abrus,GENUS,ACCEPTED,,Fabaceae,HIGHERRANK,95
Abrus precatorius,Abrus precatorius,SPECIES,ACCEPTED,,Fabaceae,EXACT,99
Acacia,Acacia,GENUS,ACCEPTED,,Fabaceae,EXACT,96
Acacia arabica,Acacia arabica,SPECIES,SYNONYM,Vachellia nilotica,Fabaceae,EXACT,100
Acacia catechu,Senegalia,GENUS,ACCEPTED,,Fabaceae,HIGHERRANK,99
Acacia concinna,Fabaceae,FAMILY,ACCEPTED,,Fabaceae,HIGHERRANK,99
Acacia farnesiana,Acacia farnesiana,SPECIES,SYNONYM,Vachellia farnesiana,Fabaceae,EXACT,99
Acacia sirissa,Acacia sirissa,SPECIES,SYNONYM,Albizia lebbeck,Fabaceae,EXACT,99
Acacia suma,Acacia suma,SPECIES,SYNONYM,Senegalia polyacantha,Fabaceae,EXACT,99
Acampe papillosa,Acampe papillosa,SPECIES,SYNONYM,Acampe praemorsa,Orchidaceae,EXACT,100
Achyranthes,Achyranthes,GENUS,ACCEPTED,,Amaranthaceae,HIGHERRANK,95
Achyranthes aquatica,Achyranthes aquatica,SPECIES,SYNONYM,Centrostachys aquatica,Amaranthaceae,EXACT,100
Achyranthes aspera,Achyranthes aspera,SPECIES,ACCEPTED,,Amaranthaceae,EXACT,99
Achyranthes atropurpurea,Achyranthes atropurpurea,SPECIES,SYNONYM,Pupalia lappacea,Amaranthaceae,EXACT,100
Achyranthes triandra,Achyranthes triandra,SPECIES,SYNONYM,Alternanthera sessilis,Amaranthaceae,EXACT,100
Aconitifolius,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Aconitum ferox,Aconitum ferox,SPECIES,ACCEPTED,,Ranunculaceae,EXACT,99
Aconitum heterophyllum,Aconitum heterophyllum,SPECIES,ACCEPTED,,Ranunculaceae,EXACT,99
Acorus calamus,Acorus calamus,SPECIES,ACCEPTED,,Acoraceae,EXACT,100
Acutangula,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Adelia nereifolia,Adelia nereifolia,SPECIES,ACCEPTED,,Euphorbiaceae,EXACT,99
Adenanthera pavonina,Adenanthera pavonina,SPECIES,ACCEPTED,,Fabaceae,EXACT,100
Adhatoda,Adhatoda,GENUS,ACCEPTED,,Acanthaceae,EXACT,95
Adhatoda vasica,Adhatoda vasica,SPECIES,SYNONYM,Justicia adhatoda,Acanthaceae,EXACT,100
Adhatoda vasika,Adhatoda vasica,SPECIES,SYNONYM,Justicia adhatoda,Acanthaceae,FUZZY,96
Aegle,Tracheophyta,PHYLUM,ACCEPTED,,,HIGHERRANK,95
Aegle marmelos,Aegle marmelos,SPECIES,ACCEPTED,,Rutaceae,EXACT,99
Aeschynomene,Aeschynomene,GENUS,ACCEPTED,,Fabaceae,HIGHERRANK,95
Aeschynomene grandiflora,Aeschynomene grandiflora,SPECIES,SYNONYM,Sesbania grandiflora,Fabaceae,EXACT,100
Aeschynomene sesban,Aeschynomene sesban,SPECIES,SYNONYM,Sesbania sesban,Fabaceae,EXACT,99
Agallochum,Agallochum,GENUS,SYNONYM,,Thymelaeaceae,EXACT,96
Agasti,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Agasti grandiflora,Agati grandiflora,SPECIES,SYNONYM,Sesbania grandiflora,Fabaceae,FUZZY,88
Agasti grandiflorum,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Agathotes chirayta,Agathotes chirayta,SPECIES,SYNONYM,Swertia chirayita,Gentianaceae,EXACT,100
Agati grandiflora,Agati grandiflora,SPECIES,SYNONYM,Sesbania grandiflora,Fabaceae,EXACT,100
Aglaia odorata,Aglaia odorata,SPECIES,ACCEPTED,,Meliaceae,EXACT,100
Aglaia roxburghiana,Aglaia roxburghiana,SPECIES,ACCEPTED,,Meliaceae,EXACT,99
Ajwaen,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Alangium decapetalum,Alangium decapetalum,SPECIES,SYNONYM,Alangium salviifolium,Cornaceae,EXACT,100
Alangium hexapetalum,Alangium hexapetalum,SPECIES,ACCEPTED,,Cornaceae,EXACT,100
Alata,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Aletris hyacinthoides,Aletris hyacinthoides,SPECIES,SYNONYM,Dracaena hyacinthoides,Asparagaceae,EXACT,100
Aleurites triloba,Aleurites trilobus,SPECIES,SYNONYM,Aleurites moluccanus,Euphorbiaceae,FUZZY,97
Alhagi,Alhagi,GENUS,ACCEPTED,,Fabaceae,EXACT,95
Alhagi maurorum,Alhagi maurorum,SPECIES,ACCEPTED,,Fabaceae,EXACT,100
Allium ascalonicum,Allium ascalonicum,SPECIES,ACCEPTED,,Amaryllidaceae,EXACT,100
Allium cepa,Allium cepa,SPECIES,ACCEPTED,,Amaryllidaceae,EXACT,100
Aloe,Aloe,GENUS,ACCEPTED,,Asphodelaceae,HIGHERRANK,95
Aloe indica,Aloe indica,SPECIES,SYNONYM,Aloe vera,Asphodelaceae,EXACT,100
Aloe perfoliata,Aloe perfoliata,SPECIES,ACCEPTED,,Asphodelaceae,EXACT,100
Aloes perfoliata,Aloe perfoliata,SPECIES,ACCEPTED,,Asphodelaceae,FUZZY,93
Alpinia galanga,Alpinia galanga,SPECIES,ACCEPTED,,Zingiberaceae,EXACT,100
Alpinia nutans,Alpinia nutans,SPECIES,ACCEPTED,,Zingiberaceae,EXACT,99
Alstonia,Alstonia,GENUS,ACCEPTED,,Apocynaceae,EXACT,95
Alstonia scholaris,Alstonia scholaris,SPECIES,ACCEPTED,,Apocynaceae,EXACT,100
Amaranth,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Amaranthus,Amaranthus,GENUS,ACCEPTED,,Amaranthaceae,HIGHERRANK,95
Amaranthus oleraceus,Amaranthus,GENUS,ACCEPTED,,Amaranthaceae,HIGHERRANK,99
Amaranthus polygamus,Amaranthus polygamus,SPECIES,ACCEPTED,,Amaranthaceae,EXACT,99
Amaranthus polygonoides,Amaranthus polygonoides,SPECIES,ACCEPTED,,Amaranthaceae,EXACT,99
Amaryllis zeylanica,Amaryllis zeylanica,SPECIES,SYNONYM,Crinum zeylanicum,Amaryllidaceae,EXACT,100
Amomum,Amomum,GENUS,ACCEPTED,,Zingiberaceae,EXACT,95
Amomum anthorhizon,Amomum,GENUS,ACCEPTED,,Zingiberaceae,HIGHERRANK,95
Amomum anthorrhiza,Amomum,GENUS,ACCEPTED,,Zingiberaceae,HIGHERRANK,95
Amomum antorhiza,Amomum,GENUS,ACCEPTED,,Zingiberaceae,HIGHERRANK,95
Amoora rohitaka,Amoora rohituka,SPECIES,SYNONYM,Aphanamixis polystachya,Meliaceae,FUZZY,96
Amorphophallus campanulatus,Amorphophallus campanulatus,SPECIES,SYNONYM,Amorphophallus paeoniifolius,Araceae,EXACT,100
Amphidonax karka,Amphidonax,GENUS,ACCEPTED,,Poaceae,HIGHERRANK,95
Amyris agallocha,Amyris agallocha,SPECIES,ACCEPTED,,Rutaceae,EXACT,99
Amyris agallochum,Amyris agallocha,SPECIES,ACCEPTED,,Rutaceae,FUZZY,96
Anacardium officinarum,Anacardium officinarum,SPECIES,SYNONYM,Semecarpus anacardium,Anacardiaceae,EXACT,100
Anas casarca,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Andersonia rohitaka,Andersonia rohituka,SPECIES,SYNONYM,Aphanamixis polystachya,Meliaceae,FUZZY,96
Andersonia rohitika,Andersonia rohituka,SPECIES,SYNONYM,Aphanamixis polystachya,Meliaceae,FUZZY,96
Andrographis paniculata,Andrographis paniculata,SPECIES,ACCEPTED,,Acanthaceae,EXACT,99
Andropogon,Andropogon,GENUS,ACCEPTED,,Poaceae,HIGHERRANK,95
Andropogon acicularis,Andropogon acicularis,SPECIES,SYNONYM,Chrysopogon aciculatus,Poaceae,EXACT,99
Andropogon aciculatus,Andropogon aciculatus,SPECIES,SYNONYM,Chrysopogon aciculatus,Poaceae,EXACT,100
Andropogon auriculatus,Andropogon auriculatus,SPECIES,ACCEPTED,,Poaceae,EXACT,100
Andropogon bicolor,Poaceae,FAMILY,ACCEPTED,,Poaceae,HIGHERRANK,99
Andropogon jvarāṅkuśa,Andropogon,GENUS,ACCEPTED,,Poaceae,HIGHERRANK,95
Andropogon muricatum,Andropogon muricatus,SPECIES,SYNONYM,Chrysopogon zizanioides,Poaceae,FUZZY,97
Andropogon muricatus,Andropogon muricatus,SPECIES,SYNONYM,Chrysopogon zizanioides,Poaceae,EXACT,100
Andropogon saccharatus,Andropogon saccharatus,SPECIES,SYNONYM,Sorghum bicolor,Poaceae,EXACT,99
Andropogon schaenunthes,Andropogon,GENUS,ACCEPTED,,Poaceae,HIGHERRANK,95
Andropogon schoenanthus,Andropogon schoenanthus,SPECIES,ACCEPTED,,Poaceae,EXACT,99
Andropogon serratum,Andropogon serratus,SPECIES,ACCEPTED,,Poaceae,FUZZY,96
Andropogon serratus,Andropogon serratus,SPECIES,ACCEPTED,,Poaceae,EXACT,99
Anethum graveolens,Anethum graveolens,SPECIES,ACCEPTED,,Apiaceae,EXACT,99
Anethum panmori,Anethum panmori,SPECIES,SYNONYM,Foeniculum vulgare,Apiaceae,EXACT,100
Anethum panmorium,Anethum panmorium,SPECIES,SYNONYM,Foeniculum vulgare,Apiaceae,EXACT,99
Anethum sowa,Anethum sowa,SPECIES,ACCEPTED,,Apiaceae,EXACT,99
Anethum sowa roxb,Anethum sowa,SPECIES,ACCEPTED,,Apiaceae,HIGHERRANK,99
Anethuni sowa,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Anisum,Anisum,GENUS,SYNONYM,,Apiaceae,EXACT,96
Annona reticulata,Annona reticulata,SPECIES,ACCEPTED,,Annonaceae,EXACT,99
Annona squamosa,Annona squamosa,SPECIES,ACCEPTED,,Annonaceae,EXACT,99
Anogeissus latifolia,Anogeissus latifolia,SPECIES,SYNONYM,Terminalia anogeissiana,Combretaceae,EXACT,99
Anona reticulata,Magnoliopsida,CLASS,ACCEPTED,,,HIGHERRANK,86
Anthemis pyrethrum,Asteraceae,FAMILY,ACCEPTED,,Asteraceae,HIGHERRANK,99
Anthericum juberosum,Anthericum,GENUS,ACCEPTED,,Asparagaceae,HIGHERRANK,95
Anthericum tuberosum,Chlorophytum,GENUS,ACCEPTED,,Asparagaceae,HIGHERRANK,99
Antilope picta,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Antiquorum,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Apium involucratum,Apium involucratum,SPECIES,SYNONYM,Psammogeton involucratum,Apiaceae,EXACT,99
Aquila agallocha,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Aquilaria agallocha,Aquilaria agallocha,SPECIES,ACCEPTED,,Thymelaeaceae,EXACT,99
Arabicus,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Arborea,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Ardea nivea,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
