species_canonical,gbif_matched_name,rank,status,accepted_name,family,match_type,confidence
Ardisia humilis,Ardisia humilis,SPECIES,ACCEPTED,,Primulaceae,EXACT,99
Ardisia solanacea,Ardisia solanacea,SPECIES,SYNONYM,Ardisia humilis,Primulaceae,EXACT,100
Areca,Areca,GENUS,ACCEPTED,,Arecaceae,HIGHERRANK,95
Areca catechu,Areca catechu,SPECIES,ACCEPTED,,Arecaceae,EXACT,100
Areca faufel,Areca faufel,SPECIES,SYNONYM,Areca catechu,Arecaceae,EXACT,100
Areca faufel or catechu,Areca faufel,SPECIES,SYNONYM,Areca catechu,Arecaceae,HIGHERRANK,100
Areca triandra,Areca triandra,SPECIES,ACCEPTED,,Arecaceae,EXACT,99
Argemone mexicana,Argemone mexicana,SPECIES,ACCEPTED,,Papaveraceae,EXACT,100
Argentea,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Argyreia argenteia,Argyreia argentea,SPECIES,ACCEPTED,,Convolvulaceae,FUZZY,95
Argyreia speciosa,Argyreia speciosa,SPECIES,ACCEPTED,,Convolvulaceae,EXACT,99
Argyreia speciosa or argentea,Argyreia speciosa,SPECIES,ACCEPTED,,Convolvulaceae,HIGHERRANK,99
Aristolochia indica,Aristolochia indica,SPECIES,ACCEPTED,,Aristolochiaceae,EXACT,100
Arjuna,Arjona,GENUS,ACCEPTED,,Schoepfiaceae,FUZZY,80
Aroidea,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,80
Aromatica,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Artemisia,Artemisia,SPECIES,ACCEPTED,,Asteraceae,EXACT,95
Artemisia abrotanum,Artemisia abrotanum,SPECIES,ACCEPTED,,Asteraceae,EXACT,99
Artemisia indica,Artemisia indica,SPECIES,ACCEPTED,,Asteraceae,EXACT,100
Artemisia sternutatoria,Artemisia sternutatoria,SPECIES,SYNONYM,Centipeda minima,Asteraceae,EXACT,100
Artemisia vulgaris,Artemisia vulgaris,SPECIES,ACCEPTED,,Asteraceae,EXACT,99
Artocarpus integrifolia,Artocarpus integrifolius,SPECIES,SYNONYM,Artocarpus integer,Moraceae,FUZZY,97
Artocarpus lacucha,Artocarpus lacucha,SPECIES,ACCEPTED,,Moraceae,EXACT,99
Artocarpus lacucha roxb,Artocarpus lacucha,SPECIES,ACCEPTED,,Moraceae,HIGHERRANK,99
Artocarpus lakuca,Artocarpus lacucha,SPECIES,ACCEPTED,,Moraceae,FUZZY,93
Artocarpus lakucha,Artocarpus lacucha,SPECIES,ACCEPTED,,Moraceae,FUZZY,95
Arum,Arum,GENUS,ACCEPTED,,Araceae,HIGHERRANK,95
Arum campanulatum,Arum campanulatum,SPECIES,SYNONYM,Amorphophallus paeoniifolius,Araceae,EXACT,100
Arum colocasia,Arum colocasia,SPECIES,SYNONYM,Colocasia esculenta,Araceae,EXACT,100
Arum indicum,Arum indicum,SPECIES,SYNONYM,Alocasia indica,Araceae,EXACT,100
Arum macrorrhizum,Arum macrorrhizon,SPECIES,SYNONYM,Alocasia macrorrhizos,Araceae,FUZZY,95
Arum orixense,Typhonium,GENUS,ACCEPTED,,Araceae,HIGHERRANK,99
Arundo bengalensis,Arundo bengalensis,SPECIES,ACCEPTED,,Poaceae,EXACT,99
Arundo karka,Arundo karka,SPECIES,SYNONYM,Phragmites karka,Poaceae,EXACT,100
Arundo tibialis,Arundo tibialis,SPECIES,ACCEPTED,,Poaceae,EXACT,99
Asa,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Asa fetida,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Asa foetida,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Ascalonicum,Ascalonicum,GENUS,SYNONYM,,Amaryllidaceae,EXACT,96
Asclepia rosea,Apocynaceae,FAMILY,ACCEPTED,,Apocynaceae,HIGHERRANK,85
Asclepias,Asclepias,GENUS,ACCEPTED,,Apocynaceae,HIGHERRANK,95
Asclepias acida,Asclepias acida,SPECIES,SYNONYM,Cynanchum acidum,Apocynaceae,EXACT,100
Asclepias curassavica,Asclepias curassavica,SPECIES,ACCEPTED,,Apocynaceae,EXACT,99
Asclepias echinata,Apocynaceae,FAMILY,ACCEPTED,,Apocynaceae,HIGHERRANK,99
Asclepias geminata,Asclepias geminata,SPECIES,SYNONYM,Gymnema sylvestre,Apocynaceae,EXACT,100
Asclepias gigantea,Calotropis,GENUS,ACCEPTED,,Apocynaceae,HIGHERRANK,99
Asclepias lactifera,Asclepias lactifera,SPECIES,SYNONYM,Gymnema lactiferum,Apocynaceae,EXACT,100
Asclepias pseudosarsa,Asclepias pseudosarsa,SPECIES,SYNONYM,Microloma tenuifolium,Apocynaceae,EXACT,100
Asclepias rosea,Apocynaceae,FAMILY,ACCEPTED,,Apocynaceae,HIGHERRANK,99
Asclepias rosea roxb,Apocynaceae,FAMILY,ACCEPTED,,Apocynaceae,HIGHERRANK,99
Asoka,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Asparagus,Asparagus,GENUS,ACCEPTED,,Asparagaceae,HIGHERRANK,95
Asparagus racemosa,Asparagus racemosus,SPECIES,ACCEPTED,,Asparagaceae,FUZZY,98
Asparagus racemosus,Asparagus racemosus,SPECIES,ACCEPTED,,Asparagaceae,EXACT,100
Asparagus racemosus willd,Asparagus racemosus,SPECIES,ACCEPTED,,Asparagaceae,HIGHERRANK,100
Aspera,Aspera,GENUS,SYNONYM,,Rubiaceae,EXACT,96
Asteracantha,Asteracantha,GENUS,SYNONYM,,Acanthaceae,EXACT,96
Asteracantha longifolia,Asteracantha longifolia,SPECIES,SYNONYM,Hygrophila auriculata,Acanthaceae,EXACT,100
Asthmatica,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Astonia scholaris,Astonia,GENUS,ACCEPTED,,Alismataceae,HIGHERRANK,96
Auriculatum,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Austriaca,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Autographis paniculata,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Avaria longifolia,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Averrhoa acida,Averrhoa acida,SPECIES,SYNONYM,Phyllanthus acidus,Phyllanthaceae,EXACT,100
Averrhoa carambola,Averrhoa carambola,SPECIES,ACCEPTED,,Oxalidaceae,EXACT,100
Azadirachta indica,Azadirachta indica,SPECIES,ACCEPTED,,Meliaceae,EXACT,100
Balanites roxburghii,Balanites roxburghii,SPECIES,SYNONYM,Balanites aegyptiaca,Zygophyllaceae,EXACT,100
Bambusa spinosa,Bambusa spinosa,SPECIES,ACCEPTED,,Poaceae,EXACT,99
Bambusa spinosa hamilt. roxb,Bambusa spinosa,SPECIES,ACCEPTED,,Poaceae,HIGHERRANK,99
Banyan,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Barleria,Barleria,GENUS,ACCEPTED,,Acanthaceae,EXACT,96
Barleria caerulea,Acanthaceae,FAMILY,ACCEPTED,,Acanthaceae,HIGHERRANK,99
Barleria caeruli,Acanthaceae,FAMILY,ACCEPTED,,Acanthaceae,HIGHERRANK,95
Barleria cristata,Barleria cristata,SPECIES,ACCEPTED,,Acanthaceae,EXACT,99
Barleria longifolia,Barleria longifolia,SPECIES,ACCEPTED,,Acanthaceae,EXACT,99
Barleria prionitis,Barleria prionitis,SPECIES,ACCEPTED,,Acanthaceae,EXACT,100
Barringtonia,Barringtonia,GENUS,ACCEPTED,,Lecythidaceae,EXACT,96
Barringtonia acutangula,Barringtonia acutangula,SPECIES,ACCEPTED,,Lecythidaceae,EXACT,99
Barringtonia acutangula gaertn,Barringtonia acutangula,SPECIES,ACCEPTED,,Lecythidaceae,HIGHERRANK,99
Basella,Basella,GENUS,ACCEPTED,,Basellaceae,EXACT,96
Basella cordifolia,Basella cordifolia,SPECIES,SYNONYM,Basella alba,Basellaceae,EXACT,100
Basella lucida,Basella lucida,SPECIES,SYNONYM,Basella alba,Basellaceae,EXACT,100
Basella rubra,Basella rubra,SPECIES,SYNONYM,Basella alba,Basellaceae,EXACT,100
Basilicum,Basilicum,GENUS,ACCEPTED,,Lamiaceae,EXACT,96
Basilicum pilosum benth,Basilicum,GENUS,ACCEPTED,,Lamiaceae,HIGHERRANK,96
Bassia,Bassia,GENUS,ACCEPTED,,Amaranthaceae,EXACT,95
Bassia latifolia,Magnoliopsida,CLASS,ACCEPTED,,,HIGHERRANK,99
Batatas edulis,Batatas edulis,SPECIES,SYNONYM,Ipomoea batatas,Convolvulaceae,EXACT,100
Batatas paniculata,Batatas paniculata,SPECIES,SYNONYM,Ipomoea mauritiana,Convolvulaceae,EXACT,100
Batatus paniculata,Batatas paniculata,SPECIES,SYNONYM,Ipomoea mauritiana,Convolvulaceae,FUZZY,88
Bauhinea purpurea,Bauhinia purpurea,SPECIES,ACCEPTED,,Fabaceae,FUZZY,86
Bauhinia candida,Bauhinia candida,SPECIES,SYNONYM,Bauhinia variegata,Fabaceae,EXACT,99
Bauhinia tomentosa,Bauhinia tomentosa,SPECIES,ACCEPTED,,Fabaceae,EXACT,99
Bauhinia variegata,Bauhinia variegata,SPECIES,ACCEPTED,,Fabaceae,EXACT,100
Bauhinia variegata purpurescens,Bauhinia variegata purpurascens,VARIETY,SYNONYM,Bauhinia variegata,Fabaceae,FUZZY,96
Beleric myrobalan,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Bellerica,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Bengalensis,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Benincasa cerifera,Benincasa cerifera,SPECIES,SYNONYM,Benincasa hispida,Cucurbitaceae,EXACT,100
Beninkasa cerifera,Benincasa cerifera,SPECIES,SYNONYM,Benincasa hispida,Cucurbitaceae,FUZZY,88
Benjamin,Benjamina,GENUS,SYNONYM,,Rutaceae,FUZZY,84
Benzoin,Benzoin,GENUS,ACCEPTED,,Lauraceae,EXACT,95
Berberis asiatica,Berberis asiatica,SPECIES,ACCEPTED,,Berberidaceae,EXACT,99
Beta bengalensis,Beta bengalensis,SPECIES,SYNONYM,Beta vulgaris,Amaranthaceae,EXACT,100
Betula,Betula,GENUS,ACCEPTED,,Betulaceae,HIGHERRANK,95
Betula bhojpatra,Betula bhojpatra,SPECIES,ACCEPTED,,Betulaceae,EXACT,99
Bhang,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Bhojapattra,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Bhojpatra,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Bicchati,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Bignonia,Bignonia,GENUS,ACCEPTED,,Bignoniaceae,EXACT,95
Bignonia chelonioides,Bignonia chelonoides,SPECIES,SYNONYM,Stereospermum chelonoides,Bignoniaceae,FUZZY,96
Bignonia indica,Bignoniaceae,FAMILY,ACCEPTED,,Bignoniaceae,HIGHERRANK,99
Bignonia suaveolens,Bignonia suaveolens,SPECIES,SYNONYM,Stereospermum chelonoides,Bignoniaceae,EXACT,100
Bignonia suaveolens roxb,Bignonia suaveolens,SPECIES,SYNONYM,Stereospermum chelonoides,Bignoniaceae,HIGHERRANK,100
Bishdori,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Blumea lacera,Blumea lacera,SPECIES,ACCEPTED,,Asteraceae,EXACT,99
Blyxa,Blyxa,GENUS,ACCEPTED,,Hydrocharitaceae,EXACT,96
Blyxa octandra,Blyxa octandra,SPECIES,ACCEPTED,,Hydrocharitaceae,EXACT,99
Blyxa octandra rich,Blyxa octandra,SPECIES,ACCEPTED,,Hydrocharitaceae,HIGHERRANK,99
Blyxa saivala,Blyxa saivala,SPECIES,SYNONYM,Blyxa octandra,Hydrocharitaceae,EXACT,100
Boerhavia,Boerhavia,GENUS,ACCEPTED,,Nyctaginaceae,EXACT,96
Boerhavia diffusa,Boerhavia diffusa,SPECIES,ACCEPTED,,Nyctaginaceae,EXACT,99
Boerhavia erecta,Boerhavia erecta,SPECIES,ACCEPTED,,Nyctaginaceae,EXACT,99
Boerhavia erecta rosea,Boerhavia erecta,SPECIES,ACCEPTED,,Nyctaginaceae,HIGHERRANK,99
Boerhavia procumbens,Boerhavia procumbens,SPECIES,SYNONYM,Boerhavia diffusa,Nyctaginaceae,EXACT,99
Bombax heptaphyllum,Bombax heptaphyllum,SPECIES,ACCEPTED,,Malvaceae,EXACT,99
Bombax heptaphyllus,Bombax heptaphyllum,SPECIES,ACCEPTED,,Malvaceae,FUZZY,96
Bombyx heptaphylum,Bombax heptaphyllum,SPECIES,ACCEPTED,,Malvaceae,FUZZY,86
Borassus flabelliformis,Borassus flabelliformis,SPECIES,SYNONYM,Borassus flabellifer,Arecaceae,EXACT,99
Boswellia,Boswellia,GENUS,ACCEPTED,,Burseraceae,HIGHERRANK,95
Boswellia serrata,Boswellia serrata,SPECIES,ACCEPTED,,Burseraceae,EXACT,99
Boswellia thurifera,Boswellia thurifera,SPECIES,SYNONYM,Boswellia serrata,Burseraceae,EXACT,99
Boswellia thurifera roxb,Boswellia thurifera,SPECIES,SYNONYM,Boswellia serrata,Burseraceae,HIGHERRANK,99
Bryonia grandis,Cucurbitaceae,FAMILY,ACCEPTED,,Cucurbitaceae,HIGHERRANK,99
Buchanania latifolia,Buchanania latifolia,SPECIES,SYNONYM,Buchanania cochinchinensis,Anacardiaceae,EXACT,100
Butea,Butea,GENUS,ACCEPTED,,Fabaceae,EXACT,95
Butea frondosa,Butea frondosa,SPECIES,ACCEPTED,,Fabaceae,EXACT,99
Cactus indicus,Cactus indicus,SPECIES,SYNONYM,Opuntia monacanthos,Cactaceae,EXACT,100
Cactus opuntia,Cactus opuntia,SPECIES,ACCEPTED,,Cactaceae,EXACT,99
Cadamba,Cadamba,GENUS,SYNONYM,,Rubiaceae,EXACT,96
Caesalpina bonducella,Caesalpinia bonducella,SPECIES,SYNONYM,Guilandina bonduc,Fabaceae,FUZZY,85
Caesalpina sappan,Caesalpinia sappan,SPECIES,SYNONYM,Biancaea sappan,Fabaceae,FUZZY,86
Caesalpinia bonducella,Caesalpinia bonducella,SPECIES,SYNONYM,Guilandina bonduc,Fabaceae,EXACT,99
Caesalpinia pulcherrima,Caesalpinia pulcherrima,SPECIES,ACCEPTED,,Fabaceae,EXACT,99
Caesalpinia sappan,Caesalpinia sappan,SPECIES,SYNONYM,Biancaea sappan,Fabaceae,EXACT,100
Cajanus indicus,Cajanus indicus,SPECIES,SYNONYM,Cajanus cajan,Fabaceae,EXACT,100
Cajanus indicus spreng,Cajanus indicus,SPECIES,SYNONYM,Cajanus cajan,Fabaceae,HIGHERRANK,100
Caladium,Caladium,GENUS,ACCEPTED,,Araceae,EXACT,96
Calamus,Calamus,GENUS,ACCEPTED,,Arecaceae,EXACT,95
Calamus fascicularis,Calamus fasciculatus,SPECIES,SYNONYM,Calamus viminalis,Arecaceae,FUZZY,96
Calamus fasciculatus,Calamus fasciculatus,SPECIES,SYNONYM,Calamus viminalis,Arecaceae,EXACT,100
Calamus rotang,Calamus rotang,SPECIES,ACCEPTED,,Arecaceae,EXACT,100
Calanius rotang,Calamus rotang,SPECIES,ACCEPTED,,Arecaceae,FUZZY,81
Calophyllum inophyllum,Calophyllum inophyllum,SPECIES,ACCEPTED,,Calophyllaceae,EXACT,99
Calosanthes,Calosanthes,GENUS,SYNONYM,,Bignoniaceae,EXACT,96
Calosanthes indica,Calosanthes indica,SPECIES,SYNONYM,Oroxylum indicum,Bignoniaceae,EXACT,100
Calotropis,Calotropis,GENUS,ACCEPTED,,Apocynaceae,HIGHERRANK,95
Calotropis gigantea,Calotropis gigantea,SPECIES,ACCEPTED,,Apocynaceae,EXACT,99
Calotropis gigantea alba,Calotropis gigantea,SPECIES,ACCEPTED,,Apocynaceae,HIGHERRANK,99
Campaka,Campana,GENUS,SYNONYM,,Bignoniaceae,FUZZY,84
Canna indica,Canna indica,SPECIES,ACCEPTED,,Cannaceae,EXACT,99
Cannabis sativa,Cannabis sativa,SPECIES,ACCEPTED,,Cannabaceae,EXACT,100
Canscora decussata,Canscora decussata,SPECIES,SYNONYM,Canscora alata,Gentianaceae,EXACT,100
Capparis aphylla,Capparis aphylla,SPECIES,SYNONYM,Capparis decidua,Capparaceae,EXACT,100
Capparis divaricata,Capparis divaricata,SPECIES,ACCEPTED,,Capparaceae,EXACT,100
