k1_slp1,k1_iast,species_canonical,species_raw,L_number,page_col,sense_citation,lexicographer_only,dcs_band,dcs_band_label
atibalA,atibalā,Annona squamosa,Annona Squamosa,2700,"12,3",,no,3,uncommon(10-99)
atimaNgalya,atimaṅgalya,Aegle,Aegle,2720,"12,3",,no,,
atimaNgalya,atimaṅgalya,Crataeva marmelos,Crataeva Marmelos,2720,"12,3",,no,,
atimukta,atimukta,Dalbergia oujeinensis,Dalbergia Oujeinensis,2733,"12,3",,no,2,rare(2-9)
atimukta,atimukta,Gaertnera racemosa,Gaertnera Racemosa,2734,"12,3",,no,2,rare(2-9)
atimodA,atimodā,Jasminum arboreum,Jasminum Arboreum,2745,"12,3",,no,2,rare(2-9)
atilomaSA,atilomaśā,Convolvulus argenteus,Convolvulus Argenteus,2779,"13,1",,no,,
ativizA,ativiṣā,Aconitum ferox,Aconitum Ferox,2799,"13,1",,no,4,common(100-999)
atyamla,atyamla,Spondias mangifera,Spondias Mangifera,2871,"13,1",,no,2,rare(2-9)
atyugra,atyugra,Asa foetida,Asa Foetida,2899,"13,2",,no,2,rare(2-9)
atikeSara,atikeśara,Trapa bispinosa,Trapa Bispinosa,2918,"13,2",,no,,
atiguhA,atiguhā,Hemionitis cordifolia,Hemionitis Cordifolia,2954,"13,3",,no,2,rare(2-9)
aticarA,aticarā,Hibiscus mutabilis,Hibiscus Mutabilis,2966,"13,3",,no,2,rare(2-9)
atidIpya,atidīpya,Plumbago rosea,Plumbago Rosea,3026,"14,1",,no,1,hapax(1)
atisAmyA,atisāmyā,Rubia manjith,Rubia Manjith,3276,"16,1",,no,,
atula,atula,Sesamum,Sesamum,3345,"16,2",,no,4,common(100-999)
atyantasukumAra,atyantasukumāra,Panicum italicum,Panicum Italicum,3430,"17,1",,no,,
atyAla,atyāla,Plumbago rosea,Plumbago Rosea,3478,"17,2",,no,,
atyUhA,atyūhā,Jasminum villosum,Jasminum Villosum,3497,"17,2",,no,,
atyUhA,atyūhā,Nyctanthes tristis,Nyctanthes Tristis,3497,"17,2",,no,,
adala,adala,Eugenia,Eugenia,3650.1,"18,1",,no,,
adala,adala,Barringtonia,Barringtonia,3650.1,"18,1",,no,,
adala,adala,Acutangula,Acutangula,3650.1,"18,1",,no,,
adalA,adalā,Socotorine aloe,Socotorine Aloe,3651,"18,1",,no,,
adalA,adalā,Perfoliata,Perfoliata,3651,"18,1",,no,,
adalA,adalā,Indica,Indica,3651,"18,1",,no,,
adButasAra,adbhutasāra,Mimosa catechu,Mimosa Catechu,3815,"19,1",,no,,
adrikarRI,adrikarṇī,Clitoria ternatea,Clitoria Ternatea,3867,"19,2",,no,2,rare(2-9)
adriBU,adribhū,Salvinia cucullata,Salvinia Cucullata,3885.1,"19,2",,no,,
aDaHpuzpI,adhaḥpuṣpī,Pimpinella anisum,Pimpinella Anisum,4035,"20,1",,no,2,rare(2-9)
aDaHpuzpI,adhaḥpuṣpī,Elephantopus scaber,Elephantopus Scaber,4035,"20,1",,no,2,rare(2-9)
aDaHpuzpI,adhaḥpuṣpī,Hieracium,Hieracium,4035,"20,1",,no,2,rare(2-9)
aDoGaRwA,adhoghaṇṭā,Achyranthes aspera,Achyranthes Aspera,4063,"20,1",,no,,
aDomuKA,adhomukhā,Premna esculenta,Premna Esculenta,4093,"20,2",,no,2,rare(2-9)
aDAmArgava,adhāmārgava,Achyranthes aspera,Achyranthes Aspera,4115,"20,2",,no,,
aDyakza,adhyakṣa,Mimusops kauki,Mimusops Kauki,4570,"23,1",,no,4,common(100-999)
aDyaRqA,adhyaṇḍā,Carpopogon pruriens,Carpopogon Pruriens,4576,"23,1",,no,1,hapax(1)
aDyaRqA,adhyaṇḍā,Flacourtia cataphracta,Flacourtia Cataphracta,4576,"23,1",,no,1,hapax(1)
aDripuzpalikA,adhripuṣpalikā,Piper betel,Piper Betel,4716,"23,3",,no,,
aDvagaBogya,adhvagabhogya,Spondias mangifera,Spondias Mangifera,4741,"24,1",,no,1,hapax(1)
aDvaSalya,adhvaśalya,Achyranthes aspera,Achyranthes Aspera,4747,"24,1",,no,,
aDvAntaSAtrava,adhvāntaśātrava,Cassia fistula,Cassia Fistula,4780,"24,1",,no,,
aDvAntaSAtrava,adhvāntaśātrava,Bignonia indica,Bignonia Indica,4780,"24,1",,no,,
anaqujjihvA,anaḍujjihvā,Elephantopus scaber,Elephantopus Scaber,4841,"24,2",,no,,
ananta,ananta,Vitex trifolia,Vitex Trifolia,4928,"25,1",,no,4,common(100-999)
anantA,anantā,Periploca indica,Periploca Indica,4937,"25,1",,no,3,uncommon(10-99)
anantA,anantā,Asclepias pseudosarsa,Asclepias Pseudosarsa,4937,"25,1",,no,3,uncommon(10-99)
anantA,anantā,Asthmatica,Asthmatica,4937,"25,1",,no,3,uncommon(10-99)
anala,anala,Plumbago zeylanica,Plumbago Zeylanica,5260,"26,2",,no,4,common(100-999)
anala,anala,Rosea,Rosea,5260,"26,2",,no,4,common(100-999)
anala,anala,Semecarpus anacardium,Semecarpus Anacardium,5260,"26,2",,no,4,common(100-999)
analapraBA,analaprabhā,Halicacabum cardiospermum,Halicacabum Cardiospermum,5267,"26,2",,no,2,rare(2-9)
anali,anali,Sesbana grandiflora,Sesbana Grandiflora,5276,"26,3",,no,1,hapax(1)
anAkrAntA,anākrāntā,Solanum jacquini,Solanum Jacquini,5433,"27,2",,no,1,hapax(1)
anAryaja,anāryaja,Agallochum,Agallochum,5636,"28,3",,no,,
anAryatikta,anāryatikta,Gentiana cherayta,Gentiana Cherayta,5639,"28,3",,no,2,rare(2-9)
anAryaka,anāryaka,Agallochum,Agallochum,5641,"28,3",,no,2,rare(2-9)
anAryaka,anāryaka,Aloe,Aloe,5641,"28,3",,no,2,rare(2-9)
anAryaka,anāryaka,Aquila agallocha,Aquila Agallocha,5641,"28,3",,no,2,rare(2-9)
anikzu,anikṣu,Saccharum spontaneum,Saccharum Spontaneum,5754,"29,2",,no,,
anirmAlyA,anirmālyā,Medicago esculenta,Medicago Esculenta,5885,"30,1",,no,,
anilaGnaka,anilaghnaka,Terminalia belerica,Terminalia Belerica,5916,"30,2",,no,1,hapax(1)
anizwA,aniṣṭā,Sida alba,Sida Alba,5967,"30,2",,no,,
anukUlA,anukūlā,Croton polyandrum,Croton Polyandrum,6101,"31,2",,no,1,hapax(1)
anutilam,anutilam,Sesamum,Sesamum,6355,"32,3",,no,,
anupAlu,anupālu,Caladium,Caladium,6733,"35,2",,no,1,hapax(1)
anupuzpa,anupuṣpa,Saccharum sara roxb,Saccharum Sara Roxb.,6759,"35,2",,no,,
anuruhA,anuruhā,Cyperus pertenius,Cyperus Pertenius,7137,"37,3",,no,,
anuzRa,anuṣṇa,Nymphaea caerulea,Nymphaea Caerulea,7512,"40,2",,no,3,uncommon(10-99)
antaHsattvA,antaḥsattvā,Semecarpus anacardium,Semecarpus Anacardium,8035,"43,2",,no,,
antikA,antikā,Echites scholaris,Echites Scholaris,8348,"44,3",,no,1,hapax(1)
antya,antya,Cyperus hexastachyus communis,Cyperus Hexastachyus Communis,8356,"44,3",,no,4,common(100-999)
antrI,antrī,Convolvulus argenteus,Convolvulus Argenteus,8387,"44,3",,no,,
antrI,antrī,Ipomoea pes caprae roth,Ipomoea Pes Caprae Roth.,8387,"44,3",,no,,
antrapAcaka,antrapācaka,Aeschynomene grandiflora,Aeschynomene Grandiflora,8392,"44,3",,no,1,hapax(1)
anDamUzikA,andhamūṣikā,Lepeocercis serrata,Lepeocercis Serrata,8435,"45,1",,no,,
anDula,andhula,Acacia sirissa,Acacia Sirissa,8471,"45,1",,no,,
apadaruhA,apadaruhā,Epidendron tesselloides,Epidendron Tesselloides,9222,"49,2",,no,,
aparAjitA,aparājitā,Clitoria ternatea,Clitoria Ternatea,9505,"51,1",,no,3,uncommon(10-99)
aparAjitA,aparājitā,Marsilea quadrifolia,Marsilea Quadrifolia,9505,"51,1",,no,3,uncommon(10-99)
aparAjitA,aparājitā,Sesbania aegyptiaca,Sesbania Aegyptiaca,9505,"51,1",,no,3,uncommon(10-99)
aparimlAna,aparimlāna,Gomphrena globosa,Gomphrena Globosa,9577,"51,2",,no,2,rare(2-9)
apavizA,apaviṣā,Kyllingia monocephala,Kyllingia Monocephala,9703,"52,2",,no,1,hapax(1)
apaSoka,apaśoka,Jonesia asoka,Jonesia Asoka,9789,"52,3",,no,1,hapax(1)
apAmArga,apāmārga,Achyranthes aspera,Achyranthes Aspera,10044,"54,2",AV.; VS.,no,4,common(100-999)
apAlaNka,apālaṅka,Cassia fistula,Cassia Fistula,10074,"54,3",,no,,
apucCA,apucchā,Dalbergia,Dalbergia,10260,"56,1",Śiś.,no,,
apuzpaPala,apuṣpaphala,Artocarpus integrifolia,Artocarpus Integrifolia,10296,"56,1",,no,,
apUraRI,apūraṇī,Bombax heptaphyllum,Bombax Heptaphyllum,10318,"56,2",,no,,
apetarAkzasI,apetarākṣasī,Ocimum sanctum,Ocimum Sanctum,10359,"56,2",,no,1,hapax(1)
apehivAtA,apehivātā,Paederia foetida,Paederia Foetida,10363,"56,2",Suśr.,no,1,hapax(1)
apodikA,apodikā,Basella rubra,Basella Rubra,10404,"56,3",L.,yes,,
apodikA,apodikā,Lucida,Lucida,10404,"56,3",L.,yes,,
aPala,aphala,Tamarix indica,Tamarix Indica,10914,"59,3",,no,4,common(100-999)
aPalA,aphalā,Aloe,Aloe,10915,"59,3",,no,1,hapax(1)
aPalA,aphalā,Aloes perfoliata,Aloes Perfoliata,10915,"59,3",,no,1,hapax(1)
aPalA,aphalā,Flacourtia cataphracta,Flacourtia Cataphracta,10916,"59,3",,no,1,hapax(1)
abala,abala,Tapia crataeva,Tapia Crataeva,10950,"60,1",,no,4,common(100-999)
abja,abja,Barringtonia acutangula,Barringtonia Acutangula,11022,"60,2",,no,4,common(100-999)
abda,abda,Cyperus rotundus,Cyperus Rotundus,11047,"60,2",,no,4,common(100-999)
aBayA,abhayā,Terminalia chebula,Terminalia Chebula,11130,"60,3",,no,4,common(100-999)
aBaya,abhaya,Andropogon muricatum,Andropogon Muricatum,11135,"60,3",,no,4,common(100-999)
aBIru,abhīru,Asparagus racemosus,Asparagus Racemosus,13001,"74,2",L.; Suśr.,no,3,uncommon(10-99)
aBra,abhra,Calamus rotang,Calamus Rotang,13688.7,"79,3",L.,yes,5,very-common(1000+)
aBra,abhra,Cyperus rotundus,Cyperus Rotundus,13688.8,"79,3",L.,yes,5,very-common(1000+)
aBrapuzpa,abhrapuṣpa,Calamus rotang,Calamus Rotang,13699,"79,3",L.,yes,1,hapax(1)
aBramAMsI,abhramāṃsī,Valeriana jaṭāmāṃsī,Valeriana Jaṭāmāṃsī,13702,"79,3",L.,yes,,
amaNgala,amaṅgala,Ricinus communis,Ricinus Communis,13772,"80,1",L.,yes,3,uncommon(10-99)
amaRqa,amaṇḍa,Ricinus communis,Ricinus Communis,13778,"80,1",,no,,
amara,amara,Euphorbia tirucalli,Euphorbia Tirucalli,13865,"80,2",Suśr.,no,4,common(100-999)
amara,amara,Tiaridium indicum,Tiaridium Indicum,13866,"80,2",L.,yes,4,common(100-999)
amarA,amarā,Panicum dactylon,panicum Dactylon,13876,"80,3",L.,yes,2,rare(2-9)
amarA,amarā,Cocculus cordifolius,Cocculus Cordifolius,13876,"80,3",L.,yes,2,rare(2-9)
amarI,amarī,Sanseviera roxburghiana,Sanseviera Roxburghiana,13877,"80,3",L.,yes,2,rare(2-9)
amaradAru,amaradāru,Pinus deodaru roxb,Pinus Deodaru Roxb.,13892,"80,3",,no,3,uncommon(10-99)
amarapuzpa,amarapuṣpa,Saccharum spontaneum,Saccharum Spontaneum,13902,"80,3",,no,,
amarapuzpa,amarapuṣpa,Pandanus odoratissimus,Pandanus Odoratissimus,13902,"80,3",,no,,
amarapuzpa,amarapuṣpa,Magnifera indica,Magnifera Indica,13902,"80,3",,no,,
amarapuzpikA,amarapuṣpikā,Anethum sowa roxb,Anethum Sowa Roxb.,13904,"80,3",L.,yes,,
amaravallarI,amaravallarī,Cassyta filiformis,Cassyta Filiformis,13917,"80,3",L.,yes,,
amalA,amalā,Emblica officinalis gaertn,Emblica Officinalis Gaertn.,13985,"81,1",L.,yes,2,rare(2-9)
amalAtaka,amalātaka,Gomphrena globosa,Gomphrena Globosa,14000,"81,1",,no,,
amUlA,amūlā,Methonica superba,Methonica Superba,14192,"82,1",L.,yes,,
amfRAla,amṛṇāla,Kaskas,Kaskas,14196,"82,2",,no,2,rare(2-9)
amfRAla,amṛṇāla,Andropogon muricatus,Andropogon Muricatus,14196,"82,2",,no,2,rare(2-9)
amfta,amṛta,Phaseolus trilobus ait,Phaseolus Trilobus Ait.,14198.16,"82,2",,no,5,very-common(1000+)
amftA,amṛtā,Emblica officinalis,Emblica Officinalis,14198.24,"82,2",,no,4,common(100-999)
amftA,amṛtā,Terminalia citrina roxb,Terminalia Citrina Roxb.,14198.24,"82,2",,no,4,common(100-999)
amftA,amṛtā,Cocculus cordifolius,Cocculus Cordifolius,14198.24,"82,2",,no,4,common(100-999)
amftA,amṛtā,Piper longum,Piper Longum,14198.24,"82,2",,no,4,common(100-999)
amftA,amṛtā,Ocimum sanctum,Ocimum Sanctum,14198.24,"82,2",,no,4,common(100-999)
amftajawA,amṛtajaṭā,Valeriana jaṭāmāṃsī,Valeriana Jaṭāmāṃsī,14208,"82,2",,no,,
amftajA,amṛtajā,Myrobalan,Myrobalan,14209,"82,2",,no,,
amftaPala,amṛtaphala,Trichosanthes dioeca roxb,Trichosanthes Dioeca Roxb.,14228,"82,2",,no,2,rare(2-9)
amftaPala,amṛtaphala,Trichosanthes dioeca roxb,Trichosanthes Dioeca Roxb.,14230,"82,2",,no,2,rare(2-9)
amftaPalA,amṛtaphalā,Emblica officinalis gaertn,Emblica Officinalis Gaertn.,14232,"82,2",,no,2,rare(2-9)
amftavallarI,amṛtavallarī,Cocculus cordifolius,Cocculus Cordifolius,14256,"82,3",Suśr.,no,2,rare(2-9)
amftAPala,amṛtāphala,Trichosanthes,Trichosanthes,14278,"82,3",L.,yes,2,rare(2-9)
amoGA,amoghā,Bignonia suaveolens roxb,Bignonia Suaveolens Roxb.,14358,"83,1",,no,3,uncommon(10-99)
amoGA,amoghā,Erycibe paniculata roxb,Erycibe Paniculata Roxb.,14359,"83,1",,no,3,uncommon(10-99)
amoGA,amoghā,Terminalia citrina roxb,Terminalia Citrina Roxb.,14360,"83,1",,no,3,uncommon(10-99)
ambarIza,ambarīṣa,Spondias magnifera,Spondias Magnifera,14428,"83,2",L.,yes,4,common(100-999)
ambazWA,ambaṣṭhā,Jasminum auriculatum,Jasminum Auriculatum,14439,"83,2",L.,yes,3,uncommon(10-99)
ambazWA,ambaṣṭhā,Clypea hernandifolia,Clypea Hernandifolia,14440,"83,2",Suśr.,no,3,uncommon(10-99)
ambazWA,ambaṣṭhā,Oxalis corniculata,Oxalis Corniculata,14441,"83,2",Suśr.,no,3,uncommon(10-99)
ambazWakI,ambaṣṭhakī,Clypea hernandifolia,Clypea Hernandifolia,14443,"83,2",L.,yes,2,rare(2-9)
ambazWikA,ambaṣṭhikā,Clerodendrum siphonanthus,Clerodendrum Siphonanthus,14444,"83,2",,no,2,rare(2-9)
ambikA,ambikā,Wrightia antidysenterica,Wrightia Antidysenterica,14471,"83,3",,no,4,common(100-999)
ambu,ambu,Andropogon,Andropogon,14481,"83,3",VarBṛS.; Bhpr.,no,4,common(100-999)
ambukapi,ambukapi,Delphinus gangeticus,Delphinus Gangeticus,14486,"1315,3",L.,yes,,
ambukISa,ambukīśa,Delphinus gangeticus,Delphinus Gangeticus,14487,"83,3",L.,yes,,
ambucAmara,ambucāmara,Vallisneria,Vallisneria,14494,"83,3",,no,,
ambuja,ambuja,Barringtonia acutangula gaertn,Barringtonia Acutangula Gaertn.,14496.1,"83,3",,no,4,common(100-999)
ambuja,ambuja,Nymphaea nelumbo,Nymphaea Nelumbo,14497,"83,3",,no,4,common(100-999)
ambujanman,ambujanman,Nymphaea nelumbo,Nymphaea Nelumbo,14499,"83,3",Naiṣ.,no,2,rare(2-9)
ambutAla,ambutāla,Vallisneria,Vallisneria,14505,"83,3",,no,,
ambuda,ambuda,Cyperus hexastachyus communis,Cyperus Hexastachyus Communis,14506,"83,3",,no,4,common(100-999)
ambuDisravA,ambudhisravā,Aloes perfoliata,Aloes Perfoliata,14513,"83,3",,no,1,hapax(1)
ambupa,ambupa,Cassia tora,Cassia Tora,14517,"83,3",L.,yes,2,rare(2-9)
ambupa,ambupa,Alata,Alata,14517,"83,3",L.,yes,2,rare(2-9)
