k1_slp1,k1_iast,species_canonical,species_raw,L_number,page_col,sense_citation,lexicographer_only,dcs_band,dcs_band_label
aMSumatI,aṃśumatī,Hedysarum gangeticum,Hedysarum Gangeticum,72,"1,2",Suśr.,no,,
aMSumatPalA,aṃśumatphalā,Musa paradisiaca,Musa Paradisiaca,73,"1,2",,no,,
akarA,akarā,Emblic myrobalan,Emblic Myrobalan,168,"1,3",,no,,
akarA,akarā,Phyllanthus emblica,Phyllanthus Emblica,168,"1,3",,no,,
akowa,akoṭa,Areca,Areca,369,"2,3",L.,yes,,
akzapIqa,akṣapīḍa,Chrysopogon acicularis,Chrysopogon Acicularis,441,"3,1",Suśr.,no,1,hapax(1)
akza,akṣa,Elaeocarpus ganitrus,Elaeocarpus Ganitrus,458,"3,1",,no,5,very-common(1000+)
akza,akṣa,Beleric myrobalan,Beleric Myrobalan,460,"3,1",,no,5,very-common(1000+)
akza,akṣa,Terminalia belerica,Terminalia Belerica,460,"3,1",,no,5,very-common(1000+)
akzaDara,akṣadhara,Trophis aspera,Trophis Aspera,482,"3,1",,no,,
akzamAlA,akṣamālā,Eleocarpus,Eleocarpus,495,"3,2",,no,3,uncommon(10-99)
akzasUtra,akṣasūtra,Eleocarpus,Eleocarpus,509,"3,2",,no,2,rare(2-9)
akzastuza,akṣastuṣa,Beleric myrobalan,Beleric Myrobalan,510,"3,2",,no,1,hapax(1)
akzaka,akṣaka,Dalbergia oujeinensis,Dalbergia Oujeinensis,537,"3,2",,no,3,uncommon(10-99)
akzara,akṣara,Achyranthes aspera,Achyranthes Aspera,592,"3,3",,no,5,very-common(1000+)
akziBezaja,akṣibheṣaja,Red lodh,Red Lodh,652,"3,3",,no,2,rare(2-9)
akzika,akṣika,Dalbergia oujeinensis,Dalbergia Oujeinensis,671,"4,1",L.,yes,1,hapax(1)
akzIba,akṣība,Guilandina,Guilandina,693,"4,1",L.; L.; L.,yes,3,uncommon(10-99)
akzIba,akṣība,Hyperanthera moringa,Hyperanthera Moringa,693,"4,1",L.; L.; L.,yes,3,uncommon(10-99)
akzowa,akṣoṭa,Aleurites triloba,Aleurites Triloba,717,"4,1",Suśr.,no,3,uncommon(10-99)
aKawwa,akhaṭṭa,Buchanania latifolia,Buchanania Latifolia,730,"4,1",,no,,
agarI,agarī,Andropogon serratus,Andropogon Serratus,812,"4,3",L.,yes,,
agaru,agaru,Agallochum,Agallochum,814,"4,3",,no,3,uncommon(10-99)
agaru,agaru,Amyris agallocha,Amyris Agallocha,814,"4,3",,no,3,uncommon(10-99)
agasti,agasti,Agasti grandiflora,Agasti Grandiflora,823,"4,3",Suśr.; L.,no,3,uncommon(10-99)
agastIya,agastīya,Agasti,Agasti,826,"4,3","Pāṇ. vi, 4, 149",no,,
aguru,aguru,Aloe,Aloe,866,"5,1",,no,4,common(100-999)
aguru,aguru,Aquilaria agallocha,Aquilaria Agallocha,866,"5,1",,no,4,common(100-999)
agUQaganDa,agūḍhagandha,Asa foetida,Asa Foetida,868,"5,1",,no,2,rare(2-9)
agni,agni,Semecarpus anacardium,Semecarpus Anacardium,895,"5,1",Suśr.,no,5,very-common(1000+)
agni,agni,Plumbago zeylanica,Plumbago Zeylanica,895,"5,1",Suśr.,no,5,very-common(1000+)
agni,agni,Rosea,Rosea,895,"5,1",Suśr.,no,5,very-common(1000+)
agni,agni,Citrus acida,Citrus Acida,895,"5,1",Suśr.,no,5,very-common(1000+)
agnikAzWa,agnikāṣṭha,Agallochum,Agallochum,905,"5,1",L.,yes,1,hapax(1)
agnijihvA,agnijihvā,Methonica superba,Methonica Superba,939,"5,2",,no,1,hapax(1)
agnijvAlA,agnijvālā,Grislea tomentosa,Grislea Tomentosa,943,"5,2",,no,2,rare(2-9)
agnidamanI,agnidamanī,Solanum jacquini,Solanum Jacquini,960,"5,2",,no,2,rare(2-9)
agnimanTa,agnimantha,Premna spinosa,Premna Spinosa,1020,"5,2",Suśr.,no,3,uncommon(10-99)
agnimuKa,agnimukha,Semecarpus anacardium,Semecarpus Anacardium,1030.2,"5,3",,no,2,rare(2-9)
agnimuKa,agnimukha,Plumbago zeylanica,Plumbago Zeylanica,1030.3,"5,3",L.,yes,2,rare(2-9)
agnimuKI,agnimukhī,Semecarpus anacardium,Semecarpus Anacardium,1030.5,"5,3",,no,2,rare(2-9)
agnimuKI,agnimukhī,Gloriosa,Gloriosa,1030.6,"5,3",,no,2,rare(2-9)
agnimuKI,agnimukhī,Methonica,Methonica,1030.6,"5,3",,no,2,rare(2-9)
agnimuKI,agnimukhī,Superba,Superba,1030.6,"5,3",,no,2,rare(2-9)
agnivallaBa,agnivallabha,Shorea robusta,Shorea Robusta,1053,"5,3",,no,2,rare(2-9)
agniSiKA,agniśikhā,Gloriosa superba,Gloriosa Superba,1085,"5,3",ŚBr.,no,2,rare(2-9)
agniSiKA,agniśikhā,Menispermum cordifolium,Menispermum Cordifolium,1085,"5,3",ŚBr.,no,2,rare(2-9)
agnika,agnika,Semecarpus anacardium,Semecarpus Anacardium,1185,"6,2",,no,3,uncommon(10-99)
agraparRI,agraparṇī,Carpopogon pruriens,Carpopogon Pruriens,1243,"6,2",,no,,
agrimA,agrimā,Annona reticulata,Annona Reticulata,1303,"6,3",,no,,
aNkapAlI,aṅkapālī,Medicago esculenta,Medicago Esculenta,1439,"7,2",,no,,
aNkowa,aṅkoṭa,Alangium hexapetalum,Alangium Hexapetalum,1487,"7,2",,no,2,rare(2-9)
aNganApriya,aṅganāpriya,Jonesia asoca,Jonesia Asoca,1629,"8,1",,no,1,hapax(1)
aNgAraparRI,aṅgāraparṇī,Clerodendron siphonanthus,Clerodendron Siphonanthus,1646,"8,1",,no,,
aNgArapuzpa,aṅgārapuṣpa,Ingua,Ingua,1648,"8,1",,no,,
aNgAramaYjarI,aṅgāramañjarī,Cesalpinia banducella,Cesalpinia Banducella,1649,"8,1",,no,,
aNgAravallarI,aṅgāravallarī,Galedupa arborea,Galedupa Arborea,1651,"8,1",,no,2,rare(2-9)
aNgAravallarI,aṅgāravallarī,Ovieda verticallata,Ovieda Verticallata,1651,"8,1",,no,2,rare(2-9)
aNgAraka,aṅgāraka,Eclipta,Eclipta,1669,"8,1",,no,3,uncommon(10-99)
aNgAraka,aṅgāraka,Verbesina,Verbesina,1669,"8,1",,no,3,uncommon(10-99)
aNgAraka,aṅgāraka,Prostrata,Prostrata,1669,"8,1",,no,3,uncommon(10-99)
aNgAraka,aṅgāraka,Amaranth,Amaranth,1669,"8,1",,no,3,uncommon(10-99)
aNgArikA,aṅgārikā,Butea frondosa,Butea Frondosa,1677,"8,1",,no,,
aNGriparRI,aṅghriparṇī,Hedysarum lagopodioides,Hedysarum Lagopodioides,1762,"8,3",,no,1,hapax(1)
acyuta,acyuta,Morinda tinctoria,Morinda Tinctoria,1909.6,"9,2",,no,4,common(100-999)
acyutavAsa,acyutavāsa,Ficus religiosa,Ficus Religiosa,1921,"9,2",,no,,
ajakarRa,ajakarṇa,Terminalia alata tomentosa,Terminalia Alata Tomentosa,1946,"9,2",,no,3,uncommon(10-99)
ajakarRaka,ajakarṇaka,Shorea robusta,Shorea Robusta,1947,"9,2",,no,2,rare(2-9)
ajaganDA,ajagandhā,Ocimum gratissimum,Ocimum Gratissimum,1951,"9,2",,no,3,uncommon(10-99)
ajamoda,ajamoda,Ajwaen,Ajwaen,1988,"9,3",,no,3,uncommon(10-99)
ajamoda,ajamoda,Ligusticum ajowan,Ligusticum Ajowan,1988,"9,3",,no,3,uncommon(10-99)
ajamoda,ajamoda,Apium involucratum,Apium Involucratum,1988,"9,3",,no,3,uncommon(10-99)
ajaloman,ajaloman,Carpopogon pruriens,Carpopogon Pruriens,1993,"9,3",,no,,
ajaSfNgI,ajaśṛṅgī,Odina wodier,Odina Wodier,2001,"9,3",AV.,no,3,uncommon(10-99)
ajAntrI,ajāntrī,Convolvulus argenteus,Convolvulus Argenteus,2015,"9,3",,no,2,rare(2-9)
ajawA,ajaṭā,Flacourtia cataphracta,Flacourtia Cataphracta,2052,"9,3",,no,2,rare(2-9)
ajaqA,ajaḍā,Carpopogon pruriens,Carpopogon Pruriens,2054,"9,3",,no,2,rare(2-9)
ajarA,ajarā,Aloe perfoliata,Aloe Perfoliata,2086,"10,1",,no,2,rare(2-9)
ajAgara,ajāgara,Eclipta,Eclipta,2103,"10,1",,no,,
ajAgara,ajāgara,Verbesina prostrata,Verbesina Prostrata,2103,"10,1",,no,,
ajAji,ajāji,Cuminum cyminum,Cuminum Cyminum,2104,"10,1",,no,3,uncommon(10-99)
ajAji,ajāji,Ficus oppositifolia,Ficus Oppositifolia,2104,"10,1",,no,3,uncommon(10-99)
ajAji,ajāji,Nigella indica,Nigella Indica,2104,"10,1",,no,3,uncommon(10-99)
ajJawA,ajjhaṭā,Flacourtia cataphracta,Flacourtia Cataphracta,2202,"10,3",,no,,
aYjana,añjana,Xanthorrhiza,Xanthorrhiza,2276,"11,1",,no,4,common(100-999)
aYjalikArikA,añjalikārikā,Mimosa natans,Mimosa Natans,2326,"11,1",,no,2,rare(2-9)
aYjIra,añjīra,Ficus oppositifolia,Ficus Oppositifolia,2335,"11,2",,no,,
awaruza,aṭaruṣa,Justicia adhatoda,Justicia Adhatoda,2356,"11,2",,no,,
awwahAsaka,aṭṭahāsaka,Jasminum multiflorum,Jasminum Multiflorum,2367,"11,2",,no,1,hapax(1)
awwahAsaka,aṭṭahāsaka,Hirsutum,Hirsutum,2367,"11,2",,no,1,hapax(1)
aRavya,aṇavya,Panicum miliaceum,Panicum Miliaceum,2393,"11,3","Pāṇ. v, 2, 4",no,,
aRu,aṇu,Panicum miliaceum,Panicum Miliaceum,2415,"11,3",VS.; ŚBr. xiv; MuṇḍUp.,no,4,common(100-999)
aRupriyaNgu,aṇupriyaṅgu,Panicum miliaceum,Panicum Miliaceum,2423.1,"1309,3",ŚBr.,no,,
aRupriyaNgu,aṇupriyaṅgu,Panicum italicum,Panicum Italicum,2423.1,"1309,3",ŚBr.,no,,
aRurevatI,aṇurevatī,Croton polyandrum,Croton Polyandrum,2431,"11,3",,no,1,hapax(1)
aRqakowarapuzpI,aṇḍakoṭarapuṣpī,Convolvulus argenteus,Convolvulus Argenteus,2455,"11,3",,no,,
atasI,atasī,Linum usitatissimum,Linum Usitatissimum,2558,"12,2",,no,3,uncommon(10-99)
atasI,atasī,Crotolaria juncea,Crotolaria Juncea,2559,"12,2",,no,3,uncommon(10-99)
atiganDa,atigandha,Andropogon schaenunthes,Andropogon Schaenunthes,2591,"12,2",,no,2,rare(2-9)
atiganDa,atigandha,Michelia champaca,Michelia Champaca,2592,"12,2",,no,2,rare(2-9)
aticCattrA,aticchattrā,Anisum,Anisum,2617,"12,2",,no,,
aticCattrA,aticchattrā,Anethum sowa,Anethum Sowa,2617,"12,2",,no,,
aticCattrA,aticchattrā,Barleria longifolia,Barleria Longifolia,2617,"12,2",,no,,
atibalA,atibalā,Sidonia cordifolia,Sidonia Cordifolia,2700,"12,3",,no,3,uncommon(10-99)
atibalA,atibalā,Rhombifolia,Rhombifolia,2700,"12,3",,no,3,uncommon(10-99)
