whitney_id,root,in_MW,mw_L,mw_classes,dcs_status,dcs_freq
1,aṃh,yes,114,,matched,0
2,1 akṣ,yes,423,"1,5",homonym_shared,4
3,2 akṣ,yes,423,"1,5",homonym_shared,4
4,aṅg,yes,1492,"1P,10P",matched,4
5,ac,yes,1767,"1P,1Ā",unmatched,0
6,aj,yes,1927,1P,matched,55
7,añj,yes,2267,"7P,7Ā",matched,708
8,aṭ,yes,2337,"1P,1Ā",matched,60
9,aṇṭh,yes,2447,1Ā,matched,0
10,at,yes,2490,"1P,1Ā",matched,8
11,ad,yes,3575,2P,matched,699
12,an,yes,4782,2P,matched,10
13,am,yes,13748,0Ā,matched,14
14,ay,no,,,unmatched,0
15,arc,yes,15701,"1P,1Ā",matched,413
16,arj,no,,,unmatched,0
17,art,no,,,unmatched,0
18,arh,yes,16483,"1P,1Ā",matched,2380
19,av,yes,16938,1P,matched,867
20,1 aś,yes,19412,"0Ā,0P",homonym_shared,1948
21,2 aś,yes,19412,"0Ā,0P",homonym_shared,1948
22,1 as,yes,20353,"2P,2Ā",homonym_shared,35753
23,2 as,yes,20353,"2P,2Ā",homonym_shared,35753
24,ah,yes,21629,,matched,9447
25,āñch,yes,23212,0,matched,5
26,āp,yes,24743,"5P,5Ā",matched,2314
27,ār,yes,25983,4P,matched,6
28,ās,yes,27851,2Ā,matched,1955
29,1 i,yes,28539,"2P,2Ā",homonym_shared,3673
30,2 i,yes,28539,"2P,2Ā",homonym_shared,3673
31,iṅg,yes,28638,"1P,1Ā",matched,15
32,ich,no,,,homonym_shared,4842
33,iṭ,yes,28677,1P,unmatched,0
34,iḍ,no,,,homonym_shared,352
35,idh,yes,29258,7Ā,unmatched,0
36,in,no,,,unmatched,0
37,inakṣ,no,,,matched,11
38,iyakṣ,no,,,matched,27
39,irajy,no,,,matched,14
40,iradh,no,,,matched,1
41,il,yes,29396,"6P,10P",matched,0
42,1 iṣ,yes,29439,"1P,1Ā,4P,4Ā",homonym_shared,4842
43,2 iṣ,yes,29439,"1P,1Ā,4P,4Ā",homonym_shared,4842
44,ī,no,,,matched,192
45,īkṣ,yes,29695,1Ā,matched,473
46,īṅkh,yes,29714,1P,matched,1
47,īj,no,,,matched,0
48,īḍ,yes,29721,"2Ā,2P",homonym_shared,352
49,īr,yes,29761,"2Ā,2P",matched,87
50,īrṣy,yes,29797,1P,matched,4
51,īś,yes,29827,2Ā,matched,425
52,īṣ,yes,29921,"1Ā,1P",matched,24
53,īh,yes,29985,"1Ā,1P",matched,101
54,u,no,,,matched,1
55,1 ukṣ,yes,30072,"1P,1Ā",homonym_shared,191
56,2 ukṣ,yes,30072,"1P,1Ā",homonym_shared,191
57,uc,yes,30209,"4P,4Ā",matched,51
58,uch,no,,,unmatched,0
59,ujh,yes,30600,6P,matched,50
60,uñch,yes,30615,"1,6P",matched,9
61,ud,yes,32059,"7P,6P,6Ā",unmatched,0
62,ubj,yes,37050,6P,matched,15
63,ubh,yes,37051,"9P,6P",matched,4
64,1 uṣ,no,,,homonym_shared,33
65,2 uṣ,no,,,homonym_shared,33
66,1 ūrṇu,no,,,unmatched,0
67,1 ūh,yes,38375,"1P,1Ā",homonym_shared,98
68,2 ūh,yes,38375,"1P,1Ā",homonym_shared,98
69,ṛ,yes,38410,"1,3,5P,5Ā",unmatched,0
70,ṛc,no,,,unmatched,0
71,1 ṛj,yes,15739,"1P,1Ā",homonym_shared,44
72,2 ṛj,yes,15739,"1P,1Ā",homonym_shared,44
73,ṛt,yes,38911,0Ā,unmatched,0
74,ṛd,yes,16095,"6P,1P,7",matched,6
75,ṛdh,yes,38930,"6,2,4,5,7P",matched,392
76,ṛś,no,,,unmatched,0
77,ṛṣ,yes,39001,1P,matched,147
78,ej,yes,39975,"1P,1Ā",matched,85
79,edh,yes,40096,"1Ā,1P",matched,172
80,katth,yes,42681,1Ā,matched,28
81,kath,no,,,matched,57
82,kad,yes,42779,1Ā,unmatched,0
83,kan,yes,46909,0,matched,56
84,kam,yes,43768,"1Ā,1P",matched,82
85,kamp,yes,43913,"1Ā,1P",matched,237
86,kal,yes,45580,"10P,10Ā",matched,1
87,kaṣ,yes,46728,"1P,1Ā",matched,10
88,kas,yes,46861,1P,matched,0
89,kā,no,,,unmatched,0
90,kāṅkṣ,yes,47271,"1P,1Ā",matched,202
91,kāś,yes,49812,"1Ā,4P,4Ā",matched,45
92,kās,yes,50091,"1Ā,1P",matched,10
93,ku,no,,,unmatched,0
94,kuc,yes,51417,"1P,6P",unmatched,0
95,kuñj,yes,51471,1P,unmatched,0
96,kuṭṭ,yes,51676,10,matched,4
97,kuṇṭh,yes,51824,"1P,10",unmatched,0
98,kuth,yes,52041,4P,unmatched,0
99,kup,yes,52181,"4P,4Ā",matched,521
100,kuṣ,yes,53477,"9P,6",matched,5
101,kū,yes,53778,"2P,1Ā,6,9P,9Ā,1P",matched,1
102,kūj,yes,53796,1P,matched,101
103,kūḍ,yes,53917,10P,matched,0
104,kūṇ,yes,53919,"1P,1Ā",unmatched,0
105,kūrd,yes,54039,"1P,1Ā",matched,4
106,1 kṛ,yes,54148,"2P,2Ā,1P,1Ā,5P,5Ā,8P,8Ā",homonym_shared,40799
107,2 kṛ,yes,54148,"2P,2Ā,1P,1Ā,5P,5Ā,8P,8Ā",homonym_shared,40799
108,3 kṛ,yes,54148,"2P,2Ā,1P,1Ā,5P,5Ā,8P,8Ā",homonym_shared,40799
109,1 kṛt,yes,54777,"6P,6Ā,1P",homonym_shared,220
110,2 kṛt,yes,54777,"6P,6Ā,1P",homonym_shared,220
111,kṛp,yes,54858,"6Ā,10P",matched,14
112,kṛś,yes,55010,4P,matched,8
113,kṛṣ,yes,55083,"1P,1Ā,6P,6Ā",matched,360
114,kḷp,yes,55571,"1Ā,1P",unmatched,0
115,knū,yes,57606,"1Ā,1P",unmatched,0
116,krakṣ,yes,57647,0,unmatched,0
117,krath,yes,57713,1P,unmatched,0
118,krand,yes,57730,"1P,1Ā",matched,183
119,kram,yes,57749,"1P,1Ā,4P,4Ā",matched,414
120,krī,yes,58088,"9P,9Ā",matched,439
121,krīḍ,yes,58135,"1P,1Ā",matched,494
122,kru,no,,,unmatched,0
123,krudh,yes,58231,"4P,4Ā",matched,1659
124,kruś,yes,58298,"1P,1Ā",matched,238
125,krūḍ,yes,58229,"6P,10P",unmatched,0
126,klath,yes,58538,1P,unmatched,0
127,kland,no,,,unmatched,0
128,klam,yes,58545,"1,4",matched,90
129,klav,yes,58562,1Ā,unmatched,0
130,klid,yes,58564,"4Ā,4P",matched,125
131,kliś,yes,58603,"9P,4P,4Ā",matched,213
132,kvaṇ,yes,58692,1P,matched,28
133,kvath,yes,58702,1Ā,matched,91
134,kṣad,yes,58898,1Ā,matched,7
135,kṣan,yes,58916,"8P,8Ā",matched,276
136,kṣap,yes,58968,"1P,1Ā",matched,16
137,kṣam,yes,59030,"1Ā,1P,2P,4P,4Ā",matched,439
138,kṣar,yes,59141,"1P,1Ā,2P",matched,220
139,kṣal,yes,59234,10P,unmatched,0
140,kṣā,yes,60470,1P,matched,1
141,1 kṣi,yes,59266,1P,homonym_shared,1181
142,2 kṣi,yes,59266,1P,homonym_shared,1181
143,kṣip,yes,59502,"6P,6Ā,4P,4Ā",matched,2461
144,kṣu,yes,59841,2P,matched,20
145,kṣud,yes,59877,"1P,1Ā,7P,7Ā",matched,60
146,kṣudh,yes,60072,4P,matched,98
147,kṣup,yes,60118,6P,unmatched,0
148,kṣubh,yes,60128,"1Ā,4P,4Ā,5P,9P,9Ā",matched,236
149,kṣṇu,yes,60596,2P,matched,9
150,kṣmā,no,,,unmatched,0
151,kṣviḍ,yes,60633,1P,homonym_shared,17
152,kṣvid,no,,,homonym_shared,17
153,kṣvel,yes,60659,1P,unmatched,0
154,khac,yes,60863,"1P,9P,10P",matched,18
155,khañj,yes,60884,1P,matched,5
156,khad,yes,61228,6P,homonym_shared,369
157,khan,yes,61265,"1P,1Ā",matched,352
158,kharj,yes,61509,1P,matched,1
159,khall,yes,61663,1Ā,unmatched,0
160,khā,no,,,unmatched,0
161,khād,yes,61789,"1P,1Ā",homonym_shared,369
162,khid,yes,61905,"6,7Ā,4Ā,4P",matched,141
163,khud,yes,61977,6P,matched,1
164,khel,yes,62053,1P,matched,7
165,khyā,yes,62110,"2P,2Ā",matched,777
166,gach,no,,,homonym_shared,18341
167,gad,yes,62868,"1P,10P",matched,466
168,gadh,yes,62957,4,matched,0
169,gabh,no,,,unmatched,0
170,gam,yes,63409,"1P,2P,3P,1Ā",homonym_shared,18341
171,garj,yes,63862,1P,matched,179
172,gard,yes,63914,"1P,10",matched,1
173,garh,yes,64179,"1,10P,10Ā",matched,185
174,gal,yes,64198,"1P,1Ā",matched,212
175,galbh,yes,64303,1Ā,matched,0
176,1 gā,yes,64493,"3P,3Ā,2P,2Ā",homonym_shared,1911
177,2 gā,yes,64493,"3P,3Ā,2P,2Ā",homonym_shared,1911
178,gāh,yes,65024,"1Ā,1P",matched,69
179,gir,no,,,unmatched,0
180,gu,yes,65341,"1Ā,1P",matched,0
181,guñj,yes,65392,1P,matched,13
182,guṇṭh,yes,65822,10P,matched,1
183,gup,yes,65899,"0Ā,0P",matched,563
184,guph,yes,65959,6,unmatched,0
185,gur,yes,65978,"6,4",matched,22
186,gulph,no,,,unmatched,0
187,guh,yes,66258,"1P,1Ā",matched,468
188,gūrd,yes,66402,1P,unmatched,0
189,gūrdh,yes,66407,10P,unmatched,0
190,1 gṛ,yes,66808,"9P,9Ā",homonym_shared,399
191,2 gṛ,yes,66808,"9P,9Ā",homonym_shared,399
192,3 gṛ,yes,66808,"9P,9Ā",homonym_shared,399
193,gṛdh,yes,66434,"4P,4Ā",matched,61
194,gai,no,,,unmatched,0
