<L>831<pc>4,3	agastyasaMhitA	ag/stya—saMhitA	agstyasaMhitA
<L>13724<pc>79,3	aBriya	aBri/ya,aBriya/	aBriyaaBriya
<L>13724.1<pc>79,3	aBriya	aBri/ya,aBriya	aBriyaaBriya
<L>13745<pc>80,1	aBva	a/-Bva,a-Bva^,a-Bva/	aBvaaBvaaBva
<L>13745.1<pc>80,1	aBva	a/-Bva,a-Bva^,a-Bva/	aBvaaBvaaBva
<L>13745.2<pc>80,1	aBva	a/-Bva,a-Bva^,a-Bva/	aBvaaBvaaBva
<L>14172<pc>82,1	amuKa	a-muKa/,a/muKa	amuKaamuKa
<L>14702<pc>84,3	ayajYiya	a-yajYiya/,a/-yajYya	ayajYiyaayajYya
<L>14703<pc>84,3	ayajYiya	a-yajYiya/,a/-yajYya	ayajYiyaayajYya
<L>16345<pc>92,3	arpita	a/rpita,arpita/	arpitaarpita
<L>16346.1<pc>92,3	arpita	arpita/,arpita/	arpitaarpita
<L>16346.2<pc>92,3	arpita	arpita/,arpita/	arpitaarpita
<L>16346.3<pc>92,3	arpita	arpita/,arpita/	arpitaarpita
<L>16346.4<pc>92,3	arpita	arpita/,arpita/	arpitaarpita
<L>16346.5<pc>92,3	arpita	arpita/,arpita/	arpitaarpita
<L>16346.6<pc>92,3	arpita	arpita/,arpita/	arpitaarpita
<L>16421<pc>93,2	arvaSa	a/rvaSa,arvaSa/	arvaSaarvaSa
<L>16441<pc>93,2	arvAcIna	arvAcIna/,arvAcI/na	arvAcInaarvAcIna
<L>16442<pc>93,2	arvAcIna	arvAcIna/,arvAcI/na	arvAcInaarvAcIna
<L>16443<pc>93,2	arvAcIna	arvAcIna/,arvAcI/na	arvAcInaarvAcIna
<L>16444<pc>93,2	arvAcIna	arvAcIna/,arvAcI/na	arvAcInaarvAcIna
<L>16445<pc>93,2	arvAcIna	arvAcIna/,arvAcI/na	arvAcInaarvAcIna
<L>16808<pc>95,2	alomaka	a-loma/ka,a-lo/maka	alomakaalomaka
<L>16822<pc>95,2	alohita	a-lohita/,a-lo/hita	alohitaalohita
<L>18838<pc>108,3	avidviz	a-vidvize	avidvize
<L>19307<pc>111,3	avyaya	avya/ya,a/vyaya	avyayaavyaya
<L>19307.1<pc>111,3	avyaya	avya/ya,a/vyaya	avyayaavyaya
<L>19425<pc>112,3	aSanAyA	aSanAyA/,aSanA/yA	aSanAyAaSanAyA
<L>20249<pc>116,3	azwastanA	azwa—stanA/,azwa/-stanA	azwastanAazwastanA
<L>20488<pc>118,1	asaNga	a/-saNga,a-saNga/	asaNgaasaNga
<L>20488.1<pc>118,1	asaNga	a/-saNga,a-saNga/	asaNgaasaNga
<L>20488.2<pc>118,1	asaNga	a/-saNga,a-saNga/	asaNgaasaNga
<L>21204<pc>122,1	asO	asO/,a/sO	asOasO
<L>21437<pc>123,1	asTUri	a-sTUri/,a/-sTUri	asTUriasTUri
<L>21529<pc>123,3	asyahatya	asya-hatya,asya-ha-tya	asyahatyaasyahatya
<L>27885<pc>159,3	Asanizu	Asa/nn—izu	Asannizu
<L>28702<pc>164,3	iqAyAspade	iLAyA/s-pade/	iLAyAspade
<L>28807<pc>165,3	idaMvid	idam—vid	idamvid
<L>29168<pc>167,1	indrApUzan	indrA-pUzan,indrA-pU/zan	indrApUzanindrApUzan
<L>29831<pc>171,1	ISAvAsya	ISA-vAsya,ISAvAsya	ISAvAsyaISAvAsya
<L>29852<pc>171,1	ISAna	I/SAna,ISAna/	ISAnaISAna
<L>29854<pc>171,1	ISAna	I/SAna,ISAna/	ISAnaISAna
<L>29855<pc>171,1	ISAna	I/SAna,ISAna/	ISAnaISAna
<L>29856<pc>171,1	ISAna	I/SAna,ISAna/	ISAnaISAna
<L>29857<pc>171,1	ISAna	I/SAna,ISAna/	ISAnaISAna
<L>29858<pc>171,1	ISAna	I/SAna,ISAna/	ISAnaISAna
<L>29859<pc>171,1	ISAna	I/SAna,ISAna/	ISAnaISAna
<L>29860<pc>171,1	ISAna	I/SAna,ISAna/	ISAnaISAna
<L>32131<pc>183,2	udaSvidvat	uda—Svi/t-vat	udaSvitvat
<L>32484<pc>185,2	udApyAm	ud-Apya^m	udApyam
<L>33413<pc>190,3	udya	udya/,udya	udyaudya
<L>35591<pc>205,2	uparizwAllakzman	upa/rizwA—lakzman	uparizwAlakzman
<L>36310<pc>210,3	upasti	u/pa-sti,upa-sti/	upastiupasti
<L>37312<pc>217,3	urukzaya	uru—kza/ya,uru/—kzaya	urukzayaurukzaya
<L>37312.1<pc>217,3	urukzaya	uru—kza/ya,uru/—kzaya	urukzayaurukzaya
<L>37312.2<pc>217,3	urukzaya	uru—kza/ya,uru/—kzaya	urukzayaurukzaya
<L>37336<pc>218,1	urupraTas	uru—pra/Tas,uru/praTas	urupraTasurupraTas
<L>37420<pc>218,2	urvarya	urvarya^,urva/rya	urvaryaurvarya
<L>37448<pc>218,2	ulapya	ulapya^,ulapya/	ulapyaulapya
<L>37865<pc>220,3	uzwf	uzwf/,u/zwf	uzwfuzwf
<L>38517<pc>224,1	fti	fti,f/ti	ftifti
<L>38518<pc>224,1	fti	fti,f/ti	ftifti
<L>38519<pc>224,1	fti	fti,f/ti	ftifti
<L>38520<pc>224,1	fti	fti,f/ti	ftifti
<L>38521<pc>224,1	fti	fti,f/ti	ftifti
<L>38522<pc>224,1	fti	fti,f/ti	ftifti
<L>38523<pc>224,1	fti	fti,f/ti	ftifti
<L>38524<pc>224,1	fti	fti,f/ti	ftifti
<L>38525<pc>224,1	fti	fti,f/ti	ftifti
<L>38526<pc>224,1	fti	fti,f/ti	ftifti
<L>38527<pc>224,1	fti	fti,f/ti	ftifti
<L>38528<pc>224,1	fti	fti,f/ti	ftifti
<L>38529<pc>224,1	fti	fti,f/ti	ftifti
<L>38747<pc>225,1	fgmiya	fgmi/ya,fg/miya	fgmiyafgmiya
<L>38748<pc>225,1	fgmiya	fgmi/ya,fg/miya	fgmiyafgmiya
<L>38749<pc>225,1	fgmiya	fgmi/ya,fg/miya	fgmiyafgmiya
<L>38951<pc>226,2	fDak	f/Dak,fDa/k	fDakfDak
<L>38951.1<pc>226,2	fDak	f/Dak,fDa/k	fDakfDak
<L>38951.2<pc>226,2	fDak	f/Dak,fDa/k	fDakfDak
<L>39787.70<pc>230,1	ekAdaSAratni	/kAdaSAratni	kAdaSAratni
<L>40430<pc>234,1	EndrI	EndraI	EndraI
<L>40706<pc>236,1	omkArIya	oM—kArIya	oMkArIya
<L>40805<pc>236,2	OkzRa	O/kzRa,OkzRa/	OkzRaOkzRa
<L>40805.1<pc>236,2	OkzRa	O/kzRa,OkzRa/	OkzRaOkzRa
<L>41614<pc>242,1	kaNka	kaNkA	kaNkA
<L>43025<pc>248,3	kanizWa	kanizWa/,ka/nizWa	kanizWakanizWa
<L>43026<pc>248,3	kanizWa	kanizWa/,ka/nizWa	kanizWakanizWa
<L>43027<pc>248,3	kanizWa	kanizWa/,ka/nizWa	kanizWakanizWa
<L>43028<pc>248,3	kanizWa	kanizWa/,ka/nizWa	kanizWakanizWa
<L>43029<pc>248,3	kanizWa	kanizWa/,ka/nizWa	kanizWakanizWa
<L>45103<pc>257,3	kartavya	ka/rtavya,kartavya^	kartavyakartavya
<L>46511<pc>264,2	kavi	kav	kav
<L>46512<pc>264,2	kavi	kav	kav
<L>46513<pc>264,2	kavi	kav	kav
<L>46514<pc>264,2	kavi	kav	kav
<L>47500<pc>269,2	kARqa	kA/Rqa,kARqa/	kARqakARqa
<L>47500.05<pc>269,2	kARqa	kA/Rqa,kARqa/	kARqakARqa
<L>47500.10<pc>269,2	kARqa	kA/Rqa,kARqa/	kARqakARqa
<L>47500.15<pc>269,2	kARqa	kA/Rqa,kARqa/	kARqakARqa
<L>47500.20<pc>269,2	kARqa	kA/Rqa,kARqa/	kARqakARqa
<L>47500.25<pc>269,2	kARqa	kA/Rqa,kARqa/	kARqakARqa
<L>47500.30<pc>269,2	kARqa	kA/Rqa,kARqa/	kARqakARqa
<L>47500.35<pc>269,2	kARqa	kA/Rqa,kARqa/	kARqakARqa
<L>47500.40<pc>269,2	kARqa	kA/Rqa,kARqa/	kARqakARqa
<L>47500.45<pc>269,2	kARqa	kA/Rqa,kARqa/	kARqakARqa
<L>47500.50<pc>269,2	kARqa	kA/Rqa,kARqa/	kARqakARqa
<L>47500.55<pc>269,2	kARqa	kA/Rqa,kARqa/	kARqakARqa
<L>47500.60<pc>269,2	kARqa	kA/Rqa,kARqa/	kARqakARqa
<L>47500.65<pc>269,2	kARqa	kA/Rqa,kARqa/	kARqakARqa
<L>47500.70<pc>269,2	kARqa	kA/Rqa,kARqa/	kARqakARqa
<L>47500.75<pc>269,2	kARqa	kA/Rqa,kARqa/	kARqakARqa
<L>47500.80<pc>269,2	kARqa	kA/Rqa,kARqa/	kARqakARqa
<L>49740<pc>280,1	kAvazeya	kAvazeya/,kA/vazeya	kAvazeyakAvazeya
<L>52477<pc>292,3	kumbyA	ku/mbyA,kumbyA^	kumbyAkumbyA
<L>53475<pc>297,3	kuSri	kuSri/,ku/Sri	kuSrikuSri
<L>55568.1<pc>308,2	kF	kf	kf
<L>57080<pc>315,3	kORqinyAyana	kO/RqinyAyana,kORqinyAyana/	kORqinyAyanakORqinyAyana
<L>59037<pc>326,2	kzapAvat	kza-pA/vat,kza/-pAvat	kzapAvatkzapAvat
<L>59492<pc>328,3	kziti	kziti/,kzi/ti	kzitikziti
<L>62547<pc>343,1	gaRakAri	gaRa—kAri,gaRakAri	gaRakArigaRakAri
<L>71080<pc>383,3	catustanA	catu—stanA/,ca/tu—stanA	catustanAcatustanA
<L>73522<pc>395,3	citpati	cit—pa/ti,cit—pati/	citpaticitpati
<L>73842.80<pc>397,1	citraraTa	citra/—raTI	citraraTI
<L>73929<pc>397,2	citrANgasadana	citrANga—sAdana	citrANgasAdana
<L>75701<pc>405,2	CampaRa	CampaRa c	CampaRac
<L>80300<pc>425,2	jozwf	jozwf/,jo/zwf	jozwfjozwf
<L>83249<pc>439,2	taras	ta/ras,tara/s	tarastaras
<L>84495<pc>444,3	tArpya	tArpya/,tArpya^	tArpyatArpya
<L>85215<pc>448,1	tila	ti/la,tila/	tilatila
<L>86387<pc>452,2	tUtujAna	tU/tujAna,tUtujAna/	tUtujAnatUtujAna
<L>91601<pc>475,2	dADikA	dADika	dADika
<L>91750<pc>476,1	dAruRa	dAruRa/,dA/ruRa	dAruRadAruRa
<L>91752<pc>476,1	dAruRa	dAruRa/,dA/ruRa	dAruRadAruRa
<L>91753<pc>476,1	dAruRa	dAruRa/,dA/ruRa	dAruRadAruRa
<L>91754<pc>476,1	dAruRa	dAruRa/,dA/ruRa	dAruRadAruRa
<L>91755<pc>476,1	dAruRa	dAruRa/,dA/ruRa	dAruRadAruRa
<L>91798<pc>476,2	dArBya	dArBya/,dArBya^	dArByadArBya
<L>91864<pc>476,3	dASa	dA/Sa,dASa/	dASadASa
<L>91865.1<pc>476,3	dASa	dA/Sa,dASa/	dASadASa
<L>91865.2<pc>476,3	dASa	dA/Sa,dASa/	dASadASa
<L>92382<pc>479,2	divya	divya/,di/vya	divyadivya
<L>92382.05<pc>479,2	divya	divya/,di/vya	divyadivya
<L>92382.10<pc>479,2	divya	divya/,di/vya	divyadivya
<L>92382.15<pc>479,2	divya	divya/,di/vya	divyadivya
<L>92382.20<pc>479,2	divya	divya/,di/vya	divyadivya
<L>92382.25<pc>479,2	divya	divya/,di/vya	divyadivya
<L>92382.30<pc>479,2	divya	divya/,di/vya	divyadivya
<L>92382.35<pc>479,2	divya	divya/,di/vya	divyadivya
<L>92382.60<pc>479,2	divya	divya/,di/vya	divyadivya
<L>92382.65<pc>479,2	divya	divya/,di/vya	divyadivya
<L>92382.70<pc>479,2	divya	divya/,di/vya	divyadivya
<L>92382.75<pc>479,2	divya	divya/,di/vya	divyadivya
<L>92382.80<pc>479,2	divya	divya/,di/vya	divyadivya
<L>92382.85<pc>479,2	divya	divya/,di/vya	divyadivya
<L>93329<pc>483,1	duHzwuti	duH—zwuti/,du/H-zwuti	duHzwutiduHzwuti
<L>95894<pc>494,1	devamanuzya	deva—manuzya^,deva—manuzya/	devamanuzyadevamanuzya
<L>96788<pc>497,2	dEva	dE/va,dEva/	dEvadEva
<L>96788.05<pc>497,2	dEva	dE/va,dEva/	dEvadEva
<L>96788.10<pc>497,2	dEva	dE/va,dEva/	dEvadEva
<L>96788.15<pc>497,2	dEva	dE/va,dEva/	dEvadEva
<L>96788.20<pc>497,2	dEva	dE/va,dEva/	dEvadEva
<L>96788.25<pc>497,2	dEva	dE/va,dEva/	dEvadEva
<L>96788.30<pc>497,2	dEva	dE/va,dEva/	dEvadEva
<L>96788.35<pc>497,2	dEva	dE/va,dEva/	dEvadEva
<L>97425<pc>500,2	dyotana	dyo/tana,dyotana/	dyotanadyotana
<L>97426<pc>500,2	dyotana	dyo/tana,dyotana/	dyotanadyotana
<L>97427<pc>500,2	dyotana	dyo/tana,dyotana/	dyotanadyotana
<L>97428<pc>500,2	dyotana	dyo/tana,dyotana/	dyotanadyotana
<L>97429<pc>500,2	dyotana	dyo/tana,dyotana/	dyotanadyotana
<L>97430<pc>500,2	dyotana	dyo/tana,dyotana/	dyotanadyotana
<L>97431<pc>500,2	dyotana	dyo/tana,dyotana/	dyotanadyotana
<L>97432<pc>500,2	dyotana	dyo/tana,dyotana/	dyotanadyotana
<L>97433<pc>500,2	dyotana	dyo/tana,dyotana/	dyotanadyotana
<L>98426<pc>504,3	dviguRa	dvi—guRa/,dvi/-guRa	dviguRadviguRa
<L>98426.05<pc>504,3	dviguRa	dvi—guRa/,dvi/-guRa	dviguRadviguRa
<L>98426.10<pc>504,3	dviguRa	dvi—guRa/,dvi/-guRa	dviguRadviguRa
<L>98426.15<pc>504,3	dviguRa	dvi—guRa/,dvi/-guRa	dviguRadviguRa
<L>99021<pc>507,1	dvIpavat	dvIpa—vatI	dvIpavatI
<L>103160<pc>525,2	nagnaikA	na/gnikA	nagnikA
<L>104617<pc>531,1	navya	na/vya,navya/	navyanavya
<L>104640<pc>531,2	navadaSan	nava—daSa/n,na/va—daSan	navadaSannavadaSan
<L>105511.1<pc>535,1	nAnAvinA	nA/nA	nAnA
<L>106041<pc>537,2	nArada	nA/rada,nArada/	nAradanArada
<L>106041.1<pc>537,2	nArada	nA/rada,nArada/	nAradanArada
<L>106041.2<pc>537,2	nArada	nA/rada,nArada/	nAradanArada
<L>106041.3<pc>537,2	nArada	nA/rada,nArada/	nAradanArada
<L>106041.4<pc>537,2	nArada	nA/rada,nArada/	nAradanArada
<L>106041.5<pc>537,2	nArada	nA/rada,nArada/	nAradanArada
<L>106041.6<pc>537,2	nAradA	nA/radA,nArada/	nAradAnArada
<L>106041.7<pc>537,2	nArada	nA/rada,nArada/	nAradanArada
<L>108641<pc>549,1	ninAhya	ni-nA/hya,ni-nAhya^	ninAhyaninAhya
<L>108676<pc>549,2	nindya	nindya^,ni/ndya	nindyanindya
<L>110675<pc>561,3	nizatta	ni-zatta/,ni/-zatta	nizattanizatta
<L>113510<pc>575,2	pajra	pajrA	pajrA
<L>113926<pc>577,2	paYcaviDa	pa/Yca—viDa,paYca/—viDa	paYcaviDapaYcaviDa
<L>115003<pc>582,1	pataYcala	pata/Ycala,pataYcala/	pataYcalapataYcala
<L>116989<pc>591,1	parAsya	parA/sya,parAsya^	parAsyaparAsya
<L>117760.2<pc>596,1	pariDAnA	pari-DA/na	pariDAna
<L>118547.1<pc>600,3	parivitta	pa/ri-vitta,pari-vitta/	parivittaparivitta
<L>118630<pc>601,2	parivfkta	pari-vfkta/,pa/ri-vfkta	parivfktaparivfkta
<L>120204<pc>610,1	palASI	palASa/	palASa
<L>120205<pc>610,1	palASI	palASa/	palASa
<L>120473<pc>611,1	pavitrarogaparihAraprayoga	pavi/ra—roga-parihAra-prayoga	pavirarogaparihAraprayoga
<L>120510<pc>611,2	pavIravat	pa/vIra-vat,pavIra/-vat	pavIravatpavIravat
<L>120510.1<pc>611,2	pavIravat	pa/vIra-vat,pavIra/-vat	pavIravatpavIravat
<L>120532<pc>611,2	paSu	paSu/,pa/Su	paSupaSu
<L>120534<pc>611,3	paSu	pa/Su,pa/Su	paSupaSu
<L>120535<pc>611,3	paSu	pa/Su,pa/Su	paSupaSu
<L>120536<pc>611,3	paSu	pa/Su,pa/Su	paSupaSu
<L>120537<pc>611,3	paSu	pa/Su,pa/Su	paSupaSu
<L>120538<pc>611,3	paSu	pa/Su,pa/Su	paSupaSu
<L>120539<pc>611,3	paSu	pa/Su,pa/Su	paSupaSu
<L>120540<pc>611,3	paSu	pa/Su,pa/Su	paSupaSu
<L>120541<pc>611,3	paSu	pa/Su,pa/Su	paSupaSu
<L>120542<pc>611,3	paSu	pa/Su,pa/Su	paSupaSu
<L>120543<pc>611,3	paSu	pa/Su,pa/Su	paSupaSu
<L>125501<pc>632,3	putra	putrI	putrI
<L>125502<pc>632,3	putra	putraI	putraI
<L>126092<pc>635,2	puronuvAkyAvat	puro—'nuvAkya^-vat	puronuvAkyavat
<L>126361<pc>636,3	puruprEza	puru—prE/za,puru—prEza/	puruprEzapuruprEza
<L>126940<pc>639,1	puzwi	pu/zwi,puzwi/	puzwipuzwi
<L>126940.05<pc>639,1	puzwi	pu/zwi,puzwi/	puzwipuzwi
<L>126940.10<pc>639,1	puzwi	pu/zwi,puzwi/	puzwipuzwi
<L>126940.15<pc>639,1	puzwi	pu/zwi,puzwi/	puzwipuzwi
<L>126940.20<pc>639,1	puzwi	pu/zwi,puzwi/	puzwipuzwi
<L>126940.25<pc>639,2	puzwi	pu/zwi,puzwi/	puzwipuzwi
<L>126940.30<pc>639,2	puzwi	pu/zwi,puzwi/	puzwipuzwi
<L>126940.35<pc>639,2	puzwi	pu/zwi,puzwi/	puzwipuzwi
<L>126940.40<pc>639,2	puzwi	pu/zwi,puzwi/	puzwipuzwi
<L>126940.45<pc>639,2	puzwi	pu/zwi,puzwi/	puzwipuzwi
<L>126940.50<pc>639,2	puzwi	pu/zwi,puzwi/	puzwipuzwi
<L>126940.55<pc>639,2	puzwi	pu/zwi,puzwi/	puzwipuzwi
<L>126940.60<pc>639,2	puzwi	pu/zwi,puzwi/	puzwipuzwi
<L>126940.65<pc>639,2	puzwi	pu/zwi,puzwi/	puzwipuzwi
<L>126940.70<pc>639,2	puzwi	pu/zwi,puzwi/	puzwipuzwi
<L>127455<pc>641,2	pUtudru	pUtu/-dru,pU/tu-dru	pUtudrupUtudru
<L>127455.1<pc>641,2	pUtudru	pUtu/-dru,pU/tu-dru	pUtudrupUtudru
<L>128599<pc>646,3	pfTubuDna	pfTu—buDna,pfTu—buDna	pfTubuDnapfTubuDna
<L>128599.1<pc>646,3	pfTubuDna	pfTu—buDna,pfTu—buDna	pfTubuDnapfTubuDna
<L>129300<pc>650,1	potf	po/tf,potf/	potfpotf
<L>133767<pc>674,2	pratarItf	pra-tarItf/,pra-ta/rItf	pratarItfpratarItf
<L>135161<pc>682,2	prapApAlikA	pra-pAlikA	prapAlikA
<L>135161.1<pc>682,2	prapApAlI	pra-pAlI	prapAlI
<L>135725<pc>685,2	pramad	pra-ma/d,pra/-mad	pramadpramad
<L>138171<pc>698,3	prasfmara	pa-sfmara	pasfmara
<L>138174<pc>698,3	prasarga	pra-sarga/,pra-sa/rga	prasargaprasarga
<L>138174.1<pc>698,3	prasarga	pra-sarga/,pra-sa/rga	prasargaprasarga
<L>138668.1<pc>701,2	prahArya	pra-hA/rya,pra-hArya^	prahAryaprahArya
<L>139457<pc>705,1	prAcya	prAcya^,prAcya/	prAcyaprAcya
<L>139458<pc>705,1	prAcya	prAcya^,prAcya/	prAcyaprAcya
<L>139459<pc>705,1	prAcya	prAcya^,prAcya/	prAcyaprAcya
<L>139460<pc>705,1	prAcya	prAcya^,prAcya/	prAcyaprAcya
<L>139461<pc>705,1	prAcya	prAcya^,prAcya/	prAcyaprAcya
<L>139462<pc>705,1	prAcya	prAcya^,prAcya/	prAcyaprAcya
<L>140878<pc>711,3	pruzvA	pruzvA/,pru/zvA	pruzvApruzvA
<L>141203<pc>713,2	proti	pro/ti,pro/ti	protiproti
<L>144737<pc>729,3	bAlya	bA/lya,bAlya^	bAlyabAlya
<L>144738<pc>729,3	bAlya	bA/lya,bAlya^	bAlyabAlya
<L>144739<pc>729,3	bAlya	bA/lya,bAlya^	bAlyabAlya
<L>146247.02<pc>736,2	bfhadAraRyakopanizad	bfhad—AraRya	bfhadAraRya
<L>152037<pc>762,3	BUti	BU/ti,BUti/	BUtiBUti
<L>152039<pc>762,3	BUti	BU/ti,BUti/	BUtiBUti
<L>152040<pc>762,3	BUti	BU/ti,BUti/	BUtiBUti
<L>152041<pc>762,3	BUti	BU/ti,BUti/	BUtiBUti
<L>152042<pc>762,3	BUti	BU/ti,BUti/	BUtiBUti
<L>152043<pc>762,3	BUti	BU/ti,BUti/	BUtiBUti
<L>152044<pc>762,3	BUti	BU/ti,BUti/	BUtiBUti
<L>152045<pc>762,3	BUti	BU/ti,BUti/	BUtiBUti
<L>152046<pc>762,3	BUti	BU/ti,BUti/	BUtiBUti
<L>152047<pc>762,3	BUti	BU/ti,BUti/	BUtiBUti
<L>152048<pc>762,3	BUti	BU/ti,BUti/	BUtiBUti
<L>152049<pc>762,3	BUti	BU/ti,BUti/	BUtiBUti
<L>152050<pc>762,3	BUti	BU/ti,BUti/	BUtiBUti
<L>152051<pc>762,3	BUti	BU/ti,BUti/	BUtiBUti
<L>152052<pc>762,3	BUti	BU/ti,BUti/	BUtiBUti
<L>152053<pc>762,3	BUti	BU/ti,BUti/	BUtiBUti
<L>152514<pc>764,3	Bfti	Bfti/,Bf/ti	BftiBfti
<L>152514.1<pc>764,3	Bfti	Bfti/,Bf/ti	BftiBfti
<L>152514.2<pc>764,3	Bfti	Bfti/,Bf/ti	BftiBfti
<L>157214<pc>785,3	manotf	mano/tf,manotf/	manotfmanotf
<L>158837<pc>792,3	malimlu	mali/mlu,malimlu/	malimlumalimlu
<L>159177<pc>794,2	mahartvij	maha/—rtvij,maha-rtvi/j	mahartvijmahartvij
<L>161769<pc>805,1	mAMScatva	mAMScatva/,mA/MScatva	mAMScatvamAMScatva
<L>163305<pc>812,1	mAruta	mA/ruta,mAruta/	mArutamAruta
<L>164214<pc>816,2	mitramahas	mitra/Q—mahas	mitraQmahas
<L>166051<pc>825,1	muhu	mu/hu,muhu/	muhumuhu
<L>166742<pc>828,1	mftyubanDu	mftyu—ba/nDu,mftyu/—banDu	mftyubanDumftyubanDu
<L>167881<pc>833,1	meDapati	me/Da—pati,meDa/—pati	meDapatimeDapati
<L>169540<pc>840,3	yazwf	yazwf/,ya/zwf	yazwfyazwf
<L>169663.2<pc>841,3	yaTAkAmam	yaTA—kA/mam,yaTA—kAma/m	yaTAkAmamyaTAkAmam
<L>169899.2<pc>842,3	yaTAyogenam	yaTA—am	yaTAam
<L>174773<pc>866,2	raTya	ra/Tya,raTya^	raTyaraTya
<L>177695<pc>878,3	rAmyA	rA/myA,rAmyA/	rAmyArAmyA
<L>180197<pc>891,1	rOdra	rO/dra,rOdra/	rOdrarOdra
<L>180197.04<pc>891,1	rOdra	rO/dra,rOdra/	rOdrarOdra
<L>180197.08<pc>891,1	rOdra	rO/dra,rOdra/	rOdrarOdra
<L>180197.12<pc>891,1	rOdra	rO/dra,rOdra/	rOdrarOdra
<L>180197.16<pc>891,1	rOdra	rO/dra,rOdra/	rOdrarOdra
