<L>831<pc>4,3	agastyasaMhitA	ag/stya—saMhitA	agstyasaMhitA
<L>1164.1<pc>6,1	agnIzomIyapaSvanuzWAna	agnIzom/ya—paSv-anuzWAna	agnIzomyapaSvanuzWAna
<L>1405<pc>7,1	aGnya	a/-Gnya,a-Gnya/	aGnyaaGnya
<L>1909<pc>9,2	acyuta	a/-cyuta,a-cyuta/	acyutaacyuta
<L>1909.1<pc>9,2	acyuta	a/-cyuta,a-cyuta/	acyutaacyuta
<L>1909.2<pc>9,2	acyuta	a/-cyuta,a-cyuta/	acyutaacyuta
<L>1909.3<pc>9,2	acyuta	a/-cyuta,a-cyuta/	acyutaacyuta
<L>1909.4<pc>9,2	acyuta	a/-cyuta,a-cyuta/	acyutaacyuta
<L>1909.5<pc>9,2	acyuta	a/-cyuta,a-cyuta/	acyutaacyuta
<L>1909.6<pc>9,2	acyuta	a/-cyuta,a-cyuta/	acyutaacyuta
<L>1909.7<pc>9,2	acyuta	a/-cyuta,a-cyuta/	acyutaacyuta
<L>3617<pc>18,1	adantaka	a-danta/ka,a-da/ntaka	adantakaadantaka
<L>3747<pc>18,3	adfzwa	a-df/zwa,a/-dfzwa	adfzwaadfzwa
<L>3747.1<pc>18,3	adfzwa	a-df/zwa,a/-dfzwa	adfzwaadfzwa
<L>3747.2<pc>18,3	adfzwa	a-df/zwa,a/-dfzwa	adfzwaadfzwa
<L>3747.3<pc>18,3	adfzwa	a-df/zwa,a/-dfzwa	adfzwaadfzwa
<L>3800<pc>19,1	adButa	a/dButa,adButa/	adButaadButa
<L>3800.1<pc>19,1	adButa	a/dButa,adButa/	adButaadButa
<L>3800.2<pc>19,1	adButa	a/dButa,adButa/	adButaadButa
<L>3800.3<pc>19,1	adButa	a/dButa,adButa/	adButaadButa
<L>3800.4<pc>19,1	adButa	a/dButa,adButa/	adButaadButa
<L>4804<pc>24,2	anagni	an-agni/,a/n-agni	anagnianagni
<L>4804.1<pc>24,2	anagni	an-agni/,a/n-agni	anagnianagni
<L>4804.2<pc>24,2	anagni	an-agni/,a/n-agni	anagnianagni
<L>4804.3<pc>24,2	anagni	an-agni/,a/n-agni	anagnianagni
<L>4804.4<pc>24,2	anagni	an-agni/,a/n-agni	anagnianagni
<L>4804.5<pc>24,2	anagni	an-agni/,a/n-agni	anagnianagni
<L>4804.6<pc>24,2	anagni	an-agni/,a/n-agni	anagnianagni
<L>4804.7<pc>24,2	anagni	an-agni/,a/n-agni	anagnianagni
<L>4804.8<pc>24,2	anagni	an-agni/,a/n-agni	anagnianagni
<L>5295.1<pc>1311,1	anavadAnIya	an-avadAnI/ya,an-avadAnIya/	anavadAnIyaanavadAnIya
<L>5412.04<pc>27,2	anasTika	anasTi/ka,an-a/sTika	anasTikaanasTika
<L>5595<pc>28,2	anAyatana	a/n-Ayatana,an-Ayatana/	anAyatanaanAyatana
<L>5800<pc>29,3	anipadyamAna	a/-nipadyamAna,a-nipa/dyamAna	anipadyamAnaanipadyamAna
<L>5963<pc>30,2	anizkfta	a/-nizkfta,a/n-izkfta	anizkftaanizkfta
<L>6230<pc>32,1	anugra	a/n-ugra,an-ugra/	anugraanugra
<L>6414<pc>33,1	anudaka	an-udakam	anudakam
<L>7975<pc>43,1	antama	a/ntama,antama/	antamaantama
<L>7975.1<pc>43,1	antama	a/ntama,antama/	antamaantama
<L>8336<pc>44,2	antika	antikA/t	antikAt
<L>8337<pc>44,2	antika	antikA/t	antikAt
<L>9218<pc>49,2	apad	a-pa/d,a/-pad	apadapad
<L>9423<pc>50,3	aparam	a/param,apara/m	aparamaparam
<L>9504<pc>51,1	aparAjitA	a/-parAjita	aparAjita
<L>10520<pc>57,2	aprajas	a/-prajas,a-praja/s	aprajasaprajas
<L>10961<pc>60,1	abalya	a-balya^,a/-balya	abalyaabalya
<L>13004<pc>74,2	aBIruRa	a-BI/ruRa,aBIru/Ra	aBIruRaaBIruRa
<L>13040<pc>74,3	aBImodamud	aBImoda-mu/d,aBI-modamu/d	aBImodamudaBImodamud
<L>13046<pc>74,3	aBIlApalap	aBIlApa-la/p,aBI-lApala/p	aBIlApalapaBIlApalap
<L>13293<pc>76,2	aByavadAnya	aBy-ava-dAnya^,aBy-ava-dA/nya	aByavadAnyaaByavadAnya
