<L>9504<pc>51,1	aparAjitA	a/-parAjita	aparAjita
<L>14702<pc>84,3	ayajYiya	a-yajYiya/,a/-yajYya	ayajYya
<L>14703<pc>84,3	ayajYiya	a-yajYiya/,a/-yajYya	ayajYya
<L>28807<pc>165,3	idaMvid	idam—vid	idamvid
<L>32484<pc>185,2	udApyAm	ud-Apya^m	udApyam
<L>40032<pc>231,2	etaSa	e/taSa,	
<L>40033<pc>231,2	etaSa	e/taSa,	
<L>40034<pc>231,2	etaSa	e/taSa,	
<L>40035<pc>231,2	etaSa	e/taSa,	
<L>40706<pc>236,1	omkArIya	oM—kArIya	oMkArIya
<L>41614<pc>242,1	kaNka	kaNkA	kaNkA
<L>55568.1<pc>308,2	kF	kf	kf
<L>73929<pc>397,2	citrANgasadana	citrANga—sAdana	citrANgasAdana
<L>75701<pc>405,2	CampaRa	CampaRa c	CampaRac
<L>91601<pc>475,2	dADikA	dADika	dADika
<L>106041.6<pc>537,2	nAradA	nA/radA,nArada/	nArada
<L>113510<pc>575,2	pajra	pajrA	pajrA
<L>117760.2<pc>596,1	pariDAnA	pari-DA/na	pariDAna
<L>126092<pc>635,2	puronuvAkyAvat	puro—'nuvAkya^-vat	puronuvAkyavat
<L>211995.5<pc>1049,3	SatapadI	Sata—pAdI	SatapAdI
<L>219451.1<pc>1082,2	SudDasAropalakzaRA	SudDa-sAropA-lakzaRA	SudDasAropAlakzaRA
<L>240743<pc>1196,2	sahasrastari	saha/sra—starI	sahasrastarI
<L>246063<pc>1222,3	sugaBasti	su,—gaBasti,su-ga/Basti	sugaBasti
<L>255737<pc>1264,3	sTiraganDa	sTira—ganDA	sTiraganDA
