parent_L,parent_k1,child_L,child_k1,child_lex,reciprocal
141857.1,Palavat,141857.8,Palavattva,n.,yes
141869,PalaSAlin,141869.1,PalaSAlitva,n.,yes
141964,Palaka,141964.9,Palakatva,n.,yes
142108,Palguna,142111.1,PalgunasvAmin,m.,yes
142162,PARwa,142163.1,PARwaka,m.,yes
142195,Puwwaka,142196.1,Puwwakavastra,n.,yes
142558,badDapurIza,142558.1,badDapurIzatva,n.,yes
142587,badDaviwka,142587.1,badDaviwkatA,f.,yes
142708,banDanakArin,142708.1,banDanakAritA,f.,yes
142821,banDUkapuzpa,142822.1,banDUkapuzparajas,n.,yes
143106,balacakra,143107.1,balacakravartin,m.,yes
143123,balada,143126.1,baladIBUta,mfn.,yes
143171,balaBid,143172.1,balaBitsaKi,m.,yes
143203,balaSAlin,143204.1,balaSAlitA,f.,yes
143219,balahIna,143219.1,balahInatA,f.,yes
143266,balAtkAra,143267.1,balAtkAram,ind.,yes
143266,balAtkAra,143267.2,balAtkAreRa,ind.,yes
143565,bahujana,143566.1,bahujanaparivAra,m.,yes
143565,bahujana,143566.2,bahujanahita,n.,yes
143629,bahudevata,143629.2,bahudevatatva,n.,yes
143638,bahuDana,143639.1,bahuDanatva,n.,yes
143685,bahuputra,143690.1,bahuputratA,f.,yes
143685,bahuputra,143690.2,bahuputratva,n.,yes
143752,bahuBojin,143752.1,bahuBojitA,f.,yes
143793,bahumUlya,143794.1,bahumulyatA,f.,yes
143849,bahuvarRa,143849.1,bahuvarRatA,f.,yes
143863,bahuviGna,143863.1,bahuviGnatA,f.,yes
143865,bahuvidya,143865.1,bahuvidyatA,f.,yes
143870,bahuvistara,143873.2,bahuvistarayuktam,ind.,yes
143873,bahuvistara,143873.1,bahuvistaram,ind.,yes
143897,bahuSAKa,143897.1,bahuSAKatva,n.,yes
143926,bahusADana,143926.1,bahusADanatA,f.,yes
143940,bahusuvarRa,143940.1,bahusuvarRatA,f.,yes
143978,bahula,144002.1,bahulam,ind.,yes
144072,bahvASin,144073.1,bahvASitva,n.,yes
144099,bahiHsaMDya,144099.1,bahiHsaMDyatva,n.,yes
144105,bahiraNga,144108.1,bahiraNgatA,f.,yes
144105,bahiraNga,144108.2,bahiraNgatva,n.,yes
144201,bahizpatnIsaMyAja,144201.1,bahizpatnIsaMyAjatva,n.,yes
144350,bADaka,144354.1,bADakatA,f.,yes
144351,bADaka,144354.2,bADakatva,n.,yes
144362,bADayitf,144362.1,bADayitrI,f.,yes
144647,bAlasaKi,144647.1,bAlasaKitva,n.,yes
144673,bAlADyApaka,144673.1,bAlADyApakatA,f.,yes
144693,bAlAvaboDa,144694.1,bAlAvaboDana,n.,yes
144982,bAhulatA,144983.1,bAhulatikA,f.,yes
145463,bIjavivfti,145463.1,bIjavivftikalpalatAvatAra,m.,yes
145615,budDaBUmi,145615.1,budDaBUmisUtra,n.,yes
145676,budDipUrvaka,145676.1,budDipUrvakam,ind.,yes
145676,budDipUrvaka,145676.2,budDipUrvakatva,n.,yes
145713,budDivfdDi,145714.1,budDivfdDikara,mfn.,yes
145729,budDisTa,145729.1,budDisTatva,n.,yes
145793,bodDf,145793.1,bodDftva,n.,yes
145832,boDaka,145835.1,boDakatva,n.,yes
146205,bfhatI,146215.1,bfhatIdvaya,n.,yes
146269,bfhadgOrIvrata,146269.1,bfhadgOrIvratakaTA,f.,yes
146618,brahmagarBa,146619.1,brahmagarBasmfti,f.,yes
146646,brahmaGoza,146647.2,brahmaGozarava,m.,yes
146724,brahmatejas,146727.1,brahmatejomaya,,yes
146763,brahmadAya,146764.1,brahmadAyahara,mfn.,yes
146763,brahmadAya,146764.2,brahmadAyAda,mfn.,yes
146773,brahmadeya,146774.2,brahmadeyAnusaMtAna,mfn.,yes
146773,brahmadeya,146774.1,brahmadeyAtmasaMtAna,mfn.,yes
146828,brahmaputra,146835.1,brahmaputratA,f.,yes
146836,brahmapura,146845.1,brahmapuramAhAtmya,n.,yes
146841,brahmapurI,146847.1,brahmapurImAhAtmya,n.,yes
146860,brahmaprakftika,146860.1,brahmaprakftikatva,n.,yes
146872,brahmabanDu,146872.1,brahmabanDutA,f.,yes
146899,brahmaBUya,146900.1,brahmaBUyatva,n.,yes
146940,brahmayoni,146944.1,brahmayonisTa,mfn.,yes
147005,brahmavAda,147006.1,brahmavAdArTa,m.,yes
147007,brahmavAdin,147008.1,brahmavAditva,n.,yes
147053,brahmavrata,147053.1,brahmavrataDara,mfn.,yes
147072,brahmasaMhitA,147072.1,brahmasaMhitAvyAKyA,f.,yes
147103,brahmasidDAnta,147103.1,brahmasidDAntapadDati,f.,yes
147151,brahmARqa,147152.1,brahmARqakawAha,m.,yes
147168,brahmADigama,147168.1,brahmADigamana,n.,yes
147171,brahmAnanda,147172.01,brahmAnandagiri,m.,yes
147171,brahmAnanda,147172.02,brahmAnandaparamahaMsa,m.,yes
147171,brahmAnanda,147172.03,brahmAnandaBAratI,m.,yes
147171,brahmAnanda,147172.04,brahmAnandayogin,m.,yes
147171,brahmAnanda,147172.05,brahmAnandayogIndra,m.,yes
147171,brahmAnanda,147172.06,brahmAnandasarasvatI,m.,yes
147171,brahmAnanda,147172.07,brahmAnandin,m.,yes
147196,brahmAvaboDa,147196.1,brahmAvaboDavivekasinDu,m.,yes
147198,brahmAvarta,147199.1,brahmAvartatIrTa,n.,yes
147221,brahmojJa,147221.1,brahmojJatA,f.,yes
147221,brahmojJa,147221.2,brahmojJatva,n.,yes
147228,brahmottara,147228.2,brahmottaraKaRqa,n.,yes
147228,brahmottara,180982.1,laGuSivapurARa,n.,yes
147243,brahmaRaspati,147243.1,brahmaRaspatisUkta,n.,yes
147424,brAhmaRaka,147426.1,brAhmaRakIya,mfn.,yes
147466,brAhmI,147473.1,brAhmyA,ind.,yes
147564,Bakzin,147564.1,Bakzitva,n.,yes
147637,BaktamAlA,147637.1,BaktamAlAgragranTa,m.,yes
147665,Bakti,147672.1,BaktyA,ind.,yes
147665,Bakti,147684.1,Baktitas,ind.,yes
147723,BaktivilAsa,147723.1,BaktivilAsatattvadIpikA,f.,yes
147729,BaktisaMdarBa,147729.1,BaktisaMdarBapadyAvalI,f.,yes
147733,BaktisAra,147733.1,BaktisArasaMgraha,m.,yes
147871,BagavadIya,147871.1,BagavadIyatva,n.,yes
147914,Bajana,147914.1,BajanatA,f.,yes
147949,Bagnaprakrama,147949.1,BagnaprakramatA,f.,yes
148383,BadrapadA,148383.1,BadrapadAyoga,m.,yes
148399,BadrabAhu,148400.1,BadrabAhucaritra,n.,yes
148399,BadrabAhu,148400.2,BadrabAhuSAstra,n.,yes
148399,BadrabAhu,148400.3,BadrabAhusaMhitA,f.,yes
148578,Baya,148583.1,BayAt,ind.,yes
148589,BayaMkara,148594.1,BayaMkaram,ind.,yes
148672,Bara,148674.1,BareRa,ind.,yes
148672,Bara,148674.2,BarAt,ind.,yes
148766,BaratasUtra,148766.1,BaratasUtravftti,f.,yes
148807,BartfGna,148808.1,BartfGnatva,n.,yes
148827,BartfmeRWa,148827.1,BartfmeRWatA,f.,yes
148836,Bartfvrata,148837.1,BartfvratacAriRI,f.,yes
148867,Baraga,148867.1,Baragatva,n.,yes
149292,Basad,149296.1,Basattas,ind.,yes
149399,Basman,149400.1,Basmanihuta,mfn.,yes
149677,BAgya,149678.1,BAgyena,ind.,yes
149709,BAjana,149712.1,BAjanena,ind.,yes
149764,BAwwadinakara,149764.01,BAwwadinakarIya,n.,yes
149768,BAwwapariBAzA,149768.01,BAwwapariBAzAprakASikA,f.,yes
149940,BArin,149941.1,BAritva,n.,yes
149996,BAratItIrTa,149997.1,BAratItIrTIya,n.,yes
150182,BAva,150207.1,BAvena,ind.,yes
150253,BAvapradIpa,150253.1,BAvapradIpoddyota,m.,yes
150322,BAvAtmaka,150322.1,BAvAtmakatA,f.,yes
150333,BAvArTa,150334.19,BAvArTatva,n.,yes
150358,BAvana,150373.1,BAvanayA,ind.,yes
150484,BAzaRI,150484.1,BAzaRIkzOlema,m.,yes
150517,BAzitapuMska,150517.1,BAzitapuMskatva,n.,yes
150538,BAzyapradIpa,150538.1,BAzyapradIpavivaraRa,n.,yes
150538,BAzyapradIpa,150538.2,BAzyapradIpoddyotana,n.,yes
150616,BAsaka,150617.1,BAsakatva,n.,yes
150642,BAsya,150642.1,BAsyatva,n.,yes
150674,BikzAcarya,150674.1,BikzAcaryacaraRa,n.,yes
150855,Binnavarcas,150855.1,Binnavarcastva,n.,yes
150865,Binnavftti,150866.1,BinnavfttitA,f.,yes
150879,BinnAYjanavarRa,150879.1,BinnAYjanavarRatA,f.,yes
151269,BujAntara,151270.1,BujAntaram,ind.,yes
151275,Bujaga,151275.5,Bujagatva,n.,yes
151394,Bujizya,151401.1,BujizyatA,f.,yes
151492,BuvanadIpaka,151492.1,BuvanadIpakaSAstra,n.,yes
151881,BUtapUrva,151882.1,BUtapUrvam,ind.,yes
151897,BUtaBAvana,151898.1,BUtaBAvanaBAvana,mfn.,yes
152307,BUyaskAma,152307.1,BUyaskAmatA,f.,yes
152333,BUyoruci,152333.1,BUyorucitA,f.,yes
152393,BUriprayoga,152395.1,BUriprayogatva,n.,yes
152733,BfSa,152738.1,BfSam,ind.,yes
152866,BedanIya,152867.1,BedanIyatA,f.,yes
152906,BerIBAMkAra,152906.1,BerIBAMkArIya,n.,yes
152922,Bela,152923.1,Belaka,m.,yes
152976,BEmI,152986.1,BEmIpariRaya,n.,yes
152990,BErava,153009.1,BEravam,ind.,yes
153272,Bojana,87812.1,tridvyekaBojana,mfn.,yes
153478,BrazwADikAra,153478.1,BrazwADikAratva,n.,yes
153606,BramarikA,153608.1,BramarikAdfzwi,f.,yes
153651,BrAmaka,153654.1,BrAmakAdri,m.,yes
153774,BrUkuwI,153775.1,BrUkuwIkuwika,mfn.,yes
153782,BrUkzepa,153783.1,BrUkzepaRa,n.,yes
153884,mA,153891.1,mAtva,n.,yes
154134,maNKa,154134.1,maNKakoSa,m.,yes
154554,mawwa,154554.1,mawwanftya,n.,yes
154664,maRidIpa,154665.1,maRidIpaka,m.,yes
154694,maRipUra,154694.1,maRipUrapura,n.,yes
154938,maRqalanABi,154938.1,maRqalanABitA,f.,yes
155022,maRqUkagati,155023.1,maRqUkagatilAlasa,mfn.,yes
155056,matkuRa,155064.1,matkuRatva,n.,yes
155173,matsyendra,155173.1,matsyendramuhUrta,m.,yes
155314,mattavAraRa,155318.1,mattavAraRavikrama,mfn.,yes
155754,madgura,155755.1,madgurapriyA,f.,yes
155987.05,maDumat,155987.86,maDumattama,mfn.,yes
156181,maDura,156206.1,maDuram,ind.,yes
156203,maDura,156206.2,maDureRa,ind.,yes
156237,maDuraSuklamUtra,156237.1,maDuraSuklamUtratA,f.,yes
156242,maDurasvara,156243.1,maDurasvaram,ind.,yes
156244,maDurAkzara,156245.1,maDurAkzaram,ind.,yes
156258,maDurAlApa,156259.1,maDurAlApanisargapaRqita,mfn.,yes
156348,maDya,156386.1,maDyatva,n.,yes
156356,maDya,156367.1,maDyam,ind.,yes
156356,maDya,156367.4,maDyena,ind.,yes
156356,maDya,156367.2,maDyAt,ind.,yes
156356,maDya,156367.3,maDye,ind.,yes
156451,maDyasTAna,156452.1,maDyasTAnadevatA,f.,yes
156619,maDvasidDAnta,156619.1,maDvasidDAntaBaYjana,n.,yes
156619,maDvasidDAnta,156619.2,maDvasidDAntasAra,m.,yes
156657,mataMgaja,156658.1,mataMgajatva,n.,yes
156670.1,mati,156670.81,matyA,ind.,yes
156670.2,mati,156670.82,matyA,ind.,yes
156763,manana,156764.1,mananA,ind.,yes
156778,manas,156781.1,manasA,ind.,yes
156895,manujendra,156895.1,manujendraputra,m.,yes
156895,manujendra,156895.2,manujendraputrI,f.,yes
156904,manupraRIta,156904.1,manupraRItatva,n.,yes
157014,manojava,157029.1,manojavam,ind.,yes
157014,manojava,157029.2,manojavatA,f.,yes
157032,manojavin,157032.1,manojavitva,n.,yes
157099,manoyAyin,157099.1,manoyAyitva,n.,yes
157116,manoraTatftIyA,157116.1,manoraTatftIyAvrata,n.,yes
157121,manoraTabanDa,157121.1,manoraTabanDabanDu,m.,yes
157195,manoharatara,157195.1,manoharataratva,n.,yes
157318,mantrapArAyaRa,157318.1,mantrapArAyaRakrama,m.,yes
157329,mantraprayoga,157330.1,mantraprayogatantra,n.,yes
157338,mantrabrAhmaRa,157339.1,mantrabrAhmaRavid,mfn.,yes
157410,mantrasADya,157411.1,mantrasADyatva,n.,yes
157557,manTaguRa,157557.1,manTaguRIkfta,mfn.,yes
157612,manTara,157629.1,manTaram,ind.,yes
157664,mandra,157667.1,mandram,ind.,yes
157712,mandakiraRa,157712.1,mandakiraRatva,n.,yes
157718,mandagati,157718.1,mandagatitva,n.,yes
157729,mandatara,157729.1,mandataram,ind.,yes
157775,mandavedana,157775.1,mandavedanatA,f.,yes
157781,mandahAsa,157782.1,mandahAsam,ind.,yes
157814,mandozman,157814.1,mandozmatA,f.,yes
158168,marAla,158171.1,marAlatA,f.,yes
158273,maruBUmi,158274.1,maruBUmitva,n.,yes
158509,mardana,158510.1,mardanaSAlA,f.,yes
158555,marmaveDin,158555.1,marmaveDitA,f.,yes
158629,marzita,158631.1,marzitavat,mfn.,yes
158771,malaprAladeSa,158771.1,malaprAladeSIya,mfn.,yes
158772,malabAra,158772.1,malabAradeSa,m.,yes
159056,mazyaBAva,159056.1,mazyaBAvAt,ind.,yes
159070,mastaka,159072.1,mastakam,ind.,yes
159179,mahardDi,159181.1,mahardDiprApta,m.,yes
159179,mahardDi,159181.2,mahardDimat,mfn.,yes
159254,mahadguRa,159254.1,mahadguRatva,n.,yes
159280,mahas,159286.1,mahas,ind.,yes
159327,mahAkaruRa,159327.2,mahAkaruRatA,f.,yes
159350,mahAkAya,159356.1,mahAkAyatva,n.,yes
159366,mahAkAla,159379.21,mahAkAlatva,n.,yes
159507,mahAgnicayana,159507.1,mahAgnicayanakArikA,f.,yes
159507,mahAgnicayana,159507.2,mahAgnicayanaprayoga,m.,yes
159507,mahAgnicayana,159507.3,mahAgnicayanavyAKyA,f.,yes
159507,mahAgnicayana,159507.4,mahAgnicayanasUtra,n.,yes
159547,mahAcakravartin,159547.1,mahAcakravartitA,f.,yes
159566,mahAcit,159566.1,mahAcittva,n.,yes
159585,mahAjana,159589.1,mahAjane,ind.,yes
159688,mahAtyAga,159689.1,mahAtyAgacitta,mfn.,yes
159742,mahAdevI,159764.1,mahAdevItva,n.,yes
159834,mahAnanda,159834.51,mahAnandatva,n.,yes
160047,mahApuruza,160050.1,mahApuruzatA,f.,yes
160064,mahApfTivI,160064.1,mahApfTivItva,n.,yes
160097,mahApraBu,160102.1,mahApraButva,n.,yes
160237,mahABAgya,160239.1,mahABAgyatA,f.,yes
160359,mahAmahiman,160360.2,mahAmahimaSAlin,mfn.,yes
160360,mahAmahiman,160360.1,mahAmahimatva,n.,yes
160447,mahAmftyuMjaya,160448.01,mahAmftyuMjayamantra,m.,yes
160469,mahAmohamantra,160469.1,mahAmohamantratva,n.,yes
160728,mahAvAkya,160731.01,mahAvAkyatva,n.,yes
160731.80,mahAvAkyArTa,160731.81,mahAvAkyArTadarpaRa,m.,yes
160731.80,mahAvAkyArTa,160731.82,mahAvAkyArTaprabanDa,m.,yes
160731.80,mahAvAkyArTa,160731.83,mahAvAkyArTapraboDa,m.,yes
160731.80,mahAvAkyArTa,160731.84,mahAvAkyArTavicAra,m.,yes
160780,mahAvizuva,160780.1,mahAvizuvasaMkrAnti,f.,yes
161252,maheSAna,161253.1,maheSAnabanDu,m.,yes
161269,maheSvaradIkzita,161269.1,maheSvaradIkzitIya,n.,yes
161272,maheSvaraBawwa,161272.1,maheSvaraBawwIya,n.,yes
161289,mahokza,161289.1,mahokzatA,f.,yes
161403,mahitvana,161403.1,mahitvanA,ind.,yes
161431,mahin,161431.1,mahintama,mfn.,yes
161443,mahiman,161448.1,mahimnA,ind.,yes
161443,mahiman,161435,mahinA,ind.,yes
161488,mahizAsuramardinI,161488.1,mahizAsuramardinIstotra,n.,yes
161564,mahIpati,161565.1,mahIpatitva,n.,yes
161730,mAtrA,161739.1,mAtrayA,ind.,yes
161878,mAMsASin,161878.1,mAMsASitva,n.,yes
162095,mARavaka,162095.1,mARavakakrIqa,n.,yes
162095,mARavaka,162095.2,mARavakakrIqanaka,n.,yes
162095,mARavaka,162095.3,mARavakakrIqA,f.,yes
162095,mARavaka,162095.4,mARavakakrIqitaka,n.,yes
162261,mAtfgarBa,162261.1,mAtfgarBasTa,mfn.,yes
162314,mAtfmaRqala,162315.1,mAtfmaRqalavid,m.,yes
162374,mAtAmaha,162374.1,mAtAmahIya,mfn.,yes
162429,mAtfkApUjana,162429.1,mAtfkApUjanaviDi,m.,yes
162482,mAdaka,162483.1,mAdakatA,f.,yes
162482,mAdaka,162483.2,mAdakatva,n.,yes
162505,mAduza,162505.1,mAduzatva,n.,yes
162691.50,mADyaMdinaSAKA,162691.51,mADyaMdinaSAKIya,mfn.,yes
163010,mAntravarRika,163010.1,mAntravarRikItva,n.,yes
163135,mAyAyantra,163135.01,mAyAyantravimAna,m.,yes
163150,mAyAvin,163155.1,mAyAvitA,f.,yes
163173,mAyin,163182.1,mAyitA,f.,yes
163253,mAraRa,163257.1,mAraRakarman,n.,yes
163253,mAraRa,163257.2,mAraRakftya,n.,yes
163532,mArjita,163534.1,mArjite,ind.,yes
163677,mAlArUpa,163677.1,mAlArUpatA,f.,yes
163677,mAlArUpa,163677.2,mAlArUpatva,n.,yes
163687,mAlAsaMskAra,163687.1,mAlAsaMskAravarRana,n.,yes
163811,mAlavya,163813.1,mAlavyadeSa,m.,yes
163936,mAsADipati,163936.1,mAsADipatya,n.,yes
163939,mAsApavarga,163939.01,mAsApavargatA,f.,yes
163939,mAsApavarga,163939.02,mAsApavargatva,n.,yes
164058,mAhizasTalI,164058.1,mAhizasTalaka,mfn.,yes
164104,miRmiRa,164104.1,miRmiRatva,n.,yes
164119,mitaBAzin,164119.2,mitaBAzitva,n.,yes
164138,mitArTa,164139.1,mitArTaBAzin,mfn.,yes
164361.1,miTyAgraha,164361.2,miTyAgnahaRa,n.,yes
164543,miSrIBAva,164544.1,miSrIBAvakarman,n.,yes
164694,mImAMsAvAda,164694.1,mImAMsAvAdArTa,m.,yes
164714,mIramIrA,164714.1,mIramIrAsuta,m.,yes
164732,mIvA,164732.1,mIvan,m.,yes
164746,muku,164746.1,mukum,ind.,yes
164850,muKa,164857.1,muKena,ind.,yes
164867,muKacapala,164868.1,muKacapalatva,n.,yes
165066,muKyamantrin,165066.1,muKyamantritva,n.,yes
165159,muktAkAra,165159.1,muktAkAratA,f.,yes
165239,muktivAda,165239.1,muktivAdawIkA,f.,yes
165239,muktivAda,165239.2,muktivAdarahasya,n.,yes
165239,muktivAda,165239.3,muktivAdavicAra,m.,yes
165267,mumukzusarvasva,165267.1,mumukzusarvasvasArasaMgraha,m.,yes
165566,mudrArRava,165566.1,mudrArRavalakzaRawIkA,f.,yes
165664,munIndra,165670.1,munIndratA,f.,yes
165718,murArinAwaka,165718.1,murArinAwakavyAKyA,f.,yes
165718,murArinAwaka,165718.2,murArinAwakavyAKyApUrRasarasvatI,f.,yes
165860,mumuzizu,165860.1,mumuzizuvat,ind.,yes
165929,muzwibanDa,165929.1,muzwibanDam,ind.,yes
166055,muhuka,166055.1,muhukEs,ind.,yes
166067,muhUrta,166069.1,muhUrtena,ind.,yes
166070,muhUrtakalpadruma,166070.1,muhUrtakalpadrumIyasaMkrAntisaMjYAkusuma,n.,yes
166077,muhUrtacintAmaRi,166077.1,muhUrtacintAmaRisAra,m.,yes
166077,muhUrtacintAmaRi,166077.2,muhUrtacintAmaRisAriRI,f.,yes
166203,mUtrakfcCra,166204.1,mUtrakfcCrin,mfn.,yes
166224,mUtramArga,166224.1,mUtramArganiroDana,n.,yes
166238,mUtrasaNga,166238.1,mUtrasaNgin,mfn.,yes
166345,mUlakarman,166345.1,mUlakarmakriyA,f.,yes
166497,mUlaka,166504.1,mUlakatva,n.,yes
166677,mftANga,166677.1,mftANgalagna,n.,yes
166754,mftyumftyu,166754.1,mftyumftyutva,n.,yes
167225,mftkaRa,167225.1,mftkaRatA,f.,yes
167326,mfdutIkzRa,167327.1,mfdutIkzRatara,mfn.,yes
167350,mfduBAzin,167350.1,mfduBAzitA,f.,yes
167353,mfdumaDyADimAtra,167353.1,mfdumaDyADimAtratva,n.,yes
167355,mfduyudDa,167355.1,mfduyudDatA,f.,yes
167783,meTi,167791.1,meTI,,no_backlink
167783,meTi,167958.1,meDi,,no_backlink
167783,meTi,167959.1,meDI,,no_backlink
167783,meTi,167759.1,,,CHILD_MISSING
167783,meTi,167755.01,,,CHILD_MISSING
167783,meTi,167755.11,,,CHILD_MISSING
167783,meTi,167760.1,,,CHILD_MISSING
167785,meTi,167791.2,meTI,,no_backlink
168032,merusAvarRa,168032.1,merusAvarRatA,f.,yes
168033,merusAvarRi,168034.1,merusAvarRitA,f.,yes
168297,mErAvaRa,168297.1,mErAvaRacaritra,n.,yes
168350,mokzaDarma,168350.1,mokzaDarmaparvan,n.,yes
168410,moGa,168410.6,moGam,ind.,yes
168572,moha,168578.01,mohAt,ind.,yes
168666,mOktikaratna,168666.1,mOktikaratnatA,f.,yes
169294,yajYapatnI,169294.1,yajYapatnItva,n.,yes
169297,yajYapariBAzA,169297.1,yajYapariBAzAsUtra,n.,yes
169325,yajYaBAga,169325.1,yajYaBAgeSvara,m.,yes
169356,yajYarUpa,169357.1,yajYarUpaDfk,m.,yes
169401,yajYaSAstra,169401.1,yajYaSAstravid,mfn.,yes
169402,yajYaSizwa,169402.1,yajYaSizwASana,n.,yes
169464,yajYAnta,169466.1,yajYAntakft,m.,yes
169550,yaRva,169550.1,yaRvApatye,,yes
169638,yatrakAmAvasAyin,169638.1,yatrakAmAvasAyitA,f.,yes
169638,yatrakAmAvasAyin,169638.2,yatrakAmAvasAyitva,n.,yes
169664,yaTAkAmin,169664.1,yaTAkAmitva,n.,yes
169803,yaTApUrva,169805.1,yaTApUrvatva,n.,yes
169913.40,yaTArTanAmaka,169913.41,yaTArTanAmakatva,n.,yes
169919.2,yaTArha,169919.26,yaTArhakftapUja,mfn.,yes
170080,yaTezwa,170085.1,yaTezwatva,n.,yes
170161,yadfcCA,170162.1,yadfcCayA,ind.,yes
170177,yadBUyas,170177.01,yadBUyasA,ind.,yes
170196.2,yatkiMcanakArin,170196.21,yatkiMcanakAritA,f.,yes
170304,yantra,170305.1,yantreRa,ind.,yes
170320,yantraDArAgfha,170320.1,yantraDArAgfhatva,n.,yes
170405,yamakowi,170406,yamakowipattana,n.,yes
170405,yamakowi,170406.1,yamakowipurI,f.,yes
170881,yaSaHSeza,170882.01,yaSaHSezIBUta,mfn.,yes
171006,yasya,171006.1,yasyatva,n.,yes
171041,yAtavya,171042.1,yAtavyAya,ind.,yes
171041,yAtavya,171042.2,yAtavyatA,f.,yes
171084,yAtrAprakaraRa,171084.1,yAtrAprakaraRawIkA,f.,yes
171145,yApya,171148.1,yApyatva,n.,yes
171268,yAcya,171270.1,yAcyatA,f.,yes
171277,yAjaka,171279.1,yAjakatva,n.,yes
171326,yAjYikya,171326.1,yAjYikyaka,n.,yes
171334,yAjya,171335.1,yAjyatA,f.,yes
171334,yAjya,171335.2,yAjyatva,n.,yes
171376,yATAtaTya,171376.1,yATAtaTyam,ind.,yes
171376,yATAtaTya,171376.2,yATAtaTyena,ind.,yes
171466,yAmya,171474.1,yAmye,ind.,yes
171466,yAmya,171474.2,yAmyena,ind.,yes
171554,yAvat,171559.1,yAvatA,ind.,yes
171667,yAsa,171668.1,yAsaSarkarA,f.,yes
171737,yukta,171755.1,yuktam,ind.,yes
171755,yukta,171755.2,yuktam,ind.,yes
171757,yuktakarman,171757.1,yuktakarmatA,f.,yes
171798,yukti,171811.1,yuktyA,ind.,yes
171798,yukti,171811.2,yuktiBis,ind.,yes
171798,yukti,171819,yuktitas,ind.,yes
171826,yuktimat,171827.1,yuktimattva,n.,yes
171995,yoktra,171998.1,yoktrapASa,m.,yes
172025,yudDakArin,172025.1,yudDakAritva,n.,yes
172054,yudDayogya,172054.1,yudDayogyatA,f.,yes
172342,yoga,172363.1,yogena,ind.,yes
172342,yoga,172404.11,yogatas,ind.,yes
172343,yoga,172404.31,yogatas,ind.,yes
172397,yogatattva,172397.1,yogatattvopanizad,f.,yes
172519,yogavAhin,172520.1,yogavAhitva,n.,yes
173026,raMsu,173026.1,raMsu,ind.,yes
173139,rakzin,173140.1,rakzitva,n.,yes
173146,rakzoGna,173150.1,rakzoGnamantra,m.,yes
173146.1,rakzoGna,173150.2,rakzoGnasUkta,n.,yes
173421,raktacCada,173421.1,raktacCadatva,n.,yes
173535,raktapUrRa,173535.1,raktapUrRatva,n.,yes
173633,raktaSfNgaka,173633.1,raktaSfNgI,f.,yes
173666,raktAkza,173675.1,raktAkzatA,f.,yes
173674,raktAkza,173675.2,raktAkzi,m.,yes
173674,raktAkza,173675.3,raktAkzin,m.,yes
173700,raktAmbara,173702.1,raktAmbaraDara,mfn.,yes
173702,raktAmbara,173702.2,raktAmbaratva,n.,yes
173946,rajanIcara,173949.1,rajanIcaranATa,m.,yes
174032,raYjana,174050.1,raYjanatva,n.,yes
174309,ratnaDA,174310.1,ratnaDAtama,mfn.,yes
174431,ratnAkara,174439.1,ratnAkaratva,n.,yes
174488,ratnin,174488.1,ratnitva,n.,yes
174602,raTayAtrA,174603.1,raTayAtrAmahotsava,m.,yes
174667,raTAkza,174668.1,raTAkzamAtra,mfn.,yes
174882,raBasa,174891.1,raBasAt,ind.,yes
174882,raBasa,174891.2,raBasena,ind.,yes
175137,ramaRIyaqAmara,175137.1,ramaRIyaqAmaratva,n.,yes
175139,ramaRIyatara,175139.1,ramaRIyataratva,n.,yes
175252,raya,175256.1,rayeRa,ind.,yes
175252,raya,175256.2,rayAt,ind.,yes
175609,rasapadmAkara,175609.1,rasapadmAkaracampU,f.,yes
175616,rasaprakASa,175616.1,rasaprakASasuDAkara,m.,yes
175629,rasaBeda,175630.1,rasaBedIya,mfn.,yes
175746,rasAntara,175749.1,rasAntaravid,mfn.,yes
175756,rasAmfta,175756.1,rasAmftasinDu,m.,yes
175815,rasoparasa,175815.1,rasoparasaSoDana,n.,yes
175817,rasollAsa,175819.1,rasollAsin,mfn.,yes
175919,rasyamAna,175919.1,rasyamAnatA,f.,yes
175940,rahas,175942.1,rahas,ind.,yes
175940,rahas,175942.2,rahasi,ind.,yes
175940,rahas,175942.3,rahassu,ind.,yes
175944,rahaskAma,175944.1,rahaskAmatA,f.,yes
175986,rahasyezwi,175986.1,rahasyezwipadDati,f.,yes
175991,rahita,175993.1,rahite,ind.,yes
175991,rahita,175993.2,rahitezu,ind.,yes
176360,rAjaduhitf,176361.1,rAjaduhitfmaya,,yes
176434,rAjaputra,176447.1,rAjaputratA,f.,yes
176537,rAjamArga,176537.1,rAjamArgaviSArada,mfn.,yes
176610,rAjavat,176613.01,rAjavati,ind.,yes
176794,rAjAvarta,176795.1,rAjAvartopala,m.,yes
176858,rAjamAna,176858.1,rAjamAnatva,n.,yes
176949,rAjasa,176951.1,rAjasatva,n.,yes
177050,rAtri,177050.7,rAtrO,ind.,yes
177050,rAtri,177050.8,rAtryAm,ind.,yes
177176,rADana,177178.1,rADanadravya,n.,yes
177295,rAmakaTA,177295.1,rAmakaTAmfta,n.,yes
177295,rAmakaTA,177295.2,rAmakaTAsaMgraha,m.,yes
177558,rAmahfdaya,177559.1,rAmahfdayAspada,n.,yes
177624,rAmopanizad,177624.1,rAmopanizatpaYcaka,n.,yes
177817,rAzwraBft,177817.1,rAzwraBfttva,n.,yes
178207,rIWA,178207.1,rIWAkaraYja,m.,yes
