parent_L,parent_k1,child_L,child_k1,child_lex,reciprocal
116453,parakIya,116454.3,parakIyanipAna,n.,yes
116454,parakIyA,116454.2,parakIyAtva,n.,yes
116597,parameSvara,116611.2,parameSvarIya,n.,yes
116599,parameSvarI,116611.1,parameSvarIdAsAbDi,m.,yes
116612,paramezvAsa,116612.1,paramezvAsatA,f.,yes
116710.1,parovarIyas,116710.3,parovarIyastva,n.,yes
116818,parANmuKa,116823.1,parANmuKam,ind.,yes
116903,parAmarSin,116903.1,parAmarSitva,n.,yes
117118,parikrAmitaka,117118.1,parikrAmitakena,ind.,yes
117385,paricArin,117385.1,paricAriRI,f.,yes
117443,paricCinna,117445.1,paricCinnatva,n.,yes
117554,pariRAma,117556.1,pariRAme,ind.,yes
117563,pariRAmavat,117563.1,pariRAmavattva,n.,yes
117571,pariRAmin,117572.1,pariRAmitva,n.,yes
117730.1,paridevita,117730.4,paridevitam,ind.,yes
117749,paridfzwakarman,117749.1,paridfzwakarmatA,f.,yes
117793,pariDUsara,117793.1,pariDUsaratva,n.,yes
117974,paripuzwa,117976.1,paripuzwatA,f.,yes
118096,pariboDa,118098.1,pariboDavat,mfn.,yes
118185,pariBraMS,9567.2,apariBraSyamAna,mfn.,yes
118215,parimaRqalatA,118215.1,parimaRqalatAtva,n.,yes
118246,parimARa,118246.1,parimARaka,n.,yes
118248,parimARavat,118248.1,parimARavattva,n.,yes
118283,parimugDa,118283.1,parimugDatA,f.,yes
118284,parimUQa,118284.1,parimUQatA,f.,yes
118693,parivftti,118701.1,parivfttyA,ind.,yes
118722,parivezwita,118722.1,parivezwitavat,mfn.,yes
118861,parizad,118862.1,parizattva,n.,yes
119116,parisrut,119119.1,parisrunmat,mfn.,yes
119136,parihAsavastu,119136.1,parihAsavastutA,f.,yes
119200,parihfzwa,119201.1,parihfzwamAnasa,mfn.,yes
119290,paryAya,119300.1,paryAyeRa,ind.,yes
119291,paryAya,119302.2,paryAyatva,n.,yes
119293,paryAya,119302.1,paryAyatA,f.,yes
119293,paryAya,119302.3,paryAyatva,n.,yes
119332,parIkzaRIya,119333.1,parIkzaRIyatva,n.,yes
119385,paruza,119390.1,paruzam,ind.,yes
