L_number,resolved_to_ls,terminal_siglum,kind,confidence
102,Suśr.,Suśr.,real,crossed-headword
796,Car.,Car.,real,crossed-headword
1022,ĀśvŚr.,ĀśvŚr.,real,crossed-headword
2392,L.,L.,meta,crossed-headword
3150,"Pāṇ. iv, 1, 12",Pāṇ.,real,crossed-headword
3837,"Pāṇ. v, 2, 13",Pāṇ.,real,crossed-headword
4323,Buddh.,Buddh.,real,same-cluster
5294,Buddh.,Buddh.,real,same-cluster
6414,KātyŚr.,KātyŚr.,real,same-cluster
6689,MBh.,MBh.,real,same-cluster
6719,ŚBr.,ŚBr.,real,same-cluster
6757,"Pāṇ. vi, 2, 190",Pāṇ.,real,same-cluster
7152,KātyŚr.,KātyŚr.,real,same-cluster
7271,Buddh.,Buddh.,real,same-cluster
8437,"Pāṇ. iii, 2, 57.",Pāṇ.,real,crossed-headword
8707,AitBr.,AitBr.,real,crossed-headword
8708,AitBr.,AitBr.,real,crossed-headword
8732,"Pāṇ. iii, 4, 64.",Pāṇ.,real,crossed-headword
8864,TS.,TS.,real,crossed-headword
9288,"Pāṇ. vi, 2, 187",Pāṇ.,real,same-cluster
9334,"Pāṇ. vi, 2, 187",Pāṇ.,real,same-cluster
9378,"Pāṇ. vi, 2, 186",Pāṇ.,real,same-cluster
9379,"Pāṇ. vi, 2, 186",Pāṇ.,real,crossed-headword
9707,"Pāṇ. vi, 2, 187",Pāṇ.,real,crossed-headword
9708,"Pāṇ. vi, 2, 187",Pāṇ.,real,crossed-headword
9710,RV.,RV.,real,same-cluster
9878,"Pāṇ. vi, 2, 187",Pāṇ.,real,crossed-headword
9884,BhP.,BhP.,real,same-cluster
9979.1,AV.,AV.,real,same-cluster
10130.1,MBh.,MBh.,real,same-cluster
10130.2,MBh.,MBh.,real,same-cluster
10362,"Mn. vii, 197.",Mn.,real,crossed-headword
10439,Naigh.,Naigh.,real,same-cluster
10705,"xii, 94",xii,real,crossed-headword
10773,MBh.,MBh.,real,same-cluster
12696,MBh.,MBh.,real,same-cluster
12697,MBh.,MBh.,real,same-cluster
12714,Car.,Car.,real,same-cluster
12726,"MBh. iii, 8080",MBh.,real,same-cluster
12736,"MBh. iv, 1572",MBh.,real,same-cluster
12772,MBh.,MBh.,real,same-cluster
12969,"MBh. iv, 2364",MBh.,real,same-cluster
13009,KātyŚr.,KātyŚr.,real,same-cluster
13208,Hariv. 1440.,Hariv.,real,crossed-headword
13228,"Pāṇ. vii, 2, 34",Pāṇ.,real,same-cluster
13230,Nir.,Nir.,real,crossed-headword
13498,Bād.,Bād.,real,same-cluster
13513,AitBr.,AitBr.,real,crossed-headword
14011.3,Sūryas.,Sūryas.,real,crossed-headword
14031,Nyāyam.,Nyāyam.,real,crossed-headword
14038,Nyāyam.,Nyāyam.,real,crossed-headword
14039,Vajracch.,Vajracch.,real,crossed-headword
14076,"MBh. iii, 2577.",MBh.,real,crossed-headword
14681,Sūryas.,Sūryas.,real,crossed-headword
14682,Sūryas.,Sūryas.,real,crossed-headword
14683,Sūryas.,Sūryas.,real,crossed-headword
14685.1,Sūryas.,Sūryas.,real,crossed-headword
14771,"Pāṇ. viii, 3, 46",Pāṇ.,real,crossed-headword
14780,"Pāṇ. viii, 3, 46",Pāṇ.,real,crossed-headword
14904,Nyāyad.,Nyāyad.,real,crossed-headword
14905,Nyāyad.,Nyāyad.,real,crossed-headword
15065,Hariv. 434,Hariv.,real,same-cluster
15100,N.,N.,real,same-cluster
15226,Kāś.,Kāś.,real,crossed-headword
15248,TBr.,TBr.,real,same-cluster
15266,"AV. ii, 18, 3.",AV.,real,crossed-headword
15285,VarBṛS.,VarBṛS.,real,same-cluster
15310,Hariv.,Hariv.,real,same-cluster
15431,BhP.,BhP.,real,same-cluster
15673,Ragh.,Ragh.,real,same-cluster
16107,MBh.,MBh.,real,same-cluster
16261,"Mn. viii, 311",Mn.,real,same-cluster
16403,"Pāṇ. v, 3, 84.",Pāṇ.,real,crossed-headword
16430,ŚBr.,ŚBr.,real,crossed-headword
16431,ŚBr.,ŚBr.,real,crossed-headword
16454,ŚBr.,ŚBr.,real,same-cluster
16981,KātyŚr.,KātyŚr.,real,crossed-headword
17037,Jain.,Jain.,real,crossed-headword
17189,Suśr.,Suśr.,real,same-cluster
17194,ĀpŚr.,ĀpŚr.,real,same-cluster
17243,ĀśvŚr.,ĀśvŚr.,real,same-cluster
17296,"Pāṇ. v, 2, 31",Pāṇ.,real,same-cluster
17330,"Ragh. vi, 30",Ragh.,real,same-cluster
17389,MBh.,MBh.,real,same-cluster
17426,RV.,RV.,real,same-cluster
17434,Nyāyad.,Nyāyad.,real,crossed-headword
17503,MBh.,MBh.,real,same-cluster
17503,MBh.,MBh.,real,same-cluster
17627,Kathās.,Kathās.,real,crossed-headword
17634,Rājat.,Rājat.,real,crossed-headword
17768,MBh.,MBh.,real,same-cluster
17886,ŚBr.,ŚBr.,real,same-cluster
17910,TS.,TS.,real,same-cluster
17910,TS.,TS.,real,same-cluster
18184,Kathās.,Kathās.,real,same-cluster
18247,Suśr.,Suśr.,real,same-cluster
18248,Suśr.,Suśr.,real,same-cluster
18264,"ŚBr. iii, 1, 1, 21.",ŚBr.,real,crossed-headword
18626,"Pāṇ. iv, 2, 36",Pāṇ.,real,crossed-headword
18797,"Pāṇ. v, 1, 8",Pāṇ.,real,crossed-headword
18878,Suśr.,Suśr.,real,crossed-headword
18912,Jaim.,Jaim.,real,same-cluster
18932,Kathās.,Kathās.,real,same-cluster
18932,Kathās.,Kathās.,real,same-cluster
19416,"Pāṇ. i, 3, 87",Pāṇ.,real,same-cluster
19467,ŚBr. iv.,ŚBr.,real,crossed-headword
19564,Kād.,Kād.,real,crossed-headword
19864,Mṛcch.,Mṛcch.,real,crossed-headword
19939,"Pāṇ. v, 1, 111",Pāṇ.,real,crossed-headword
20139,VarBṛS.,VarBṛS.,real,same-cluster
20544,2918,2918,real,same-cluster
20584,BhP.,BhP.,real,same-cluster
20705,Tarkas.,Tarkas.,real,crossed-headword
20712,L.,L.,meta,crossed-headword
20717,"Mn. xi, 157.",Mn.,real,crossed-headword
20768,Kād.,Kād.,real,same-cluster
20786,MBh.,MBh.,real,crossed-headword
20828,Kathās.,Kathās.,real,same-cluster
21198,KātyŚr.,KātyŚr.,real,same-cluster
21288,Sarvad.,Sarvad.,real,crossed-headword
21297,AitBr.,AitBr.,real,same-cluster
21372,Kpr.,Kpr.,real,crossed-headword
21530,"Pāṇ. v, 2, 59",Pāṇ.,real,crossed-headword
21672,BhP.,BhP.,real,crossed-headword
21673,BrahmavP.,BrahmavP.,real,crossed-headword
21675,ŚBr. xiv.,ŚBr.,real,crossed-headword
21777,"AV. xx, 131, 9.",AV.,real,crossed-headword
21782,Bālar.,Bālar.,real,crossed-headword
21791,ŚBr. i.,ŚBr.,real,crossed-headword
21792,ŚBr. i.,ŚBr.,real,crossed-headword
21793,ŚBr. i.,ŚBr.,real,crossed-headword
21804,Naigh.,Naigh.,real,same-cluster
21932,ŚāṅkhŚr.,ŚāṅkhŚr.,real,crossed-headword
21989,ŚBr. xii.,ŚBr.,real,crossed-headword
21990,ŚBr. xii.,ŚBr.,real,crossed-headword
22160,Kāś.,Kāś.,real,crossed-headword
22172,MBh.,MBh.,real,same-cluster
22173,MBh.,MBh.,real,same-cluster
22248,"MBh. ii, 1270",MBh.,real,same-cluster
22270,Kāś.,Kāś.,real,crossed-headword
22477,Prasannar.,Prasannar.,real,crossed-headword
22488,Kathās.,Kathās.,real,crossed-headword
22491,Vet.,Vet.,real,same-cluster
22511,Kathās.,Kathās.,real,same-cluster
22548,Kāś.,Kāś.,real,crossed-headword
22549,Kāś.,Kāś.,real,same-cluster
22550,Kāś.,Kāś.,real,crossed-headword
22551,Kāś.,Kāś.,real,crossed-headword
22552,Kāś.,Kāś.,real,crossed-headword
22622,"MBh. i, 4451.",MBh.,real,crossed-headword
22627,"Pāṇ. vi, 4, 149",Pāṇ.,real,same-cluster
22636,L.,L.,meta,crossed-headword
22637,L.,L.,meta,crossed-headword
22638,L.,L.,meta,crossed-headword
22683,TPrāt.,TPrāt.,real,crossed-headword
22810,"RV. viii, 60, 20",RV.,real,crossed-headword
22909,MBh.,MBh.,real,same-cluster
22958,Hariv. 3036,Hariv.,real,crossed-headword
22960,Hariv. 3036,Hariv.,real,crossed-headword
22961,Hariv. 3036,Hariv.,real,crossed-headword
22973,"Pāṇ. v, 1, 53",Pāṇ.,real,crossed-headword
23027,RV.,RV.,real,crossed-headword
23042,Kāś.,Kāś.,real,crossed-headword
23058,Kāś.,Kāś.,real,crossed-headword
23235,L.,L.,meta,crossed-headword
23287,"Pāṇ. v, 1, 53",Pāṇ.,real,crossed-headword
23385,Kād.,Kād.,real,crossed-headword
23479,Jātakam.,Jātakam.,real,crossed-headword
23566,Buddh.,Buddh.,real,same-cluster
23604,"MBh. i, 6228.",MBh.,real,crossed-headword
23754,"RV. x, 71, 7.",RV.,real,crossed-headword
23763,RV.,RV.,real,same-cluster
23927,MaitrS.,MaitrS.,real,crossed-headword
23945,VS.,VS.,real,crossed-headword
24121,Sāh.,Sāh.,real,crossed-headword
24123,Rājat.,Rājat.,real,crossed-headword
24177,Suśr.,Suśr.,real,crossed-headword
24197,RV.,RV.,real,same-cluster
24212,VBr.,VBr.,real,crossed-headword
24213,VBr.,VBr.,real,crossed-headword
24244,L.,L.,meta,same-cluster
24251,T.,T.,real,same-cluster
24430,NṛsUp.,NṛsUp.,real,crossed-headword
24488,RV.,RV.,real,same-cluster
24560,Pāṇ.,Pāṇ.,real,crossed-headword
24565,T.,T.,real,same-cluster
24568,Pāṇ.,Pāṇ.,real,crossed-headword
24573,Pāṇ.,Pāṇ.,real,crossed-headword
24580,Pāṇ.,Pāṇ.,real,crossed-headword
24581,Pāṇ.,Pāṇ.,real,crossed-headword
24592,Pāṇ.,Pāṇ.,real,crossed-headword
24595,MānŚr.,MānŚr.,real,crossed-headword
24596,MānŚr.,MānŚr.,real,crossed-headword
24634,Pāṇ.,Pāṇ.,real,crossed-headword
24635,Pāṇ.,Pāṇ.,real,crossed-headword
24640,Pāṇ.,Pāṇ.,real,crossed-headword
24641,Pāṇ.,Pāṇ.,real,crossed-headword
24645,Suśr.,Suśr.,real,same-cluster
24656,Hariv.,Hariv.,real,same-cluster
24704,L.,L.,meta,crossed-headword
24847,"Uṇ. ii, 45",Uṇ.,real,same-cluster
24916,BhP.,BhP.,real,crossed-headword
25000,R.,R.,real,same-cluster
25047,RV.,RV.,real,same-cluster
25060,KapS.,KapS.,real,crossed-headword
25134,L.,L.,meta,crossed-headword
25202,Kathās.,Kathās.,real,crossed-headword
25214,L.,L.,meta,crossed-headword
25279,Pāṇ.,Pāṇ.,real,same-cluster
25411,L.,L.,meta,crossed-headword
25491,L.,L.,meta,crossed-headword
25519,Pat.,Pat.,real,crossed-headword
25570,Kāś.,Kāś.,real,crossed-headword
25604,L.,L.,meta,crossed-headword
25656,Pāṇ.,Pāṇ.,real,same-cluster
25656.1,Pāṇ.,Pāṇ.,real,crossed-headword
25656.2,Pāṇ.,Pāṇ.,real,crossed-headword
25701,Jyot.,Jyot.,real,same-cluster
25712,Bhaṭṭ.,Bhaṭṭ.,real,crossed-headword
25761,"Pāṇ. vii, 3, 31",Pāṇ.,real,crossed-headword
25823,Hariv.,Hariv.,real,same-cluster
26063,MBh.,MBh.,real,same-cluster
26159,"Pāṇ. iv, 2, 127.",Pāṇ.,real,crossed-headword
26197,T.,T.,real,crossed-headword
26515,Pāṇ.,Pāṇ.,real,crossed-headword
26516,Pāṇ.,Pāṇ.,real,crossed-headword
26517,Pāṇ.,Pāṇ.,real,crossed-headword
26518,Pāṇ.,Pāṇ.,real,crossed-headword
26566,Rājat.,Rājat.,real,crossed-headword
27565,"Pāṇ. v, 1, 122",Pāṇ.,real,crossed-headword
27580,"Pāṇ. iv, 1, 123.",Pāṇ.,real,crossed-headword
27611,Pāṇ.,Pāṇ.,real,crossed-headword
27612,Pāṇ.,Pāṇ.,real,crossed-headword
27843,"Pāṇ. iv, 2, 104.",Pāṇ.,real,crossed-headword
27851,Pāṇ.,Pāṇ.,real,same-cluster
27861,Pāṇ.,Pāṇ.,real,same-cluster
28018,Yājñ.,Yājñ.,real,crossed-headword
28019,Yājñ.,Yājñ.,real,crossed-headword
28022,"Pāṇ. ii, 4, 61",Pāṇ.,real,crossed-headword
28089,Pāṇ.,Pāṇ.,real,crossed-headword
28493,TPrāt.,TPrāt.,real,crossed-headword
28507,BRD.,BRD.,real,same-cluster
28586,Nir.,Nir.,real,crossed-headword
28812,"Pāṇ. vi, 2, 162.",Pāṇ.,real,crossed-headword
29162,VarBṛS.,VarBṛS.,real,crossed-headword
29275,"BhP. v, 1, 25",BhP.,real,same-cluster
29341,ŚBr.,ŚBr.,real,same-cluster
29946,Pāṇ.,Pāṇ.,real,crossed-headword
30729,Yogaś.,Yogaś.,real,crossed-headword
30733,Kād.,Kād.,real,crossed-headword
31329,"Pāṇ. iv, 2, 80",Pāṇ.,real,crossed-headword
32049,BhP.,BhP.,real,same-cluster
32162,L.,L.,meta,crossed-headword
32176,"Pāṇ. vi, 3, 60.",Pāṇ.,real,crossed-headword
32222,Pāṇ.,Pāṇ.,real,crossed-headword
32390,"Pāṇ. v, 2, 117.",Pāṇ.,real,crossed-headword
32442,"Pāṇ. i, 3, 32",Pāṇ.,real,same-cluster
32621,"VarBṛ. iv, 6.",VarBṛ.,real,crossed-headword
33321,Kāś.,Kāś.,real,crossed-headword
34025,MaitrS.,MaitrS.,real,crossed-headword
34027,MBh.,MBh.,real,crossed-headword
34053,Prab.,Prab.,real,crossed-headword
34199,T.,T.,real,crossed-headword
34206,Car.,Car.,real,same-cluster
34230,W.,W.,meta,same-cluster
34265,Car.,Car.,real,same-cluster
34346,"Pāṇ. v, 4, 112.",Pāṇ.,real,crossed-headword
34736,"Pāṇ. vi, 1, 50.",Pāṇ.,real,crossed-headword
34737,"Pāṇ. vi, 1, 50.",Pāṇ.,real,crossed-headword
34747,MBh.,MBh.,real,crossed-headword
34748,MBh.,MBh.,real,crossed-headword
34764,"Pāṇ. v, 4, 111.",Pāṇ.,real,crossed-headword
34771,Suśr.,Suśr.,real,crossed-headword
34868,"Pāṇ. v, 4, 110",Pāṇ.,real,crossed-headword
34875,Lalit.,Lalit.,real,same-cluster
34875,Lalit.,Lalit.,real,same-cluster
34937,ŚBr.,ŚBr.,real,same-cluster
35115,MānGṛ.,MānGṛ.,real,crossed-headword
35137,"Pāṇ. vi, 2, 33",Pāṇ.,real,crossed-headword
35554,"Pāṇ. ii, 4, 63",Pāṇ.,real,same-cluster
35562,TāṇḍyaBr.,TāṇḍyaBr.,real,crossed-headword
35702,"Pāṇ. vi, 2, 194.",Pāṇ.,real,crossed-headword
35752,"Pāṇ. v, 1, 97.",Pāṇ.,real,crossed-headword
35777,VarBṛS.,VarBṛS.,real,same-cluster
35938,Car.,Car.,real,same-cluster
36008,Suśr.,Suśr.,real,crossed-headword
36093,Paribh. 64.,Paribh.,real,crossed-headword
36135,MBh.,MBh.,real,same-cluster
36155,Kauś.,Kauś.,real,crossed-headword
36158,"Pāṇ. v, 4, 111",Pāṇ.,real,crossed-headword
36184,MBh.,MBh.,real,same-cluster
36185,MBh.,MBh.,real,crossed-headword
36199,"Pāṇ. i, 3, 47.",Pāṇ.,real,crossed-headword
36236,Kāś.,Kāś.,real,same-cluster
36317,RV.,RV.,real,same-cluster
36335,"Pāṇ. i, 3, 25",Pāṇ.,real,same-cluster
36367,"Pāṇ. iii, 4, 68",Pāṇ.,real,same-cluster
36446,ŚāṅkhBr.,ŚāṅkhBr.,real,same-cluster
36888,"Pāṇ. v, 2, 88.",Pāṇ.,real,crossed-headword
36907,"Pāṇ. v, 3, 80.",Pāṇ.,real,crossed-headword
37146,"Pāṇ. v, 4, 128.",Pāṇ.,real,crossed-headword
37210,Lalit.,Lalit.,real,crossed-headword
37211,Lalit.,Lalit.,real,crossed-headword
37228,BhP.,BhP.,real,crossed-headword
37341,Lalit.,Lalit.,real,crossed-headword
37642,"Pāṇ. i, 3, 70",Pāṇ.,real,same-cluster
37642,"Pāṇ. i, 3, 70",Pāṇ.,real,same-cluster
37671,Uṇ.,Uṇ.,real,same-cluster
37709,VP.,VP.,real,crossed-headword
37804,Car.,Car.,real,crossed-headword
38008,Car.,Car.,real,crossed-headword
38021,Car.,Car.,real,crossed-headword
38031,ŚBr. viii,ŚBr.,real,crossed-headword
38109,Uṇ.,Uṇ.,real,same-cluster
38164,"Suśr. i, 82, 8.",Suśr.,real,crossed-headword
38217,Suśr.,Suśr.,real,crossed-headword
38387,Nyāyam.,Nyāyam.,real,crossed-headword
38925,"AitBr. ii, 7, 2.",AitBr.,real,crossed-headword
38929,"RV. viii, 77, 11.",RV.,real,crossed-headword
39419,"Pāṇ. iv, 2, 138.",Pāṇ.,real,crossed-headword
39544,"AV. xix, 23, 20.",AV.,real,crossed-headword
39653,"Pāṇ. iv, 2, 138.",Pāṇ.,real,crossed-headword
39817,Car.,Car.,real,crossed-headword
40028,Suśr.,Suśr.,real,crossed-headword
40075.1,AitBr.,AitBr.,real,same-cluster
40490,ĀrṣBr.,ĀrṣBr.,real,crossed-headword
40531,R.,R.,real,same-cluster
40573,"Pāṇ. iv, 2, 54.",Pāṇ.,real,crossed-headword
40574,"Pāṇ. iv, 2, 54.",Pāṇ.,real,crossed-headword
40644,BrahmaP.,BrahmaP.,real,same-cluster
40650,Lalit.,Lalit.,real,crossed-headword
40693,"v, 1, 4.",v,real,crossed-headword
40797,"Pāṇ. iv, 3, 129.",Pāṇ.,real,crossed-headword
40839,Kāś.,Kāś.,real,crossed-headword
40841,"Pāṇ. iv, 2, 54.",Pāṇ.,real,crossed-headword
40904,"Pāṇ. v, 3, 116.",Pāṇ.,real,crossed-headword
40907,"Pāṇ. v, 3, 110.",Pāṇ.,real,crossed-headword
40923,"Pāṇ. ii, 4, 59.",Pāṇ.,real,crossed-headword
40924,"Pāṇ. ii, 4, 59.",Pāṇ.,real,crossed-headword
40926,Pat.,Pat.,real,crossed-headword
40945,Kāś.,Kāś.,real,crossed-headword
40989,"Śiś. ii, 118.",Śiś.,real,crossed-headword
41020,"Pāṇ. iv, 2, 39.",Pāṇ.,real,crossed-headword
41046,Kāty.,Kāty.,real,same-cluster
41065,"Pāṇ. iv, 1, 96.",Pāṇ.,real,crossed-headword
41073,Kāś.,Kāś.,real,same-cluster
41131,"Pāṇ. iv, 4, 12.",Pāṇ.,real,crossed-headword
41160,"Pāṇ. iv, 3, 158.",Pāṇ.,real,crossed-headword
41185,"Pāṇ. iv, 1, 154",Pāṇ.,real,same-cluster
41323,"Pāṇ. iv, 2, 80.",Pāṇ.,real,crossed-headword
41572,Sarvad.,Sarvad.,real,crossed-headword
41573,Sarvad.,Sarvad.,real,crossed-headword
41639,"Pāṇ. iv, 2, 80.",Pāṇ.,real,crossed-headword
41653,Mcar.,Mcar.,real,crossed-headword
41660,Rājat.,Rājat.,real,crossed-headword
41926,"Pāṇ. iv, 2, 139.",Pāṇ.,real,crossed-headword
41933,"Pāṇ. iv, 2, 139.",Pāṇ.,real,crossed-headword
41936,"Pāṇ. iv, 2, 139.",Pāṇ.,real,crossed-headword
41995,"Pāṇ. v, 1, 4.",Pāṇ.,real,crossed-headword
42030,L.,L.,meta,crossed-headword
42087,L.,L.,meta,crossed-headword
42102,Suśr.,Suśr.,real,crossed-headword
42122,L.,L.,meta,crossed-headword
42125,L.,L.,meta,crossed-headword
42170,Kṛṣis.,Kṛṣis.,real,crossed-headword
42182,Buddh.,Buddh.,real,crossed-headword
42202,L.,L.,meta,crossed-headword
42244,"Pāṇ. vi, 2, 37.",Pāṇ.,real,crossed-headword
42249,"Pāṇ. iv, 3, 106.",Pāṇ.,real,crossed-headword
42262,"Pāṇ. v, 1, 69.",Pāṇ.,real,crossed-headword
42312,Suśr.,Suśr.,real,crossed-headword
42346,L.,L.,meta,crossed-headword
42347,L.,L.,meta,crossed-headword
42420,L.,L.,meta,crossed-headword
42512,Suśr.,Suśr.,real,crossed-headword
42533,TPrāt.,TPrāt.,real,crossed-headword
42618,KātyŚr.,KātyŚr.,real,same-cluster
42834,MBh.,MBh.,real,crossed-headword
42842,Car.,Car.,real,same-cluster
42908,"Pāṇ. v, 2, 100",Pāṇ.,real,crossed-headword
42977,Kathās.,Kathās.,real,crossed-headword
43046,Colebr.,Colebr.,real,crossed-headword
43109,L.,L.,meta,crossed-headword
43172,"Pāṇ. v, 2, 138.",Pāṇ.,real,crossed-headword
43173,"Pāṇ. v, 2, 138.",Pāṇ.,real,crossed-headword
43220,L.,L.,meta,crossed-headword
43648,"Pāṇ. v, 3, 113",Pāṇ.,real,crossed-headword
43718,Suśr.,Suśr.,real,crossed-headword
43719,Suśr.,Suśr.,real,crossed-headword
43760,L.,L.,meta,crossed-headword
43761,L.,L.,meta,crossed-headword
43762,L.,L.,meta,crossed-headword
43763,L.,L.,meta,crossed-headword
43908,"Pāṇ. ii, 4, 69.",Pāṇ.,real,crossed-headword
44148,Pañcad.,Pañcad.,real,crossed-headword
44696,"Pāṇ. vi, 2, 87.",Pāṇ.,real,crossed-headword
44855,Suśr.,Suśr.,real,crossed-headword
44866,L.,L.,meta,crossed-headword
44881,Suśr.,Suśr.,real,crossed-headword
45078,TāṇḍyaBr.,TāṇḍyaBr.,real,crossed-headword
45124,Pāṇ.,Pāṇ.,real,crossed-headword
45126,Śārṅg.,Śārṅg.,real,crossed-headword
45143,RV.,RV.,real,same-cluster
45146,"Dhātup. iii, 22",Dhātup.,real,same-cluster
45146,"Dhātup. iii, 22",Dhātup.,real,same-cluster
45184,L.,L.,meta,crossed-headword
45438,Kathās.,Kathās.,real,crossed-headword
45454,W.,W.,meta,crossed-headword
45456,W.,W.,meta,crossed-headword
45471,W.,W.,meta,crossed-headword
45498,"Pāṇ. iv, 3, 111.",Pāṇ.,real,crossed-headword
45572,Uṇ.,Uṇ.,real,same-cluster
45579,"Dhātup. xiv, 26",Dhātup.,real,same-cluster
45581,Bālar.,Bālar.,real,same-cluster
45887,L.,L.,meta,crossed-headword
45915,L.,L.,meta,crossed-headword
45960,L.,L.,meta,crossed-headword
45961,L.,L.,meta,crossed-headword
46044,W.,W.,meta,crossed-headword
46383,"Dhātup. xiv, 27",Dhātup.,real,same-cluster
46728,"Dhātup. xvii, 34",Dhātup.,real,same-cluster
46728,"xvii, 77",xvii,real,same-cluster
46747,Uṇ.,Uṇ.,real,same-cluster
46784,Suśr.,Suśr.,real,crossed-headword
46813,L.,L.,meta,crossed-headword
46935,Suśr.,Suśr.,real,crossed-headword
47014,Nyāyam.,Nyāyam.,real,crossed-headword
47015,Nyāyam.,Nyāyam.,real,crossed-headword
47016,Kāś.,Kāś.,real,crossed-headword
47065,Pañcat.,Pañcat.,real,crossed-headword
47100,L.,L.,meta,crossed-headword
47247,Kāś.,Kāś.,real,same-cluster
47345,"Dhātup. vi, 10",Dhātup.,real,same-cluster
47388,Kathās.,Kathās.,real,crossed-headword
47462,"Pāṇ. iv, 3, 106",Pāṇ.,real,same-cluster
47485,Bādar.,Bādar.,real,same-cluster
47514,"Pāṇ. iv, 3, 93",Pāṇ.,real,same-cluster
47553,"Pāṇ. iv, 2, 126.",Pāṇ.,real,crossed-headword
47865,Pat.,Pat.,real,crossed-headword
48182,Nal.,Nal.,real,crossed-headword
48192,Kāś.,Kāś.,real,crossed-headword
48261,Buddh.,Buddh.,real,same-cluster
48272,"R. i, 25, 17",R.,real,crossed-headword
48308,Hariv. 1453.,Hariv.,real,crossed-headword
48309,Hariv. 1453.,Hariv.,real,crossed-headword
48395,242,242,real,same-cluster
48405,"MBh. xii, 4535 ff.",MBh.,real,crossed-headword
48430,Kauś.,Kauś.,real,same-cluster
48573,"Pāṇ. iii, 4, 26",Pāṇ.,real,same-cluster
48630,Bhpr.,Bhpr.,real,same-cluster
48711,L.,L.,meta,crossed-headword
48719,Kāś.,Kāś.,real,crossed-headword
48731,Kathās.,Kathās.,real,crossed-headword
48732,Kathās.,Kathās.,real,crossed-headword
48758,Hariv. 1082,Hariv.,real,same-cluster
48798,R.,R.,real,same-cluster
48899,TPrāt.,TPrāt.,real,crossed-headword
48975,L.,L.,meta,same-cluster
49015,KātyŚr.,KātyŚr.,real,crossed-headword
49169,VP.,VP.,real,same-cluster
49179,Hariv. 14291,Hariv.,real,same-cluster
49182,Npr.,Npr.,real,crossed-headword
49199,"Naiṣ. vi, 19",Naiṣ.,real,same-cluster
49466,Hariv. 2640,Hariv.,real,same-cluster
49495,Hit.,Hit.,real,crossed-headword
49595,Hcat.,Hcat.,real,crossed-headword
49649,Kāś.,Kāś.,real,same-cluster
49701,L.,L.,meta,crossed-headword
49702,L.,L.,meta,crossed-headword
49756,"AV. viii, 10, 28",AV.,real,crossed-headword
49783,Sāh.,Sāh.,real,crossed-headword
49812,MBh.,MBh.,real,same-cluster
49903,ŚBr. xiii,ŚBr.,real,same-cluster
49910,Hariv. 1520.,Hariv.,real,crossed-headword
49918,"Uṇ. i, 87",Uṇ.,real,same-cluster
49928,MBh.,MBh.,real,same-cluster
49929,MBh.,MBh.,real,same-cluster
50082,"Nir. ii, 15",Nir.,real,same-cluster
50172,Kuval.,Kuval.,real,crossed-headword
50173,Kuval.,Kuval.,real,crossed-headword
50174,Kuval.,Kuval.,real,crossed-headword
50175,Kuval.,Kuval.,real,crossed-headword
50227,L.,L.,meta,crossed-headword
50228,L.,L.,meta,crossed-headword
50231,Bhpr.,Bhpr.,real,crossed-headword
50237,Dhātup.,Dhātup.,real,same-cluster
50237,Dhātup.,Dhātup.,real,same-cluster
50254,Suśr.,Suśr.,real,same-cluster
50263,"MBh. iv, 53.",MBh.,real,crossed-headword
50270,L.,L.,meta,crossed-headword
50295.76,Bālar.,Bālar.,real,same-cluster
50327,"Pāṇ. vi, 3, 117",Pāṇ.,real,crossed-headword
50328,Pāṇ.,Pāṇ.,real,same-cluster
50345,"Pāṇ. iii, 2, 21",Pāṇ.,real,crossed-headword
50447.4,"R. vii, 88, 22",R.,real,crossed-headword
50537,Suśr.,Suśr.,real,crossed-headword
50585,"Dhātup. xxviii, 61",Dhātup.,real,same-cluster
50611,"AV. i, 24, 2.",AV.,real,crossed-headword
50708,"Dhātup. xxxii, 98",Dhātup.,real,same-cluster
50730,Suśr.,Suśr.,real,crossed-headword
50743,"MBh. xiii, 4086.",MBh.,real,crossed-headword
50776,R.,R.,real,same-cluster
50782,"Pāṇ. viii, 2, 44",Pāṇ.,real,same-cluster
50871,VarBṛS.,VarBṛS.,real,same-cluster
50990,Kathās.,Kathās.,real,crossed-headword
51036,"BhP. ix, 14, 28",BhP.,real,same-cluster
51059,Kād.,Kād.,real,same-cluster
51124,Pañcat.,Pañcat.,real,crossed-headword
51228,"Dhātup. xxxiii, 37",Dhātup.,real,same-cluster
51228,"Dhātup. xxxiii, 37",Dhātup.,real,same-cluster
51229,"Dhātup. xxxiii, 37",Dhātup.,real,crossed-headword
51362,BhavP.,BhavP.,real,crossed-headword
51405,BhP.,BhP.,real,crossed-headword
51406,BhP.,BhP.,real,crossed-headword
51417,Dhātup.,Dhātup.,real,same-cluster
51417,Dhātup.,Dhātup.,real,same-cluster
51417,"vii, 2",vii,real,same-cluster
51417,"vii, 2",vii,real,same-cluster
51417,"vii, 2",vii,real,same-cluster
51417,"vii, 2",vii,real,same-cluster
51417,"vii, 2",vii,real,same-cluster
51417,"Dhātup. xxviii, 75",Dhātup.,real,same-cluster
51430,"Uṇ. iv, 187.",Uṇ.,real,crossed-headword
51431,"Uṇ. iv, 187.",Uṇ.,real,crossed-headword
51515,"Dhātup. xxxiii, 25",Dhātup.,real,same-cluster
