;CDSL	AB
<s>majmū'-dār</s>	>majmū'-dār< ;; the Arabic word <ar>دار</ar> <ar>مجموع</ar> in Roman letters
<s>mortalis</s>	>mortalis<
<s>opus</s>	>opus<
<s>rammāl</s>	>rammāl< ;; the Arabic word <ar>رمال</ar> in Roman letters
<s>sū-cula</s>	>sū-cula<
<s>uras</s>	>uras< ;; a Hib. word
<s>ūder</s>	>ūder<
<s>ūna</s>	>ūna<
-----------------------
* non-skt (7) Indic words 

<s>casamā</s>	<i>casamā</i> ;; a Bengālī word
<s>cauḍī-</s>	<i>cauḍī-</i> ;; a Prākṛt word
<s>kel</s>	<i>kel</i> ;; a Prākṛt word
<s>kīl</s>	<i>kīl</i> ;; a Prākṛt word
<s>lāḍ</s>	<i>lāḍ</i> ;; a Hindī word
<s>moṭh</s>	<i>moṭh</i> ;; a Hindī word
<s>mārisa</s>	<i>mārisa</i> ;; a Pāli word
