; Group -1  count=0
<ls>Pāṇ.</ls>                  Alambana 26737
<ls>Pāṇ.</ls>                  Alocana 26931
<ls>Pāṇ.</ls>                  AvaSyaka 27022
<ls>Pāṇ.</ls>                  AvidUrya 27104
<ls>Pāṇ.</ls>                  ASaMsA 27374
<ls>Pāṇ.</ls>                  ASaMsu 27381
<ls>Pāṇ.</ls>                  ASmaBAraka 27606
<ls>Pāṇ.</ls>                  ASmaraTa 27608
<ls>Pāṇ.</ls>                  ASmAyana 27610
<ls>Pāṇ.</ls>                  ASraya 27645
<ls>Pāṇ.</ls>                  ASva 27739
<ls>Pāṇ.</ls>                  ASva 27740
<ls>Pāṇ.</ls>                  ASva 27741
<ls>Pāṇ.</ls>                  ASvatTa 27747
<ls>Pāṇ.</ls>                  ASvatTa 27749
<ls>Pāṇ.</ls>                  ASvatTi 27752
<ls>Pāṇ.</ls>                  ASvatTika 27757
<ls>Pāṇ.</ls>                  ASvatTika 27759
<ls>Pāṇ.</ls>                  ASvapata 27760
<ls>Pāṇ.</ls>                  ASvapAlika 27761
<ls>Pāṇ.</ls>                  ASvapeyin 27762
<ls>Pāṇ.</ls>                  ASvapejin 27763
<ls>Pāṇ.</ls>                  ASvaBArika 27765
<ls>Pāṇ.</ls>                  ASvaraTa 27776
<ls>Pāṇ.</ls>                  ASvalakzaRika 27777
<ls>Pāṇ.</ls>                  ASvika 27785
<ls>Pāṇ.</ls>                  Azwama 27844
<ls>Pāṇ.</ls>                  As 27851
<ls>Pāṇ.</ls>                  AsikA 27860
<ls>Pāṇ.</ls>                  Asya 27892
<ls>Pāṇ.</ls>                  AsandIvat 27989
<ls>Pāṇ.</ls>                  Asika 28003
<ls>Pāṇ.</ls>                  Asura 28050
<ls>Pāṇ.</ls>                  Asura 28053
<ls>Pāṇ.</ls>                  Asevana 28088
<ls>Pāṇ.</ls>                  Ahan 28282
<ls>Pāṇ.</ls>                  Ahimata 28338
<ls>Pāṇ.</ls>                  AhAva 28350
<ls>Pāṇ.</ls>                  AhAraka 28425
<ls>Pāṇ.</ls>                  Ahna 28452
<ls>Pāṇ.</ls>                  ityA 28551
<ls>Pāṇ.</ls>                  ikzuBakzikA 28590
<ls>Pāṇ.</ls>                  itipARini 28769
<ls>Pāṇ.</ls>                  ityanta 28774
<ls>Pāṇ.</ls>                  itTamBUta 28795
<ls>Pāṇ.</ls>                  idAvatsara 28824
<ls>Pāṇ.</ls>                  idAvatsarIya 28824.1
<ls>Pāṇ.</ls>                  imaka 29326
<ls>Pāṇ.</ls>                  iz 29516
<ls>Pāṇ.</ls>                  izwakAvat 29647
<ls>Pāṇ.</ls>                  ihatyaka 29688
<ls>Pāṇ.</ls>                  Irzy 29797
<ls>Pāṇ.</ls>                  Irzy 29797
<ls>Pāṇ.</ls>                  Irkzy 29797.1
<ls>Pāṇ.</ls>                  Irkzy 29797.1
<ls>Pāṇ.</ls>                  IzadAQyaMkara 29945
<ls>Pāṇ.</ls>                  uKa 30100
<ls>Pāṇ.</ls>                  uKA 30104
<ls>Pāṇ.</ls>                  uKya 30108
<ls>Pāṇ.</ls>                  uccEstamAm 30291.2
<ls>Pāṇ.</ls>                  uccEstarAm 30296
<ls>Pāṇ.</ls>                  utkAra 30894
<ls>Pāṇ.</ls>                  uttama 31084
<ls>Pāṇ.</ls>                  uttaratra 31210
<ls>Pāṇ.</ls>                  uttarapada 31234
<ls>Pāṇ.</ls>                  uttarapadika 31236
<ls>Pāṇ.</ls>                  uttarapadakIya 31237
<ls>Pāṇ.</ls>                  uttarA 31356.1
<ls>Pāṇ.</ls>                  uttarAhi 31360
<ls>Pāṇ.</ls>                  uttaredyus 31367
<ls>Pāṇ.</ls>                  uttamBitavya 31379
<ls>Pāṇ.</ls>                  ud 32058.3
<ls>Pāṇ.</ls>                  udapAnamaRqUka 32098
<ls>Pāṇ.</ls>                  udakavajra 32184
<ls>Pāṇ.</ls>                  udakala 32221
<ls>Pāṇ.</ls>                  udakya 32224
<ls>Pāṇ.</ls>                  udaYc 32260
<ls>Pāṇ.</ls>                  udarka 32404
<ls>Pāṇ.</ls>                  udAtta 32455
<ls>Pāṇ.</ls>                  udAtta 32462
<ls>Pāṇ.</ls>                  udAttatva 32470
<ls>Pāṇ.</ls>                  udAttavat 32473
<ls>Pāṇ.</ls>                  udyamana 33444
<ls>Pāṇ.</ls>                  udyAva 33473
<ls>Pāṇ.</ls>                  udruja 33517
<ls>Pāṇ.</ls>                  udvaha 33579
<ls>Pāṇ.</ls>                  udvartaka 33701
<ls>Pāṇ.</ls>                  unmAna 33969
<ls>Pāṇ.</ls>                  upakarRam 34087
<ls>Pāṇ.</ls>                  upakf 34119
<ls>Pāṇ.</ls>                  upakf 34119
<ls>Pāṇ.</ls>                  upaskfta 34183
<ls>Pāṇ.</ls>                  upaskfti 34186
<ls>Pāṇ.</ls>                  upakF 34194
<ls>Pāṇ.</ls>                  upagu 34349
<ls>Pāṇ.</ls>                  upagraha 34393
<ls>Pāṇ.</ls>                  upagraha 34398
<ls>Pāṇ.</ls>                  upaGna 34416
<ls>Pāṇ.</ls>                  upacarma 34485
<ls>Pāṇ.</ls>                  upacAyya 34500
<ls>Pāṇ.</ls>                  upajYA 34602
<ls>Pāṇ.</ls>                  upajYAta 34605
<ls>Pāṇ.</ls>                  upatyakA 34648
<ls>Pāṇ.</ls>                  upadaSa 34663
<ls>Pāṇ.</ls>                  upadA 34673
<ls>Pāṇ.</ls>                  upadeSa 34697
<ls>Pāṇ.</ls>                  upadeSin 34717
<ls>Pāṇ.</ls>                  upaDA 34796
<ls>Pāṇ.</ls>                  upaDmAnIya 34853
<ls>Pāṇ.</ls>                  upanyAsa 35031
<ls>Pāṇ.</ls>                  upapada 35096
<ls>Pāṇ.</ls>                  upamAna 35315
<ls>Pāṇ.</ls>                  upamita 35325
<ls>Pāṇ.</ls>                  upameya 35331
<ls>Pāṇ.</ls>                  upayamana 35396
<ls>Pāṇ.</ls>                  uparisTApana 35567
<ls>Pāṇ.</ls>                  upalakzaka 35630
<ls>Pāṇ.</ls>                  upalakzaRa 35632
<ls>Pāṇ.</ls>                  upalakzaRa 35635
<ls>Pāṇ.</ls>                  upasara 36226
<ls>Pāṇ.</ls>                  upasTita 36395
<ls>Pāṇ.</ls>                  upAgra 36600
<ls>Pāṇ.</ls>                  upAje 36622
<ls>Pāṇ.</ls>                  upottama 36999
<ls>Pāṇ.</ls>                  uBayaTA 37136
<ls>Pāṇ.</ls>                  umA 37161
<ls>Pāṇ.</ls>                  urasiloman 37271
<ls>Pāṇ.</ls>                  uSanas 37664
<ls>Pāṇ.</ls>                  uSInara 37675
<ls>Pāṇ.</ls>                  Unaya 37993
<ls>Pāṇ.</ls>                  UrDvaBAga 38215
<ls>Pāṇ.</ls>                  UrDvamOhUrtika 38231
<ls>Pāṇ.</ls>                  fju 38797
<ls>Pāṇ.</ls>                  ekagrAmIya 39209
<ls>Pāṇ.</ls>                  ekavacana 39556
<ls>Pāṇ.</ls>                  ekavat 39557.1
<ls>Pāṇ.</ls>                  ekaSAlika 39659
<ls>Pāṇ.</ls>                  ekAdeSa 39798
<ls>Pāṇ.</ls>                  ekArTIBAva 39878
<ls>Pāṇ.</ls>                  ezaRA 40261
<ls>Pāṇ.</ls>                  EcCika 40359
<ls>Pāṇ.</ls>                  ojasIna 40638
<ls>Pāṇ.</ls>                  ojasya 40639
<ls>Pāṇ.</ls>                  ozWya 40777
<ls>Pāṇ.</ls>                  Otsa 40886
<ls>Pāṇ.</ls>                  Otsargikatva 40894
<ls>Pāṇ.</ls>                  OdapAna 40921
<ls>Pāṇ.</ls>                  Odarika 40936
<ls>Pāṇ.</ls>                  OdaSvita 40950
<ls>Pāṇ.</ls>                  OdaSvitka 40950.1
<ls>Pāṇ.</ls>                  OdasTAna 40952
<ls>Pāṇ.</ls>                  Odumbari 40970
<ls>Pāṇ.</ls>                  OpasaMKyAnika 41117
<ls>Pāṇ.</ls>                  OrRa 41197
<ls>Pāṇ.</ls>                  kacCa 41755
<ls>Pāṇ.</ls>                  kaWI 42240
<ls>Pāṇ.</ls>                  kaRqUyA 42599
<ls>Pāṇ.</ls>                  kata 42642
<ls>Pāṇ.</ls>                  kadaSva 42835
<ls>Pāṇ.</ls>                  kaduzwra 42846
<ls>Pāṇ.</ls>                  kaduzRa 42847
<ls>Pāṇ.</ls>                  kadraTa 42850
<ls>Pāṇ.</ls>                  kaparda 43349
<ls>Pāṇ.</ls>                  kapizWala 43489
<ls>Pāṇ.</ls>                  kampra 43954
<ls>Pāṇ.</ls>                  karaRa 44240.38
<ls>Pāṇ.</ls>                  karIzaganDi 44549
<ls>Pāṇ.</ls>                  karuRAya 44592
<ls>Pāṇ.</ls>                  karRaKaraka 44803
<ls>Pāṇ.</ls>                  karRaKarika 44804
<ls>Pāṇ.</ls>                  karRejapa 44986
<ls>Pāṇ.</ls>                  karRya 45060
<ls>Pāṇ.</ls>                  kartf 45120
<ls>Pāṇ.</ls>                  kartfga 45123
<ls>Pāṇ.</ls>                  kartfmat 45132
<ls>Pāṇ.</ls>                  karmavyatihAra 45413
<ls>Pāṇ.</ls>                  karmaWa 45484
<ls>Pāṇ.</ls>                  karza 45537
<ls>Pāṇ.</ls>                  kalahakAra 45802
<ls>Pāṇ.</ls>                  kalpa 46073
<ls>Pāṇ.</ls>                  kalpa 46080
<ls>Pāṇ.</ls>                  kAWaka 47458
<ls>Pāṇ.</ls>                  kAraka 48517
<ls>Pāṇ.</ls>                  kArttika 48760
<ls>Pāṇ.</ls>                  kArya 48860
<ls>Pāṇ.</ls>                  kAryin 48955
<ls>Pāṇ.</ls>                  kAla 49365
<ls>Pāṇ.</ls>                  kAlApa 49645
<ls>Pāṇ.</ls>                  kASAdi 49828
<ls>Pāṇ.</ls>                  kASikA 49869
<ls>Pāṇ.</ls>                  kiMSulakAdi 50328
<ls>Pāṇ.</ls>                  kiSarAdi 50636
<ls>Pāṇ.</ls>                  kuYjAdi 51481
<ls>Pāṇ.</ls>                  kuRi 51812
<ls>Pāṇ.</ls>                  kutsana 52018
<ls>Pāṇ.</ls>                  kutsA 52021
<ls>Pāṇ.</ls>                  kutsita 52023
<ls>Pāṇ.</ls>                  kuntI 52133
