k1_slp1,L_sense_count,dcs_freqBand,dcs_band_label,mw_gloss_snippet
AliYjara,1,1,hapax(1),"m. a large clay water-jar, L. (cf. aliYjara.)"
Alopa,1,1,hapax(1),"m. a morsel, bit, L."
AmaRqa,1,2,rare(2-9),"the castor-oil plant, Ricinus Communis, L. (cf. amaRqa and maRqa.)"
Amanasya,1,1,hapax(1),"n. (fr. a-manas), pain, suffering, L."
AmarSana,1,2,rare(2-9),"n. touching, wiping off, L."
AmizI,1,1,hapax(1),"f. N. of a plant, L."
Amla,2,2,rare(2-9),"m. f. (fr. amla), the tamarind tree, Tamarindus Indica, L."
AnandA,2,2,rare(2-9),"(A and I) f. N. of two plants, L."
Anftaka,1,2,rare(2-9),"mfn. belonging to or occupied by liars, L."
AntarAlika,1,2,rare(2-9),"m. the son of an Anuloma by a woman of superior caste, L."
Apatya,1,1,hapax(1),"mfn. (fr. apatya), relating to the formation of patronymic nouns, L."
ArADaka,1,2,rare(2-9),"mfn. worshipping, a worshipper, L."
ArADanA,1,1,hapax(1),"f. worship, adoration, propitiation of the deities, L."
ArAmaSItalA,1,2,rare(2-9),"f. N. of a plant with fragrant leaves, L."
AranAlaka,1,3,uncommon(10-99),"n. id., L."
ArdraSAka,1,1,hapax(1),"n. fresh ginger, L."
ArdramAzA,1,2,rare(2-9),"f. a leguminous shrub, Glycine Debilis, L."
AsPotaka,1,1,hapax(1),"m. Calotropis Gigantea, L."
AsPowaka,1,1,hapax(1),"m. a species of plant, L."
AsanA,1,1,hapax(1),"(A), f. stay, abiding, L."
Asavadru,1,1,hapax(1),"m. N. of the Palmyra tree Borassus Flabelliformis (its juice, on fermenting, affords a spi"
Asra,2,2,rare(2-9),"m. distress, L."
Atati,1,1,hapax(1),"f. darkness, L."
AtiSayya,1,1,hapax(1),"n. excess, quantity, L."
AtmAdizwa,1,1,hapax(1),"m. ‘self-dictated’, a treaty dictated by the party wishing it himself, L."
AtmaGAta,1,2,rare(2-9),"m. suicide, L."
AtmaGoza,2,2,rare(2-9),"m. ‘uttering one's own name’, a crow, L."
AtmaSalyA,1,2,rare(2-9),"f. the plant Asparagus Racemosus Willd., L."
AtmabanDu,1,1,hapax(1),"m. ‘one's own kinsman’, a first cousin or father's sister's son, mother's brother's son, m"
Atmahanana,1,1,hapax(1),"n. suicide, L."
AtmarakzA,1,2,rare(2-9),"f. the plant Trichosanthes Bracteata (a creeper with poisonous fruit), L."
AtmodBavA,2,1,hapax(1),"f. a daughter, L."
AvAhanI,1,1,hapax(1),"f. a particular position of the hands (the palms being placed together, and the thumbs tur"
AvAla,1,1,hapax(1),"m. a basin of water round the foot of a tree (= AlavAla, q.v.), L."
AvApaka,1,1,hapax(1),"m. a bracelet of gold &c., L."
AvAri,1,3,uncommon(10-99),"f. a shop, stall, L."
AvalikA,1,1,hapax(1),"f. = Avali, q.v., coriander, L."
AvartakI,1,3,uncommon(10-99),"f. N. of a creeping plant, L."
AvasAnika,1,1,hapax(1),"mf(I)n. being at the end, L."
AvegI,1,2,rare(2-9),"f. N. of the plant Argyreia Speciosa, L."
Avuka,1,2,rare(2-9),"m. (in dram.) father, L."
AwarUza,1,3,uncommon(10-99),"m. = aw˚, q.v., L."
AzAQA,1,2,rare(2-9),"f. (for a-zAQA, q.v.) the twenty-first and twenty-second lunar mansions (commonly compound"
BARqika,1,1,hapax(1),"m. a barber, L."
BAladfS,1,1,hapax(1),"m. ‘having an eye in the f˚’, N. of Śiva, L."
BAlaviBUzaRa,1,1,hapax(1),"m. Clerodendrum Phlomoides, L."
BAnuPalA,1,1,hapax(1),"f. Musa Sapientum, L."
BAnuvAra,1,1,hapax(1),"m. Sunday, L. (cf. -dina)."
BArIwa,1,1,hapax(1),"m. a partic. bird, L."
BAraNgI,1,1,hapax(1),"f. = BArgI, Clerodendrum Siphonantus, L."
BAraSfNga,1,1,hapax(1),"m. a kind of antelope, L."
BAradvAjin,1,1,hapax(1),"m. pl. N. of a school, L. (cf. ˚jIya)."
BAravAhI,1,2,rare(2-9),"f. indigo, L."
BAravaha,1,2,rare(2-9),"m. a horse's canter (also n. and f(A). ), L."
BArgavaka,1,2,rare(2-9),"n. a diamond, L."
BAryAvfkza,1,1,hapax(1),"m. Caesalpina Sappan, L."
BAskarAvarta,1,1,hapax(1),"m. a partic. kind of headache, L."
BAskarapriya,1,1,hapax(1),"m. ‘fond of the sun’, a ruby, L."
BAskarezwA,1,1,hapax(1),"f. Polanisia Icosandra, L."
BAsurapuzpA,1,1,hapax(1),"f. Tragia Involucrata, L."
BAvAlInA,1,1,hapax(1),"f. ‘cleaving to an object’, a shadow, L. (cf. BAvAnugA)."
BAwa,1,1,hapax(1),"m. or n. (√ Baw) wages, hire, rent, L."
BIzmajananI,1,1,hapax(1),"f. ‘Bhīṣma's mother’, N. of Gaṅgā, L."
BIzmasU,1,1,hapax(1),"f. = -jananI, L."
BOmaratna,1,2,rare(2-9),"n. coral, L."
BOrika,2,1,hapax(1),"m. (fr. BUri, gold) a treasurer, L."
BOtI,1,1,hapax(1),"f. ‘time of ghosts’, night, L."
BUCAya,1,1,hapax(1),"‘earth-shadow’, darkness, L."
BUDana,1,1,hapax(1),"m. ‘whose property is the earth’, a king, prince, L."
BUGnI,1,1,hapax(1),"f. aluminous slate, L."
BUKarjUrI,1,2,rare(2-9),"f. a species of date, L."
BUPala,2,1,hapax(1),"m. Phaseolus Mungo, L."
BUSelu,1,1,hapax(1),"m. the plant Cordia Myxa, L."
BUbadarI,1,2,rare(2-9),"f. a species of jujube, L."
BUgara,1,1,hapax(1),"n. ‘earth-poison’, mineral p˚, L."
BUjantu,1,1,hapax(1),"m. ‘e˚-animal’, a kind of snail, L."
BUkaSyapa,1,1,hapax(1),"m. N. of Vasu-deva (the father of Kṛṣṇa), L."
BUkadamba,1,2,rare(2-9),"m. (and f(A). ) N. of plants, L."
BUkadambaka,1,2,rare(2-9),"m. Ptychotis Ajowan, L."
BUkadambikA,1,1,hapax(1),"f. a species of plant, L."
BUkarbudAraka,1,1,hapax(1),"m. Cordia Myxa, L."
BUkuzmARqI,1,2,rare(2-9),"f. Batatas Paniculata, L."
BUlagnA,1,1,hapax(1),"f. ‘clinging to the ground’, Andropogon Aciculatus, L."
BUlatA,1,3,uncommon(10-99),"f. an earth-worm, L."
BUmahendra,1,1,hapax(1),"m. a prince, king, L."
BUmikadamba,1,2,rare(2-9),"m. a kind of Kadamba, L."
BUmikandaka,1,1,hapax(1),"n. a mushroom, L."
BUmimaRqapaBUzaRA,1,1,hapax(1),"f. Gaertnera Racemosa, L."
BUmivarDana,1,1,hapax(1),"m. n. ‘earth-increasing’, a dead body, corpse, L."
BUmyAmalakI,2,2,rare(2-9),"f. Flacourtia Cataphracta, L.; ¦ Phyllanthus Niruri, L."
BUnetf,1,1,hapax(1),"m. ‘earth-leader’, a king, prince, L."
BUpAwalI,1,2,rare(2-9),"f. a kind of plant, L."
BUpadI,1,1,hapax(1),"f. Arabian jasmine Jasminum Zambac, L."
BUpala,1,1,hapax(1),"m. a kind of rat, L. (cf. -Pala)."
BUriPalI,1,1,hapax(1),"f. a species of shrub, L."
BUribalA,1,1,hapax(1),"f. Sida Cordifolia and Rhombifolia, L."
BUridugDA,1,1,hapax(1),"f. ‘having much milk’, Tragia Involucrata, L."
BUrigama,1,1,hapax(1),"m. ‘much-going’, an ass, L."
BUriganDA,1,2,rare(2-9),"f. a partic. perfume, L."
BUrimAya,1,2,rare(2-9),"m. ‘possessed of much deceit’, a jackal (f(A). ), L."
BUrimallI,1,1,hapax(1),"f. a species of plant, L."
BUripattra,1,1,hapax(1),"m. ‘many-leaved’, a species of Andropogon, L."
BUripreman,1,1,hapax(1),"m. ‘full of affection’, Anas Casarca, L."
BUripuzpA,1,1,hapax(1),"f. Anethum Sowa, L."
BUruRqI,1,1,hapax(1),"f. Heliotropium Indicum, L."
BUspfS,2,2,rare(2-9),"m. ‘touching the ground’, a man, L."
BUsutA,1,1,hapax(1),"f. ‘daughter of the e˚’, N. of Sitā, L."
BUtANkuSa,1,2,rare(2-9),"m. a kind of tree, L."
BUtAlI,1,2,rare(2-9),"f. N. of two plants (= BUpAwali and muzali), L."
BUtAri,1,1,hapax(1),"m. ‘enemy of evil beings’, Asa Foetida, L."
BUtaGnI,1,2,rare(2-9),"f. the sacred basil or = muRqitikA, L."
BUtaGna,3,2,rare(2-9),"m. ‘destroying spirits or demons’, a camel, L."
BUtadrAvin,2,2,rare(2-9),"m. red oleander, L."
BUtadruma,1,1,hapax(1),"m. Cordia Latifolia, L."
BUtahArin,1,1,hapax(1),"m. Pinus Devadāru, L."
BUtahantrI,2,2,rare(2-9),"f. ‘destroying evil spirits’, a species of Dūrvā grass, L."
BUtahara,1,1,hapax(1),"m. bdellium, L."
BUtakrAnti,1,1,hapax(1),"f. (for ˚tAk˚?) possession by spirits, L."
BUtalikA,1,1,hapax(1),"f. Trigonella Corniculata, L."
BUtamArI,1,1,hapax(1),"f. a partic. resin, L."
BUtanAyikA,1,2,rare(2-9),"f. ‘leader of the Bhūtas’, N. of Durgā, L."
BUtasAra,1,1,hapax(1),"m. a species of Calosanthes Indica, L."
BUtavfkza,3,2,rare(2-9),"m. ‘demon-tree’, Trophis Aspera, L."
BUtavikriyA,1,1,hapax(1),"f. possession by evil spirits, epilepsy, L."
BUtezwA,1,2,rare(2-9),"f. ‘liked by the Bhūtas’, N. of the 14th day of a half-month, L."
BUtfRa,2,2,rare(2-9),"m. (cf. BU-s-tfRa) ‘earth-grass’, Andropogon Schoenanthus, L."
BUtumbI,1,2,rare(2-9),"f. a kind of cucumber, L."
BaNgurA,1,2,rare(2-9),"f. N. of two plants (= ati-vizA or priyaNgu), L."
BaRqIrI,2,2,rare(2-9),"f. = BaRqI, L."
BaRqana,3,1,hapax(1),"n. mischief, L."
BaRqikA,1,1,hapax(1),"f. Rubia Munjista, L."
BaRwAkI,1,2,rare(2-9),"f. Solanum Melongena, L. (v.l. BaRqAkI)."
BaYjaru,1,1,hapax(1),"m. a tree growing near a temple, L."
BadrANga,1,2,rare(2-9),"m. ‘beauteous-framed’, N. of Bala-bhadra, L."
BadrElA,1,2,rare(2-9),"f. large cardamoms, L."
BadraSrI,2,2,rare(2-9),"f. id., L."
BadrabalA,1,2,rare(2-9),"f. Paederia Foetida or Sida Cordifolia, L."
BadradantikA,1,1,hapax(1),"f. a species of Croton, L."
BadrakAzWa,1,2,rare(2-9),"n. the wood of Pinus Deodora, L."
BadrakumBa,1,1,hapax(1),"m. ‘auspicious jar’, a golden jar filled with water from a holy place or from the Ganges ("
BadralatA,1,2,rare(2-9),"f. Gaertnera Racemosa, L."
BadranAmikA,1,1,hapax(1),"f. Ficus Heterophylla, L."
BadrataruRI,1,1,hapax(1),"f. Rosa Moschata, L."
BadravallI,3,1,hapax(1),"f. Jasminum Sambac, L."
Badrayava,1,1,hapax(1),"n. the seed of Wrightia Antidysenterica, L."
Bakzawaka,1,2,rare(2-9),"m. a variety of Asteracantha Longifolia, L."
BakzyakAra,1,1,hapax(1),"m. a baker, L."
BaraRIBU,1,1,hapax(1),"m. ‘born from Bharaṇi’, N. of Rāhu, L."
BarataKaRqa,1,1,hapax(1),"n. N. of a part of Bharata-varṣa (= kumArikA), L."
BasmaganDA,1,1,hapax(1),"f. ‘having the smell of a˚’, a kind of perfume, L."
BasmagarBA,2,2,rare(2-9),"f. a species of plant, L."
BasmagarBa,1,2,rare(2-9),"m. Dalbergia Ougeinensis, L."
BasmarohA,1,1,hapax(1),"f. a species of plant, L."
BavABIzwa,1,1,hapax(1),"m. ‘dear to Śiva’, bdellium, L."
BavAntakft,1,1,hapax(1),"m. ‘destroying worldly existence’, N. of Brahmā or of a Buddha, L."
BavAyanA,1,1,hapax(1),"f. ‘coming from Śiva’, N. of the Ganges, L."
BavadAru,1,1,hapax(1),"n. = devadAru, Pinus Deodora, L."
BavatI,1,3,uncommon(10-99),"(atI), f. a partic. kind of poisoned arrow, L."
BawwinI,1,2,rare(2-9),"f. (fr. Bartf, Prākṛ. bhaṭṭā; formed in analogy to patnI) a noble lady (applied to queens "
BayanASinI,1,2,rare(2-9),"f. Ficus Heterophylla, L."
Bazaka,1,2,rare(2-9),"m. a barker, dog, L."
BekI,2,1,hapax(1),"f. a female frog, L. Hydrocotyle Asiatica, L."
BekaparRI,1,2,rare(2-9),"f. ‘frog-leaved’, a species of plant, L."
Bera,1,1,hapax(1),"m. (√ BI?) a kettle-drum, L."
BeruRqA,2,1,hapax(1),"f. N. of a goddess (= kAlI), L."
BezajANga,1,1,hapax(1),"n. anything taken with or after m˚ (as water gruel), L."
BfNgABIzwa,1,1,hapax(1),"m. ‘liked by bees’, the Mango tree, L."
BfNgAhvA,1,1,hapax(1),"f. N. of a creeping pl˚, L."
BfNgAhva,2,2,rare(2-9),"m. Eclipta Prostrata, L."
BfNgAnandA,1,1,hapax(1),"f. ‘bee-joy’, Jasminum Auriculatum, L."
BfNgArI,1,2,rare(2-9),"f. a cricket, L."
BfNgAri,1,2,rare(2-9),"m. ‘bee enemy’, a species of flower, L."
BfNgajA,1,2,rare(2-9),"(A), f. Clerodendrum Siphonanthus, L."
BfNgaja,1,3,uncommon(10-99),"m. Agallochum, L."
BfNgamArI,1,2,rare(2-9),"f. N. of a flower, L."
BfNgamUlikA,1,1,hapax(1),"f. N. of a creeping plant, L."
BfNgapriyA,1,1,hapax(1),"f. ‘liked by bees’, Gaertnera Racemosa, L."
BfNgavallaBA,1,2,rare(2-9),"f. = BUmijambU, L."
BfNgavallaBa,1,2,rare(2-9),"m. ‘favourite of bees’, Nauclea Cordifolia, L."
BfNgezwA,1,2,rare(2-9),"f. ‘liked by bees’, N. of sev. plants (Aloe Indica; Clerodendrum Siphonanthus; = kAkajambU"
BfSapattrikA,1,1,hapax(1),"f. ‘strong-leaved’, a species of plant, L."
Bfzwayava,1,1,hapax(1),"m. fried barley or rice, L."
BiRqaka,1,1,hapax(1),m. (L.) Abelmoschus Esculentus.
BillagavI,1,1,hapax(1),"f. = gavayI, the female of the Bos Gavaeus, L."
Billataru,1,1,hapax(1),"m. Symplocos Racemosa, L."
Billin,1,2,rare(2-9),"m. Symplocos Racemosa, L."
BinnadalA,1,1,hapax(1),"f. Sanseviera Roxburghiana, L."
BiriRwikA,1,1,hapax(1),"f. a species of plant (= Sveta-guYjA), L. (v.l. BfNwikA)."
BissA,1,2,rare(2-9),"f. boiled rice, L."
BissawA,1,1,hapax(1),"f. cooked rice, L."
BittikA,3,2,rare(2-9),"f. a partition, wall, L."
BittipAtana,1,1,hapax(1),"m. ‘wall-destroyer’, a kind of rat, L."
BiyA,1,1,hapax(1),"f. fear, dread, L."
BizaNmAtf,1,2,rare(2-9),"f. Gendarussa Vulgaris, L."
BizakpriyA,1,1,hapax(1),"f. ‘dear to a phys˚’, Cocculus Cordifolius, L."
Bogika,2,1,hapax(1),"m. a horse-keeper, groom (= BogapAla), L."
BogivallaBa,1,1,hapax(1),"n. ‘dear to s˚’, kind of sandal, L."
BogyA,1,2,rare(2-9),"(A), f. a harlot, L."
Bola,1,1,hapax(1),"m. the son of a Vaiśya and of a Naṭī, L."
BramarA,1,1,hapax(1),"f. a kind of creeper, L."
BramarAnanda,3,2,rare(2-9),"m. ‘bee-joy’, Mimusops Elengi, L."
BramarAri,1,1,hapax(1),"m. ‘bee-enemy’ = Bramara-mArI (q.v.), L."
BramarAtiTi,1,1,hapax(1),"m. ‘bee-guest’, Michelia Champaka, L."
BramaracCallI,1,2,rare(2-9),"f. a species of creeper, L."
BramaramArI,1,2,rare(2-9),"f. ‘bee-killing’, a species of flower (growing in Malwa), L."
BramarezwA,2,2,rare(2-9),"f. Clerodendrum Siphonantus, L."
Bramarezwa,1,1,hapax(1),"m. ‘loved by bees’, a sort of Bignonia, L."
BramarotsavA,1,1,hapax(1),"f. ‘bee-delight’, Gaertnera Racemosa, L."
BujaSiras,2,1,hapax(1),"(L.) n. ‘arm-head’, the shoulder, L."
BujagASana,1,1,hapax(1),"m. ‘serpent-eater’, N. of Garuḍa, L."
BujagAntaka,1,2,rare(2-9),"m. ‘s˚-destroyer’, N. of Garuḍa, L."
BujagalatA,1,1,hapax(1),"f. betel-pepper, L."
Buktiprada,1,1,hapax(1),"m. Phaseolus Mungo, L."
CARaka,1,3,uncommon(10-99),"m. a partic. mixed caste, L."
CAgaRa,1,1,hapax(1),"m. a fire of dried cow-dung (Cag˚), L."
CAgalAnta,1,1,hapax(1),"m. = ˚ga-nASana, L."
CAgalAntrikA,1,1,hapax(1),"f. = Cag˚, L."
CAgalaka,1,1,hapax(1),"m. a kind of fish, L."
CAgaraTa,1,1,hapax(1),"m. ‘whose vehicle is a goat’, Agni, L."
CAgikA,1,2,rare(2-9),"f. = ˚gI, L."
CAyApaTa,1,1,hapax(1),"m. the milky way, L."
CadmikA,1,2,rare(2-9),"f. Cocculus cordifolius, L."
CagalAntrikA,1,1,hapax(1),"f. Argyreia speciosa or argentea (ajAntrI), L."
CallI,4,2,rare(2-9),"f. bark, L."
CardiGna,1,1,hapax(1),"m. ‘anti-emetic’, Azadirachta indica, L."
CattrAkI,1,2,rare(2-9),"f. the ichneumon plant, L."
CattrAticCattra,1,1,hapax(1),"m. a fragrant grass, L."
CattraDAnya,1,1,hapax(1),"n. coriander, L."
CattragucCa,1,1,hapax(1),"m. ‘umbrella-clustered’, Scirpus Kysoor, L."
CattraparRa,1,2,rare(2-9),"m. ‘parasol-leaved’, Alstonia scholaris, L."
CawAPala,1,1,hapax(1),"m. the betel-nut tree, L."
CidrAPala,1,1,hapax(1),"n. a thorn-apple, L."
CidrAntar,1,1,hapax(1),"m. ‘internally hollow’, reed, L."
CidravEdehI,1,1,hapax(1),"f. id., L."
CinnagranTinikA,1,2,rare(2-9),"f. a kind of bulbous plant, L."
CinnapattrI,1,1,hapax(1),"f. ‘having divided leaves’, Hibiscus cannabinus, L."
Cinnaruha,1,2,rare(2-9),"m. Clerodendrum phlomoides, L."
Cupa,4,1,hapax(1),"m. touch, L."
CurI,1,1,hapax(1),"f. = kzurI, a knife, dagger, L."
DAmaniDi,1,1,hapax(1),"m. ‘treasure of splendour’, the sun, L."
DAnakA,1,2,rare(2-9),"f. pl. dimin. fr. next, L."
DAnin,1,1,hapax(1),"m. Careya Arborea or Salvadora Persica, L."
DAnyAri,1,1,hapax(1),"m. ‘enemy of corn’, a mouse, L."
DAnyaSrezWa,1,1,hapax(1),"n. ‘the best of c˚’, a kind of rice, L."
DAnyabIja,1,1,hapax(1),"n. coriander, L."
DAnyarAja,1,2,rare(2-9),"m. ‘g˚-king’, barley, L."
DAnyottama,1,1,hapax(1),"m. ‘the best of grain’, rice, L."
DArAPala,1,1,hapax(1),"m. N. of a tree with prickly fruits (= madana), L."
DArAwa,4,1,hapax(1),"m. (˚rAwa) the Cāṭaka bird (fond of rain-drops), L."
DAraRAvat,1,1,hapax(1),"mfn. connected with memory, L."
DAraRIyA,1,1,hapax(1),"f. a partic. bulbous plant (= DaraRIkanda), L."
DArtarAzwrapadI,1,1,hapax(1),"f. N. of a plant, L."
DAtrIpattra,1,2,rare(2-9),"n. the leaf of Flacourtia Cataphracta, L."
DAtrIputra,1,1,hapax(1),"m. ‘the son of a nurse’, an actor, L. (v.l. for DarmI-p˚)."
DAtrikA,1,2,rare(2-9),f. wet-nurse or = prec. L.
DAtuSoDana,1,1,hapax(1),"m. or n. lead, L."
DAtuhan,1,1,hapax(1),"m. ‘destroying metals’, sulphur, L."
DAtukAsIsa,1,2,rare(2-9),"n. red sulphate of iron, L."
DAtumAkzika,1,2,rare(2-9),"n. sulphuret of iron, L."
DAtumArin,1,1,hapax(1),"m. ‘dissolving metals’, sulphur, L."
DAtupuzpikA,1,1,hapax(1),"f. Grislea Tomentosa, L. (cf. DAtf-)."
DAtuvallaBa,1,1,hapax(1),"n. ‘friend of metals’, borax, L."
DIndriya,1,1,hapax(1),"(DInd˚) n. an organ of perception, L."
DOritaka,1,1,hapax(1),"n. a horse's trot, L. (cf. Dorita, ˚taka)."
DUlIkadamba,1,1,hapax(1),"m. a kind of Kadamba and other plants, L."
DUlipuzpikA,1,1,hapax(1),"f. Pandanus Odoratissimus, L."
DUmaja,1,2,rare(2-9),"n. a kind of caustic potash, L."
DUmotTa,1,2,rare(2-9),"n. = -ma-ja, L."
DUmrAhvA,1,1,hapax(1),"f. = ˚ra-pattra, L."
DUmramUlikA,1,1,hapax(1),"f. ‘dark-rooted’, a kind of grass, L."
DUmrapattrA,1,2,rare(2-9),"f. ‘dark-leaved’, N. of a shrub (= DUmrAhvA, sulaBA, &c.), L."
DUmravarRaka,1,1,hapax(1),"m. the Indian fox, L."
DUmravfttaPalA,1,1,hapax(1),"f. a kind of gourd, L."
DUmyAwa,1,2,rare(2-9),"m. the fork-tailed shrike, L. (cf. ˚mrAwa)."
DUpANga,1,1,hapax(1),"m. turpentine from Pinus Longifolia, L."
DUpArha,1,1,hapax(1),"n. 2 kinds of Agallochum, L."
DUpavfkza,1,2,rare(2-9),"m. Pinus Longifolia, L."
DUsarA,1,1,hapax(1),"f. a kind of shrub, L."
DanAyA,1,2,rare(2-9),"f. desire of w˚, covetousness, L."
DanU,1,2,rare(2-9),"m. a store of grain, L. (for 2. See Danu)."
DanapriyA,1,1,hapax(1),"f. N. of a plant, L. (prob. w.r. for Gana-)."
Danuzkara,2,1,hapax(1),"m. a bow-maker, L."
Danuzpawa,1,1,hapax(1),"m. Buchanania Latifolia, L."
DanvayavAsaka,1,2,rare(2-9),"m. Alhagi Maurorum, L."
DanyAka,1,2,rare(2-9),"n. Coriandrum Sativum, L."
DarAtmaja,1,1,hapax(1),"(˚rAtm˚) m. metron. of the planet Mars, L."
DaraRISvara,1,1,hapax(1),"m. (˚nISv˚) ‘earth-lord’, N. of Śiva, L."
DaraRIsuta,1,1,hapax(1),"m. metron. of Aṅgiras or the planet Mars, L."
DarmaGawa,1,1,hapax(1),"m. a jar of fragrant water offered daily in the month Vaiśākha, L."
DarmaRa,2,2,rare(2-9),"m. a kind of snake, L."
Darmadvezin,1,1,hapax(1),"m. Terminalia Bellerica, L. (cf. -Gna)."
DarziRI,1,2,rare(2-9),"f. a disloyal or unchaste woman, L. (cf. ˚zaRI)."
DavalamfttikA,1,1,hapax(1),"f. ‘wh˚ earth’, chalk, L."
Davalotpala,1,1,hapax(1),"n. the wh˚ esculent water-lily, L."
DenudugDa,2,1,hapax(1),"n. cow's milk, L."
DftarAjan,1,1,hapax(1),"m. N. of a man, L. (see DArta-rAjYa)."
DikkriyA,1,1,hapax(1),"f. = prec. n. pl. L. reproach, contempt."
DvANkzAdanI,1,1,hapax(1),"f. Capparis Sepiaria, L."
DvANkzI,1,2,rare(2-9),"(I), f. a partic. medicinal plant, L."
DvANkzadantI,1,1,hapax(1),"f. Capparis Sepiaria, L."
DvANkzajaNGA,1,2,rare(2-9),"f. Leea Hirta, L."
DvANkzajambU,1,1,hapax(1),"f. a kind of plant (= kAkaj˚), L."
DvANkzamAcI,1,2,rare(2-9),"f. Solanum Indicum, L."
DvANkzanASanI,1,1,hapax(1),"f. a kind of plant (= hapuzA), L."
DvANkzanAmnI,1,1,hapax(1),"(˚mnI), f. Ficus Oppositifolia, L."
DvANkzanAsA,1,1,hapax(1),"f. Ardisia Solanacea, L."
DvANkzatuRqA,1,1,hapax(1),"f. Ardisia Solanacea, L."
DvANkzikA,1,1,hapax(1),"f. a partic. medicinal plant, L."
DvAntArAti,1,1,hapax(1),"m. ‘id.’, the sun or any luminary, L."
Dvajavfkza,1,1,hapax(1),"m. Caryota Urens, L."
ElavAluka,1,1,hapax(1),"= elavAlu, q.v., L."
EndavI,1,1,hapax(1),"f. Serratula Anthelminthica, L."
GAra,1,1,hapax(1),"m. (√ 1. Gf) sprinkling, besprinkling, L."
GaRwAbIja,1,1,hapax(1),"n. the seed of Croton Jamalgota, L."
GaRwApAwali,2,2,rare(2-9),"m. Bignonia suaveolens, L."
GaRwaka,1,1,hapax(1),"m. Bignonia suaveolens, L."
GanASraya,1,1,hapax(1),"m. ‘cloud-abode’, the atmosphere, L."
GanAmala,1,1,hapax(1),"m. Chenopodium album, L."
GanAmaya,1,2,rare(2-9),"m. the date tree, L."
Ganadruma,1,1,hapax(1),"m. Asteracantha Longifolia, L."
Ganarasa,5,2,rare(2-9),"m. n. ‘thick juice’, extract, decoction, L."
