k1_slp1,L_sense_count,dcs_freqBand,dcs_band_label,mw_gloss_snippet
ABIkzRya,1,2,rare(2-9),"n. continued repetition, L."
ABIraka,1,2,rare(2-9),"mf(I)n. belonging to the Ābhīra people, L. (as), m. the Ābhīra people."
ABimanyava,1,1,hapax(1),"m. a descendant of Abhi-manyu, L."
AByAgArika,1,1,hapax(1),"mfn. (fr. aBy-AgAra), belonging to the support of a family, L."
AByAsika,1,2,rare(2-9),"mfn. (fr. aBy-Asa), resulting from practice, practising, repeating, L."
AGarzaRa,1,2,rare(2-9),"n. (√ Gfz), rubbing, friction, L."
AGawwaka,1,1,hapax(1),"m. ‘causing friction’, the plant Desmochaeta Atropurpurea, L."
AGawwana,1,1,hapax(1),"n. friction, rubbing, contact, L."
AKuBuj,1,2,rare(2-9),"m. ‘mouse-eater’, a cat, L."
AKuga,1,1,hapax(1),"m. ‘riding on a rat’, N. of Gaṇeśa, L."
AKukarRI,1,3,uncommon(10-99),"f. id., L."
AKupAzARa,1,2,rare(2-9),"m. a load-stone, L."
AKuparRikA,1,2,rare(2-9),"f. = -karRI above, L."
AKuvizahA,1,1,hapax(1),"f. (= AKu, q.v.) ‘destroying a rat's venom’, the grass Lipeocercis Serrata and the grass A"
ASIrviza,1,1,hapax(1),"m. a venomous snake, L."
ASakti,1,1,hapax(1),"f. might, power, ability, L."
ASara,2,1,hapax(1),"m. (√ SF), fire, L."
AcArin,1,2,rare(2-9),"mfn. following established practice, L."
AcCeda,1,2,rare(2-9),"m. cutting, cutting off, excision, L."
AcCedana,2,1,hapax(1),"n. id., L."
AcCuritaka,2,2,rare(2-9),"n. a scratch with a fingernail, L."
AdAnI,1,1,hapax(1),"f. N. of a cucurbitaceous plant, L."
AdiSakti,1,1,hapax(1),"f. the primeval power, N. of Māyā, L."
AdityaBaktA,1,2,rare(2-9),"f. = -parRikA, L."
Adityapattra,1,2,rare(2-9),"m. Calotropis Gigantea, L."
AgADa,1,1,hapax(1),"mfn. ‘a little deep’ = agADa, q.v., L."
AgrahArika,1,1,hapax(1),mfn. one who appropriates to himself an Agra-hāra or an endowment of lands or villages con
AhatalakzaRa,1,2,rare(2-9),"mfn. one whose marks or characteristics are mentioned, famed, reputed, L."
Ahika,2,2,rare(2-9),"m. (fr. ahi), the descending node, L."
Ahulya,1,2,rare(2-9),"n. the leguminous shrub Tabernaemontana Coronaria, L."
AjanmasuraBipattra,1,1,hapax(1),"m. N. of a plant (the leaves of which are fragrant from their first appearance), L."
AkASasalila,1,1,hapax(1),"n. ‘water from the atmosphere’, rain, L."
AkASavallI,1,2,rare(2-9),"f. the creeper Cassyta Filiformis, L."
AkAragupti,1,1,hapax(1),concealing or suppressing (any expression of the face or any gesture that might show) one'
Akalla,1,2,rare(2-9),"m. the plant Anthemis Pyrethrum, L. (cf. Akula-kft.)"
AkarzakArikA,1,1,hapax(1),"f. N. of a plant, L."
AkroSana,1,2,rare(2-9),"n. scolding &c., L."
AkzAraRA,1,1,hapax(1),"f. calumnious accusation (especially of adultery), L."
AkzapAda,1,1,hapax(1),"m. (fr. akz˚ s.v. 4. akza) a follower of Akṣapāda's (i.e. Gautama's) Nyāya doctrine, L."
AkzikapaRa,1,1,hapax(1),"m. a stake, bet, L."
AlAta,1,1,hapax(1),"n. = alAta, q.v., L."
AliNga,1,2,rare(2-9),"m. a kind of drum, L."
