k1_slp1,L_sense_count,dcs_freqBand,dcs_band_label,mw_gloss_snippet
AlAvarta,1,,,"m. a fan made of cloth, L."
AlInaka,1,,,"n. tin, (from its close adherence to other metals ?), L."
Alasyavat,1,,,"mfn. idle, lazy, slothful, L."
AleKanI,1,,,"f. a brush, pencil, L."
Alimpana,1,,,"n. whitening or painting (the floor, wall &c. on festal occasions), L."
Alin,1,,,"m. a scorpion, L. (cf. alin.)"
Alinda,1,,,"m. a terrace before a house, a raised place or terrace for sleeping upon, L. (cf. alinda.)"
AmAtya,1,,,"m. (= amAtya, q.v.), a minister, counsellor, L."
AmIvA,1,,,"f. disease, L."
AmaganDi,1,,,"mfn. smelling like raw meat or smelling musty, L."
AmantraRA,1,,,"(A), f. addressing, calling, L."
AmantraRika,1,,,"n. N. of the fifth Saṃskāra (= nAma-karman), L."
AmlavallI,1,,,"f. a species of plant, L."
AmlikA,1,,,"f. the tamarind tree; sourness in the mouth, acidity of stomach (= amlIkA), L."
AmnAyin,1,,,"m. an orthodox Vaiṣṇava, L."
Amodana,1,,,"n. rejoicing, delighting, L."
AmrAtakI,1,,,"f. a kind of climbing plant, L."
AmrAvarta,1,,,"m. inspissated mango juice, L."
AmraganDaka,1,,,"m. N. of a plant, L."
Amramaya,1,,,"mfn. made of mangoes (as sauce), L."
AmraniSA,1,,,"f. Curcuma Reclinata, L."
AmrapeSI,1,,,"f. a portion of dried mango fruit, L."
AmratEla,1,,,"n. mango oil, L."
AmravAwa,1,,,"m. the hog-plum, Spondias Mangifera, L."
Amreqana,1,,,"n. tautology, reiteration of words and sounds, L."
Amupa,1,,,"m. the cane Bambusa Spinosa Hamilt. Roxb., L."
Anakz,1,,,"to approach, obtain, reach, present, L."
AnandI,1,,,"(A and I), f. N. of two plants, L."
Anandada,1,,,"mfn. = -kara, q.v., L."
Anandadatta,1,,,"m. membrum virile, L."
Anandapawa,1,,,"m. a bridal garment, L."
Anandi,1,,,"m. happiness, enjoyment, pleasure, L."
Anartapura,1,,,"n. the capital of Ānarta i.e. Dvāravatī, L."
AnirudDa,1,,,"m. a descendant of A-niruddha, L."
