k1_slp1,L_sense_count,dcs_freqBand,dcs_band_label,mw_gloss_snippet
arDahastaka,1,,,"m. a distance of 120 inches, L."
arDakAla,1,,,"m. a N. of Śiva, L."
arDakUwa,1,,,"m. a N. of Śiva, L."
arDalakzmIhari,1,,,"m. ‘half Lakṣmī and half Hari’, one of the forms of Viṣṇu, L. (cf. arDa-nArIRAteSvara abov"
arDamAnava,1,,,"an actor dressed like Kṛṣṇa, L."
arDamAnuza,1,,,"m. an actor dressed as a god, L."
arDamAyUrI,1,,,"f. (in music) one of the three Mārjanās (q.v.), L."
arDamakuwa,1,,,"m. N. of Śiva, L."
arDamuzwi,1,,,"m. a half-clenched hand, L."
arDanAkula,1,,,"n. a kind of Yoga posture, L."
arDapAdA,1,,,"f. the plant Phyllanthus Niruri, L."
arDapArAvata,2,,,"m. a kind of pigeon, L."
arDapuzpA,1,,,"f. the plant Sida Rhomboidea, L."
arDatUra,1,,,"m. a particular kind of musical instrument, L."
arDavIkzaRa,1,,,"n. a side-look, glance, leer, L."
arDavfdDa,1,,,"mf(A)n. middle-aged, L."
arGISa,1,,,"m. (‘arGin’ for arGa) = arGeSvara, q.v., L."
arGawa,1,,,"n. (= pArGawa, q.v.) ashes, L."
arItika,1,,,"n. id., L."
arRavaja,1,,,"m. ‘sea-born’, cuttlefish, L."
arRikA,1,,,"f. a partic. weight (= 2 Māṣas), L."
arSa,1,,,"m. (√ fS), ‘damage’, see a/narSa-rAti, (for arSas) hemorrhoids, piles, L."
arSin,1,,,"mfn. id., L."
arSoGnI,1,,,"f. the plant Curculigo Archioides Lin., L."
arSoyuj,1,,,"mfn. afflicted with hemorrhoids, L."
arTadarSaka,1,,,"m. ‘seeing lawsuits’, a judge, L. (cf. akza-d˚.)"
arTasama,1,,,"mfn. having the same sense, synonymous, L."
arTavijYAna,1,,,"n. comprehension of meaning (one of the six or eight exercises of the understanding), L."
arTavyayasaha,1,,,"mfn. ‘allowing expenditure’, prodigal, L."
arTozman,1,,,"m. glow or pride of wealth, condition of being wealthy, L."
arTuzya,1,,,"mfn. having a purpose, desirous of &c. (= arTin), L."
araGawwaka,1,,,"m. = -Gawwa, q.v., L."
araNgin,1,,,"mfn. passionless, L."
araRIketu,1,,,"m. the plant Premna Spinosa, L."
araRyaGolI,1,,,"f. N. of a vegetable, L."
araRyaSvan,2,,,"m. a wolf, L."
araRyajIva,1,,,"mfn. = cara, L."
araRyakAka,1,,,"m. the wood-crow, L."
araRyakaRA,1,,,"f. wild cumin seed, L."
araRyaketu,1,,,"m. N. of a plant, L. (cf. araRI-ketu.)"
araRyamakzikA,1,,,"f. the gad fly, L."
araRyarajanI,1,,,"f. the plant Curcuma Aromatica, L."
araRyarakzaka,1,,,"m. forest-keeper, superintendent of a forest district, L."
araqa,1,,,"m. (said to be fr. √ f) a tree, L."
arare,1,,,"ind. a vocative particle (expressing haste), L."
aratatrapa,1,,,"m. ‘not ashamed of copulation’, a dog, L."
arb,3,,,"cl. 1. P. arbati (perf. Anarba, L.) to go, L.; to hurt, L."
arbudAkAra,1,,,"m. ‘shaped like a tumour’, the plant Cordia Myxa, L."
arcas,1,,,"n. worship, praise, L."
arcinetrADipati,1,,,"m. N. of a Yakṣa, L."
ardanA,1,,,"f. request, L."
ardani,3,,,"m. sickness, disease, L."
arere,1,,,"ind. (probably are 're, repetition of are, q.v.), interjection of calling to inferiors or "
argalikA,1,,,"f. a small door pin, L."
arhanta,4,,,"mfn. worthy, L."
arhasAna,2,,,"m. the moon, L."
arhita,1,,,"mfn. honoured, worshipped, L."
arhya,1,,,"mfn. worthy (‘of praise’, stotum), L."
aricintana,1,,,"plotting against an enemy, administration of foreign affairs, L."
ariloka,1,,,"m. a hostile tribe or an enemy's country, L."
arizwaduzwaDI,1,,,"mfn. (= vIvaSa) apprehensive of death, alarmed at its approach, L."
arizwagfha,1,,,"n. a lying-in chamber, L."
arizwasUdana,1,,,"m. (= -maTana, q.v.) N. of Viṣṇu, L."
arjunAhva,1,,,"m. ‘named Arjuna’, N. of a tree, L."
arjunaDvaja,1,,,"m. ‘having a white banner’, N. of Hanumat, L."
arjunasaKi,1,,,"m. ‘having Arjuna for his friend’, N. of Kṛṣṇa, L."
arjunopama,1,,,"m. ‘similar to the Arjuna tree’, the teak tree (Tectona Grandis), L."
arkAMSa,1,,,"m. a digit or the twelfth part of the sun's disc, L."
arkAtmajA,1,,,"f. ‘daughter of the Sun’, N. of Yamunā, L."
arkadugDa,1,,,"n. the milk of Calotropis Gigantea, L."
arkajO,1,,,"m. du. N. of the Aśvins, L."
arkalavaRa,1,,,"n. saltpetre, L."
arkamUlA,1,,,"f. (= -pattrA, q.v.) Aristolochia Indica, L."
arkapattrA,1,,,"f. a kind of birth-wort (Aristolochia Indica), L."
arkasutA,1,,,"f. N. of the river Yamunā, L."
arkaya,2,,,"Nom. P. ˚yati, to heat, L.; to praise, L."
arkezwa,1,,,"n. yellow sandal-wood, L."
arpiSa,1,,,"n. = prec. and next, L."
arpima,1,,,"n. milk from a cow which has a diminutive calf, L."
arpitakara,1,,,"mfn. ‘having given one's hand’, married, L."
arpiza,1,,,"n. fresh meat, L."
artikA,1,,,"f. an elder sister (in theatrical language), L. (cf. atti, attikA, and antikA.)"
aruRAgraja,1,,,"m. ‘the first of Aruṇa’, Garuḍa (the bird of Viṣṇu), L. (cf. aruRa/nuja below.),"
aruRacUqa,1,,,"m. ‘red-combed’, a cock, L."
aruRanetra,1,,,"m. ‘red-eyed’, a pigeon, L."
aruRapuzpI,1,,,"f. the plant Pentapetes Phoenicea, L."
aruRodayasaptamI,1,,,"f. the seventh day in the bright half of Māgha, L."
aruRopala,1,,,"m. a ruby, L."
arucya,1,,,"mfn. id., L."
arula,2,,,"n. water, L."
arunDatIjAni,1,,,"m. ‘husband of Arundhatī’, Vasiṣṭha (one of the seven Ṛṣis or saints, and stars in the Gre"
arv,2,,,"cl. 1. P. arvati (perf. Anarva, L.) to hurt, kill, L."
asArA,1,,,"f. the plant Musa Paradisiaca, L."
asPuwaBAzaRa,1,,,"mf(A)n. lisping, L."
asTAGa,1,,,"mfn. = a-stAGa, q.v., L."
asTiBuj,1,,,"m. = -Bakza, q.v., L."
asTiKAda,1,,,"m. ‘bone-eater’, a dog, L."
asTikara,1,,,"m. fat, serum of flesh, L."
asTikft,1,,,"n. marrow, L."
asTisaMGAta,1,,,"m. N. of a plant, L."
asTisaMhAra,1,,,"the plant Vitis Quadrangularis, L."
asTisamarpaRa,1,,,"n. throwing the bones of a dead body into the Ganges, L."
asTitejas,1,,,"n. marrow, L."
asTitoda,1,,,"m. pain in the bones, L."
asTituRqa,1,,,"m. ‘whose mouth or beak consists of bone’, a bird, L."
asTitvac,1,,,"f. the periosteum, L."
asTiyuj,1,,,"m. the plant Vitis Quadrangularis, L."
asadaDyetf,1,,,"m. a Brāhman who reads heterodox works, L."
asaddfS,1,,,"mfn. evil-eyed, L."
asampfkta,1,,,"mfn. secret, L."
asampuza,1,,,"m. N. of Indra, L."
asaru,1,,,"m. the medicinal plant Blumea Lacera, L."
asarvahoma,1,,,"m. not offering the whole of an oblation (keeping back a portion), L."
asatIsuta,1,,,"m. the son of an unchaste wife, L."
asatyasanniBa,1,,,"mfn. improbable, unlikely, L."
asavye,1,,,"ind. on the right, L. (cf. apa-savya.)"
asfNmiSra,1,,,"mfn. mixed or covered with blood, L."
asfgvahA,1,,,"f. a blood-vessel, L."
asfgvimokzaRa,1,,,"n. blood-letting, bleeding, L."
asfkkara,1,,,"m. ‘forming blood’, lymph, chyle, L."
asfksrAvin,1,,,"mfn. bleeding, taking away blood, L."
asfpAwI,1,,,"f. id., L."
asfpAwa,1,,,"m. (corrupt form) for asfk-pAta, q.v., L."
asiDAva,1,,,"m. a sword- or tool-cleaner, armourer, L."
asidaMzwra,1,,,"m. ‘having swords for fangs’, the marine monster Makara (painted on the banner of Kāmadeva"
asigaRqa,1,,,"m. = kzudropaDAna (for kzurop˚?), L."
asiheti,1,,,"m. a swordsman or soldier armed with a sword, L."
asimeda,1,,,"m. the fetid Mimosa (Vachellia Farnesiana), L. (cf. ahi-mAra, &c.)"
asiplava,1,,,"m. a kind of porpoise, L."
asitABraSeKara,1,,,"m. N. of a Buddha, L."
asitAmburuha,1,,,"m. the black lotus, L."
asitArcis,1,,,"m. fire, L."
asitadruma,1,,,"m. the tree Xanthochymus Pictorius, L."
asitopala,1,,,"m. = asitASman, q.v., L."
aspandanasTiti,1,,,"f. fainting, L."
asrArjaka,1,,,"m. the white Tulasi plant, L."
asraPalA,1,,,"f. the plant Boswellia Thurifera Roxb., L."
asramAtf,1,,,"f. (= asfk-kara, q.v.) chyle, L."
asrapA,2,,,"f. a leech, L."
asrapattraka,1,,,"m. the plant Abelmoschus Esculentus, L."
asraroDinI,1,,,"f. the plant Mimosa Pudica, L."
asruva,1,,,"n. granulation (of a running sore), L."
astamayAcala,1,,,"m. (= asta-giri), L."
astimat,1,,,"mfn. possessed of property, opulent, L."
astraDAraRa,1,,,"n. the bearing of arms, L."
astraDArin,1,,,"mfn. ‘bearing arms’, a soldier, L."
astraSikzA,1,,,"f. military exercise, L."
astracikitsA,1,,,"f. surgery, L."
astracikitsaka,1,,,"m. a surgeon, L."
astrajIva,1,,,"m. ‘living on arms’, a soldier, L."
astrajIvana,1,,,"m. (= -jIva), L."
astrajit,1,,,"n. N. of a plant, L."
astrakAra,1,,,"m. a maker of weapons, armourer, L."
astrakArin,1,,,"m. id., L."
astrakaRwaka,1,,,"m. an arrow, L."
astrakzepaka,1,,,"mfn. shooting arrows, L."
astramArja,1,,,"m. a sword-polisher or tool-cleaner, armourer, L."
astrasAyaka,1,,,"m. an iron arrow, L."
astyAna,1,,,"n. disregard, L."
asuBaNga,2,,,"m. breaking of life, L."
asurAhva,1,,,"n. ‘named after an Asura (i.e. after Kaṃsa, cf. kAMsya)’, bell-metal, L."
asuraripu,1,,,"m. = -dviz, q.v., L."
asurasA,1,,,"f. the plant Basilicum Pilosum Benth., L."
asuri,1,,,"(prob.) m. (said to be fr. √ 2. as) war, battle (= saMgrAma), L."
asusama,1,,,"m. ‘dear as life’, a husband, lover, L."
asvIkfta,1,,,"mfn. refused, L."
asvacCanda,2,,,"mfn. not self-willed, dependant, L."
asyasi,1,,,"ind. sword against sword, L."
atiBI,1,,,"m. ‘very terrific’, lightning, L."
atiTyarTa,1,,,"mfn. hospitable, L."
aticamU,1,,,"mfn. (victorious) over armies, L."
atigava,1,,,"mfn. (a bull) covering the cow, L."
atikrAmaka,1,,,"mfn. exceeding, transgressing, L."
atipaTin,1,,,"(nom. -panTAs) m. a better road than common, L."
atiyuvan,1,,,"mfn. very youthful, L."
atna,1,,,"m. (√ at), the sun, L."
attA,4,,,"f. (probably a colloquialism borrowed from the Deccan, said to occur chiefly in dramas), a"
attrIRi,1,,,"m. or f. (said to be fr. √ ad) a kind of worm, L."
atyupaDa,1,,,"mfn. superior to any test, tried, trustworthy, L."
avAgBAga,1,,,"m. the part below, ground, L."
avAkCruti,1,,,"mfn. deaf and dumb, L."
avAkSruti,1,,,"mfn. deaf and dumb, L."
avIkzaRa,1,,,"n. not looking at, not regarding, L."
avaDArha,1,,,"mfn. not worthy of death, L."
avaDUka,1,,,"mfn. having no wife,L."
avaGawwa,1,,,"m. n. cave, cavern, L."
avaSIBUta,2,,,"mfn. unrestrained, independent, L."
avaSyA,1,,,"f. (√ SyE), hoar-frost, dew, L."
avacCedAvacCeda,1,,,"m. removing distinctions, generalising, L."
avacCurita,1,,,"n. a horselaugh, L."
avacUlaka,1,,,"n. a chowri or brush (formed of a cow's tail, peacock's feathers, &c., for warding off fli"
avadAha,1,,,"m. ‘burning down’, the root of the fragrant grass Andropogon Muricatus, L."
avadAraka,1,,,"mfn. splitting open i.e. digging (the earth), L."
avadalita,1,,,"mfn. burst, cracked, L."
avadanta,1,,,"m. ‘not speaking’, a baby, L."
avagITa,1,,,"n. early recitation at a sacrifice, L."
avagaRana,1,,,"n. disregard, contempt, L."
avagaRqa,1,,,"m. (= yuva-gaRqa, q.v.) a boil or pimple upon the face, L."
avagadita,1,,,"mfn. unsaid, L."
avaguRWikA,1,,,"f. a veil, L."
avaguRqita,1,,,"mfn. pounded, ground, pulverulent, L."
avahAlikA,1,,,"f. (√ hal), a wall, hedge, L. (cf. nir av˚.)"
avahelita,2,,,"mfn. disrespected, L."
avahitAYjali,1,,,"mfn. with joined hand, L."
avahitatA,1,,,"f. application, attention, L."
avakalita,1,,,"mfn. (√ 2. kal), seen, observed, L."
avakalkana,1,,,"n. mingling, mixing together, L."
avakawikA,1,,,"f. dissimulation, L."
avakleda,2,,,"trickling, descent of moisture, L. fetid discharge, L."
avakrIq,1,,,"Ā. to play (?), L."
avakrandana,1,,,"n. crying, weeping aloud, L."
avakuts,1,,,"to blame, revile, L."
avakuwArikA,1,,,"f. = ava-kawikA, q.v., L."
avakuz,1,,,"to rub downwards, L."
avakvATa,1,,,"m. imperfect digestion or decoction, L."
avakvaRa,1,,,"m. a discordant or false note, L."
avakzIRa,1,,,"mfn. wasted, emaciated, L."
avakzaya,1,,,"m. destruction, waste, loss, L."
avakzepaRI,1,,,"f. bridle, L."
avalIQA,1,,,"f. disregard, L."
avalUna,1,,,"mfn. (√ lU), cut off, L."
avalka,1,,,"m. Gymnema Sylvestre, L."
avaluRWita,2,,,"mfn. robbed, L."
avamAnanIya,1,,,"mfn. = -mantavya, L."
avamatANkuSa,1,,,"mfn. ‘disdaining the hook’, a restive elephant, L."
avamati,3,,,"f. aversion, dislike, L., disregard, contempt, L."
avanAha,1,,,m. binding or putting on L.
avanAmaka,1,,,"mfn. what depresses or causes to bow or bend, L."
avanaya,1,,,"m. = ava-nAya, L."
avaniScaya,1,,,"m. inference, deduction, ascertainment, L."
avanizWIvana,1,,,"n. spitting upon, L."
avaqa,1,,,"m. a kind of field, L."
avaqaNga,1,,,"m. a market, mart, L."
avarRavAda,1,,,"m. censure, blame, L."
avarati,1,,,"f. stopping, ceasing, L."
avaravrata,1,,,"m. the sun, L."
avaroDAyana,1,,,"n. a seraglio, L."
avaroDikA,1,,,"f. a female of the inner apartments, L. (cf. ava-rudDikA)"
avaroDika,1,,,"m. a guard of the queen's apartments, L."
avarohaSAKin,1,,,"m. ‘having branches with avaroha- shoots’, the Indian fig-tree, L."
avarohikA,1,,,"f. the plant Physalis Flexuosa, L."
avasAraRa,1,,,"n. moving away, L."
avasaTya,2,,,"mfn. (for Avas˚, q.v.) belonging to a house, domestic, L."
avasavya,1,,,"mfn. not left, right, L."
avasekima,1,,,"m. a kind of cake (pulse ground and fried with oil or butter), L."
avaskandita,4,,,"mfn. attacked, L."
avasuzirA,1,,,"f. the neck, L."
avatUlaya,1,,,"Nom. P. ˚yati = tUlEr avakuzRAti, L."
avatapta,1,,,"mfn. heated, L."
avatviz,3,,,"to glitter, shine, L.; to give, L.; to dwell, L."
avazvARa,1,,,"m. noisy eating, smacking, L."
avela,1,,,"m. (?), denial or concealment of knowledge, L."
avfTA,1,,,"ind. not in vain, profitably, L."
aviBAjyatA,1,,,"indivisibility, unfitness for partition, L."
aviBAvana,1,,,"nf. non-perception, non-discrimination, L."
aviSvAsA,1,,,"f. a cow calving after long intervals, L."
avidugDa,1,,,"n. the milk of an ewe, L."
avijAtIya,1,,,"mfn. of the same species, L."
avilA,1,,,"f. an ewe, L. (cf. a/vi.)"
avinigama,1,,,"m. an illogical conclusion, L."
avismfti,1,,,"f. not forgetting, remembering, L."
avityaja,1,,,"m. n. quicksilver, L."
avizWu,2,,,"m. (said to be fr. √ av) a horse, L."
avyApya,1,,,"ind.p. not pervading generally, not extending to the whole circumstances, L."
avyaNgA,1,,,"f. (for aDyaRqA, q.v.) the plant Carpopogon Pruriens Roxb., L."
avyaRqA,1,,,"= aDy-a˚, q.v., L."
avyaktakriyA,1,,,"f. algebraic calculation, L."
avyatikIrRa,1,,,"mfn. unmixed, unblended, distinct, separate, L."
awAwA,1,,,"f. (habit of) roaming or wandering about, L."
awAya,1,,,"Nom. Ā. awAyate, to enter upon a roaming life, to become a religious mendicant, L."
awaka,1,,,"mfn. roaming, L."
awala,1,,,"mfn. not shaky, firm, L."
aww,4,,,"cl. 1. Ā. awwate, Anawwe, awwitum, to exceed, L.; to kill, L. : cl. 10. P. awwayati, to co"
awwana,1,,,"n. a weapon shaped like a discus, L."
awwapAlaka,1,,,"m. overseer of a market, L."
awwawwa,2,,,"ind. very high, L."
ayATArTika,1,,,"mfn. not suitable = a-yaTArTa, q.v., L."
ayATArTya,1,,,"n. the being a-yaTArTa (q.v.) incongruousness, L."
ayaHSalAkA,1,,,"f. an iron dart, L."
ayaHkiwwa,1,,,"n. rust of iron, L."
ayaHpratimA,1,,,"f. iron image, L."
ayaskuRqa,1,,,"m. an iron pitcher, L."
ayatnakfta,1,,,"mfn. easily or readily produced, spontaneous, L."
ayman,1,,,"n. (√ ay) = saMgrAma, L."
ayomaRi,1,,,"m. f. a magnet, L."
ayonisamBava,1,,,"mfn. = a-yoni-ja, q.v., L."
ayuNnetra,1,,,"m. = ayugma-netra, q.v., L."
ayugacCada,1,,,"m. Echites Scholaris, L."
ayugakza,1,,,"m. = ayugma-netra, q.v., L."
ayugbARa,1,,,"m. = ayugma-Sara, q.v., L."
ayugizu,1,,,"= ayugmaSara, q.v., L."
ayukSakti,1,,,"m. ‘having an odd number of (i.e. nine) powers’, Śiva, L."
ayukpalASa,1,,,"m. id., L."
az,3,,,"cl. 1. P. Ā. azati, ˚te, to go, move, L.; to shine, L.; to take or receive, L. (cf. √ 3. a"
azAQaka,1,,,"m. the month Āṣāḍha, L."
azWI,1,,,"f. the bone of the knee or elbow, L."
azWi,1,,,"f. id., L."
azwANganaya,1,,,m. prostration of the eight parts of the body (in performing very profound obeisance; the 
azwANgapAta,1,,,m. prostration of the eight parts of the body (in performing very profound obeisance; the 
azwANgapraRAma,1,,,m. prostration of the eight parts of the body (in performing very profound obeisance; the 
azwAdaSaBujA,1,,,"f. ‘having eighteen arms’, a N. of Durgā, L."
azwadiS,1,,,"˚Sas, f. pl. the eight cardinal points of the compass collectively, L."
azwakANga,1,,,"n. a kind of dice-board having eight divisions, L."
azwakarmapariBrazwa,1,,,"m. a Jaina, L."
azwapad,2,,,"m. (nom. -pAd), ‘having eight legs’, a spider, L."
bABravI,1,,,"(I), f. N. of Durgā, L."
bABravyA,1,,,"f. N. of a woman, L."
bARAByAsa,1,,,"m. ‘arrow-throwing’, archery, L."
bARASraya,1,,,"m. ‘arrow-receptacle’, a quiver, L."
bARAri,1,,,"m. ‘enemy of B˚’ id., L."
bARahan,1,,,"m. ‘slayer of B˚’, name of Viṣṇu, L."
bARajit,1,,,"m. ‘conqueror of the Asura Bāṇa’, N. of Viṣṇu, L."
bARamukti,1,,,"discharge of an a˚, L."
bARapur,1,,,"the capital of the Asura Bāṇa, L."
bARasutA,1,,,"f. ‘daughter of Bāṇa’, N. of Uṣa (the wife of Aniruddha), L."
bAhuBUzA,1,,,"f. ‘a˚-ornament’, armlet, L."
bAhuBedin,1,,,"m. ‘a˚-breaker’, N. of Viṣṇu, L."
bAhucApa,1,,,"m. ‘arm-bow’, a fathom (as a measure), L."
bAhukA,1,,,"f. N. of a river, L."
bAhukuRWa,1,,,"mfn. crippled in the arms, L."
bAhukunTa,1,,,"(?) m. a wing, L."
bAhulagrIva,1,,,"m. ‘having a variegated neck’, a peacock, L."
bAhumUlaviBUzaRa,1,,,"n. an ornament worn on the upper arm, L."
bAhumatI,1,,,"(atI), f. N. of a river, L."
bAhupracAlakam,1,,,"ind. shaking the arms, L."
bAhurakzA,1,,,"f. armour for the upper arm, L."
bAhusamBava,1,,,"m. ‘a˚-born’, a Kṣatriya, L. (cf. bAhu-ja)."
bAhutrARa,1,,,"n. ‘arm-fence’, armour for the arms, L."
bAhuvAra,1,,,"m. = bahu-v˚, L."
bAhyAnta,1,,,"m. the outer end or corner (of the eye), L."
bAhyaliNgin,1,,,"m. a heretic, L."
bAkarukA,1,,,"f. a kind of crane, L."
bAlISa,1,,,"m. retention of urine, L."
bAlaBadraka,1,,,"n. a kind of mineral poison (?), L."
bAlacAturBadrikA,1,,,"f. a partic. mixture for children, L."
bAlacarya,1,,,"m. ‘behaving like a child’, N. of Skanda, L."
bAladalaka,1,,,"m. ‘small-leafed’, Acacia Catechu, L."
bAlagarBiRI,1,,,"f. a cow with calf for the first time, L."
bAlajAtIya,1,,,"mfn. childish, foolish, simple, L."
bAlamUla,1,,,"m. a young radish, L."
bAlasAtmya,1,,,"n. ‘suitable for children’, milk, L."
bAlasUrya,1,,,"n. lapis lazuli, L."
bAlasaMDyA,1,,,"f. early twilight, dawn, L."
bAlavAhya,1,,,"m. ‘ridden by children’, a y˚ goat, L."
bAlavrata,1,,,"m. N. of the Buddhist saint Mañjuśrī, L."
bAqIra,1,,,"m. a hired labourer, L."
bArhadraTi,1,,,"m. pl. patr. of Jarā-saṃdha, L."
bAzkalaka,1,,,"mf(ikA)n. belonging to or derived from the Bāṣkalas, L."
bAzpIkA,1,,,"f. a kind of plant (= bAzpI), L."
bAzpakA,1,,,"f. = hiNgu-pattrI, L."
bEqAlavrati,1,,,m. one who leads a chaste or continent life merely from the absence of women or temptation
bIjAkzara,1,,,"n. the first syllable of a Mantra or spell, L."
bIjadarSaka,1,,,"m. ‘explainer of the germ or plot of a play’, a stage-manager, L."
bIjakoSI,2,,,"= (I), f. a seed-vessel (esp. of the lotus), L."
bIjala,1,,,"mfn. furnished with seed or grain, seedy, L. (cf. bEjala)."
bIjamAtfkA,1,,,"f. the seed-vessel of the lotus, L."
bIjapuzpa,1,,,"n. N. of various plants (= madana and maruvaka), L."
bIjapuzpikA,1,,,"f. Andropogon Saccharatus, L."
bIjarecana,1,,,"n. Croton Jamalgota, L."
bIjasU,1,,,"f. ‘bringing forth s˚’, the earth, L."
bIjavApin,1,,,"m. ‘sowing seed’, a sower, L."
bIjodaka,1,,,"n. ‘grain- (like) water’, hail, L."
bUkka,1,,,"mfn. = bukka the heart, L."
baRqA,1,,,"(A), f. an unchaste woman, L. (prob. w.r. for raRqA)."
badDAmbu,1,,,"n. water derived from a current, L."
badDaBU,1,,,"f. prepared ground, pavement, L."
badDaBUmika,1,,,"mfn. having a pavement, L."
badDaPala,1,,,"m. Pongamia Glabra, L."
badDaSiKA,1,,,"f. a species of plant, L."
badDaSiKa,2,,,"mfn. having the hair bound up (into a knot on the crown of the head), L."
badDadarBa,1,,,"m. a stick bound with Darbha grass, L."
badDapfzwa,1,,,"m. N. of a man, L."
badDappi,1,,,"(?) n. the clasped hand, fist, L. (v.l. badDAppi)."
badDarasAla,1,,,"m. a highly prized species of Mango, L."
badarAmalaka,1,,,"n. Flacourtia Cataphracta (rather its fruit), L."
badarIPalA,1,,,"f. a Vitex with blue flowers, L."
badarIcCadA,2,,,"f. Unguis Odoratus, L."
badarIvAsA,1,,,"f. ‘dwelling at B˚’, N. of Durgā, L."
badaraPallI,1,,,"f. a species of j˚ tree, L."
badaravallI,1,,,"f. a species of j˚ tree, L."
bahUdita,1,,,"(˚hu-ud˚) n. loquacity, L."
bahalANga,1,,,"m. Odina Pinnata, L."
bahalacakzus,1,,,"m. Odina Pinisata, L."
bahalaganDA,1,,,"f. large cardamoms, L."
bahalaganDa,1,,,"n. a species of sandal, L."
bahewaka,1,,,"m. Terminalia Belrica, L."
bahirBava,1,,,"mfn. being outside, external (opp. to antar-ja), L."
bahirDvajA,1,,,"f. N. of Durgā, L."
bahirgIta,1,,,"n. a song accompanied by a stringed instrument, L."
bahirlApikA,1,,,"f. a kind of enigma (not containing a solution; opp. to antar-l˚), L."
bahirvartin,1,,,"mfn. being on the outside, L."
bahirvyasana,1,,,"n. external vice, licentiousness, immorality, L."
bahirvyasanin,1,,,"mfn. immoral, dissolute, L."
bahizkAra,1,,,"m. expulsion, removal, L."
bahuDeya,1,,,"(!) m. pl. N. of a school, L.,"
bahuPalI,1,,,"f. N. of various plants (Emblica Officinalis; Ficus Oppositifolia &c.), L."
bahucCada,1,,,"m. Alstonia Scholaris, L."
bahudalakaniSa,1,,,"m. a partic. species of grain, L."
bahudarSaka,1,,,"seeing much, prudent, circumspect, L."
bahudugDikA,1,,,"f. ‘having much milk’, Tithymalus Antiquorum (which yields a caustic milky juice), L."
bahugarhyavAc,1,,,"mfn. saying much that is to be censured, too talkative, loquacious, L."
bahugranTi,1,,,"m. ‘many-knotted’, Tamarix Indica, L."
bahuguhA,1,,,"f. = -guqA, L."
bahuguqA,1,,,"f. Solanum Jacquini, L."
bahuguru,1,,,"m. one who has read much but superficially, a sciolist (= cumbaka), L."
bahujAlI,1,,,"f. a kind of cucumber, L."
bahujanya,1,,,"(bAhu-j˚?), prob. n. a multitude of people, L."
bahukAraRIya,1,,,"mfn. = -karaRIya, L."
bahukalka,1,,,"m. Buchanania Latifolia, L."
bahukandI,1,,,"f. Cucumis Utilissimus or a kind of gourd, L."
bahukftya,1,,,"mfn. = -karaRIya, L."
bahukzIrA,1,,,"f. a cow which gives much milk, L."
bahulikA,1,,,"f. pl. the Pleiades (= bahulAs), L."
bahumArgI,1,,,"f. a place where many roads meet; (v.l. ˚ga n.), L."
bahumUlI,1,,,"f. Emblica Officinalis, L."
bahumUtraka,1,,,"m. a kind of chameleon, L."
bahumUtratA,1,,,"f. diabetes, L."
bahupad,1,,,"(strong form -pAd) m. ‘many-rooted’, the Indian fig-tree, L."
bahuparRA,1,,,"f. Trigonella Foenum Graecum, L."
bahuparRikA,1,,,"f. Salvinia Cucullata, L."
bahuprada,1,,,"mfn. ‘much-bestowing’, liberal, munificent, bountiful, L."
bahuprasU,1,,,"f. a mother of m˚ children, L."
bahuretas,1,,,"m. ‘having much seed’, N. of Brahmā, L."
bahusUti,1,,,"f. a female who has borne many children (also ˚tikA), L."
bahusUtigo,1,,,"f. a cow that calves often, L."
bahutalavaSA,1,,,"f. Iris Pseudacorus, L."
bahutantrIka,1,,,"mf(A)n. (fr. bahu + tantrI) having many strings (as a musical instrument), L."
bahutvakka,1,,,"m. (fr. bahu + tvac), ‘having much bark’, Betula Bhojpatra, L."
bahuvallI,1,,,"f. Hoya Viridiflora, L."
bahuvistIrRA,1,,,f. Abrus precatorius (a shrub bearing a small red and black berry and commonly called Kuca
bahuvista,1,,,"mfn. weighing many Vistas, L."
bahuvyaya,1,,,"mfn. spending much, prodigal, L."
bakAcI,1,,,"f. a kind of fish (= baka-ciYcikA), L."
bakUla,1,,,"m. the Bakula tree, L."
bakaDUpa,1,,,"m. a kind of perfume, L."
bakaciYcikA,1,,,"f. a sort of fish (= bakAcI), L."
bakajit,1,,,"m. ‘conqueror of Baka’, N. of Bhīma-sena, L."
bakanizUdana,1,,,"m. ‘destroyer of Baka’, N. of Bhīma-sena, L."
bakapuzpa,1,,,"m. Agati Grandiflora, L."
bakavErin,1,,,"m. = -ripu, L."
bakayantra,1,,,"n. ‘crane-instrument’, N. of a partic. form of retort, L."
bakerukA,2,,,"f. a small crane, L."
balAYcitA,1,,,"f. ‘strongly stretched (?)’, N. of Rāma's lute, L."
balAdyA,1,,,"f. Sida Cordifolia, L. (prob. w.r. for balAhvA)."
balAhvA,1,,,"f. Sida Cordifolia, L."
balAhvakanda,1,,,"m. a kind of esculent root, L."
balAlaka,1,,,"m. Flacourtia Cataphracta, L."
balAsabasta,1,,,"m. a partic. disease of the eye, L."
balAtmikA,1,,,"f. Tiaridium Indicum, L."
baladevAhnikA,1,,,"f. Ficus Heterophylla, L."
baladevasvasf,1,,,"f. N. of Śiva's wife, L."
balakzataRqulA,1,,,"f. Sida Cordifolia, L."
balala,1,,,"m. = bala-rAma, L."
balaprasU,1,,,"f. Bala's (i.e. Baladeva's) mother, Rohiṇī, L."
