dict,records,headwords,iti_total,iti_to_kosa,iti_kosa_pct,headwords_lexicon_cited,dcs_attested_hw,dcs_pct,dcs_pct_lexcited
SKD,42531,40815,76364,30896,40.5,24164,20918,51.3,53.5
VCP,50135,48629,11728,9,0.1,9,23777,48.9,88.9
